Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-07-23,803.00,805.00,775.00,800.00,,-2.32,,1408241.90
2023-07-24,790.00,800.00,775.00,776.00,,-3,,1396455.70
2023-07-25,778.00,780.00,751.00,763.00,,-1.68,,1477767.00
2023-07-26,760.00,773.90,750.00,770.00,,0.92,,464539.00
2023-07-27,775.00,775.00,740.00,740.00,,-3.9,,247770.90
2023-07-30,730.00,732.50,702.00,702.00,,-5.14,,411274.80
2023-07-31,716.00,730.00,703.00,718.00,,2.28,,313231.00
2023-08-01,703.70,703.70,678.00,678.00,,-5.57,,2264301.60
2023-08-02,678.00,680.00,666.40,666.40,,-1.71,,365517.20
2023-08-03,660.00,678.90,655.00,678.90,,1.88,,108526.50
2023-08-06,670.10,670.10,640.00,640.00,,-5.73,,580665.10
2023-08-07,628.00,639.00,600.00,611.90,,-4.39,,2801063.90
2023-08-08,600.00,612.00,588.00,600.00,,-1.94,,840977.80
2023-08-09,595.00,660.00,595.00,659.00,,9.83,,190954.30
2023-08-10,672.10,672.10,607.00,616.00,,-6.53,,2033799.40
2023-08-13,616.00,628.00,607.90,615.00,,-0.16,,265507.50
2023-08-14,619.00,665.00,600.00,638.00,,3.74,,727149.50
2023-08-15,625.30,625.30,590.00,625.20,,-2.01,,1278063.40
2023-08-16,625.20,625.20,601.00,615.00,,-1.63,,364698.10
2023-08-17,602.70,613.00,593.50,613.00,,-0.33,,570771.60
2023-08-20,610.00,616.00,601.00,601.00,,-1.96,,161812.70
2023-08-21,594.00,605.00,594.00,605.00,,0.67,,110700.00
2023-08-22,593.00,616.00,593.00,615.00,,1.65,,269484.30
2023-08-23,625.00,625.00,605.10,618.00,,0.49,,350657.30
2023-08-24,618.00,618.00,601.00,611.00,,-1.13,,220683.00
2023-08-27,598.80,598.80,589.00,592.10,,-3.09,,125958.30
2023-08-28,592.10,611.00,592.10,611.00,,3.19,,76965.40
2023-08-29,611.00,611.00,588.00,604.70,,-1.03,,262823.10
2023-08-30,593.00,599.00,581.00,592.00,,-2.1,,92033.40
2023-09-03,590.00,590.00,579.00,579.30,,-2.15,,629159.50
2023-09-04,567.80,622.00,567.00,619.00,,6.85,,927368.90
2023-09-05,626.00,626.00,613.50,620.00,,0.16,,21075.00
2023-09-07,625.00,625.00,578.50,610.00,,-1.61,,180143.40
2023-09-10,610.00,618.70,597.80,618.70,,1.43,,232616.90
2023-09-11,608.00,620.00,608.00,608.00,,-1.73,,295469.00
2023-09-12,597.00,600.00,585.00,600.00,,-1.32,,208544.70
2023-09-13,610.00,619.00,600.00,616.00,,2.67,,190608.00
2023-09-17,628.30,628.30,579.20,613.90,,-0.34,,254740.80
2023-09-18,601.70,615.80,590.20,612.00,,-0.31,,74336.00
2023-09-19,612.00,615.00,600.00,615.00,,0.49,,137760.90
2023-09-21,621.50,646.00,603.00,620.00,,0.81,,1853219.70
2023-09-24,619.00,682.00,613.00,682.00,,10,,17932490.20
2023-09-25,668.40,750.00,631.10,750.00,,9.97,,6184953.20
2023-09-26,735.00,764.00,680.00,706.00,,-5.87,,4314706.50
2023-09-27,691.90,742.00,658.60,742.00,,5.1,,16927777.50
2023-10-01,727.20,741.50,679.00,708.90,,-4.46,,9516992.40
2023-10-02,694.80,703.00,676.50,691.00,,-2.53,,4917396.60
2023-10-03,677.20,734.00,669.10,734.00,,6.22,,16351340.60
2023-10-04,719.40,740.00,680.10,700.60,,-4.55,,6460897.90
2023-10-05,686.60,769.00,673.00,756.00,,7.91,,30207799.30
2023-10-08,740.90,740.90,680.40,680.40,,-10,,13366417.60
2023-10-09,666.80,734.00,612.40,612.40,,-9.99,,31168993.90
2023-10-10,624.20,635.00,600.00,626.00,,2.22,,984067.10
2023-10-11,613.50,625.00,613.50,623.00,,-0.48,,222591.00
2023-10-12,610.60,634.00,586.60,607.00,,-2.57,,3216398.60
2023-10-16,595.00,617.90,572.00,601.00,,-0.99,,1399423.00
2023-10-17,589.00,624.00,563.50,565.00,,-5.99,,8910423.30
2023-10-18,555.00,610.00,555.00,568.00,,0.53,,4646485.20
2023-10-19,579.00,599.00,551.00,565.00,,-0.53,,1683971.80
2023-10-29,556.00,586.00,520.00,550.00,,-2.65,,14174607.50
2023-10-30,541.00,567.90,540.00,567.90,,3.25,,1971347.50
2023-10-31,556.60,575.90,536.30,552.80,,-2.66,,6840703.30
2023-11-01,541.80,606.00,536.00,600.00,,8.54,,3424047.60
2023-11-02,588.00,634.00,544.00,630.00,,5,,7842285.40
2023-11-05,642.60,642.60,567.00,567.00,,-10,,1911560.10
2023-11-06,555.70,586.30,544.60,568.00,,0.18,,2418519.80
2023-11-07,556.70,601.00,540.00,572.00,,0.7,,2738985.80
2023-11-08,560.60,594.80,539.00,565.90,,-1.07,,2167335.90
2023-11-09,554.60,577.00,545.00,547.20,,-3.3,,2916958.90
2023-11-20,536.30,580.00,536.30,580.00,,5.99,,1901323.00
2023-11-21,568.40,568.40,525.30,568.00,,-2.07,,1230680.00
2023-11-22,556.70,565.00,545.00,556.90,,-1.95,,842707.90
2023-11-23,559.00,559.90,531.00,536.10,,-3.73,,2264216.60
2023-11-26,525.40,576.00,525.40,561.00,,4.64,,2723118.70
2023-11-27,549.80,582.00,539.00,541.30,,-3.51,,984701.80
2023-11-28,530.50,595.00,530.50,546.00,,0.87,,1928452.50
2023-11-29,546.30,549.00,540.20,549.00,,0.55,,169893.20
2023-11-30,540.10,552.00,531.00,540.00,,-1.64,,1114069.80
2023-12-03,529.20,535.00,520.10,530.00,,-1.85,,814935.90
2023-12-04,526.10,573.00,522.30,549.00,,3.58,,1383318.50
2023-12-05,538.10,556.80,520.00,550.90,,0.35,,2851695.10
2023-12-06,539.90,539.90,519.10,539.90,,-2,,3107058.20
2023-12-07,530.00,549.00,530.00,546.90,,1.3,,2717357.90
2023-12-10,536.00,590.00,536.00,590.00,,7.88,,1013260.00
2023-12-11,578.20,586.00,555.40,561.00,,-4.92,,2570005.80
2023-12-12,551.00,584.00,551.00,573.90,,2.3,,7707680.80
2023-12-13,585.00,596.00,552.00,587.00,,2.28,,4012446.70
2023-12-14,575.30,645.70,565.00,645.70,,10,,3587121.20
2023-12-17,658.60,658.60,583.10,602.00,,-6.77,,10704650.40
2023-12-18,612.00,644.00,596.50,624.90,,3.8,,10061259.60
2023-12-19,637.30,637.30,612.60,621.00,,-0.62,,3202359.40
2023-12-20,621.00,629.40,613.00,620.00,,-0.16,,5537401.20
2023-12-21,611.00,628.00,600.00,600.00,,-3.23,,4983257.00
2023-12-24,600.00,620.00,588.00,598.90,,-0.18,,6432413.40
2023-12-27,610.80,658.70,585.00,600.00,,0.18,,2731169.00
2023-12-28,600.00,604.00,580.20,582.00,,-3,,1206383.70
2024-01-01,593.60,628.00,575.00,575.00,,-1.2,,3839573.00
2024-01-02,571.20,609.00,565.00,579.00,,0.7,,3132381.20
2024-01-03,567.50,578.00,565.10,574.00,,-0.86,,3357828.70
2024-01-04,580.00,580.00,555.00,563.00,,-1.92,,2618360.50
2024-01-07,574.00,574.00,549.00,559.00,,-0.71,,5834181.60
2024-01-08,560.00,601.00,559.00,580.00,,3.76,,5481876.60
2024-01-09,571.00,604.00,570.00,590.00,,1.72,,3515552.50
2024-01-10,578.20,607.00,578.20,598.90,,1.51,,7078788.60
2024-01-11,587.00,635.00,579.20,590.00,,-1.49,,7110236.10
2024-01-14,578.90,636.60,578.90,610.90,,3.42,,5819469.10
2024-01-16,598.70,660.60,598.70,638.00,,4.44,,9644871.50
