Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-06-22,350.00,381.10,350.00,381.10,,9.98,,643813.70
2023-06-25,388.70,419.20,388.70,419.20,,10,,2400285.70
2023-06-26,420.00,461.10,420.00,461.10,,10,,2009685.70
2023-06-27,470.30,507.20,470.30,507.20,,10,,12154377.30
2023-06-28,517.00,557.90,517.00,557.90,,10,,837036791.90
2023-07-02,569.00,574.00,548.00,549.00,,-1.6,,425654707.90
2023-07-03,548.00,549.00,530.00,532.00,,-3.1,,239445785.10
2023-07-04,542.60,542.60,520.40,529.00,,-0.56,,113384502.40
2023-07-05,535.00,535.00,505.00,508.80,,-3.82,,139088920.30
2023-07-06,515.00,518.00,491.00,497.00,,-2.32,,153683428.20
2023-07-09,500.00,512.80,492.00,498.00,,0.2,,186072060.00
2023-07-10,500.00,510.00,488.10,489.80,,-1.65,,249186992.70
2023-07-11,495.00,502.00,488.00,490.00,,0.04,,127813719.40
2023-07-12,490.00,503.00,485.20,496.20,,1.27,,92316248.40
2023-07-13,500.00,514.00,498.00,507.00,,2.18,,161509096.80
2023-07-16,507.00,514.90,504.00,507.00,,0,,156945064.50
2023-07-17,517.10,517.10,502.00,516.00,,1.78,,108464899.60
2023-07-18,516.20,525.00,513.00,513.60,,-0.47,,156390333.70
2023-07-19,516.00,516.00,508.60,510.00,,-0.7,,84204343.90
2023-07-20,499.80,515.00,499.80,504.90,,-1,,88259472.40
2023-07-23,507.00,516.00,504.00,510.80,,1.17,,105427189.40
2023-07-24,508.00,513.00,500.10,500.40,,-2.04,,97571138.30
2023-07-25,500.40,504.00,490.40,491.80,,-1.72,,60902374.40
2023-07-26,498.00,499.00,485.00,487.10,,-0.96,,69779438.00
2023-07-27,490.00,492.00,478.00,478.00,,-1.87,,83660573.60
2023-07-30,478.00,485.00,468.00,470.00,,-1.67,,54666317.20
2023-07-31,473.90,481.00,468.60,474.00,,0.85,,46133118.50
2023-08-01,468.80,480.00,462.10,466.00,,-1.69,,51864632.60
2023-08-02,466.00,468.80,458.70,467.40,,0.3,,40796851.40
2023-08-03,473.00,474.90,464.00,468.00,,0.13,,33901451.20
2023-08-06,458.70,472.60,451.00,458.00,,-2.14,,45733060.00
2023-08-07,458.00,467.00,450.00,454.00,,-1.05,,31388464.10
2023-08-08,450.20,458.00,442.00,445.00,,-1.98,,27708639.90
2023-08-09,450.00,465.00,438.50,463.90,,4.04,,53811034.20
2023-08-10,466.00,468.00,457.00,457.00,,-1.49,,37055597.50
2023-08-13,457.00,466.00,454.20,462.00,,1.09,,40445006.10
2023-08-14,466.00,468.90,453.00,453.20,,-1.9,,26659987.60
2023-08-15,450.00,460.00,450.00,450.50,,-0.6,,48800844.10
2023-08-16,450.00,450.00,441.10,442.20,,-1.84,,18335777.90
2023-08-17,442.00,450.20,442.00,445.00,,0.63,,28776153.80
2023-08-20,440.00,454.90,440.00,443.00,,-0.45,,28255365.90
2023-08-21,444.00,447.00,438.00,441.90,,-0.25,,20999790.40
2023-08-22,442.00,445.00,437.00,444.90,,0.68,,18941508.90
2023-08-23,441.00,459.00,441.00,453.00,,1.82,,38203107.90
2023-08-24,453.00,456.00,440.60,442.00,,-2.43,,33272284.90
2023-08-27,442.00,442.90,435.10,437.90,,-0.93,,28335395.60
2023-08-28,435.00,443.90,435.00,437.00,,-0.21,,16158366.30
2023-08-29,445.00,445.00,431.20,432.30,,-1.08,,15251289.90
2023-08-30,432.40,437.00,429.00,430.00,,-0.53,,17115449.10
2023-09-03,428.60,430.00,418.10,420.00,,-2.33,,21600607.90
2023-09-04,420.00,425.00,412.00,418.00,,-0.48,,17612734.70
2023-09-05,419.70,425.90,413.00,416.00,,-0.48,,15141254.30
2023-09-07,411.60,420.00,410.00,412.00,,-0.96,,18659440.10
2023-09-10,420.20,420.20,409.00,410.80,,-0.29,,11235652.10
2023-09-11,406.00,434.00,406.00,426.00,,3.7,,24940013.80
2023-09-12,434.00,434.00,418.00,423.70,,-0.54,,24652584.30
2023-09-13,424.00,439.50,421.20,439.00,,3.61,,24574329.60
2023-09-17,439.00,439.00,422.00,424.00,,-3.42,,24621088.10
2023-09-18,416.30,432.00,416.30,424.00,,0,,10645207.70
2023-09-19,425.00,435.00,423.00,428.10,,0.97,,18774350.30
2023-09-21,430.00,448.50,430.00,440.30,,2.85,,38288295.10
2023-09-24,435.00,449.90,432.00,432.00,,-1.89,,31499402.70
2023-09-25,432.00,435.50,427.00,429.00,,-0.69,,23512948.90
2023-09-26,431.00,439.80,430.00,437.00,,1.86,,21033577.70
2023-09-27,440.00,445.70,426.10,429.50,,-1.72,,15645152.70
2023-10-01,425.10,430.00,417.00,418.90,,-2.47,,32859595.40
2023-10-02,418.00,423.00,413.00,419.00,,0.02,,14575642.70
2023-10-03,412.60,420.00,412.60,415.00,,-0.95,,10241083.80
2023-10-04,412.10,424.00,412.10,417.40,,0.58,,10238747.20
2023-10-05,415.00,421.00,414.20,416.50,,-0.22,,9100920.30
2023-10-08,416.50,420.00,406.00,406.00,,-2.52,,36313045.00
2023-10-09,403.00,412.00,403.00,405.90,,-0.02,,17825696.00
2023-10-10,406.00,407.00,400.00,401.00,,-1.21,,17132428.70
2023-10-11,400.00,409.00,398.00,402.00,,0.25,,14257269.00
2023-10-12,400.00,405.00,393.10,394.00,,-1.99,,13964126.20
2023-10-16,392.00,392.00,383.10,384.00,,-2.54,,14367745.30
2023-10-17,390.00,399.40,386.00,388.90,,1.28,,10094710.20
2023-10-18,381.20,410.90,381.20,398.60,,2.49,,17778215.30
2023-10-19,404.50,408.60,393.00,398.00,,-0.15,,22440775.30
2023-10-29,395.00,397.00,388.00,388.00,,-2.51,,9231057.90
2023-10-30,383.00,392.00,383.00,390.00,,0.52,,5635774.80
2023-10-31,390.00,394.00,385.00,385.00,,-1.28,,6427869.20
2023-11-01,380.00,388.80,380.00,380.70,,-1.12,,8088174.80
2023-11-02,380.70,382.00,375.20,376.00,,-1.23,,7757372.80
2023-11-05,374.00,376.00,368.50,374.00,,-0.53,,9044654.90
2023-11-06,371.10,383.90,371.10,378.40,,1.18,,8714646.20
2023-11-07,374.00,388.00,374.00,384.80,,1.69,,7089404.50
2023-11-08,380.00,391.00,380.00,385.00,,0.05,,8611334.20
2023-11-09,392.00,392.00,377.00,381.00,,-1.04,,9815195.80
2023-11-20,380.00,400.50,380.00,389.90,,2.34,,17905806.30
2023-11-21,394.00,394.00,380.30,384.00,,-1.51,,9539723.10
2023-11-22,384.00,392.00,380.00,390.00,,1.56,,8368427.80
2023-11-23,383.10,406.00,383.10,403.60,,3.49,,30866122.40
2023-11-26,411.60,435.00,402.10,431.00,,6.79,,55101805.70
