Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2024-01-08,309.20,340.10,309.20,340.10,,9.99,,10404487.80
2024-01-09,346.90,374.10,346.90,374.10,,10,,3996001.90
2024-01-10,381.50,411.50,381.50,411.50,,10,,6988635.20
2024-01-11,419.70,452.60,419.70,452.60,,9.99,,16939211.90
2024-01-14,461.60,497.80,461.60,497.80,,9.99,,22731110.10
2024-01-16,507.70,547.50,507.70,547.50,,9.98,,38499870.20
2024-01-17,558.40,602.20,558.40,602.20,,9.99,,658490285.50
2024-01-18,614.20,661.50,558.00,653.00,,8.44,,1844237328.50
2024-01-21,666.00,709.00,663.00,682.00,,4.44,,567910241.90
2024-01-22,667.40,675.00,641.00,646.00,,-5.14,,786383492.50
2024-01-23,645.00,681.00,635.00,659.90,,2.15,,550980785.50
2024-01-24,660.00,674.00,655.00,657.00,,-0.44,,251568067.70
2024-01-25,657.00,661.00,645.10,646.80,,-1.55,,286726529.50
2024-01-28,650.00,659.60,635.10,645.00,,-0.28,,335345887.80
2024-01-29,645.00,684.00,645.00,670.00,,3.88,,601671809.20
2024-01-30,682.30,721.00,675.80,709.60,,6.07,,752786918.20
2024-01-31,723.00,728.00,698.00,714.60,,0.7,,638782691.50
2024-02-01,720.00,722.10,695.00,695.10,,-2.73,,540184186.50
2024-02-04,695.10,700.00,680.00,688.10,,-1.01,,335832809.20
2024-02-05,690.00,700.00,685.10,685.50,,-0.38,,185905014.10
2024-02-06,685.50,708.00,685.50,704.90,,2.83,,337602470.00
2024-02-07,700.00,714.00,695.20,696.10,,-1.25,,248268038.90
2024-02-08,698.00,709.00,688.00,689.00,,-1.02,,188790252.90
2024-02-11,702.70,731.00,691.00,694.90,,0.86,,624785368.60
2024-02-12,703.00,704.00,690.00,692.10,,-0.4,,230235449.40
2024-02-13,692.10,692.10,672.00,672.00,,-2.9,,325045072.50
2024-02-14,680.00,680.00,666.50,668.10,,-0.58,,171764880.30
2024-02-15,670.00,674.00,654.80,655.70,,-1.86,,228576267.10
2024-02-18,655.00,666.00,640.10,645.10,,-1.62,,409000252.30
2024-02-20,621.00,652.50,620.00,650.00,,4.79,,317370998.70
2024-02-21,650.00,662.90,633.10,633.20,,-2.58,,111228569.50
2024-02-22,633.20,637.90,617.60,624.00,,-1.45,,148797178.40
2024-02-25,624.00,632.00,607.50,607.60,,-2.63,,110155956.90
2024-02-26,604.90,616.80,604.90,616.00,,1.38,,77503822.00
2024-02-27,616.00,620.00,606.00,610.00,,-0.97,,64026939.40
2024-02-28,609.00,620.00,609.00,615.00,,0.82,,80689282.50
2024-02-29,615.00,620.00,604.90,605.40,,-1.56,,80335036.40
2024-03-03,605.40,613.00,595.20,595.60,,-1.62,,83016772.50
2024-03-04,607.50,652.00,607.50,622.00,,4.43,,29975395.50
2024-03-05,630.00,633.90,610.00,613.50,,-1.37,,128174143.10
2024-03-06,613.00,631.00,608.10,624.90,,1.86,,130115577.20
2024-03-07,630.00,634.00,621.00,624.00,,-0.14,,65281969.10
2024-03-10,624.00,630.00,618.00,620.00,,-0.64,,71551639.30
2024-03-12,632.40,635.50,620.00,635.00,,2.42,,157186727.70
2024-03-13,647.70,650.00,631.10,642.00,,1.1,,206338723.10
2024-03-14,638.60,644.00,628.00,630.50,,-1.79,,98412718.70
2024-03-17,630.00,635.00,619.00,620.50,,-1.59,,101830678.00
2024-03-18,621.00,630.20,618.00,621.00,,0.08,,55870099.80
2024-03-19,621.00,629.90,615.00,618.00,,-0.48,,86126806.30
2024-03-20,618.00,627.00,609.00,614.10,,-0.63,,74049420.30
2024-03-21,614.10,618.00,605.00,606.50,,-1.24,,95976407.08
2024-03-25,607.00,613.80,602.00,608.90,,0.4,,62900981.50
2024-03-26,606.00,613.40,606.00,608.00,,-0.15,,63531585.40
2024-03-27,608.00,611.70,597.00,602.00,,-0.99,,71047294.90
2024-03-28,602.00,610.00,601.00,604.10,,0.35,,39682920.30
2024-03-31,604.00,607.00,598.50,600.90,,-0.53,,62462912.60
2024-04-01,600.00,603.00,596.10,596.80,,-0.68,,49815934.40
2024-04-02,608.70,608.70,595.10,595.20,,-0.27,,38476869.30
2024-04-03,585.00,609.00,585.00,595.00,,-0.03,,43874052.20
2024-04-04,595.00,596.50,590.00,590.50,,-0.76,,45501812.30
2024-04-07,590.00,598.90,588.00,596.00,,0.93,,63279284.60
2024-04-09,596.00,624.90,596.00,623.90,,4.68,,154555923.90
2024-04-10,623.00,634.00,610.00,610.20,,-2.2,,125488013.20
2024-04-14,610.20,618.00,606.20,613.20,,0.49,,74492104.50
2024-04-15,614.00,620.00,606.20,606.50,,-1.09,,63185803.70
2024-04-16,606.00,607.00,598.20,605.10,,-0.23,,43094594.40
2024-04-18,598.20,606.00,588.80,600.00,,-0.84,,53427570.40
2024-04-21,595.00,607.00,590.00,601.00,,0.17,,55529339.70
2024-04-22,601.00,607.00,595.00,595.00,,-1,,30181364.60
2024-04-24,599.90,600.10,590.00,592.10,,-0.49,,40916667.80
2024-04-25,592.20,596.30,590.70,592.00,,-0.02,,40306680.10
2024-04-28,593.00,600.00,588.00,595.60,,0.61,,43801633.20
