Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2019-05-22,160.00,160.00,144.00,144.00,,0,,1232994.00
2019-05-23,145.00,145.00,130.00,130.00,,-9.72,,443740.00
2019-05-26,124.00,134.00,117.00,134.00,,3.08,,6782720.00
2019-05-27,132.00,132.00,123.00,131.00,,-2.24,,1150560.00
2019-05-28,131.00,133.00,128.00,133.00,,1.53,,1528500.00
2019-05-29,131.00,146.00,131.00,146.00,,9.77,,2662110.00
2019-05-30,148.00,160.00,148.00,160.00,,9.59,,2592910.00
2019-06-02,163.00,168.00,147.00,152.00,,-5,,5634956.00
2019-06-03,152.00,155.00,144.00,155.00,,1.97,,2149070.00
2019-06-04,156.00,157.00,149.00,149.00,,-3.87,,921610.00
2019-06-06,151.00,154.00,148.00,149.00,,0,,571080.00
2019-06-10,150.00,154.00,146.00,147.00,,-1.34,,1346700.00
2019-06-11,149.00,155.00,147.00,148.00,,0.68,,748140.00
2019-06-12,147.00,155.00,144.00,148.00,,0,,503860.00
2019-06-13,146.00,150.00,145.00,146.00,,-1.35,,624150.00
2019-06-16,148.00,152.00,145.00,152.00,,4.11,,506950.00
2019-06-17,149.00,152.00,143.00,148.00,,-2.63,,588050.00
2019-06-18,146.00,146.00,142.00,146.00,,-1.35,,172800.00
2019-06-19,144.00,153.00,144.00,144.00,,-1.37,,117650.00
2019-06-20,146.00,148.00,142.00,146.00,,1.39,,228130.00
2019-06-23,148.00,148.00,143.00,143.00,,-2.05,,116040.00
2019-06-24,141.00,144.00,141.00,142.00,,-0.7,,181380.00
2019-06-25,140.00,144.00,140.00,142.00,,0,,122912.00
2019-06-26,140.00,146.00,140.00,146.00,,2.82,,279930.00
2019-06-27,144.00,148.00,143.00,144.00,,-1.37,,290930.00
2019-06-30,142.00,145.00,142.00,142.00,,-1.39,,532020.00
2019-07-01,141.00,144.00,139.00,141.00,,-0.7,,896660.00
2019-07-02,139.00,143.00,139.00,141.00,,0,,101717.00
2019-07-03,139.00,142.00,139.00,140.00,,-0.71,,154080.00
2019-07-04,140.00,142.00,139.00,140.00,,0,,197740.00
2019-07-07,142.00,142.00,139.00,140.00,,0,,187260.00
2019-07-08,142.00,150.00,139.00,140.00,,0,,258190.00
2019-07-09,140.00,142.00,139.00,141.00,,0.71,,307570.00
2019-07-10,140.00,142.00,139.00,140.00,,-0.71,,227690.00
2019-07-11,140.00,140.00,139.00,139.00,,-0.71,,239990.00
2019-07-14,140.00,140.00,138.00,139.00,,0,,166570.00
2019-07-15,139.00,141.00,138.00,139.00,,0,,423440.00
2019-07-16,139.00,142.00,139.00,139.00,,0,,188120.00
2019-07-17,138.00,141.00,138.00,140.00,,0.72,,367940.00
2019-07-18,140.00,143.00,140.00,142.00,,1.43,,95860.00
2019-07-21,144.00,145.00,144.00,145.00,,2.11,,5780.00
2019-07-22,143.00,143.00,139.00,143.00,,-1.38,,203110.00
2019-07-23,141.00,141.00,138.00,139.00,,-2.8,,170795.00
2019-07-24,140.00,142.00,138.00,138.00,,-0.72,,286530.00
2019-07-25,138.00,140.00,138.00,138.00,,0,,184570.00
2019-07-28,136.00,138.00,131.00,136.00,,-1.45,,1510502.00
2019-07-29,136.00,138.00,134.00,134.00,,-1.47,,511848.00
2019-07-30,132.00,138.00,132.00,135.00,,0.75,,218230.00
2019-07-31,133.00,138.00,133.00,136.00,,0.74,,134260.00
2019-08-01,136.00,142.00,136.00,140.00,,2.94,,114910.00
2019-08-04,140.00,140.00,134.00,136.00,,-2.86,,99760.00
2019-08-05,137.00,138.00,134.00,137.00,,0.74,,88360.00
2019-08-06,135.00,136.00,133.00,134.00,,-2.19,,92680.00
2019-08-07,132.00,136.00,131.00,131.00,,-2.24,,455660.00
2019-08-08,130.00,134.00,130.00,133.00,,1.53,,250570.00
2019-08-11,132.00,132.00,130.00,132.00,,-0.75,,141080.00
2019-08-12,130.00,132.00,130.00,130.00,,-1.52,,180650.00
2019-08-13,128.00,132.00,127.00,128.00,,-1.54,,170320.00
2019-08-14,127.00,132.00,127.00,131.00,,2.34,,134680.00
2019-08-15,129.00,130.00,128.00,129.00,,-1.53,,115428.00
2019-08-18,129.00,131.00,126.00,127.00,,-1.55,,96950.00
2019-08-19,125.00,130.00,125.00,128.00,,0.79,,192910.00
2019-08-20,128.00,128.00,125.00,127.00,,-0.78,,91280.00
2019-08-21,125.00,128.00,123.00,126.00,,-0.79,,302180.00
2019-08-22,124.00,126.00,124.00,125.00,,-0.79,,183960.00
2019-08-25,123.00,123.00,121.00,123.00,,-1.6,,47840.00
2019-08-26,121.00,125.00,121.00,124.00,,0.81,,391520.00
2019-08-27,122.00,126.00,122.00,124.00,,0,,79060.00
