Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,367.00,375.00,365.00,365.00,,-0.54,,114259.00
2014-08-04,360.00,360.00,354.00,360.00,,0,,114259.00
2014-08-04,360.00,374.00,350.00,367.00,,1.94,,114259.00
2014-08-04,361.00,386.00,361.00,386.00,,6.93,,114259.00
2014-08-05,365.00,367.00,355.00,355.00,,-2.74,,326430.00
2014-08-06,355.00,350.00,340.00,340.00,,-4.23,,102185.00
2014-08-07,340.00,340.00,335.00,335.00,,-1.47,,203340.00
2014-08-12,335.00,330.00,317.00,317.00,,-5.37,,876272.00
2014-08-13,317.00,334.00,301.00,330.00,,4.1,,1799398.00
2014-08-14,330.00,330.00,320.00,324.00,,-1.82,,461070.00
2014-08-18,324.00,336.00,318.00,321.00,,-0.93,,714614.00
2014-08-19,321.00,320.00,305.00,305.00,,-4.98,,650748.00
2014-08-20,305.00,317.00,300.00,305.00,,0,,1553684.00
2014-08-21,305.00,311.00,300.00,310.00,,1.64,,1220840.00
2014-08-24,310.00,314.00,310.00,310.00,,0,,104523.00
2014-08-26,310.00,305.00,299.00,299.00,,-3.55,,34405.00
2014-08-27,299.00,316.00,300.00,300.00,,0.33,,1156580.00
2014-08-28,300.00,307.00,291.00,300.00,,0,,2314414.00
2014-08-31,300.00,303.00,297.00,303.00,,1,,890336.00
2014-09-01,303.00,298.00,295.00,295.00,,-2.64,,105170.00
2014-09-03,295.00,303.00,295.00,295.00,,0,,984205.00
2014-09-04,295.00,295.00,290.00,294.00,,-0.34,,1436098.00
2014-09-07,294.00,290.00,275.00,275.00,,-6.46,,574665.00
2014-09-09,275.00,284.00,275.00,284.00,,3.27,,473336.00
2014-09-10,284.00,295.00,279.00,280.00,,-1.41,,1231322.00
2014-09-14,280.00,280.00,270.00,270.00,,-3.57,,61195.00
2014-09-15,270.00,280.00,275.00,280.00,,3.7,,48775.00
2014-09-16,280.00,290.00,278.00,290.00,,3.57,,771245.00
2014-09-17,290.00,295.00,285.00,285.00,,-1.72,,1113167.00
2014-09-18,285.00,280.00,280.00,280.00,,-1.75,,298751.00
2014-09-21,279.00,275.00,270.00,270.00,,-3.23,,409775.00
2014-09-22,270.00,275.00,265.00,274.00,,1.48,,1427197.00
2014-09-23,274.00,280.00,279.00,280.00,,2.19,,850939.00
2014-09-28,280.00,275.00,275.00,275.00,,-1.79,,19250.00
2014-09-29,275.00,280.00,275.00,280.00,,1.82,,163850.00
2014-09-30,280.00,300.00,285.00,299.00,,6.79,,486580.00
2014-10-12,299.00,301.00,294.00,294.00,,-1.67,,182529.00
2014-10-16,294.00,295.00,285.00,295.00,,0.34,,147190.00
2014-10-21,295.00,298.00,298.00,298.00,,1.02,,208898.00
2014-10-30,298.00,293.00,270.00,270.00,,-9.4,,873783.00
2014-11-02,270.00,274.00,264.00,265.00,,-1.85,,125333.00
2014-11-03,265.00,265.00,260.00,265.00,,0,,569720.00
2014-11-04,265.00,275.00,260.00,270.00,,1.89,,681555.00
2014-11-05,270.00,284.00,265.00,284.00,,5.19,,1642224.00
2014-11-06,284.00,294.00,288.00,294.00,,3.52,,177874.00
2014-11-09,294.00,310.00,291.00,300.00,,2.04,,4511865.00
2014-11-10,300.00,300.00,289.00,299.00,,-0.33,,1705393.00
2014-11-11,299.00,310.00,288.00,292.00,,-2.34,,1362391.00
2014-11-12,292.00,295.00,289.00,295.00,,1.03,,694599.00
2014-11-13,295.00,295.00,285.00,288.00,,-2.37,,1283633.00
2014-12-09,253.00,257.00,257.00,257.00,,1.58,,30583.00
2014-12-14,257.00,252.00,252.00,252.00,,-1.95,,37800.00
2014-12-15,252.00,251.00,248.00,248.00,,-1.59,,456070.00
2014-12-16,248.00,244.00,240.00,240.00,,-3.23,,42588.00
2014-12-18,240.00,236.00,232.00,236.00,,-1.67,,118020.00
2014-12-31,236.00,244.00,240.00,244.00,,3.39,,27212.00
2015-01-01,244.00,240.00,237.00,237.00,,-2.87,,198410.00
2015-01-04,237.00,235.00,235.00,235.00,,-0.84,,297745.00
2015-01-07,235.00,239.00,239.00,239.00,,1.7,,171363.00
2015-01-11,239.00,243.00,243.00,243.00,,1.67,,256122.00
2015-01-12,243.00,245.00,243.00,245.00,,0.82,,93326.00
2015-01-13,245.00,253.00,249.00,253.00,,3.27,,228920.00
2015-01-14,253.00,250.00,248.00,250.00,,-1.19,,218448.00
2015-01-18,250.00,255.00,251.00,255.00,,2,,222400.00
2015-01-19,255.00,265.00,260.00,265.00,,3.92,,105000.00
2015-01-20,265.00,260.00,260.00,260.00,,-1.89,,52780.00
2015-01-22,260.00,265.00,265.00,265.00,,1.92,,144690.00
2015-01-25,265.00,280.00,265.00,276.00,,4.15,,134320.00
