Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2017-12-10,1144.00,1144.00,1125.00,1125.00,,0.27,,395590.00
2017-12-11,1120.00,1120.00,1092.00,1120.00,,-0.44,,677995.00
2017-12-12,1102.00,1103.00,1085.00,1085.00,,-3.12,,816855.00
2017-12-13,1085.00,1117.00,1076.00,1113.00,,2.67,,959800.00
2017-12-14,1100.00,1100.00,1085.00,1090.00,,-2.15,,911350.00
2017-12-17,1085.00,1085.00,1084.00,1085.00,,-0.64,,216950.00
2017-12-18,1105.00,1139.00,1085.00,1090.00,,0.55,,1122450.00
2017-12-19,1071.00,1135.00,1071.00,1105.00,,1.38,,4728185.00
2017-12-20,1100.00,1100.00,1084.00,1092.00,,-1.18,,1271400.00
2017-12-21,1090.00,1090.00,1071.00,1073.00,,-1.92,,458230.00
2017-12-24,1092.00,1113.00,1080.00,1082.00,,0.84,,680250.00
2017-12-27,1037.00,1050.00,1035.00,1045.00,,-1.23,,1823030.00
2017-12-27,1080.00,1065.00,1058.00,1058.00,,-2.04,,1823030.00
2017-12-28,1055.00,1060.00,1045.00,1045.00,,0,,633010.00
2017-12-31,1030.00,1030.00,1010.00,1021.00,,-2.3,,1318770.00
2018-01-01,1001.00,1091.00,1001.00,1075.00,,5.29,,2739165.00
2018-01-02,1060.00,1099.00,1045.00,1060.00,,-2.79,,2588480.00
2018-01-03,1050.00,1050.00,1026.00,1050.00,,0.48,,790100.00
2018-01-04,1049.00,1049.00,1020.00,1031.00,,-1.9,,4606608.00
2018-01-07,1035.00,1050.00,1035.00,1035.00,,0.49,,960125.00
2018-01-08,1055.00,1073.00,1046.00,1046.00,,1.06,,1173970.00
2018-01-09,1046.00,1075.00,1060.00,1075.00,,2.77,,1096575.00
2018-01-10,1064.00,1064.00,1054.00,1054.00,,-1.95,,517710.00
2018-01-14,1034.00,1035.00,1015.00,1034.00,,-1.9,,1101440.00
2018-01-16,1020.00,1025.00,1019.00,1025.00,,-0.87,,894185.00
2018-01-17,1019.00,1020.00,1019.00,1020.00,,-0.49,,666880.00
2018-01-21,1025.00,1027.00,1025.00,1025.00,,0.49,,733075.00
2018-01-22,1005.00,1020.00,1005.00,1011.00,,-1.46,,253015.00
2018-01-23,991.00,1000.00,971.00,987.00,,-2.28,,2638458.00
2018-01-24,987.00,991.00,985.00,986.00,,-0.1,,909300.00
2018-01-25,990.00,1000.00,980.00,999.00,,1.32,,732855.00
2018-01-29,972.00,991.00,972.00,990.00,,0,,393600.00
2018-01-31,980.00,1000.00,980.00,988.00,,-0.2,,869400.00
2018-02-01,995.00,995.00,990.00,990.00,,0.2,,138800.00
2018-02-04,995.00,1000.00,994.00,995.00,,0.51,,1085840.00
2018-02-05,994.00,994.00,980.00,980.00,,-1.51,,39480.00
2018-02-06,975.00,980.00,970.00,980.00,,0,,146650.00
2018-02-07,965.00,965.00,961.00,965.00,,-1.94,,607271.00
2018-02-08,970.00,970.00,969.00,969.00,,0.94,,116380.00
2018-02-11,955.00,955.00,934.00,952.00,,-3.71,,791580.00
2018-02-12,933.00,951.00,933.00,945.00,,1.18,,660800.00
2018-02-14,950.00,960.00,950.00,960.00,,1.59,,628600.00
2018-02-15,970.00,1020.00,970.00,985.00,,2.6,,953325.00
2018-02-18,985.00,1024.00,985.00,990.00,,0.51,,997130.00
2018-02-20,973.00,973.00,971.00,971.00,,-1.92,,349680.00
2018-02-21,955.00,961.00,955.00,960.00,,-1.54,,857006.00
2018-02-22,937.00,955.00,937.00,950.00,,-0.63,,122380.00
