Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-06-20,291.80,320.90,291.00,320.90,,0,,22078936.80
2023-06-21,327.00,352.90,320.90,340.10,,5.98,,13127518.30
2023-06-22,346.80,346.80,314.00,316.00,,-7.53,,11128906.40
2023-06-25,320.00,320.00,292.00,305.00,,-3.48,,10287833.00
2023-06-26,299.30,320.00,294.00,312.00,,2.3,,7884962.70
2023-06-27,305.90,315.00,302.00,314.90,,0.93,,4692311.00
2023-06-28,315.00,320.00,290.20,294.00,,-6.64,,4328908.50
2023-07-02,289.30,298.00,282.00,282.00,,-4.08,,3584437.00
2023-07-03,276.40,292.30,271.00,274.40,,-2.7,,2385340.40
2023-07-04,270.00,279.00,267.80,276.00,,0.58,,1906588.50
2023-07-05,270.50,283.40,260.00,264.00,,-4.35,,3099510.00
2023-07-06,259.00,274.50,250.00,256.00,,-3.03,,2565843.80
2023-07-09,255.00,270.30,250.00,253.90,,-0.82,,1823353.00
2023-07-10,248.90,256.00,248.90,251.00,,-1.14,,1756457.70
2023-07-11,246.20,256.00,246.20,251.20,,0.08,,1487404.00
2023-07-12,248.00,272.00,248.00,270.10,,7.52,,4802116.20
2023-07-13,275.50,280.00,260.00,260.00,,-3.74,,2475140.90
2023-07-16,255.10,257.00,250.20,257.00,,-1.15,,991083.10
2023-07-17,252.00,264.30,247.20,264.30,,2.84,,1987262.00
2023-07-18,259.20,271.00,256.00,265.00,,0.26,,3786274.00
2023-07-19,260.00,261.10,255.10,256.40,,-3.25,,1754205.00
2023-07-20,255.00,265.00,255.00,260.00,,1.4,,1929838.50
2023-07-23,265.10,283.00,263.00,278.00,,6.92,,8349059.20
2023-07-24,278.00,288.00,270.00,273.00,,-1.8,,5099997.50
2023-07-25,268.30,275.00,267.10,269.00,,-1.47,,1262138.60
2023-07-26,269.00,276.00,258.60,270.00,,0.37,,2303527.60
2023-07-27,275.00,275.00,259.10,262.00,,-2.96,,1113618.30
2023-07-30,258.00,262.00,252.70,253.20,,-3.36,,2453720.80
2023-07-31,249.50,264.10,249.50,251.50,,-0.67,,1965725.30
2023-08-01,255.00,260.10,249.90,250.00,,-0.6,,2134663.70
2023-08-02,250.00,255.00,248.00,251.00,,0.4,,1197139.00
2023-08-03,246.20,258.00,246.20,246.80,,-1.67,,1775335.10
2023-08-06,245.00,245.00,236.10,238.10,,-3.53,,1370708.50
2023-08-07,240.00,248.00,233.90,236.00,,-0.88,,1908305.10
2023-08-08,233.00,240.70,227.20,228.60,,-3.14,,1179797.50
2023-08-09,224.50,232.40,216.60,232.40,,1.66,,2761597.30
2023-08-10,232.00,235.80,223.00,225.00,,-3.18,,1687068.80
2023-08-13,221.00,229.10,217.00,220.80,,-0.44,,2303361.00
2023-08-14,223.90,225.00,217.00,218.10,,-1.22,,1142172.00
2023-08-15,218.00,218.00,213.10,214.00,,-1.88,,1352610.00
2023-08-16,210.00,215.00,207.00,210.00,,-1.87,,748989.00
2023-08-17,206.10,216.20,206.10,209.10,,-0.43,,466243.00
2023-08-20,205.20,208.00,205.20,206.20,,-1.39,,580434.00
2023-08-21,202.20,206.50,200.20,202.00,,-2.04,,730010.00
2023-08-22,202.00,220.00,200.20,220.00,,8.91,,1698990.00
2023-08-23,220.00,229.50,216.00,229.50,,4.32,,2406283.80
2023-08-24,225.00,229.50,217.00,229.50,,0,,2122535.00
2023-08-27,225.00,225.00,207.60,219.60,,-4.31,,730476.00
2023-08-28,215.30,220.00,210.00,214.00,,-2.55,,618439.00
