Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2019-07-08,312.00,343.20,312.00,343.20,,10,,23052.00
2019-07-09,360.00,377.00,360.00,377.00,,9.85,,731180.00
2019-07-10,395.00,414.00,395.00,414.00,,9.81,,483990.00
2019-07-11,434.00,442.00,395.00,396.00,,-4.35,,13894370.00
2019-07-14,396.00,398.00,378.00,386.00,,-2.53,,3713690.00
2019-07-15,384.00,399.00,384.00,393.00,,1.81,,2471492.00
2019-07-16,393.00,400.00,391.00,400.00,,1.78,,1373900.00
2019-07-17,398.00,398.00,394.00,395.00,,-1.25,,1231855.00
2019-07-18,395.00,400.00,390.00,393.00,,-0.51,,1414180.00
2019-07-21,391.00,394.00,389.00,393.00,,0,,1651860.00
2019-07-22,393.00,394.00,388.00,392.00,,-0.25,,932410.00
2019-07-23,399.00,400.00,391.00,394.00,,0.51,,1629155.00
2019-07-24,394.00,405.00,394.00,404.00,,2.54,,3322862.00
2019-07-25,404.00,404.00,393.00,399.00,,-1.24,,1766585.00
2019-07-28,405.00,413.00,399.00,411.00,,3.01,,3223210.00
2019-07-29,416.00,440.00,410.00,440.00,,7.06,,3316990.00
2019-07-30,448.00,466.00,440.00,461.00,,4.77,,7431797.00
2019-07-31,465.00,503.00,451.00,500.00,,8.46,,7949635.00
2019-08-01,510.00,550.00,487.00,533.00,,6.6,,8921130.00
2019-08-04,543.00,551.00,491.00,507.00,,-4.88,,7548883.00
2019-08-05,510.00,513.00,467.00,471.00,,-7.1,,5330434.00
2019-08-06,462.00,470.00,439.00,468.00,,-0.64,,2674734.00
2019-08-07,459.00,502.00,437.00,490.00,,4.7,,4216283.00
2019-08-08,485.00,485.00,464.00,477.00,,-2.65,,1645934.00
2019-08-11,474.00,486.00,456.00,474.00,,-0.63,,1272110.00
2019-08-12,474.00,495.00,470.00,480.00,,1.27,,2472120.00
2019-08-13,480.00,490.00,475.00,481.00,,0.21,,2157290.00
2019-08-14,473.00,486.00,473.00,475.00,,-1.25,,1258090.00
2019-08-15,475.00,484.00,468.00,478.00,,0.63,,561940.00
2019-08-19,459.00,480.00,459.00,474.00,,1.5,,1643680.00
2019-08-20,470.00,483.00,467.00,470.00,,-0.84,,1121750.00
2019-08-21,462.00,470.00,455.00,462.00,,-1.7,,2501695.00
2019-08-22,468.00,470.00,460.00,465.00,,0.65,,1139400.00
2019-08-25,465.00,465.00,453.00,453.00,,-2.58,,1284750.00
2019-08-26,451.00,460.00,450.00,451.00,,-0.44,,1444960.00
2019-08-27,442.00,469.00,442.00,457.00,,1.33,,799905.00
2019-08-28,458.00,458.00,450.00,452.00,,-1.09,,1027200.00
2019-08-29,450.00,455.00,445.00,455.00,,0.66,,1022260.00
2019-09-01,455.00,455.00,445.00,450.00,,-1.1,,460915.00
2019-09-02,450.00,450.00,436.00,437.00,,-2.89,,552790.00
2019-09-03,430.00,455.00,430.00,454.00,,3.89,,756960.00
2019-09-04,454.00,463.00,445.00,457.00,,0.66,,607788.00
2019-09-05,460.00,460.00,443.00,448.00,,-1.97,,594340.00
2019-09-08,448.00,455.00,440.00,445.00,,-0.67,,787000.00
2019-09-09,445.00,445.00,436.00,438.00,,-1.57,,527190.00
2019-09-10,432.00,440.00,432.00,436.00,,-0.46,,444380.00
2019-09-11,433.00,439.00,431.00,431.00,,-1.15,,463870.00
2019-09-15,431.00,435.00,420.00,421.00,,-2.32,,568630.00
2019-09-16,415.00,422.00,411.00,419.00,,-0.48,,576370.00
2019-09-17,419.00,439.00,419.00,439.00,,4.77,,1011310.00
2019-09-18,439.00,459.00,436.00,456.00,,3.87,,1261710.00
2019-09-19,456.00,456.00,441.00,441.00,,-3.29,,1016745.00
2019-09-22,440.00,440.00,423.00,429.00,,-2.72,,707778.00
2019-09-23,429.00,433.00,419.00,432.00,,0.7,,421338.00
2019-09-24,424.00,435.00,424.00,435.00,,0.69,,299705.00
2019-09-26,420.00,430.00,420.00,423.00,,-1.17,,906326.00
2019-09-29,431.00,431.00,420.00,424.00,,0.24,,590160.00
2019-09-30,418.00,425.00,418.00,421.00,,-0.71,,168680.00
2019-10-01,417.00,430.00,417.00,430.00,,1.42,,419250.00
2019-10-02,438.00,438.00,418.00,421.00,,-2.09,,437140.00
2019-10-03,424.00,429.00,423.00,429.00,,1.9,,72580.00
2019-10-10,429.00,429.00,421.00,421.00,,-1.86,,46520.00
2019-10-14,417.00,420.00,416.00,418.00,,-0.71,,142010.00
2019-10-15,419.00,421.00,419.00,421.00,,0.72,,41980.00
2019-10-16,413.00,426.00,413.00,421.00,,0,,79830.00
2019-10-17,421.00,423.00,418.00,418.00,,-0.71,,306550.00
2019-10-20,413.00,419.00,413.00,416.00,,-0.48,,344990.00
2019-10-21,415.00,423.00,414.00,415.00,,-0.24,,234520.00
2019-10-22,415.00,417.00,407.00,417.00,,0.48,,162050.00
2019-10-23,420.00,420.00,413.00,415.00,,-0.48,,124410.00
2019-10-24,416.00,420.00,412.00,417.00,,0.48,,380530.00
2019-10-31,425.00,456.00,425.00,435.00,,4.32,,881040.00
2019-11-03,435.00,444.00,432.00,438.00,,0.69,,559610.00
2019-11-10,442.00,450.00,437.00,450.00,,-0.22,,471440.00
2019-11-11,447.00,487.00,445.00,480.00,,6.67,,2347295.00
2019-11-12,471.00,487.00,445.00,464.00,,-3.33,,767810.00
2019-11-13,455.00,471.00,455.00,470.00,,1.29,,987246.00
2019-11-17,471.00,471.00,460.00,470.00,,0.86,,948010.00
