Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-08-06,529.50,582.40,529.50,582.40,,0,,31883777.50
2023-08-07,594.00,640.60,594.00,616.00,,5.65,,436259348.00
2023-08-08,616.00,619.00,585.00,589.00,,-4.38,,178932202.60
2023-08-09,598.00,600.70,571.20,597.30,,1.41,,155026202.20
2023-08-10,604.00,609.00,583.00,590.00,,-1.22,,84078844.80
2023-08-13,590.00,595.00,580.00,580.80,,-1.59,,106195208.60
2023-08-14,569.20,596.80,569.20,589.90,,1.57,,112441979.60
2023-08-15,600.00,600.00,580.30,581.00,,-1.51,,57775243.80
2023-08-16,580.00,585.00,575.20,576.90,,-0.71,,59662670.30
2023-08-17,575.00,590.00,571.00,583.10,,1.07,,77941378.10
2023-08-20,583.00,585.00,578.00,580.00,,-0.53,,66301070.70
2023-08-21,580.00,582.90,572.10,577.00,,-0.52,,58377288.50
2023-08-22,567.00,579.00,567.00,576.00,,-0.17,,35115293.50
2023-08-23,575.00,585.00,574.00,579.10,,0.54,,54642813.70
2023-08-24,580.00,590.00,570.00,570.20,,-1.54,,49248761.40
2023-08-27,570.00,570.00,555.00,555.10,,-2.65,,54517226.70
2023-08-28,551.10,564.00,551.10,554.50,,0.18,,38488289.20
2023-08-29,554.00,558.00,550.00,550.90,,-0.65,,32475795.10
2023-08-30,548.00,554.00,548.00,549.20,,-0.31,,33561227.80
2023-09-03,550.00,553.00,541.00,541.30,,-1.44,,37641946.10
2023-09-04,540.00,559.00,540.00,559.00,,3.27,,52884032.50
2023-09-05,559.00,560.00,552.00,556.40,,-0.47,,28241754.20
2023-09-07,551.10,551.10,544.30,545.50,,-1.96,,31488083.10
2023-09-10,540.10,549.90,535.60,538.80,,-1.23,,39331365.60
2023-09-11,528.20,552.00,528.20,550.00,,2.08,,34930948.30
2023-09-12,539.60,566.00,539.60,541.20,,-1.6,,32991921.10
2023-09-13,540.00,555.30,540.00,554.00,,2.37,,38824316.60
2023-09-17,553.00,555.00,535.30,536.00,,-3.25,,46586887.90
2023-09-18,535.00,540.00,530.00,540.00,,0.75,,24206897.00
2023-09-19,531.00,540.00,531.00,537.00,,-0.56,,23016831.40
2023-09-21,540.00,554.00,538.10,543.20,,1.15,,58427180.30
2023-09-24,545.00,545.00,531.10,531.50,,-2.15,,29346959.70
2023-09-25,531.00,539.90,530.10,530.30,,-0.23,,24324519.70
2023-09-26,535.00,540.80,533.10,538.00,,1.45,,27691630.20
2023-09-27,534.00,545.00,530.60,532.50,,-1.02,,24613696.90
2023-10-01,530.00,531.00,516.30,520.10,,-2.33,,35920377.00
2023-10-02,515.00,522.00,511.00,514.00,,-1.17,,25761547.50
2023-10-03,513.00,514.00,505.00,506.00,,-1.56,,18209584.10
2023-10-04,508.00,518.00,507.00,510.00,,0.79,,22493579.10
2023-10-05,507.00,510.50,502.00,503.30,,-1.31,,18337140.10
2023-10-08,500.00,504.50,484.10,486.00,,-3.44,,42050442.30
2023-10-09,480.00,494.00,477.30,481.00,,-1.03,,20663593.20
2023-10-10,481.00,490.00,476.00,477.00,,-0.83,,14946842.50
2023-10-11,475.00,483.00,472.50,480.20,,0.67,,17371946.60
2023-10-12,475.50,483.00,473.10,480.90,,0.15,,24125533.00
2023-10-16,473.20,480.00,460.60,467.10,,-2.87,,28783902.70
2023-10-17,467.10,484.50,463.30,484.50,,2.76,,20122737.50
2023-10-18,475.10,494.00,475.10,489.50,,1.03,,24277088.30
2023-10-19,489.10,497.60,481.30,485.20,,-0.88,,23146459.50
2023-10-29,485.00,485.00,469.00,470.20,,-3.09,,11735062.50
2023-10-30,470.00,471.00,461.50,468.00,,-0.47,,7390878.10
2023-10-31,465.00,469.00,461.10,462.10,,-1.26,,8566266.50
2023-11-01,460.60,466.00,459.10,460.00,,-0.45,,8036033.70
2023-11-02,452.20,474.30,450.00,452.00,,-1.74,,12478078.40
2023-11-05,446.00,453.00,444.00,452.00,,0,,14137640.10
2023-11-06,446.10,461.00,446.10,456.80,,1.06,,11160394.00
2023-11-07,451.00,468.20,451.00,465.10,,1.82,,14127082.50
2023-11-08,465.00,474.00,458.00,469.50,,0.95,,15585102.90
2023-11-09,463.00,478.80,463.00,465.10,,-0.94,,11356102.40
2023-11-20,465.00,479.00,460.10,464.00,,-0.24,,11430407.30
2023-11-21,470.00,473.00,456.70,458.70,,-1.14,,12578802.90
2023-11-22,455.00,468.00,450.30,467.70,,1.96,,9629710.00
2023-11-23,464.00,492.00,460.20,487.00,,4.13,,26704522.10
2023-11-26,490.00,525.00,482.10,522.00,,7.19,,59883524.20
2023-11-27,515.00,532.00,508.20,518.00,,-0.77,,34181779.30
2023-11-28,510.00,524.10,509.00,518.00,,0,,30291956.50
2023-11-29,518.00,520.00,500.00,503.70,,-2.76,,26102720.20
2023-11-30,493.70,509.00,493.70,497.10,,-1.31,,26888359.70
2023-12-03,497.00,500.00,491.00,499.00,,0.38,,12539378.80
2023-12-04,500.00,515.00,500.00,507.00,,1.6,,23177932.00
2023-12-05,517.10,520.00,503.00,509.90,,0.57,,31568578.40
2023-12-06,509.00,523.00,503.00,518.00,,1.59,,53770226.30
2023-12-07,507.70,525.00,506.70,517.20,,-0.15,,39743886.00
2023-12-10,527.50,549.00,527.50,546.00,,5.57,,10436308.80
2023-12-11,556.00,556.00,525.00,536.00,,-1.83,,98898157.90
2023-12-12,531.00,562.00,531.00,550.00,,2.61,,82285102.20
2023-12-13,550.00,561.90,534.40,540.10,,-1.8,,65070126.40
2023-12-14,550.90,563.00,541.00,556.00,,2.94,,77584312.60
2023-12-17,544.90,567.00,535.00,565.10,,1.64,,86321618.50
2023-12-18,565.10,577.00,558.00,565.00,,-0.02,,56297686.40
2023-12-19,570.00,596.00,560.50,588.00,,4.07,,82139691.00
2023-12-20,589.00,599.10,579.70,586.60,,-0.24,,71348863.50
2023-12-21,585.00,587.00,566.10,566.60,,-3.41,,61797385.60
2023-12-24,566.00,620.00,564.00,590.00,,4.13,,190372800.20
2023-12-27,590.00,615.00,590.00,604.00,,2.37,,118732597.40
2023-12-28,604.00,620.00,604.00,607.00,,0.5,,93807451.10
2024-01-01,607.00,613.90,585.00,588.20,,-3.13,,89719168.60
2024-01-02,581.00,587.00,565.00,566.00,,-3.77,,87959255.50
2024-01-03,560.00,570.00,542.00,568.00,,0.35,,157017871.10
2024-01-04,579.00,579.00,552.30,554.00,,-2.46,,92101697.60
2024-01-07,547.00,547.10,532.00,532.00,,-3.97,,70089189.10
2024-01-08,540.00,558.30,537.10,557.10,,4.72,,48577079.00
2024-01-09,565.00,573.20,557.50,563.00,,1.06,,56680659.40
2024-01-10,574.20,586.00,557.20,560.00,,-0.53,,49118654.80
2024-01-11,570.00,570.00,555.00,557.00,,-0.54,,39008023.20
2024-01-14,565.00,568.00,554.00,555.00,,-0.36,,32361752.90
2024-01-16,566.00,569.00,555.10,565.00,,1.8,,54488018.70
2024-01-17,563.00,575.00,559.00,559.10,,-1.04,,68613842.30
2024-01-18,554.10,566.00,548.00,550.10,,-1.61,,50221551.90
2024-01-21,550.00,561.00,542.60,543.10,,-1.27,,37593448.80
2024-01-22,543.10,568.00,541.00,553.00,,1.82,,46631967.10
2024-01-23,554.00,559.00,544.00,545.90,,-1.28,,24259808.00
2024-01-24,546.00,555.00,541.30,542.00,,-0.55,,17223783.10
2024-01-25,540.10,547.00,535.00,536.00,,-1.11,,24702915.60
2024-01-28,545.70,555.00,535.40,540.10,,0.95,,38193971.30
2024-01-29,550.90,561.00,547.20,552.00,,2.2,,29791622.40
2024-01-30,555.00,559.90,549.00,554.00,,0.36,,29268704.50
