Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,242.00,240.00,236.00,236.00,,-2.48,,130200.00
2014-08-04,241.00,246.00,235.00,246.00,,2.07,,130200.00
2014-08-04,246.00,245.00,238.00,242.00,,-1.63,,130200.00
2014-08-04,242.00,240.00,235.00,239.00,,-1.24,,130200.00
2014-08-04,239.00,242.00,236.00,241.00,,0.84,,130200.00
2014-08-05,236.00,232.00,232.00,232.00,,-1.69,,81200.00
2014-08-06,232.00,228.00,210.00,210.00,,-9.48,,1626970.00
2014-08-07,210.00,210.00,205.00,210.00,,0,,520620.00
2014-08-12,210.00,209.00,196.00,196.00,,-6.67,,525550.00
2014-08-13,196.00,199.00,190.00,196.00,,0,,696670.00
2014-08-14,196.00,199.00,193.00,196.00,,0,,881590.00
2014-08-18,196.00,196.00,188.00,190.00,,-3.06,,849410.00
2014-08-19,190.00,193.00,184.00,187.00,,-1.58,,644980.00
2014-08-20,187.00,185.00,177.00,180.00,,-3.74,,367890.00
2014-08-21,180.00,183.00,174.00,183.00,,1.67,,112270.00
2014-08-24,183.00,183.00,174.00,178.00,,-2.73,,555740.00
2014-08-25,178.00,178.00,162.00,162.00,,-8.99,,276280.00
2014-08-26,162.00,168.00,162.00,162.00,,0,,532900.00
2014-08-27,162.00,178.00,165.00,178.00,,9.88,,487430.00
2014-08-28,178.00,195.00,181.00,195.00,,9.55,,1512930.00
2014-08-31,195.00,201.00,190.00,190.00,,-2.56,,1254640.00
2014-09-01,190.00,187.00,182.00,182.00,,-4.21,,270480.00
2014-09-03,182.00,179.00,176.00,178.00,,-2.2,,65470.00
2014-09-04,178.00,175.00,166.00,168.00,,-5.62,,370160.00
2014-09-07,168.00,165.00,156.00,157.00,,-6.55,,162070.00
2014-09-09,157.00,172.00,160.00,172.00,,9.55,,573460.00
2014-09-10,172.00,182.00,166.00,171.00,,-0.58,,1145540.00
2014-09-11,171.00,168.00,162.00,166.00,,-2.92,,319400.00
2014-09-14,166.00,168.00,163.00,165.00,,-0.6,,216280.00
2014-09-15,165.00,170.00,166.00,170.00,,3.03,,141810.00
2014-09-16,170.00,176.00,168.00,175.00,,2.94,,321150.00
2014-09-17,175.00,179.00,174.00,176.00,,0.57,,748350.00
2014-09-18,176.00,176.00,176.00,176.00,,0,,366500.00
2014-09-21,170.00,169.00,167.00,169.00,,-0.59,,38590.00
2014-09-22,169.00,166.00,161.00,161.00,,-4.73,,37560.00
2014-09-23,161.00,166.00,161.00,165.00,,2.48,,295710.00
2014-09-24,165.00,173.00,165.00,171.00,,3.64,,251280.00
2014-09-28,171.00,179.00,168.00,179.00,,4.68,,222940.00
2014-09-29,179.00,196.00,176.00,196.00,,9.5,,97690.00
2014-09-30,196.00,199.00,190.00,190.00,,-3.06,,127580.00
2014-10-08,190.00,187.00,181.00,181.00,,-4.74,,24190.00
2014-10-09,181.00,199.00,184.00,191.00,,5.52,,47950.00
2014-10-12,191.00,194.00,174.00,176.00,,-7.85,,207680.00
2014-10-13,176.00,181.00,178.00,181.00,,2.84,,57260.00
2014-10-14,181.00,178.00,166.00,174.00,,-3.87,,209840.00
2014-10-15,174.00,178.00,172.00,175.00,,0.57,,76730.00
2014-10-16,175.00,175.00,169.00,170.00,,-2.86,,439540.00
2014-10-19,170.00,173.00,167.00,169.00,,-0.59,,233050.00
2014-10-20,169.00,169.00,166.00,168.00,,-0.59,,503700.00
2014-10-21,168.00,172.00,162.00,172.00,,2.38,,422750.00
2014-10-22,172.00,171.00,166.00,169.00,,-1.74,,172950.00
2014-10-27,169.00,170.00,170.00,170.00,,0.59,,23800.00
2014-10-30,170.00,167.00,164.00,164.00,,-3.53,,391550.00
2014-11-02,164.00,165.00,161.00,164.00,,0,,294290.00
2014-11-03,164.00,164.00,158.00,158.00,,-3.66,,650250.00
2014-11-04,158.00,156.00,151.00,152.00,,-3.8,,327570.00
2014-11-05,152.00,160.00,155.00,155.00,,1.97,,812610.00
2014-11-06,155.00,164.00,158.00,162.00,,4.52,,88270.00
2014-11-09,162.00,165.00,162.00,162.00,,0,,112930.00
2014-11-10,162.00,160.00,159.00,159.00,,-1.85,,182310.00
2014-11-11,159.00,156.00,150.00,150.00,,-5.66,,147110.00
2014-11-12,150.00,159.00,150.00,156.00,,4,,385510.00
2014-11-13,156.00,165.00,153.00,165.00,,5.77,,409290.00
2014-11-16,165.00,162.00,162.00,162.00,,-1.82,,14580.00
2014-11-17,162.00,159.00,159.00,159.00,,-1.85,,7950.00
2014-11-19,159.00,160.00,155.00,155.00,,-2.52,,67410.00
2014-11-20,155.00,166.00,152.00,163.00,,5.16,,206030.00
2014-11-24,163.00,160.00,151.00,152.00,,-6.75,,767550.00
2014-11-24,163.00,165.00,152.00,163.00,,0,,767550.00
2014-11-25,152.00,155.00,150.00,155.00,,1.97,,122490.00
2014-11-30,155.00,153.00,146.00,150.00,,-3.23,,194120.00
2014-12-01,150.00,150.00,145.00,149.00,,-0.67,,250730.00
2014-12-02,149.00,148.00,140.00,140.00,,-6.04,,104198.00
2014-12-03,140.00,151.00,141.00,146.00,,4.29,,323540.00
2014-12-04,146.00,146.00,145.00,145.00,,-0.68,,59500.00
2014-12-07,145.00,151.00,145.00,148.00,,2.07,,164000.00
2014-12-08,148.00,148.00,146.00,148.00,,0,,52980.00
2014-12-09,148.00,150.00,148.00,148.00,,0,,163380.00
2014-12-11,148.00,150.00,146.00,150.00,,1.35,,110040.00
2014-12-14,150.00,163.00,153.00,163.00,,8.67,,20360.00
2014-12-15,163.00,174.00,159.00,161.00,,-1.23,,618100.00
2014-12-16,161.00,164.00,161.00,161.00,,0,,13090.00
2014-12-17,161.00,160.00,155.00,158.00,,-1.86,,550270.00
