Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2021-07-29,914.00,989.10,890.00,989.10,,8.22,,95257.00
2021-08-01,1007.70,1088.00,1007.70,1088.00,,10,,223780.00
2021-08-02,1088.00,1131.80,1088.00,1131.80,,4.03,,147817.20
2021-08-03,1131.80,1244.90,1131.80,1244.90,,9.99,,261929.00
2021-08-04,1248.80,1369.30,1248.80,1369.30,,9.99,,209036.60
2021-08-05,1369.30,1506.20,1369.30,1506.20,,10,,211095.20
2021-08-08,1511.70,1656.80,1511.70,1656.80,,10,,492721.10
2021-08-09,1688.80,1822.40,1688.80,1822.40,,10,,430418.50
2021-08-10,1858.80,2004.60,1858.80,2004.60,,10,,497575.00
2021-08-11,2004.60,2205.00,2004.60,2205.00,,10,,543906.90
2021-08-12,2205.00,2425.50,2249.10,2425.50,,10,,768414.90
2021-08-15,2451.80,2668.00,2451.80,2668.00,,10,,1427091.90
2021-08-16,2721.30,2934.80,2721.30,2934.80,,10,,580370.70
2021-08-17,2993.40,3228.20,2993.40,3228.20,,10,,893613.40
2021-08-18,3292.70,3551.00,3292.70,3551.00,,10,,1036377.00
2021-08-19,3622.00,3906.10,3622.00,3906.10,,10,,2132919.30
2021-08-24,3984.20,4296.70,3984.20,4296.70,,10,,4110005.80
2021-08-25,4382.60,4726.30,4382.60,4726.30,,10,,13606336.60
2021-08-26,4820.80,5198.90,4820.80,5198.90,,10,,203122470.90
2021-08-29,5302.80,5516.90,4802.00,5071.00,,-2.46,,749246159.10
2021-08-31,5079.00,5079.00,4825.00,4836.00,,-4.78,,274154763.40
2021-09-01,4800.00,5089.00,4770.10,4921.00,,1.76,,154841329.20
2021-09-02,5000.00,5000.00,4790.10,4800.00,,-2.46,,108436347.10
2021-09-05,4800.00,4800.00,4533.10,4549.00,,-5.23,,145127972.00
2021-09-06,4500.00,4946.00,4470.00,4900.00,,7.72,,99677148.00
2021-09-07,4998.00,4998.00,4680.00,4760.00,,-2.86,,54374215.90
2021-09-08,4850.00,4850.00,4610.00,4660.00,,-2.1,,42850352.00
2021-09-09,4600.00,4680.00,4590.00,4599.00,,-1.31,,60386373.00
2021-09-12,4580.00,4775.00,4580.00,4745.20,,3.18,,77792897.00
2021-09-13,4750.00,4798.00,4650.00,4652.00,,-1.96,,46624732.90
2021-09-14,4614.00,4650.00,4580.00,4591.00,,-1.31,,42919417.00
2021-09-15,4526.00,4580.00,4499.00,4510.00,,-1.76,,54769105.50
2021-09-16,4500.00,4510.00,4360.00,4386.00,,-2.75,,76984303.40
2021-09-20,4400.00,4420.00,4151.00,4151.10,,-5.36,,94439504.40
2021-09-21,4149.00,4437.00,3981.00,4140.00,,-0.27,,70651828.40
2021-09-22,4140.00,4410.00,4140.00,4398.00,,6.23,,91264138.60
2021-09-23,4400.00,4489.00,4238.60,4265.00,,-3.02,,64373265.00
2021-09-26,4250.00,4265.00,4110.00,4120.00,,-3.4,,37574777.00
2021-09-27,4120.00,4150.00,4000.00,4012.00,,-2.62,,36734389.60
2021-09-28,3950.00,4100.00,3940.00,3940.00,,-1.79,,41388378.90
2021-09-29,3940.00,4090.00,3899.00,4090.00,,3.81,,44001780.00
2021-09-30,4100.00,4149.50,4000.00,4000.10,,-2.2,,38945980.20
2021-10-03,4010.00,4015.00,3880.00,3882.10,,-2.95,,29923651.00
2021-10-04,3860.00,3970.00,3800.00,3871.00,,-0.29,,35880029.50
2021-10-05,3900.00,4045.00,3900.00,4020.00,,3.85,,44764009.10
2021-10-06,4100.00,4360.00,4100.00,4287.70,,6.66,,74574373.50
2021-10-10,4373.40,4716.00,4373.40,4695.00,,9.5,,183883905.40
2021-10-11,4785.00,4785.00,4420.00,4549.00,,-3.11,,91111444.10
2021-10-17,4501.00,4650.00,4501.00,4615.00,,1.45,,31285014.40
2021-10-18,4707.30,4707.30,4350.00,4390.00,,-4.88,,66180938.00
2021-10-19,4302.20,4304.00,4159.00,4230.00,,-3.64,,65141666.60
2021-10-20,4311.00,4449.00,4261.00,4340.00,,2.6,,30984299.00
2021-10-21,4340.00,4400.00,4256.00,4302.00,,-0.88,,32739345.70
2021-10-24,4350.00,4380.00,4280.00,4345.00,,1,,33120674.50
2021-10-25,4400.00,4500.00,4345.00,4462.00,,2.69,,59432452.30
2021-10-26,4470.00,4610.00,4470.00,4500.00,,0.85,,55001539.00
2021-10-27,4500.00,4551.00,4420.00,4495.00,,-0.11,,43338412.60
2021-10-28,4435.00,4895.00,4435.00,4880.00,,8.57,,184402892.50
2021-10-31,4900.00,4975.00,4705.00,4815.00,,-1.33,,76622031.60
2021-11-01,4815.00,4840.00,4675.00,4700.00,,-2.39,,71270893.20
2021-11-02,4700.00,4750.00,4614.00,4675.00,,-0.53,,44464279.50
2021-11-03,4700.00,4860.00,4650.00,4718.00,,0.92,,54392402.40
2021-11-08,4700.00,4720.00,4577.00,4620.00,,-2.08,,59568053.50
2021-11-09,4600.00,4615.00,4480.00,4490.00,,-2.81,,65455774.50
2021-11-11,4500.00,4564.00,4351.00,4500.00,,0.22,,50233379.00
2021-11-14,4525.00,4525.00,4390.00,4470.10,,-0.66,,35654090.50
2021-11-15,4401.00,4549.00,4401.00,4535.10,,1.45,,37535799.70
2021-11-16,4625.80,4650.00,4540.00,4589.00,,1.19,,39203635.00
2021-11-17,4589.00,4645.00,4540.00,4555.00,,-0.74,,51751162.90
2021-11-18,4550.00,4635.00,4520.00,4550.00,,-0.11,,39341351.00
2021-11-21,4475.00,4610.00,4475.00,4564.00,,0.31,,40775262.50
2021-11-22,4550.00,4600.00,4550.00,4563.00,,-0.02,,35109066.00
2021-11-23,4500.00,4563.00,4440.00,4475.00,,-1.93,,52751917.00
2021-11-24,4400.00,4450.00,4400.00,4437.00,,-0.85,,30644472.40
