Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,630.00,628.00,603.00,620.00,,-1.59,,4746305.00
2014-08-04,555.00,610.00,566.00,610.00,,9.91,,4746305.00
2014-08-04,610.00,634.00,610.00,630.00,,3.28,,4746305.00
2014-08-04,506.00,516.00,499.00,499.00,,-1.38,,4746305.00
2014-08-04,499.00,505.00,498.00,505.00,,1.2,,4746305.00
2014-08-04,505.00,555.00,515.00,555.00,,9.9,,4746305.00
2014-08-05,620.00,632.00,620.00,622.00,,0.32,,1979598.00
2014-08-06,622.00,622.00,616.00,620.00,,-0.32,,543832.00
2014-08-07,620.00,611.00,610.00,610.00,,-1.61,,1143286.00
2014-08-12,610.00,611.00,600.00,600.00,,-1.64,,603600.00
2014-08-13,600.00,600.00,595.00,595.00,,-0.83,,1259735.00
2014-08-14,595.00,600.00,595.00,595.00,,0,,545760.00
2014-08-18,595.00,599.00,585.00,585.00,,-1.68,,1589202.00
2014-08-19,585.00,603.00,585.00,590.00,,0.85,,3613395.00
2014-08-20,590.00,592.00,590.00,592.00,,0.34,,729633.00
2014-08-21,592.00,596.00,585.00,596.00,,0.68,,484615.00
2014-08-24,596.00,607.00,607.00,607.00,,1.85,,88622.00
2014-08-25,607.00,606.00,595.00,606.00,,-0.16,,533640.00
2014-08-26,606.00,600.00,564.00,564.00,,-6.93,,672975.00
2014-08-27,564.00,586.00,575.00,586.00,,3.9,,74403.00
2014-08-28,586.00,605.00,595.00,596.00,,1.71,,1305144.00
2014-08-31,596.00,600.00,592.00,592.00,,-0.67,,232754.00
2014-09-01,592.00,651.00,590.00,650.00,,9.8,,3046036.00
2014-09-03,650.00,697.00,640.00,640.00,,-1.54,,9217964.00
2014-09-04,640.00,640.00,618.00,619.00,,-3.28,,3519317.00
2014-09-07,619.00,631.00,590.00,590.00,,-4.68,,1604980.00
2014-09-09,590.00,613.00,594.00,611.00,,3.56,,2635220.00
2014-09-10,611.00,617.00,587.00,587.00,,-3.93,,807897.00
2014-09-11,587.00,600.00,595.00,600.00,,2.21,,394025.00
2014-09-14,600.00,600.00,595.00,595.00,,-0.83,,1175225.00
2014-09-15,595.00,612.00,590.00,600.00,,0.84,,1361150.00
2014-09-16,600.00,612.00,600.00,600.00,,0,,3625470.00
2014-09-17,600.00,612.00,600.00,602.00,,0.33,,2751695.00
2014-09-21,601.00,600.00,588.00,590.00,,-1.83,,472350.00
2014-09-22,590.00,601.00,585.00,601.00,,1.86,,1189750.00
2014-09-23,601.00,658.00,606.00,638.00,,6.16,,7338682.00
2014-09-24,638.00,676.00,650.00,664.00,,4.08,,4730651.00
2014-09-28,664.00,666.00,658.00,661.00,,-0.45,,1056100.00
2014-09-29,661.00,675.00,661.00,661.00,,0,,740771.00
2014-09-30,661.00,679.00,661.00,670.00,,1.36,,1379949.00
2014-10-08,670.00,688.00,660.00,665.00,,-0.75,,901619.00
2014-10-09,665.00,666.00,655.00,666.00,,0.15,,854132.00
2014-10-12,666.00,665.00,660.00,660.00,,-0.9,,201425.00
2014-10-13,660.00,660.00,647.00,647.00,,-1.97,,246900.00
2014-10-14,647.00,637.00,624.00,637.00,,-1.55,,1192975.00
2014-10-15,637.00,634.00,626.00,634.00,,-0.47,,378000.00
2014-10-16,634.00,623.00,613.00,613.00,,-3.31,,154373.00
2014-10-19,613.00,625.00,615.00,625.00,,1.96,,1757779.00
2014-10-20,625.00,632.00,625.00,632.00,,1.12,,616250.00
2014-10-21,632.00,640.00,632.00,640.00,,1.27,,145600.00
2014-10-22,640.00,652.00,640.00,652.00,,1.88,,544040.00
2014-10-27,652.00,660.00,647.00,652.00,,0,,440790.00
2014-10-30,652.00,639.00,639.00,639.00,,-1.99,,196812.00
2014-11-02,639.00,630.00,630.00,630.00,,-1.41,,315000.00
2014-11-03,630.00,630.00,623.00,623.00,,-1.11,,437500.00
2014-11-04,623.00,630.00,619.00,630.00,,1.12,,1541939.00
2014-11-05,630.00,635.00,635.00,635.00,,0.79,,431800.00
2014-11-06,635.00,630.00,612.00,630.00,,-0.79,,1912054.00
2014-11-09,630.00,692.00,642.00,650.00,,3.17,,5628192.00
2014-11-10,650.00,655.00,638.00,643.00,,-1.08,,1853391.00
2014-11-11,643.00,641.00,620.00,630.00,,-2.02,,4871100.00
2014-11-12,630.00,628.00,612.00,612.00,,-2.86,,3313590.00
2014-11-13,612.00,615.00,594.00,605.00,,-1.14,,3373631.00
2014-11-16,605.00,612.00,595.00,612.00,,1.16,,5782198.00
2014-12-09,360.00,353.00,353.00,353.00,,-1.94,,52950.00
