Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2025-11-16,293.40,311.20,293.40,311.20,,6.07,,17957.00
2025-11-17,305.30,342.30,305.30,342.30,,9.99,,43516.00
2025-11-18,349.10,376.50,349.10,376.50,,9.99,,40740.00
2025-11-19,384.00,414.10,384.00,414.10,,9.99,,48951.00
2025-11-20,422.30,455.50,422.30,455.50,,10,,90283.00
2025-11-23,464.60,501.00,464.60,501.00,,9.99,,124354.00
2025-11-24,511.00,551.10,511.00,551.10,,10,,219456.00
2025-11-25,562.10,606.20,562.10,606.20,,10,,332326.00
2025-11-26,618.30,666.80,618.30,666.80,,10,,452233.00
2025-11-27,680.10,733.40,680.10,733.40,,9.99,,687023.00
2025-11-30,748.00,806.70,748.00,806.70,,9.99,,1031134.00
2025-12-01,822.80,887.30,822.80,887.30,,9.99,,770368.00
2025-12-02,905.00,976.00,905.00,976.00,,10,,1227309.00
2025-12-03,976.00,1073.60,976.00,1073.60,,10,,1424998.00
2025-12-07,1095.00,1180.90,1095.00,1180.90,,9.99,,4956815.00
2025-12-08,1204.50,1298.90,1113.00,1298.90,,9.99,,86206493.00
2025-12-09,1324.00,1417.00,1225.10,1378.10,,6.1,,29637768.00
2025-12-10,1400.00,1400.00,1240.30,1250.00,,-9.3,,52851462.40
2025-12-11,1225.00,1240.00,1180.60,1220.70,,-2.34,,50818048.00
2025-12-14,1201.30,1315.50,1201.30,1259.80,,3.2,,34714511.40
2025-12-15,1234.70,1289.00,1234.70,1260.00,,0.02,,27198508.20
2025-12-16,1260.00,1279.00,1244.00,1260.00,,0,,12741932.30
2025-12-17,1250.00,1295.00,1247.20,1270.00,,0.79,,21898572.70
2025-12-18,1252.20,1277.00,1245.00,1255.00,,-1.18,,17274739.10
2025-12-21,1230.00,1259.00,1221.00,1245.00,,-0.8,,21692465.90
2025-12-22,1231.00,1240.00,1220.20,1240.00,,-0.4,,11756735.40
2025-12-23,1220.00,1240.90,1216.10,1236.00,,-0.32,,15032280.40
2025-12-24,1215.00,1243.00,1215.00,1230.00,,-0.49,,5646813.10
2025-12-28,1230.00,1251.60,1221.50,1247.80,,1.45,,15599476.40
2025-12-29,1248.00,1271.90,1228.80,1263.90,,1.29,,23277144.00
2025-12-31,1263.10,1295.00,1250.00,1285.00,,1.67,,24917534.60
2026-01-01,1275.00,1369.00,1275.00,1320.00,,2.72,,36296977.00
2026-01-04,1300.00,1366.00,1300.00,1359.00,,2.95,,44843209.80
2026-01-05,1331.90,1396.00,1331.90,1384.00,,1.84,,47723067.40
2026-01-06,1397.00,1475.00,1363.00,1368.00,,-1.16,,43105937.30
2026-01-07,1345.00,1389.00,1340.70,1380.00,,0.88,,28984160.20
2026-01-08,1353.00,1401.00,1353.00,1400.00,,1.45,,20095988.50
2026-01-12,1400.00,1507.00,1386.10,1470.00,,5,,45924028.60
2026-01-13,1490.00,1495.00,1397.00,1425.00,,-3.06,,60366813.00
2026-01-14,1409.00,1450.00,1404.00,1422.00,,-0.21,,21422678.50
2026-01-18,1407.00,1486.00,1407.00,1444.00,,1.55,,35520207.30
2026-01-20,1415.20,1510.00,1415.20,1499.90,,3.87,,54135334.20
2026-01-21,1470.00,1518.00,1455.00,1475.00,,-1.66,,25519527.00
2026-01-22,1490.00,1622.00,1464.00,1599.90,,8.47,,73512519.80
2026-01-25,1630.00,1749.00,1590.00,1680.00,,5.01,,43558848.70
2026-01-26,1700.00,1705.00,1600.00,1648.00,,-1.9,,58276039.10
2026-01-27,1648.00,1665.00,1535.00,1545.00,,-6.25,,51038177.20
2026-01-28,1538.00,1580.00,1490.10,1554.00,,0.58,,19890077.40
2026-01-29,1570.00,1581.00,1450.00,1473.00,,-5.21,,26275446.90
2026-02-01,1460.00,1469.90,1404.40,1420.00,,-3.6,,16287691.90
2026-02-02,1420.00,1560.00,1420.00,1514.00,,6.62,,20612703.80
2026-02-03,1520.00,1544.20,1450.40,1465.00,,-3.24,,13781448.70
2026-02-04,1445.00,1490.00,1417.10,1440.00,,-1.71,,13205575.50
2026-02-05,1440.00,1458.00,1416.10,1436.00,,-0.28,,13225126.70
2026-02-08,1408.00,1487.00,1408.00,1445.00,,0.63,,10912739.00
2026-02-09,1422.00,1440.00,1395.00,1396.00,,-3.39,,13542534.00
2026-02-10,1396.00,1423.00,1358.00,1375.00,,-1.5,,10734801.20
2026-02-11,1402.00,1415.00,1320.00,1320.00,,-4,,13079220.40
2026-02-12,1305.30,1316.00,1285.00,1300.00,,-1.52,,12367133.40
2026-02-16,1300.10,1417.60,1300.10,1360.00,,4.62,,15317944.60
2026-02-17,1336.00,1360.00,1335.00,1345.00,,-1.1,,4365867.50
2026-02-22,1371.90,1372.00,1300.00,1324.00,,-1.56,,5782190.50
2026-02-23,1325.00,1325.00,1300.00,1305.00,,-1.44,,6709189.30
2026-02-24,1315.00,1389.00,1304.10,1368.00,,4.83,,8064639.60
2026-02-25,1393.90,1402.00,1366.10,1400.00,,2.34,,9227094.50
2026-02-26,1372.00,1455.00,1372.00,1455.00,,3.93,,15256397.10
2026-03-01,1445.00,1500.00,1398.10,1480.00,,1.72,,19705294.10
2026-03-03,1450.40,1500.00,1431.00,1470.00,,-0.68,,10084835.90
2026-03-09,1499.40,1559.50,1499.40,1529.00,,4.01,,1245699.60
2026-03-10,1530.00,1550.00,1460.00,1550.00,,1.37,,29365843.80
2026-03-11,1519.00,1600.00,1470.10,1498.00,,-3.35,,10527572.10
2026-03-12,1527.00,1527.00,1455.00,1464.00,,-2.27,,10369967.10
2026-03-15,1450.00,1508.00,1411.30,1508.00,,3.01,,25649631.30
2026-03-16,1477.90,1477.90,1419.50,1450.00,,-3.85,,6963964.30
2026-03-17,1440.00,1525.00,1415.60,1419.20,,-2.12,,16548642.30
2026-03-19,1447.00,1447.00,1400.10,1417.00,,-0.16,,12028885.10
2026-03-22,1445.30,1500.00,1388.70,1417.00,,0,,12028885.10
2026-03-23,1417.00,1442.00,1397.00,1439.00,,1.55,,22521423.30
2026-03-24,1410.30,1439.00,1410.30,1437.50,,-0.1,,14085105.50
2026-03-25,1466.20,1494.00,1405.10,1430.00,,-0.52,,24251538.20
2026-03-26,1420.00,1473.70,1420.00,1445.00,,1.05,,15921873.60
2026-03-29,1425.00,1440.00,1388.00,1388.00,,-3.94,,14527532.00
2026-03-30,1363.00,1460.00,1363.00,1399.00,,0.79,,15918930.00
2026-03-31,1390.00,1400.00,1371.00,1387.90,,-0.79,,5777143.90
2026-04-01,1415.60,1440.00,1315.00,1415.00,,1.95,,26423426.00
2026-04-02,1386.70,1414.00,1313.00,1382.00,,-2.33,,23698494.60
2026-04-05,1360.00,1360.00,1260.00,1299.10,,-6,,12191262.80
2026-04-06,1290.00,1410.00,1265.00,1338.00,,2.99,,30361460.70
2026-04-07,1315.00,1339.70,1285.00,1285.00,,-3.96,,17722803.60
