Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2019-01-07,279.00,279.00,279.00,279.00,,0,,2790.00
2019-01-09,279.00,279.00,274.00,274.00,,-1.79,,21920.00
2019-01-16,274.00,274.00,261.00,269.00,,-1.82,,13290.00
2019-01-17,269.00,269.00,243.00,243.00,,-9.67,,17410.00
2019-01-23,243.00,243.00,231.00,231.00,,-4.94,,115500.00
2019-01-29,231.00,231.00,220.00,220.00,,-4.76,,4400.00
2019-02-07,209.00,220.00,201.00,201.00,,-8.64,,12300.00
2019-02-10,191.00,201.00,191.00,191.00,,-4.98,,3820.00
2019-02-26,182.00,191.00,176.00,176.00,,-7.85,,10740.00
2019-03-03,168.00,176.00,168.00,168.00,,-4.55,,1680.00
2019-03-05,160.00,168.00,160.00,160.00,,-4.76,,3200.00
2019-04-09,152.00,152.00,147.00,147.00,,-8.12,,7440.00
2019-05-13,140.00,140.00,140.00,140.00,,-4.76,,2800.00
2019-05-14,133.00,133.00,133.00,133.00,,-5,,6650.00
2019-05-23,127.00,127.00,123.00,123.00,,-7.52,,8750.00
2019-05-26,117.00,117.00,111.00,111.00,,-9.76,,23570.00
2019-05-28,106.00,106.00,104.00,104.00,,-6.31,,2100.00
2019-05-29,99.00,99.00,94.00,94.00,,-9.62,,235870.00
2019-05-30,95.00,98.00,93.00,94.00,,0,,435640.00
2019-06-02,95.00,95.00,91.00,95.00,,1.06,,102890.00
2019-06-03,94.00,94.00,94.00,94.00,,-1.05,,1880.00
2019-06-04,93.00,93.00,88.00,88.00,,-6.38,,163020.00
2019-06-06,89.00,92.00,89.00,92.00,,4.55,,164350.00
2019-06-11,91.00,96.00,91.00,94.00,,2.17,,340130.00
2019-06-12,93.00,93.00,87.00,90.00,,-4.26,,70070.00
2019-06-13,89.00,89.00,85.00,87.00,,-3.33,,51830.00
2019-06-16,86.00,86.00,84.00,86.00,,-1.15,,56010.00
2019-06-17,85.00,85.00,83.00,84.00,,-2.33,,40420.00
2019-06-18,83.00,84.00,83.00,84.00,,0,,40220.00
2019-06-19,83.00,85.00,83.00,84.00,,0,,21800.00
2019-06-20,80.00,85.00,80.00,84.00,,0,,38550.00
2019-06-23,83.00,84.00,82.00,83.00,,-1.19,,53040.00
2019-06-24,82.00,83.00,80.00,83.00,,0,,62120.00
