Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2015-12-10,381.00,419.00,381.00,419.00,,0,,237510.00
2015-12-17,427.00,460.00,427.00,460.00,,9.79,,45070.00
2016-03-23,483.00,492.00,483.00,492.00,,6.96,,92670.00
2016-03-24,492.00,541.00,516.00,541.00,,9.96,,237590.00
2016-03-27,541.00,568.00,568.00,568.00,,4.99,,17040.00
2016-03-28,568.00,596.00,596.00,596.00,,4.93,,29800.00
2016-03-31,518.00,528.00,528.00,528.00,,1.93,,5280.00
2016-05-03,528.00,538.00,538.00,538.00,,1.89,,5380.00
2016-05-10,548.00,548.00,548.00,548.00,,1.86,,5480.00
2016-05-15,558.00,558.00,558.00,558.00,,1.82,,5580.00
2016-05-18,558.00,585.00,585.00,585.00,,4.84,,5850.00
2016-06-09,619.00,619.00,619.00,619.00,,1.98,,6190.00
2016-06-20,619.00,649.00,649.00,649.00,,4.85,,6490.00
2016-06-26,649.00,661.00,661.00,661.00,,1.85,,6610.00
2016-07-05,661.00,694.00,694.00,694.00,,4.99,,6940.00
2016-07-14,707.00,707.00,707.00,707.00,,1.87,,7070.00
2016-07-17,707.00,777.00,721.00,777.00,,9.9,,860965.00
2016-07-18,777.00,792.00,792.00,792.00,,1.93,,7920.00
2016-07-19,807.00,807.00,807.00,807.00,,1.89,,8070.00
2016-07-20,847.00,847.00,847.00,847.00,,4.96,,8470.00
2016-07-28,847.00,863.00,863.00,863.00,,1.89,,9060.00
2016-07-28,863.00,906.00,906.00,906.00,,4.98,,9060.00
2016-08-07,906.00,942.00,924.00,942.00,,3.97,,18660.00
2016-08-14,1110.00,1110.00,1110.00,1110.00,,4.91,,22200.00
2016-08-16,1150.00,1150.00,1150.00,1150.00,,3.6,,11500.00
2016-08-21,1173.00,1173.00,1173.00,1173.00,,2,,11730.00
2016-08-28,1196.00,1219.00,1196.00,1219.00,,3.92,,24150.00
2016-08-31,1243.00,1267.00,1243.00,1267.00,,3.94,,25100.00
2016-09-04,1330.00,1330.00,1330.00,1330.00,,4.97,,53200.00
2016-09-08,1356.00,1356.00,1356.00,1356.00,,1.95,,13560.00
2016-09-11,1383.00,1383.00,1383.00,1383.00,,1.99,,13830.00
2016-09-14,1410.00,1410.00,1410.00,1410.00,,1.95,,14100.00
2016-09-18,1480.00,1480.00,1480.00,1480.00,,4.96,,29600.00
2016-09-20,1509.00,1509.00,1509.00,1509.00,,1.96,,15090.00
2016-09-22,1584.00,1584.00,1584.00,1584.00,,4.97,,15840.00
2016-09-28,1647.00,1712.00,1647.00,1712.00,,6.01,,50380.00
2016-10-03,1746.00,1780.00,1746.00,1780.00,,3.97,,35260.00
2016-10-05,1869.00,1906.00,1869.00,1906.00,,7.08,,37750.00
2016-10-16,1944.00,1944.00,1944.00,1944.00,,1.99,,19440.00
2016-10-17,1982.00,1982.00,1982.00,1982.00,,1.95,,19820.00
2016-10-19,2021.00,2061.00,2021.00,2061.00,,3.99,,40820.00
2016-10-24,2102.00,2144.00,2102.00,2144.00,,4.03,,42460.00
2016-10-25,2186.00,2229.00,2186.00,2229.00,,3.96,,44150.00
2016-10-26,2273.00,2451.00,2273.00,2451.00,,9.96,,191700.00
2016-10-27,2500.00,2696.00,2500.00,2696.00,,10,,1127520.00
2016-11-03,2749.00,2965.00,2749.00,2965.00,,9.98,,1447520.00
2016-11-07,3000.00,3055.00,2802.00,3050.00,,2.87,,4796230.00
2016-11-08,3000.00,3100.00,2901.00,3060.00,,0.33,,4067900.00
2016-11-09,3060.00,3060.00,2906.00,2906.00,,-5.03,,1828610.00
2016-11-10,2860.00,3000.00,2860.00,2899.00,,-0.24,,1637940.00
2016-11-13,2940.00,2998.00,2850.00,2905.00,,0.21,,2186520.00
2016-11-14,2905.00,2910.00,2865.00,2868.00,,-1.27,,1210870.00
2016-11-15,2900.00,2900.00,2820.00,2840.00,,-0.98,,570080.00
2016-11-16,2840.00,2840.00,2740.00,2740.00,,-3.52,,1243780.00
2016-11-17,2686.00,2686.00,2600.00,2600.00,,-5.11,,313290.00
2016-11-20,2548.00,2548.00,2411.00,2411.00,,-7.27,,323440.00
2016-11-21,2363.00,2363.00,2200.00,2290.00,,-5.02,,723320.00
2016-11-22,2245.00,2280.00,2157.00,2163.00,,-5.55,,1508410.00
2016-11-23,2200.00,2200.00,2066.00,2066.00,,-4.48,,1819250.00
2016-11-24,2050.00,2150.00,2027.00,2027.00,,-1.89,,643020.00
