Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,582.00,593.00,561.00,561.00,,-3.61,,4386855.00
2014-08-04,586.00,595.00,574.00,581.00,,-0.85,,4386855.00
2014-08-04,581.00,598.00,573.00,582.00,,0.17,,4386855.00
2014-08-04,610.00,616.00,593.00,595.00,,-2.46,,4386855.00
2014-08-04,595.00,602.00,584.00,600.00,,0.84,,4386855.00
2014-08-04,600.00,602.00,582.00,586.00,,-2.33,,4386855.00
2014-08-05,561.00,593.00,561.00,574.00,,2.32,,5531148.00
2014-08-06,574.00,590.00,570.00,577.00,,0.52,,5942573.00
2014-08-07,577.00,595.00,559.00,595.00,,3.12,,9870233.00
2014-08-12,595.00,602.00,555.00,565.00,,-5.04,,5409021.00
2014-08-13,565.00,580.00,549.00,565.00,,0,,9602139.00
2014-08-14,565.00,579.00,560.00,563.00,,-0.35,,5131974.00
2014-08-18,563.00,575.00,560.00,561.00,,-0.36,,16435896.00
2014-08-19,561.00,580.00,552.00,563.00,,0.36,,13310236.00
2014-08-20,563.00,570.00,545.00,559.00,,-0.71,,9130240.00
2014-08-21,559.00,598.00,538.00,590.00,,5.55,,43564569.00
2014-08-24,590.00,610.00,590.00,603.00,,2.2,,40189844.00
2014-08-25,603.00,603.00,560.00,566.00,,-6.14,,20497512.00
2014-08-26,566.00,600.00,541.00,576.00,,1.77,,19784004.00
2014-08-27,576.00,599.00,566.00,590.00,,2.43,,40425064.00
2014-08-28,590.00,609.00,580.00,586.00,,-0.68,,35056086.00
2014-08-31,586.00,594.00,565.00,574.00,,-2.05,,18001774.00
2014-09-01,574.00,590.00,540.00,572.00,,-0.35,,17816363.00
2014-09-03,572.00,575.00,549.00,560.00,,-2.1,,12465851.00
2014-09-04,560.00,565.00,520.00,554.00,,-1.07,,8141712.00
2014-09-07,554.00,560.00,502.00,503.00,,-9.21,,14531377.00
2014-09-09,503.00,550.00,513.00,549.00,,9.15,,12594802.00
2014-09-10,549.00,570.00,522.00,540.00,,-1.64,,16137265.00
2014-09-11,540.00,540.00,505.00,533.00,,-1.3,,4420780.00
2014-09-14,533.00,550.00,525.00,534.00,,0.19,,9595247.00
2014-09-15,534.00,566.00,527.00,566.00,,5.99,,17475734.00
2014-09-16,566.00,622.00,565.00,622.00,,9.89,,101977039.00
2014-09-17,622.00,672.00,600.00,600.00,,-3.54,,100183986.00
2014-09-18,600.00,600.00,580.00,588.00,,-2,,31300660.00
2014-09-21,574.00,591.00,550.00,565.00,,-1.57,,17413313.00
2014-09-22,565.00,575.00,550.00,563.00,,-0.35,,15966963.00
2014-09-23,563.00,585.00,565.00,570.00,,1.24,,20685188.00
2014-09-24,570.00,585.00,560.00,579.00,,1.58,,19939357.00
2014-09-28,579.00,592.00,569.00,587.00,,1.38,,20521577.00
2014-09-29,587.00,595.00,576.00,590.00,,0.51,,16784770.00
2014-09-30,590.00,600.00,590.00,596.00,,1.02,,16829697.00
2014-10-08,596.00,593.00,575.00,588.00,,-1.34,,4605672.00
2014-10-09,588.00,592.00,577.00,580.00,,-1.36,,6916911.00
2014-10-12,580.00,586.00,575.00,575.00,,-0.86,,9311146.00
2014-10-13,575.00,586.00,568.00,572.00,,-0.52,,26733520.00
2014-10-14,572.00,591.00,570.00,575.00,,0.52,,6952329.00
2014-10-15,575.00,591.00,570.00,585.00,,1.74,,17666628.00
2014-10-16,585.00,600.00,580.00,596.00,,1.88,,15832864.00
2014-10-19,596.00,600.00,580.00,580.00,,-2.68,,19838471.00
2014-10-20,580.00,590.00,569.00,576.00,,-0.69,,25758415.00
2014-10-21,576.00,591.00,565.00,570.00,,-1.04,,35068955.00
2014-10-22,429.00,441.00,428.00,436.00,,1.63,,1123107.00
2014-10-26,436.00,444.00,436.00,436.00,,0,,230720.00
2014-10-27,436.00,431.00,421.00,425.00,,-2.52,,762881.00
2014-10-28,425.00,418.00,415.00,418.00,,-1.65,,900352.00
2014-10-30,418.00,415.00,410.00,415.00,,-0.72,,2625250.00
2014-11-02,415.00,407.00,400.00,400.00,,-3.61,,2014163.00
2014-11-03,400.00,400.00,392.00,400.00,,0,,502050.00
2014-11-04,400.00,405.00,384.00,405.00,,1.25,,1276410.00
2014-11-05,405.00,411.00,396.00,405.00,,0,,3654601.00
2014-11-06,405.00,397.00,395.00,395.00,,-2.47,,1064708.00
2014-11-09,395.00,391.00,383.00,390.00,,-1.27,,866020.00
2014-11-10,390.00,383.00,376.00,376.00,,-3.59,,600480.00
2014-11-11,376.00,401.00,382.00,394.00,,4.79,,578566.00
2014-11-12,394.00,397.00,387.00,390.00,,-1.02,,1412695.00
2014-11-13,390.00,397.00,390.00,390.00,,0,,311734.00
2014-11-16,390.00,384.00,377.00,377.00,,-3.33,,606411.00
2014-11-17,377.00,375.00,358.00,358.00,,-5.04,,2205451.00
2014-11-18,358.00,367.00,340.00,361.00,,0.84,,2942149.00
2014-11-19,361.00,369.00,355.00,367.00,,1.66,,880599.00
2014-11-20,367.00,382.00,370.00,371.00,,1.09,,1492808.00
2014-11-24,370.00,377.00,363.00,372.00,,0.54,,1279011.00
2014-11-24,371.00,385.00,367.00,370.00,,-0.27,,1279011.00
2014-11-25,372.00,390.00,379.00,390.00,,4.84,,233985.00
2014-11-30,390.00,383.00,372.00,372.00,,-4.62,,212599.00
