Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-08-21,479.00,526.90,479.00,526.90,,0,,578739.80
2023-08-22,537.40,579.50,537.40,579.50,,9.98,,561081.00
2023-08-23,591.00,637.40,591.00,637.40,,9.99,,406796.00
2023-08-24,650.10,701.10,650.10,701.10,,9.99,,1806184.80
2023-08-27,715.10,771.20,715.10,771.20,,10,,1931848.70
2023-08-28,786.60,848.30,786.60,848.30,,10,,1687451.30
2023-08-29,848.30,933.10,848.30,933.10,,10,,14938378.80
2023-08-30,950.00,969.00,862.40,882.00,,-5.48,,12993835.70
2023-09-03,865.00,865.00,794.00,808.00,,-8.39,,7161216.00
2023-09-04,792.00,836.40,780.00,836.00,,3.47,,3562938.00
2023-09-05,820.00,830.00,804.00,830.00,,-0.72,,1124518.20
2023-09-07,814.60,823.10,800.60,822.00,,-0.96,,2694918.00
2023-09-10,806.10,868.50,794.00,805.00,,-2.07,,3018310.00
2023-09-11,811.00,819.90,780.20,814.00,,1.12,,1420103.00
2023-09-12,805.00,812.00,793.00,806.00,,-0.98,,2392661.50
2023-09-13,791.40,839.00,791.40,834.00,,3.47,,1572528.50
2023-09-17,817.40,822.00,796.30,814.90,,-2.29,,1080841.50
2023-09-18,801.10,829.80,800.00,813.00,,-0.23,,2156877.00
2023-09-19,796.90,828.80,796.90,799.10,,-1.71,,1299600.00
2023-09-21,815.00,839.00,815.00,833.00,,4.24,,3940843.00
2023-09-24,840.00,864.00,818.00,833.00,,0,,3115925.70
2023-09-25,818.10,849.00,818.00,849.00,,1.92,,2023876.00
2023-09-26,833.00,876.00,816.50,859.00,,1.18,,2794380.80
2023-09-27,842.00,844.90,820.00,834.00,,-2.91,,769553.50
2023-10-01,820.00,828.00,805.00,805.10,,-3.47,,688893.00
2023-10-02,806.50,820.00,796.00,815.00,,1.23,,1121369.70
2023-10-03,801.10,812.00,797.50,812.00,,-0.37,,704805.60
2023-10-04,802.00,815.90,801.20,810.00,,-0.25,,1123127.00
2023-10-05,795.40,810.00,795.40,807.00,,-0.37,,628638.50
2023-10-08,791.70,796.00,786.10,786.10,,-2.59,,664420.50
2023-10-09,780.20,791.00,780.00,789.00,,0.37,,786129.40
2023-10-10,780.10,780.10,770.00,780.00,,-1.14,,1253657.50
2023-10-11,779.00,788.40,772.00,788.40,,1.08,,458243.00
2023-10-12,773.00,774.00,760.00,774.00,,-1.83,,588109.00
2023-10-16,770.00,770.00,735.20,736.00,,-4.91,,925133.00
2023-10-17,750.70,750.70,736.00,747.00,,1.49,,387315.00
2023-10-18,747.00,775.00,747.00,774.70,,3.71,,235865.00
2023-10-19,759.40,766.00,750.00,750.00,,-3.19,,368964.00
2023-10-29,749.00,760.00,740.00,747.00,,-0.4,,597126.00
2023-10-30,736.00,774.90,736.00,774.90,,3.73,,1001465.00
2023-10-31,759.50,759.50,740.20,746.00,,-3.73,,1827994.00
2023-11-01,737.00,750.00,737.00,748.70,,0.36,,380142.00
2023-11-02,738.00,749.90,736.00,743.00,,-0.76,,570685.00
2023-11-05,729.00,733.00,722.00,733.00,,-1.35,,320382.00
2023-11-06,744.00,747.90,721.00,740.00,,0.95,,1284248.00
2023-11-07,752.90,754.00,740.00,745.00,,0.68,,352436.00
2023-11-08,750.00,755.00,740.00,755.00,,1.34,,126508.00
2023-11-09,742.00,742.00,731.20,740.00,,-1.99,,347391.00
2023-11-20,740.50,750.00,726.10,738.00,,-0.27,,227958.00
2023-11-21,725.10,730.00,724.30,724.30,,-1.86,,168957.00
2023-11-22,725.00,751.00,725.00,736.00,,1.62,,80587.00
2023-11-23,725.00,763.40,725.00,763.40,,3.72,,411749.00
2023-11-26,750.00,775.00,748.20,773.90,,1.38,,455837.00
2023-11-27,773.50,819.00,773.50,800.00,,3.37,,1673917.40
2023-11-28,805.00,805.00,775.00,804.00,,0.5,,811191.00
2023-11-29,791.00,791.00,775.30,788.00,,-1.99,,362907.00
2023-11-30,772.50,773.90,744.00,744.00,,-5.58,,557877.00
2023-12-03,744.00,754.50,738.10,754.50,,1.41,,118814.00
2023-12-04,740.00,770.00,740.00,768.90,,1.91,,151831.00
2023-12-05,753.60,761.00,747.00,761.00,,-1.03,,269923.00
2023-12-06,751.00,751.00,750.10,750.10,,-1.43,,105053.00
2023-12-07,735.10,765.00,735.10,765.00,,1.99,,489353.00
2023-12-10,780.30,811.00,780.30,811.00,,6.01,,56153.00
2023-12-11,827.20,827.20,773.20,793.00,,-2.22,,858334.50
2023-12-12,800.00,824.90,787.00,824.00,,3.91,,681101.50
2023-12-13,824.00,824.00,777.10,777.10,,-5.69,,2244479.00
2023-12-14,789.00,820.00,781.10,783.10,,0.77,,1745994.00
2023-12-17,783.10,825.00,783.10,825.00,,5.35,,1545187.70
2023-12-18,840.00,841.40,800.10,823.00,,-0.24,,1476163.80
2023-12-19,810.10,810.10,795.30,808.00,,-1.82,,506167.00
2023-12-20,801.00,824.00,800.00,823.90,,1.97,,1438139.00
2023-12-21,840.30,906.20,812.50,893.00,,8.39,,4012370.00
2023-12-24,878.00,966.40,861.00,918.00,,2.8,,4162853.10
2023-12-27,920.00,920.00,857.50,907.00,,-1.2,,1432239.00
2023-12-28,893.00,894.00,861.00,869.90,,-4.09,,1131007.00
2024-01-01,887.00,903.00,843.00,864.90,,-0.57,,3144817.90
2024-01-02,850.00,850.10,825.00,844.00,,-2.42,,1546184.00
2024-01-03,844.00,909.80,835.00,909.80,,7.8,,2943678.00
2024-01-04,892.00,900.00,875.00,895.00,,-1.63,,814753.00
2024-01-07,900.00,905.00,867.10,878.00,,-1.9,,3184788.00
2024-01-08,881.00,915.00,872.00,891.10,,1.49,,992585.00
2024-01-09,908.90,927.00,886.10,886.10,,-0.56,,1971924.90
2024-01-10,903.80,903.80,878.00,898.00,,1.34,,1389233.50
2024-01-11,904.00,908.80,891.00,899.00,,0.11,,1031026.00
2024-01-14,916.00,952.60,916.00,926.00,,3,,2621805.10
2024-01-16,930.00,957.70,922.00,953.00,,2.92,,1941041.40
2024-01-17,936.00,936.00,897.00,911.50,,-4.35,,1395356.00
2024-01-18,894.00,929.00,876.20,904.20,,-0.8,,2252869.80
2024-01-21,888.00,905.00,875.20,890.00,,-1.57,,1311269.00
2024-01-22,890.00,890.00,848.00,861.90,,-3.16,,1911746.00
2024-01-23,847.30,888.00,844.80,852.10,,-1.14,,394501.00
2024-01-24,868.00,885.80,839.30,850.00,,-0.25,,1347165.00
2024-01-25,846.00,850.00,831.00,850.00,,0,,945417.00
2024-01-28,860.00,867.00,840.20,864.00,,1.65,,426153.00
2024-01-29,850.00,871.00,850.00,869.90,,0.68,,1353039.50
2024-01-30,855.00,889.70,855.00,876.00,,0.7,,698785.00
2024-01-31,885.00,888.00,855.00,855.00,,-2.4,,857210.00
2024-02-01,840.00,865.00,827.00,827.00,,-3.27,,1521000.00
2024-02-04,827.00,860.00,827.00,840.90,,1.68,,323006.40
2024-02-05,850.00,900.00,849.70,900.00,,7.03,,1225109.00
2024-02-06,883.00,899.00,880.00,899.00,,-0.11,,657271.00
2024-02-07,882.00,901.00,872.00,880.00,,-2.11,,2503410.60
2024-02-08,897.50,911.00,893.00,909.90,,3.4,,2570584.00
2024-02-11,928.00,1000.80,913.10,1000.80,,9.99,,9769234.30
2024-02-12,1020.80,1100.80,1020.80,1100.80,,9.99,,1703516.00
2024-02-13,1120.00,1210.00,1030.00,1100.00,,-0.07,,14166661.20
2024-02-14,1078.00,1078.00,1035.50,1047.00,,-4.82,,7884506.50
2024-02-15,1029.00,1052.10,1021.00,1035.00,,-1.15,,2859857.00
2024-02-18,1030.00,1111.00,1015.00,1081.00,,4.44,,6950198.50
2024-02-20,1059.50,1102.60,1059.50,1090.00,,0.83,,2158298.90
2024-02-21,1080.00,1100.00,1052.00,1052.00,,-3.49,,2005939.00
2024-02-22,1065.00,1070.00,1005.00,1005.00,,-4.47,,986367.00
2024-02-25,985.10,1004.00,950.10,988.00,,-1.69,,2980181.70
2024-02-26,1007.70,1007.70,935.00,984.00,,-0.4,,2444481.00
2024-02-27,980.00,998.00,975.00,998.00,,1.42,,157745.00
2024-02-28,980.10,993.00,945.70,983.50,,-1.45,,1245091.00
2024-02-29,968.00,970.00,931.00,931.00,,-5.34,,1324405.00
2024-03-03,949.60,949.60,915.00,933.60,,0.28,,432043.00
2024-03-04,952.20,971.20,952.20,971.20,,4.03,,19234.00
2024-03-05,972.00,994.00,950.00,950.00,,-2.18,,761933.50
2024-03-06,942.10,1014.90,942.10,965.00,,1.58,,635953.10
2024-03-07,970.00,1005.00,950.00,1004.00,,4.04,,1550351.00
2024-03-10,1024.00,1060.00,1004.00,1005.00,,0.1,,1653075.00
2024-03-12,1025.00,1065.90,1003.70,1041.00,,3.58,,991130.00
2024-03-13,1059.90,1059.90,1015.00,1029.90,,-1.07,,1844745.50
2024-03-14,1029.50,1049.00,1000.00,1045.00,,1.47,,1303082.00
2024-03-17,1040.00,1045.00,994.00,1030.00,,-1.44,,2092172.00
2024-03-18,1040.00,1040.00,1008.00,1025.40,,-0.45,,528032.00
2024-03-19,1026.00,1046.50,1020.00,1027.00,,0.16,,1875279.60
2024-03-20,1045.00,1050.00,1025.00,1030.00,,0.29,,2701148.90
2024-03-21,1050.60,1060.00,1018.00,1039.00,,0.87,,1307937.00
2024-03-25,1059.70,1079.00,1016.20,1049.00,,0.96,,372547.00
2024-03-26,1032.00,1052.00,1015.10,1052.00,,0.29,,298395.00
2024-03-27,1031.00,1031.00,1008.00,1020.00,,-3.04,,562056.00
2024-03-28,1020.00,1040.00,999.60,1000.00,,-1.96,,1504138.00
2024-03-31,1020.00,1024.00,990.00,1000.00,,0,,990581.00
2024-04-01,1020.00,1040.00,994.00,1003.00,,0.3,,406517.40
2024-04-02,1020.00,1043.40,1004.50,1019.00,,1.6,,533444.00
2024-04-03,1000.00,1035.00,999.00,999.00,,-1.96,,1280197.00
2024-04-04,1001.00,1027.00,1001.00,1027.00,,2.8,,1227674.60
2024-04-07,1047.00,1047.00,1019.20,1030.00,,0.29,,1134987.40
2024-04-09,1030.00,1050.00,1016.00,1030.00,,0,,777794.00
