Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-03-23,134.40,139.70,134.40,139.70,,0,,28337.60
2023-03-26,137.70,148.10,137.70,148.10,,6.01,,17894.30
2023-03-27,148.10,162.90,148.10,162.90,,9.99,,14821.10
2023-03-28,166.10,166.10,166.10,166.10,,1.96,,3311.00
2023-03-29,169.40,182.70,169.40,182.70,,9.99,,10632.00
2023-03-30,182.70,193.80,182.70,193.80,,6.08,,9768.30
2023-04-02,193.80,213.10,193.80,213.10,,9.96,,33426.20
2023-04-03,213.10,234.40,213.10,234.40,,10,,45736.80
2023-04-04,230.10,257.80,230.10,257.80,,9.98,,27396.00
2023-04-05,257.70,283.50,257.70,283.50,,9.97,,50256.00
2023-04-06,289.10,311.80,289.10,311.80,,9.98,,89861.00
2023-04-09,318.00,342.90,318.00,342.90,,9.97,,181350.80
2023-04-10,349.70,377.10,349.70,377.10,,9.97,,196456.00
2023-04-11,384.60,414.80,384.60,414.80,,10,,346121.80
2023-04-12,414.70,456.20,414.70,456.20,,9.98,,363295.80
2023-04-13,456.20,501.80,456.20,501.80,,10,,501068.90
2023-04-16,511.80,551.90,511.80,551.90,,9.98,,624722.50
2023-04-17,562.90,607.00,562.90,607.00,,9.98,,698157.00
2023-04-18,619.10,667.70,619.10,667.70,,10,,616677.70
2023-04-19,681.00,734.40,681.00,734.40,,9.99,,553007.50
2023-04-20,749.00,807.80,749.00,807.80,,9.99,,749808.00
2023-04-23,823.90,888.50,823.90,888.50,,9.99,,4675479.00
2023-04-24,906.20,970.00,801.50,803.00,,-9.62,,88178221.30
2023-04-25,787.00,803.00,760.00,788.00,,-1.87,,30116648.80
2023-04-26,778.00,806.00,775.00,797.00,,1.14,,9347452.10
2023-04-27,785.00,799.00,781.10,792.80,,-0.53,,9218974.00
2023-04-30,780.00,798.00,770.00,770.10,,-2.86,,9639248.20
2023-05-02,770.00,777.00,760.00,764.00,,-0.79,,6937644.50
2023-05-03,760.00,760.10,745.00,750.00,,-1.83,,6579056.60
2023-05-04,737.50,750.00,733.00,740.00,,-1.33,,8621921.00
2023-05-07,740.00,740.00,712.60,713.00,,-3.65,,4510535.00
2023-05-08,708.10,720.00,687.00,688.00,,-3.51,,10476269.00
2023-05-09,675.00,730.30,675.00,720.00,,4.65,,8691753.40
2023-05-10,720.00,734.40,706.00,717.00,,-0.42,,4626093.80
2023-05-11,710.00,715.00,700.00,705.00,,-1.67,,4190363.00
2023-05-14,718.10,729.00,701.00,704.00,,-0.14,,7265991.30
2023-05-15,701.00,716.00,697.00,709.00,,0.71,,4268004.80
2023-05-16,710.00,729.00,708.50,713.00,,0.56,,3203636.10
2023-05-17,713.50,731.00,708.00,725.60,,1.77,,4475971.00
2023-05-18,714.00,760.00,714.00,753.00,,3.78,,9479818.00
2023-05-21,764.00,782.00,740.00,757.00,,0.53,,13009980.50
2023-05-22,750.00,770.00,742.40,760.00,,0.4,,8446033.90
2023-05-23,760.00,790.50,760.00,778.00,,2.37,,9390840.40
2023-05-24,780.00,795.00,761.20,788.00,,1.29,,11397846.00
2023-05-28,780.00,803.00,765.00,774.00,,-1.78,,17834230.70
2023-05-30,760.30,775.00,741.70,742.00,,-4.13,,13528709.60
2023-05-31,745.00,760.00,722.20,730.00,,-1.62,,12499940.10
2023-06-01,730.00,745.00,725.10,737.00,,0.96,,7108517.60
2023-06-04,740.00,774.00,740.00,772.00,,4.75,,11477675.70
2023-06-05,779.00,782.00,750.00,755.00,,-2.2,,8033033.30
2023-06-06,750.00,783.00,746.00,775.00,,2.65,,9233940.40
2023-06-07,775.00,800.70,771.00,773.50,,-0.19,,8841332.20
2023-06-08,768.00,790.00,768.00,768.00,,-0.71,,9981644.70
2023-06-11,775.00,786.00,770.10,774.00,,0.78,,7880947.10
2023-06-12,772.00,851.40,772.00,851.40,,10,,47012060.00
2023-06-13,868.40,927.00,865.00,915.00,,7.47,,42081804.20
2023-06-14,900.00,931.00,878.00,899.90,,-1.65,,31238246.90
2023-06-15,917.80,937.00,865.30,915.00,,1.68,,39189968.80
2023-06-18,920.00,971.00,911.00,969.00,,5.9,,30186103.90
2023-06-19,955.00,965.00,931.10,931.30,,-3.89,,23976704.60
2023-06-20,920.10,955.00,916.10,927.00,,-0.46,,13566045.80
2023-06-21,939.90,979.00,913.00,930.00,,0.32,,31698042.90
2023-06-22,930.00,1023.00,921.00,1023.00,,10,,56505804.50
2023-06-25,1023.00,1102.00,1007.10,1070.00,,4.59,,38635548.40
2023-06-26,1080.00,1080.00,1021.10,1023.00,,-4.39,,33447091.30
2023-06-27,1023.00,1080.00,996.00,1009.00,,-1.37,,21561974.20
2023-06-28,1005.00,1020.00,975.00,975.00,,-3.37,,33558304.00
2023-07-02,975.00,990.00,943.00,944.00,,-3.18,,22130920.10
2023-07-03,944.00,978.00,932.10,950.00,,0.64,,20032268.10
2023-07-04,953.00,973.20,942.30,966.90,,1.78,,9838627.30
2023-07-05,986.20,986.20,941.00,949.00,,-1.85,,14845134.00
2023-07-06,932.70,989.00,929.00,957.00,,0.84,,14671947.30
2023-07-09,942.00,988.00,942.00,988.00,,3.24,,10166607.00
2023-07-10,976.00,1002.00,955.00,960.00,,-2.83,,14385700.00
2023-07-11,959.90,978.00,951.20,958.00,,-0.21,,9408178.30
2023-07-12,952.00,978.00,950.00,950.00,,-0.84,,9664806.60
2023-07-13,951.30,970.00,935.00,938.00,,-1.26,,8728421.30
2023-07-16,938.00,945.00,926.30,934.00,,-0.43,,8872177.00
2023-07-17,915.40,975.00,915.40,962.10,,3.01,,9190921.00
2023-07-18,962.00,970.00,947.00,951.00,,-1.15,,9356776.90
2023-07-19,936.00,966.90,936.00,948.00,,-0.32,,4075740.00
2023-07-20,957.00,975.00,938.40,944.00,,-0.42,,4046729.20
2023-07-23,930.00,1030.00,930.00,1029.90,,9.1,,37637165.60
2023-07-24,1010.00,1047.00,992.00,1010.00,,-1.93,,27255695.50
2023-07-25,992.00,1010.00,975.10,1010.00,,0,,18538084.10
2023-07-26,990.00,1019.00,980.00,987.00,,-2.28,,8286415.00
2023-07-27,982.00,990.00,960.00,979.00,,-0.81,,10318841.00
2023-07-30,994.00,994.00,955.00,968.00,,-1.12,,8605338.00
2023-07-31,968.00,980.00,953.60,955.00,,-1.34,,4874882.00
2023-08-01,945.00,969.00,925.00,957.00,,0.21,,11736199.20
2023-08-02,942.10,955.00,927.00,948.00,,-0.94,,4793727.20
2023-08-03,949.00,960.00,936.30,947.00,,-0.11,,4009839.00
2023-08-06,930.00,957.00,920.20,926.00,,-2.22,,4228838.50
2023-08-07,911.00,945.00,911.00,944.70,,2.02,,4348891.90
2023-08-08,945.00,945.00,912.10,915.00,,-3.14,,3802101.00
2023-08-09,902.00,933.00,892.00,933.00,,1.97,,5339716.90
2023-08-10,949.90,960.00,918.00,938.00,,0.54,,8089630.00
2023-08-13,938.00,959.00,921.00,953.90,,1.7,,7718259.50
2023-08-14,935.30,950.00,932.90,939.00,,-1.56,,3430329.30
2023-08-15,921.00,940.00,912.00,912.00,,-2.88,,4430470.20
2023-08-16,930.10,947.00,905.10,915.00,,0.33,,9203590.10
2023-08-17,933.00,942.90,920.00,927.00,,1.31,,5544979.50
2023-08-20,911.00,935.00,911.00,926.80,,-0.02,,6237192.50
2023-08-21,911.00,930.00,901.00,919.00,,-0.84,,3883254.00
2023-08-22,919.00,920.00,905.10,919.00,,0,,2864036.10
2023-08-23,906.10,935.00,906.10,930.00,,1.2,,5045512.80
2023-08-24,912.00,947.90,905.00,906.00,,-2.58,,6365264.00
2023-08-27,920.00,920.00,875.00,875.00,,-3.42,,7771001.50
2023-08-28,875.00,885.00,858.00,873.00,,-0.23,,4078991.30
2023-08-29,875.00,875.00,858.00,864.00,,-1.03,,2928882.50
2023-08-30,864.00,875.00,851.20,865.00,,0.12,,4108241.00
2023-09-03,857.00,877.00,841.00,862.90,,-0.24,,3765644.00
2023-09-04,860.00,879.40,838.00,865.00,,0.24,,3439263.00
2023-09-05,847.90,850.00,838.00,849.00,,-1.85,,2056726.00
2023-09-07,841.00,850.00,821.00,821.00,,-3.3,,3536983.10
2023-09-10,837.40,871.10,820.10,840.00,,2.31,,1681688.00
2023-09-11,830.00,868.00,830.00,864.00,,2.86,,6389242.00
2023-09-12,850.00,867.00,831.00,844.00,,-2.31,,3119858.00
2023-09-13,836.00,875.10,834.00,875.10,,3.68,,5552139.90
2023-09-17,860.00,861.00,840.00,840.00,,-4.01,,2680017.00
2023-09-18,840.00,848.90,828.30,840.00,,0,,2353575.00
2023-09-19,825.10,855.90,825.10,855.00,,1.79,,3725562.00
2023-09-21,855.00,890.00,852.00,873.00,,2.11,,11389144.80
2023-09-24,860.00,877.00,845.10,855.10,,-2.05,,4773387.70
2023-09-25,840.00,853.90,835.00,850.00,,-0.6,,4882084.00
2023-09-26,866.90,866.90,834.30,855.90,,0.69,,4807742.00
2023-09-27,845.00,845.00,830.30,839.00,,-1.97,,5290538.10
2023-10-01,823.00,849.00,817.00,821.00,,-2.15,,2330505.00
2023-10-02,830.00,830.00,814.00,825.90,,0.6,,2517624.00
2023-10-03,813.00,829.00,807.00,819.80,,-0.74,,1870444.50
2023-10-04,806.00,823.00,806.00,819.50,,-0.04,,2381048.00
2023-10-05,808.00,815.00,804.00,805.00,,-1.77,,1352959.00
2023-10-08,806.00,818.00,787.00,797.00,,-0.99,,3065063.50
2023-10-09,783.00,798.00,781.30,789.00,,-1,,2885582.40
2023-10-10,774.50,786.90,772.00,775.00,,-1.77,,2476037.70
2023-10-11,770.00,795.00,768.00,783.00,,1.03,,2263416.00
2023-10-12,770.00,780.00,755.00,755.00,,-3.58,,3224543.00
2023-10-16,744.90,785.00,727.60,785.00,,3.97,,4155589.00
2023-10-17,770.00,784.00,750.00,759.00,,-3.31,,2067230.00
2023-10-18,746.00,770.20,746.00,764.00,,0.66,,1391193.20
2023-10-19,749.10,762.00,740.10,757.80,,-0.81,,2630915.10
2023-10-29,770.00,770.00,735.00,739.00,,-2.48,,651444.00
2023-10-30,753.70,753.70,726.10,746.00,,0.95,,2002412.80
2023-10-31,760.90,760.90,727.10,728.00,,-2.41,,2221402.50
2023-11-01,728.00,739.00,720.10,738.00,,1.37,,1201147.00
2023-11-02,730.00,739.00,723.50,736.00,,-0.27,,1538479.10
2023-11-05,724.10,734.90,717.10,720.20,,-2.15,,3927867.00
2023-11-06,734.60,755.80,726.40,743.00,,3.17,,5620231.40
2023-11-07,757.00,758.00,740.40,757.80,,1.99,,2403678.40
