Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2017-01-12,327.00,353.00,327.00,353.00,,9.97,,69900.00
2017-01-15,360.00,373.00,350.00,353.00,,0,,382986.00
2017-01-16,346.00,346.00,318.00,318.00,,-9.91,,157896.00
2017-01-17,320.00,334.00,320.00,324.00,,1.89,,154902.00
2017-01-18,330.00,330.00,292.00,292.00,,-9.88,,153080.00
2017-01-19,290.00,290.00,275.00,289.00,,-1.03,,196684.00
2017-01-22,290.00,290.00,271.00,276.00,,-4.5,,128644.00
2017-01-23,276.00,276.00,250.00,252.00,,-8.7,,184706.00
2017-01-24,250.00,250.00,227.00,228.00,,-9.52,,397238.00
2017-01-25,228.00,228.00,210.00,214.00,,-6.14,,812256.00
2017-01-26,214.00,222.00,202.00,220.00,,2.8,,493206.00
2017-01-30,216.00,216.00,208.00,208.00,,-5.45,,119080.00
2017-01-31,204.00,218.00,204.00,214.00,,2.88,,75098.00
2017-02-02,219.00,225.00,215.00,220.00,,-1.35,,679446.00
2017-02-05,220.00,220.00,213.00,214.00,,-2.73,,295118.00
2017-02-06,215.00,216.00,208.00,213.00,,-0.47,,190694.00
2017-02-07,210.00,210.00,202.00,209.00,,-1.88,,335638.00
2017-02-08,208.00,211.00,206.00,210.00,,0.48,,366576.00
2017-02-09,206.00,211.00,202.00,208.00,,-0.95,,240750.00
2017-02-12,212.00,212.00,202.00,202.00,,-2.88,,120338.00
2017-02-13,202.00,206.00,199.00,203.00,,0.49,,287460.00
2017-02-15,200.00,205.00,200.00,203.00,,1.5,,331084.00
2017-02-16,201.00,223.00,200.00,209.00,,2.96,,536647.00
2017-02-19,206.00,222.00,204.00,210.00,,0.48,,146626.00
2017-02-20,210.00,218.00,203.00,207.00,,-1.43,,279404.00
2017-02-21,207.00,214.00,207.00,208.00,,0.48,,197840.00
2017-02-22,210.00,210.00,208.00,209.00,,0.48,,115248.00
2017-02-23,209.00,215.00,209.00,215.00,,2.87,,111504.00
2017-02-26,217.00,217.00,211.00,212.00,,-1.4,,148278.00
2017-02-28,212.00,218.00,206.00,212.00,,0,,176868.00
2017-03-01,208.00,210.00,200.00,210.00,,-0.94,,48856.00
2017-03-02,213.00,218.00,209.00,212.00,,0.95,,325768.00
2017-03-07,211.00,215.00,211.00,215.00,,0.47,,95190.00
2017-03-09,214.00,216.00,211.00,215.00,,0,,189012.00
2017-03-13,211.00,221.00,211.00,220.00,,2.79,,193580.00
2017-03-14,225.00,227.00,220.00,227.00,,2.71,,458298.00
2017-03-15,224.00,238.00,221.00,238.00,,4.85,,251186.00
2017-03-16,240.00,246.00,234.00,242.00,,2.1,,200400.00
2017-03-19,243.00,241.00,235.00,235.00,,-3.29,,210396.00
2017-03-20,236.00,236.00,232.00,233.00,,-0.85,,42502.00
2017-03-21,237.00,237.00,221.00,230.00,,-1.29,,124412.00
2017-03-22,226.00,238.00,226.00,236.00,,2.61,,318898.00
2017-03-26,235.00,245.00,235.00,245.00,,4.7,,598574.00
2017-03-28,245.00,250.00,241.00,250.00,,2.04,,153804.00
2017-03-30,240.00,240.00,227.00,230.00,,-4.17,,280804.00
2017-03-30,250.00,260.00,240.00,240.00,,-4,,280804.00
2017-04-02,230.00,230.00,226.00,230.00,,0,,11440.00
2017-04-03,234.00,239.00,231.00,238.00,,3.48,,110838.00
2017-04-06,227.00,231.00,223.00,230.00,,1.32,,120614.00
2017-04-09,234.00,234.00,226.00,228.00,,-0.87,,169614.00
2017-04-10,230.00,238.00,224.00,238.00,,4.39,,177966.00
2017-04-12,229.00,240.00,225.00,240.00,,4.8,,131782.00
2017-04-16,232.00,236.00,230.00,231.00,,-2.12,,133726.00
2017-04-18,227.00,231.00,223.00,231.00,,0,,54538.00
2017-04-19,231.00,230.00,224.00,230.00,,-0.43,,63566.00
2017-04-20,233.00,235.00,226.00,230.00,,0,,372160.00
2017-04-24,223.00,224.00,220.00,221.00,,-0.9,,835314.00
2017-04-24,230.00,226.00,219.00,223.00,,-3.04,,835314.00
2017-04-25,223.00,229.00,222.00,226.00,,2.26,,171904.00
2017-04-26,227.00,228.00,225.00,225.00,,-0.44,,149332.00
2017-04-27,225.00,229.00,215.00,229.00,,1.78,,191736.00
2017-04-30,229.00,233.00,213.00,217.00,,-5.24,,136286.00
2017-05-02,217.00,226.00,217.00,222.00,,2.3,,276938.00
2017-05-03,226.00,226.00,223.00,223.00,,0.45,,78848.00
2017-05-04,220.00,225.00,220.00,223.00,,0,,110365.00
2017-05-08,217.00,222.00,216.00,216.00,,-2.26,,573682.00
2017-05-08,223.00,225.00,220.00,221.00,,-0.9,,573682.00
2017-05-09,216.00,228.00,215.00,228.00,,5.56,,425104.00
2017-05-11,230.00,250.00,230.00,245.00,,7.46,,687037.00
2017-05-15,249.00,255.00,248.00,250.00,,2.04,,644722.00
2017-05-16,245.00,247.00,242.00,242.00,,-3.2,,399748.00
2017-05-17,242.00,243.00,238.00,238.00,,-1.65,,202420.00
2017-05-18,238.00,244.00,235.00,235.00,,-1.26,,178934.00
2017-05-21,235.00,237.00,232.00,233.00,,-0.85,,117929.00
2017-05-22,233.00,233.00,221.00,228.00,,-2.15,,70542.00
2017-05-23,228.00,233.00,225.00,231.00,,1.32,,44792.00
2017-05-28,226.00,229.00,220.00,227.00,,-1.3,,156237.00
2017-05-30,230.00,230.00,220.00,220.00,,-3.08,,166686.00
2017-05-31,220.00,226.00,216.00,222.00,,0.91,,166854.00
2017-06-01,222.00,226.00,222.00,225.00,,1.35,,91886.00
2017-06-04,227.00,227.00,218.00,221.00,,-1.78,,99592.00
2017-06-05,221.00,225.00,218.00,225.00,,1.81,,116604.00
2017-06-06,221.00,232.00,221.00,230.00,,2.22,,177422.00
2017-06-07,226.00,226.00,218.00,226.00,,-1.74,,144178.00
2017-06-08,222.00,227.00,220.00,223.00,,-1.33,,149032.00
2017-06-11,219.00,224.00,214.00,223.00,,0,,206494.00
2017-06-12,226.00,226.00,219.00,220.00,,-1.35,,95082.00
2017-06-13,220.00,225.00,212.00,218.00,,-0.91,,269360.00
2017-06-14,214.00,222.00,214.00,216.00,,-0.92,,155946.00
2017-06-15,216.00,218.00,213.00,218.00,,0.93,,180950.00
2017-06-18,218.00,220.00,210.00,210.00,,-3.67,,111520.00
2017-06-19,207.00,214.00,207.00,211.00,,0.48,,97588.00
2017-06-20,211.00,212.00,209.00,212.00,,0.47,,18964.00
2017-06-21,210.00,213.00,206.00,211.00,,-0.47,,105930.00
2017-06-22,212.00,212.00,205.00,208.00,,-1.42,,105556.00
2017-06-25,210.00,210.00,209.00,209.00,,0.48,,31838.00
2017-06-27,213.00,220.00,207.00,208.00,,-0.48,,104236.00
2017-06-28,208.00,217.00,205.00,207.00,,-0.48,,84834.00
2017-07-02,207.00,209.00,202.00,204.00,,-1.45,,113596.00
2017-07-03,205.00,208.00,205.00,205.00,,0.49,,52182.00
2017-07-04,205.00,208.00,205.00,206.00,,0.49,,103775.00
2017-07-05,202.00,205.00,200.00,205.00,,-0.49,,65946.00
2017-07-06,203.00,206.00,203.00,205.00,,0,,13508.00
2017-07-09,205.00,207.00,202.00,205.00,,0,,43752.00
2017-07-10,208.00,211.00,206.00,211.00,,2.93,,34914.00
2017-07-11,209.00,210.00,208.00,208.00,,-1.42,,36320.00
2017-07-12,207.00,208.00,203.00,208.00,,0,,296298.00
2017-07-13,204.00,214.00,200.00,208.00,,0,,120650.00
2017-07-16,205.00,206.00,201.00,206.00,,-0.96,,80558.00
2017-07-17,205.00,210.00,198.00,210.00,,1.94,,138180.00
2017-07-20,205.00,208.00,200.00,201.00,,-2.43,,303372.00
2017-07-23,200.00,205.00,200.00,203.00,,0.99,,87883.00
2017-07-24,200.00,206.00,200.00,206.00,,1.48,,142790.00
2017-07-25,203.00,206.00,203.00,206.00,,0,,138892.00
2017-07-26,203.00,209.00,200.00,202.00,,-1.94,,107230.00
2017-07-27,202.00,206.00,200.00,202.00,,0,,81336.00
2017-07-30,202.00,205.00,195.00,201.00,,-0.49,,173364.00
2017-07-31,197.00,209.00,197.00,209.00,,3.98,,130892.00
2017-08-01,210.00,212.00,201.00,205.00,,-1.91,,78280.00
2017-08-02,201.00,204.00,200.00,204.00,,-0.49,,188846.00
2017-08-03,204.00,208.00,200.00,204.00,,0,,117446.00
2017-08-06,200.00,205.00,196.00,198.00,,-2.94,,118214.00
2017-08-07,199.00,199.00,194.00,195.00,,-1.52,,448782.00
2017-08-09,194.00,200.00,187.00,200.00,,2.56,,635848.00
2017-08-10,196.00,198.00,193.00,197.00,,-1.5,,97430.00
2017-08-13,194.00,195.00,186.00,195.00,,-1.02,,169454.00
2017-08-15,194.00,194.00,188.00,189.00,,-2.56,,83210.00
2017-08-16,188.00,195.00,188.00,192.00,,1.05,,115782.00
2017-08-17,191.00,192.00,186.00,186.00,,-3.12,,527894.00
2017-08-20,183.00,185.00,181.00,183.00,,-1.61,,106750.00
2017-08-21,180.00,183.00,180.00,180.00,,-1.64,,45142.00
2017-08-22,177.00,182.00,177.00,180.00,,0,,384549.00
2017-08-23,177.00,179.00,173.00,179.00,,-0.56,,85402.00
2017-08-27,185.00,182.00,179.00,181.00,,-2.16,,65576.00
2017-08-28,178.00,182.00,178.00,181.00,,0,,90968.00
2017-08-30,181.00,183.00,176.00,182.00,,0.55,,39774.00
