Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,780.00,780.00,771.00,780.00,,0,,343312.00
2014-08-04,792.00,800.00,790.00,800.00,,1.01,,343312.00
2014-08-04,860.00,845.00,840.00,845.00,,-1.74,,343312.00
2014-08-04,845.00,829.00,813.00,813.00,,-3.79,,343312.00
2014-08-04,813.00,800.00,790.00,792.00,,-2.58,,343312.00
2014-08-05,780.00,800.00,770.00,770.00,,-1.28,,249314.00
2014-08-06,770.00,800.00,770.00,790.00,,2.6,,1108302.00
2014-08-07,790.00,803.00,776.00,803.00,,1.65,,243002.00
2014-08-12,803.00,787.00,787.00,787.00,,-1.99,,47220.00
2014-08-13,787.00,800.00,772.00,800.00,,1.65,,622460.00
2014-08-14,800.00,795.00,775.00,775.00,,-3.12,,276740.00
2014-08-18,775.00,774.00,750.00,770.00,,-0.65,,254290.00
2014-08-19,770.00,760.00,751.00,751.00,,-2.47,,683488.00
2014-08-20,751.00,740.00,715.00,715.00,,-4.79,,333784.00
2014-08-21,715.00,720.00,700.00,707.00,,-1.12,,692916.00
2014-08-24,707.00,702.00,688.00,701.00,,-0.85,,92484.00
2014-08-25,701.00,700.00,661.00,661.00,,-5.71,,81270.00
2014-08-26,661.00,680.00,670.00,680.00,,2.87,,47500.00
2014-08-27,680.00,702.00,690.00,690.00,,1.47,,639389.00
2014-08-28,690.00,714.00,677.00,714.00,,3.48,,1096812.00
2014-09-01,714.00,700.00,700.00,700.00,,-1.96,,70000.00
2014-09-03,700.00,700.00,690.00,690.00,,-1.43,,414980.00
2014-09-04,690.00,677.00,666.00,670.00,,-2.9,,191088.00
2014-09-07,670.00,657.00,632.00,632.00,,-5.67,,181172.00
2014-09-09,632.00,640.00,630.00,640.00,,1.27,,242786.00
2014-09-10,640.00,683.00,647.00,683.00,,6.72,,381205.00
2014-09-11,683.00,680.00,670.00,670.00,,-1.9,,412550.00
2014-09-14,670.00,657.00,657.00,657.00,,-1.94,,32850.00
2014-09-16,657.00,655.00,644.00,655.00,,-0.3,,407765.00
2014-09-17,655.00,663.00,650.00,663.00,,1.22,,648394.00
2014-09-22,644.00,635.00,624.00,630.00,,-2.17,,101930.00
2014-09-23,630.00,642.00,625.00,630.00,,0,,200700.00
2014-09-24,630.00,631.00,620.00,620.00,,-1.59,,415560.00
2014-09-28,620.00,622.00,620.00,622.00,,0.32,,18640.00
2014-09-29,622.00,634.00,634.00,634.00,,1.93,,6340.00
2014-09-30,634.00,641.00,640.00,640.00,,0.95,,80660.00
2014-10-09,640.00,640.00,620.00,630.00,,-1.56,,177140.00
2014-10-12,630.00,620.00,620.00,620.00,,-1.59,,18600.00
2014-10-13,620.00,621.00,608.00,608.00,,-1.94,,123840.00
2014-10-14,608.00,642.00,608.00,642.00,,5.59,,184256.00
2014-10-15,642.00,640.00,636.00,636.00,,-0.93,,51130.00
2014-10-16,636.00,659.00,635.00,659.00,,3.62,,115440.00
2014-10-19,659.00,672.00,660.00,672.00,,1.97,,279690.00
2014-10-20,672.00,680.00,671.00,680.00,,1.19,,414060.00
2014-10-21,680.00,690.00,690.00,690.00,,1.47,,6900.00
2014-10-22,690.00,681.00,670.00,670.00,,-2.9,,353525.00
2014-10-26,670.00,665.00,665.00,665.00,,-0.75,,6650.00
2014-10-27,665.00,683.00,663.00,678.00,,1.95,,213862.00
2014-10-28,678.00,680.00,667.00,671.00,,-1.03,,256008.00
2014-10-30,671.00,675.00,670.00,675.00,,0.6,,33600.00
2014-11-03,675.00,665.00,654.00,654.00,,-3.11,,212110.00
2014-11-04,654.00,650.00,649.00,649.00,,-0.76,,71490.00
2014-11-05,649.00,700.00,661.00,680.00,,4.78,,47740.00
2014-11-06,680.00,667.00,654.00,654.00,,-3.82,,13210.00
2014-11-09,654.00,654.00,641.00,641.00,,-1.99,,66672.00
2014-11-10,641.00,653.00,625.00,625.00,,-2.5,,180792.00
2014-11-11,625.00,630.00,615.00,630.00,,0.8,,374190.00
2014-11-12,630.00,620.00,606.00,620.00,,-1.59,,300152.00
2014-11-13,620.00,610.00,610.00,610.00,,-1.61,,134200.00
2014-11-16,610.00,622.00,610.00,620.00,,1.64,,161120.00
2014-11-17,620.00,620.00,600.00,610.00,,-1.61,,262376.00
2014-11-18,610.00,600.00,580.00,583.00,,-4.43,,165259.00
2014-11-19,583.00,605.00,583.00,605.00,,3.77,,269737.00
2014-11-20,605.00,605.00,593.00,593.00,,-1.98,,29890.00
2014-11-24,615.00,630.00,625.00,630.00,,2.44,,43870.00
2014-11-24,593.00,616.00,600.00,615.00,,3.71,,43870.00
2014-11-25,630.00,625.00,613.00,625.00,,-0.79,,236850.00
2014-11-30,625.00,635.00,613.00,613.00,,-1.92,,216580.00
2014-12-01,613.00,602.00,591.00,598.00,,-2.45,,131669.00
2014-12-02,598.00,605.00,605.00,605.00,,1.17,,6050.00
2014-12-03,605.00,605.00,600.00,600.00,,-0.83,,99200.00
2014-12-04,600.00,590.00,590.00,590.00,,-1.67,,23600.00
2014-12-07,590.00,595.00,584.00,595.00,,0.85,,217950.00
2014-12-08,595.00,595.00,580.00,580.00,,-2.52,,17590.00
2014-12-09,580.00,580.00,571.00,574.00,,-1.03,,175570.00
2014-12-10,574.00,575.00,564.00,565.00,,-1.57,,616050.00
2014-12-11,565.00,587.00,565.00,587.00,,3.89,,158160.00
2014-12-14,587.00,610.00,585.00,610.00,,3.92,,120284.00
2014-12-15,610.00,610.00,598.00,606.00,,-0.66,,1056846.00
2014-12-16,606.00,610.00,585.00,600.00,,-0.99,,2055518.00
2014-12-17,600.00,607.00,585.00,607.00,,1.17,,794546.00
2014-12-18,607.00,620.00,596.00,620.00,,2.14,,1375321.00
2014-12-21,620.00,608.00,596.00,601.00,,-3.06,,1811477.00
2014-12-22,601.00,605.00,596.00,603.00,,0.33,,1113483.00
2014-12-23,603.00,600.00,599.00,600.00,,-0.5,,297580.00
2014-12-24,600.00,605.00,600.00,600.00,,0,,138450.00
2014-12-28,600.00,622.00,600.00,622.00,,3.67,,515960.00
2014-12-29,622.00,649.00,625.00,640.00,,2.89,,722186.00
2014-12-31,640.00,704.00,615.00,704.00,,10,,4383078.00
2015-01-01,704.00,774.00,710.00,774.00,,9.94,,6102297.00
2015-01-04,774.00,828.00,740.00,828.00,,6.98,,6777400.00
2015-01-05,828.00,897.00,823.00,890.00,,7.49,,10042673.00
2015-01-06,890.00,935.00,883.00,934.00,,4.94,,6847476.00
2015-01-07,934.00,933.00,881.00,920.00,,-1.5,,4126819.00
2015-01-08,920.00,947.00,904.00,930.00,,1.09,,5192713.00
2015-01-11,930.00,948.00,877.00,915.00,,-1.61,,1138229.00
2015-01-12,915.00,915.00,886.00,907.00,,-0.87,,2459925.00
2015-01-13,907.00,901.00,878.00,900.00,,-0.77,,1820115.00
2015-01-14,900.00,916.00,865.00,900.00,,0,,3897391.00
2015-01-18,900.00,911.00,900.00,910.00,,1.11,,1292489.00
2015-01-19,910.00,910.00,902.00,910.00,,0,,1300332.00
2015-01-20,910.00,925.00,860.00,915.00,,0.55,,1810672.00
2015-01-22,915.00,912.00,895.00,900.00,,-1.64,,1803505.00
2015-01-25,900.00,910.00,890.00,910.00,,1.11,,1780275.00
2015-01-26,910.00,915.00,900.00,902.00,,-0.88,,1527930.00
2015-01-27,902.00,910.00,901.00,906.00,,0.44,,1188682.00
2015-01-28,906.00,925.00,905.00,925.00,,2.1,,1795286.00
2015-01-29,925.00,930.00,915.00,930.00,,0.54,,1461310.00
2015-02-01,930.00,948.00,925.00,925.00,,-0.54,,544488.00
2015-02-02,925.00,994.00,940.00,994.00,,7.46,,2748848.00
2015-02-03,994.00,1013.00,980.00,998.00,,0.4,,2332776.00
2015-02-04,998.00,1059.00,1000.00,1025.00,,2.71,,3735761.00
2015-02-05,1025.00,1045.00,1000.00,1005.00,,-1.95,,1461740.00
2015-02-08,1005.00,1000.00,980.00,1000.00,,-0.5,,503869.00
2015-02-09,1000.00,1005.00,986.00,1005.00,,0.5,,2617123.00
2015-02-10,1005.00,1005.00,990.00,992.00,,-1.29,,2486210.00
2015-02-11,992.00,1015.00,980.00,1007.00,,1.51,,2748680.00
2015-02-12,1007.00,1008.00,1000.00,1000.00,,-0.7,,2033815.00
2015-02-15,1000.00,1040.00,1006.00,1040.00,,4,,1195047.00
2015-02-16,1040.00,1072.00,1054.00,1056.00,,1.54,,3722012.00
2015-02-18,1056.00,1075.00,1010.00,1010.00,,-4.36,,3346676.00
2015-02-22,1010.00,1080.00,1025.00,1065.00,,5.44,,3453160.00
2015-02-23,1065.00,1050.00,1026.00,1045.00,,-1.88,,5202639.00
2015-02-24,1045.00,1040.00,1030.00,1038.00,,-0.48,,2783809.00
2015-02-25,1040.00,1071.00,1045.00,1055.00,,1.44,,617552.00
2015-03-01,1056.00,1050.00,1042.00,1043.00,,-1.23,,661174.00
2015-03-02,1043.00,1117.00,1043.00,1117.00,,7.09,,1562103.00
2015-03-03,1117.00,1100.00,1033.00,1086.00,,-2.78,,2119061.00
2015-03-04,1086.00,1167.00,1065.00,1149.00,,5.8,,4779305.00
2015-03-09,1149.00,1217.00,1171.00,1185.00,,3.13,,3480948.00
2015-03-10,1185.00,1180.00,1147.00,1158.00,,-2.28,,3088230.00
2015-03-11,1158.00,1151.00,1135.00,1136.00,,-1.9,,3279402.00
2015-03-12,1136.00,1150.00,1125.00,1127.00,,-0.79,,1677576.00
2015-03-15,1127.00,1125.00,1106.00,1110.00,,-1.51,,161155.00
2015-03-16,1110.00,1105.00,1055.00,1075.00,,-3.15,,1892465.00
2015-03-17,1075.00,1161.00,1096.00,1100.00,,2.33,,1626191.00
2015-03-18,1100.00,1110.00,1088.00,1105.00,,0.45,,731241.00
2015-03-19,1105.00,1122.00,1100.00,1106.00,,0.09,,786816.00
2015-03-22,1106.00,1106.00,1078.00,1078.00,,-2.53,,1013252.00
2015-03-23,1078.00,1057.00,1057.00,1057.00,,-1.95,,523215.00
2015-03-24,1057.00,1081.00,1051.00,1081.00,,2.27,,431352.00
2015-03-25,1081.00,1075.00,1060.00,1070.00,,-1.02,,2132086.00
2015-03-26,1070.00,1090.00,1080.00,1090.00,,1.87,,184500.00
2015-03-29,1090.00,1070.00,1049.00,1070.00,,-1.83,,577774.00
2015-03-30,1070.00,1091.00,1049.00,1055.00,,-1.4,,1214700.00
2015-04-01,1055.00,1055.00,1055.00,1055.00,,0,,10550.00
2015-04-06,1036.00,1055.00,1016.00,1055.00,,1.83,,463966.00
2015-04-06,1055.00,1050.00,1036.00,1036.00,,-1.8,,463966.00
2015-04-07,1055.00,1045.00,1030.00,1036.00,,-1.8,,1927836.00
2015-04-08,1036.00,1045.00,1035.00,1045.00,,0.87,,1508125.00
2015-04-09,1045.00,1070.00,1045.00,1060.00,,1.44,,661178.00
2015-04-12,1060.00,1070.00,1054.00,1055.00,,-0.47,,760660.00
2015-04-13,1055.00,1045.00,1035.00,1045.00,,-0.95,,1424500.00
2015-04-15,1045.00,1025.00,1025.00,1025.00,,-1.91,,556575.00
2015-04-16,1025.00,1045.00,1025.00,1025.00,,0,,154140.00
2015-04-19,1025.00,1040.00,1030.00,1030.00,,0.49,,228190.00
2015-04-20,1030.00,1035.00,1015.00,1035.00,,0.49,,175750.00
2015-04-21,1035.00,1050.00,1035.00,1045.00,,0.97,,314260.00
2015-04-23,1045.00,1030.00,1016.00,1022.00,,-2.2,,630366.00
2015-05-24,1022.00,1022.00,1022.00,1022.00,,0,,10220.00
2015-06-02,990.00,971.00,916.00,950.00,,-4.04,,442914.00
2015-06-03,950.00,995.00,960.00,985.00,,3.68,,553954.00
2015-06-07,996.00,1030.00,1000.00,1015.00,,2.41,,1051700.00
2015-06-07,985.00,1030.00,983.00,996.00,,1.12,,1051700.00
2015-06-08,1020.00,1060.00,1025.00,1052.00,,3.14,,1406605.00
2015-06-09,1052.00,1076.00,1055.00,1065.00,,1.24,,1406303.00
2015-06-10,1065.00,1045.00,1044.00,1044.00,,-1.97,,678764.00
2015-06-11,1044.00,1059.00,1044.00,1059.00,,1.44,,821753.00
2015-06-14,1059.00,1050.00,1020.00,1030.00,,-2.74,,265504.00
2015-06-15,1030.00,1040.00,1030.00,1030.00,,0,,498135.00
2015-06-16,1030.00,1030.00,1000.00,1011.00,,-1.84,,112510.00
2015-06-17,1011.00,1000.00,991.00,991.00,,-1.98,,309730.00
2015-06-18,991.00,990.00,985.00,985.00,,-0.61,,246750.00
2015-06-21,985.00,1000.00,980.00,1000.00,,1.52,,190320.00
2015-06-22,1000.00,1000.00,992.00,992.00,,-0.8,,131344.00
2015-06-23,999.00,1010.00,992.00,995.00,,0.3,,267680.00
2015-06-24,1000.00,1014.00,995.00,1000.00,,0.5,,426420.00
2015-06-25,995.00,1010.00,995.00,1010.00,,1,,1334377.00
2015-06-28,1015.00,1016.00,1010.00,1011.00,,0.1,,842010.00
2015-06-29,1000.00,1030.00,1000.00,1030.00,,1.88,,438450.00
2015-06-30,1050.00,1070.00,1035.00,1038.00,,0.78,,1151617.00
2015-07-01,1058.00,1058.00,1045.00,1045.00,,0.67,,191256.00
2015-07-02,1030.00,1040.00,1012.00,1040.00,,-0.48,,374392.00
2015-07-05,1030.00,1032.00,1030.00,1032.00,,-0.77,,75260.00
2015-07-06,1052.00,1073.00,1039.00,1039.00,,0.68,,1004218.00
2015-07-07,1025.00,1055.00,1025.00,1050.00,,1.06,,327310.00
