Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2018-10-11,110.00,121.00,110.00,121.00,,0,,160570.00
2018-10-14,123.00,133.00,115.00,121.00,,0,,2086020.00
2018-10-15,119.00,123.00,116.00,119.00,,-1.65,,980588.00
2018-10-21,117.00,120.00,115.00,120.00,,0.84,,342530.00
2018-10-22,119.00,118.00,114.00,116.00,,-3.33,,1460845.00
2018-10-23,114.00,116.00,113.00,114.00,,-1.72,,808850.00
2018-10-24,112.00,115.00,110.00,110.00,,-3.51,,881103.00
2018-10-25,109.00,116.00,108.00,114.00,,3.64,,498350.00
2018-10-28,112.00,118.00,109.00,113.00,,-0.88,,847800.00
2018-10-29,111.00,115.00,109.00,114.00,,0.88,,564970.00
2018-10-30,112.00,118.00,112.00,118.00,,3.51,,1370780.00
2018-10-31,116.00,120.00,114.00,117.00,,-0.85,,314830.00
2018-11-01,115.00,118.00,114.00,116.00,,-0.85,,342520.00
2018-11-04,114.00,117.00,114.00,115.00,,-0.86,,207130.00
2018-11-05,113.00,115.00,112.00,113.00,,-1.74,,254570.00
2018-11-15,111.00,116.00,109.00,113.00,,1.8,,263085.00
2018-11-18,111.00,113.00,109.00,110.00,,-0.9,,177730.00
2018-11-19,110.00,112.00,108.00,108.00,,-1.82,,258090.00
2018-11-20,108.00,110.00,107.00,107.00,,-0.93,,84270.00
2018-11-21,107.00,109.00,105.00,108.00,,0.93,,117920.00
2018-11-22,108.00,109.00,106.00,107.00,,-0.93,,128190.00
2018-11-25,107.00,107.00,103.00,104.00,,-2.8,,249770.00
2018-11-26,104.00,104.00,102.00,104.00,,0,,104430.00
2018-11-27,104.00,106.00,103.00,104.00,,0,,92510.00
2018-11-28,104.00,106.00,103.00,106.00,,1.92,,479610.00
2018-11-29,106.00,106.00,102.00,103.00,,-2.83,,63220.00
2018-12-02,103.00,105.00,101.00,105.00,,1.94,,67180.00
2018-12-03,105.00,106.00,103.00,104.00,,-0.95,,79720.00
2018-12-04,104.00,105.00,103.00,103.00,,-0.96,,147630.00
2018-12-06,105.00,106.00,103.00,104.00,,-0.95,,31220.00
2018-12-09,104.00,104.00,102.00,103.00,,-0.96,,25660.00
2018-12-10,103.00,104.00,102.00,104.00,,0.97,,18510.00
2018-12-11,104.00,105.00,102.00,103.00,,-0.96,,16520.00
2018-12-12,103.00,104.00,101.00,103.00,,0,,46790.00
2018-12-13,103.00,105.00,101.00,105.00,,1.94,,84830.00
2018-12-16,105.00,107.00,103.00,107.00,,1.9,,48770.00
2018-12-17,107.00,108.00,103.00,103.00,,-3.74,,169110.00
2018-12-18,103.00,103.00,101.00,103.00,,0,,23560.00
2018-12-19,103.00,105.00,101.00,102.00,,-0.97,,51620.00
2018-12-20,102.00,103.00,101.00,102.00,,0,,47950.00
