Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2017-09-12,248.00,261.00,224.00,224.00,,-9.68,,1655305.00
2017-09-13,220.00,220.00,202.00,202.00,,-9.37,,19241630.00
2017-09-14,201.00,213.00,201.00,212.00,,4.43,,3655874.00
2017-09-17,216.00,218.00,208.00,214.00,,0.94,,2744374.00
2017-09-18,210.00,216.00,210.00,211.00,,-1.4,,3559429.00
2017-09-20,210.00,215.00,209.00,214.00,,1.42,,1998533.00
2017-09-24,214.00,218.00,211.00,213.00,,-0.47,,1155765.00
2017-09-25,211.00,217.00,211.00,216.00,,1.41,,891059.00
2017-09-26,215.00,218.00,214.00,218.00,,0.93,,2293346.00
2017-10-03,218.00,218.00,213.00,217.00,,-0.46,,590465.00
2017-10-04,216.00,222.00,215.00,215.00,,-0.92,,1497538.00
2017-10-08,211.00,212.00,203.00,211.00,,-1.86,,2473364.00
2017-10-09,212.00,212.00,204.00,206.00,,-2.37,,1502034.00
2017-10-10,205.00,211.00,205.00,208.00,,0.49,,1227017.00
2017-10-11,204.00,210.00,204.00,207.00,,0,,1084219.00
2017-10-12,207.00,209.00,207.00,209.00,,0.97,,565819.00
2017-10-15,213.00,213.00,207.00,209.00,,-0.48,,856961.00
2017-10-16,210.00,217.00,208.00,217.00,,4.33,,1440927.00
2017-10-18,213.00,217.00,211.00,217.00,,1.88,,2278447.00
2017-10-22,220.00,223.00,217.00,218.00,,0.46,,1039752.00
2017-10-23,218.00,216.00,214.00,216.00,,-0.92,,1729656.00
2017-10-24,216.00,217.00,212.00,217.00,,0.46,,1802507.00
2017-10-25,214.00,215.00,212.00,213.00,,-1.84,,533263.00
2017-10-29,215.00,215.00,211.00,211.00,,-0.94,,872310.00
2017-10-30,211.00,213.00,208.00,211.00,,0,,1259017.00
2017-10-31,209.00,212.00,209.00,210.00,,-0.47,,257977.00
2017-11-01,208.00,209.00,206.00,208.00,,-0.95,,1867263.00
2017-11-02,206.00,209.00,206.00,208.00,,0,,1363161.00
2017-11-05,206.00,208.00,203.00,205.00,,-1.44,,2426994.00
2017-11-06,205.00,209.00,200.00,202.00,,-1.46,,3266407.00
2017-11-07,201.00,207.00,201.00,202.00,,0,,1565495.00
2017-11-08,203.00,203.00,200.00,200.00,,-0.99,,2119221.00
2017-11-09,200.00,204.00,197.00,200.00,,0,,2415598.00
2017-11-12,200.00,205.00,200.00,205.00,,2.5,,1284381.00
2017-11-13,206.00,206.00,200.00,203.00,,-0.98,,669171.00
2017-11-14,203.00,205.00,202.00,205.00,,0.99,,2681645.00
2017-11-15,205.00,206.00,201.00,202.00,,-1.46,,852353.00
2017-11-16,199.00,202.00,199.00,199.00,,-1.49,,1590012.00
2017-11-19,199.00,197.00,195.00,195.00,,-2.01,,1269310.00
2017-11-20,195.00,197.00,195.00,195.00,,0,,728340.00
2017-11-21,195.00,197.00,192.00,193.00,,-1.54,,1513554.00
2017-11-22,190.00,195.00,190.00,195.00,,1.56,,3182135.00
2017-11-23,195.00,196.00,191.00,194.00,,-0.51,,1954708.00
2017-11-26,194.00,199.00,193.00,199.00,,2.58,,1393589.00
2017-11-27,197.00,198.00,192.00,192.00,,-3.52,,2644781.00
2017-11-28,193.00,196.00,193.00,195.00,,1.56,,862830.00
2017-11-29,194.00,201.00,193.00,193.00,,-1.03,,2352987.00
2017-11-30,191.00,196.00,191.00,193.00,,0,,2181105.00
2017-12-04,193.00,197.00,193.00,196.00,,1.55,,950476.00
2017-12-05,199.00,198.00,193.00,194.00,,-1.02,,617246.00
2017-12-06,197.00,199.00,194.00,199.00,,2.58,,1304041.00
2017-12-10,202.00,202.00,191.00,194.00,,-2.51,,3748102.00
2017-12-11,195.00,195.00,192.00,193.00,,-0.51,,1508152.00
2017-12-12,190.00,194.00,190.00,194.00,,0.52,,2673555.00
2017-12-13,192.00,195.00,191.00,192.00,,-1.03,,411138.00
2017-12-14,191.00,193.00,189.00,192.00,,0,,978509.00
2017-12-17,196.00,196.00,191.00,195.00,,1.04,,2005245.00
2017-12-18,193.00,194.00,191.00,191.00,,-2.05,,1255992.00
2017-12-19,189.00,192.00,189.00,190.00,,-0.52,,2729430.00
2017-12-20,191.00,191.00,187.00,190.00,,0,,321327.00
2017-12-21,190.00,193.00,187.00,190.00,,0,,1130482.00
2017-12-24,189.00,189.00,185.00,185.00,,-2.63,,654299.00
2017-12-27,185.00,185.00,177.00,177.00,,-4.32,,3073082.00
2017-12-27,185.00,188.00,183.00,185.00,,0,,3073082.00
2017-12-28,176.00,178.00,173.00,174.00,,-1.69,,2164894.00
2017-12-31,172.00,177.00,172.00,177.00,,1.72,,1128635.00
2018-01-01,176.00,183.00,172.00,181.00,,2.82,,2560871.00
2018-01-02,181.00,183.00,176.00,179.00,,-1.65,,1728857.00
2018-01-03,179.00,179.00,174.00,177.00,,-1.12,,1193706.00
2018-01-04,175.00,179.00,174.00,175.00,,-1.13,,1364674.00
