Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2017-07-25,171.00,184.00,171.00,184.00,,9.52,,10690.00
2017-07-26,187.00,202.00,187.00,202.00,,9.78,,13690.00
2017-07-27,206.00,222.00,206.00,222.00,,9.9,,6865838.00
2017-07-30,226.00,242.00,219.00,220.00,,-0.9,,23309363.00
2017-07-31,220.00,230.00,213.00,217.00,,-1.36,,5398524.00
2017-08-01,215.00,226.00,215.00,220.00,,1.38,,5873683.00
2017-08-02,220.00,224.00,215.00,220.00,,0,,4565293.00
2017-08-03,220.00,224.00,215.00,215.00,,-2.27,,4459434.00
2017-08-06,211.00,219.00,211.00,214.00,,-0.47,,5430496.00
2017-08-07,218.00,228.00,216.00,227.00,,6.07,,15087087.00
2017-08-09,227.00,238.00,224.00,228.00,,0.44,,13540646.00
2017-08-10,225.00,228.00,224.00,226.00,,-0.88,,2950858.00
2017-08-13,225.00,225.00,217.00,222.00,,-1.77,,4303257.00
2017-08-15,218.00,222.00,215.00,219.00,,-1.35,,2944542.00
2017-08-16,223.00,224.00,213.00,215.00,,-1.83,,6722785.00
2017-08-17,213.00,223.00,213.00,223.00,,3.26,,2823607.00
2017-08-20,222.00,223.00,215.00,218.00,,-1.8,,1455435.00
2017-08-21,217.00,220.00,214.00,217.00,,-0.46,,1371726.00
2017-08-22,217.00,221.00,215.00,217.00,,-0.46,,1062627.00
2017-08-23,217.00,220.00,213.00,217.00,,0.46,,2777309.00
2017-08-27,217.00,221.00,215.00,216.00,,-0.46,,1922042.00
2017-08-28,220.00,220.00,214.00,216.00,,0,,2547145.00
2017-08-30,216.00,215.00,212.00,212.00,,-1.85,,1286220.00
2017-09-04,209.00,213.00,206.00,208.00,,-1.42,,3149767.00
2017-09-06,211.00,215.00,207.00,210.00,,0.96,,1803019.00
2017-09-07,207.00,211.00,206.00,209.00,,-0.48,,1267427.00
2017-09-10,208.00,208.00,203.00,204.00,,-2.39,,3562290.00
2017-09-11,203.00,206.00,200.00,203.00,,-0.49,,1271241.00
2017-09-12,202.00,202.00,199.00,201.00,,-0.99,,1144802.00
2017-09-13,201.00,205.00,200.00,201.00,,-0.5,,1449754.00
2017-09-14,204.00,208.00,201.00,208.00,,4,,799703.00
2017-09-17,210.00,211.00,207.00,208.00,,0,,1254113.00
2017-09-18,210.00,211.00,206.00,209.00,,0.48,,1486227.00
2017-09-20,208.00,212.00,206.00,210.00,,1.44,,1530223.00
2017-09-24,214.00,214.00,206.00,207.00,,-2.36,,2102020.00
2017-09-25,208.00,214.00,208.00,212.00,,2.41,,513626.00
2017-09-26,210.00,215.00,210.00,212.00,,0,,633988.00
2017-10-03,216.00,217.00,213.00,213.00,,0.47,,195032.00
2017-10-04,209.00,213.00,208.00,209.00,,-2.35,,483272.00
2017-10-08,207.00,207.00,200.00,204.00,,-1.92,,1948916.00
2017-10-09,201.00,208.00,200.00,205.00,,0.49,,1689334.00
2017-10-10,202.00,209.00,202.00,208.00,,1.95,,957661.00
2017-10-11,213.00,213.00,208.00,208.00,,-0.48,,1701955.00
2017-10-12,206.00,209.00,206.00,208.00,,0,,619672.00
2017-10-15,210.00,212.00,207.00,212.00,,1.92,,1036463.00
2017-10-16,214.00,218.00,206.00,216.00,,2.36,,3378890.00
2017-10-18,214.00,218.00,213.00,218.00,,1.4,,1258787.00
2017-10-22,216.00,220.00,214.00,218.00,,-0.92,,883444.00
2017-10-23,216.00,219.00,213.00,214.00,,-0.93,,1551877.00
2017-10-24,214.00,218.00,211.00,214.00,,0,,1131302.00
2017-10-25,211.00,214.00,211.00,212.00,,-0.93,,1291068.00
2017-10-29,211.00,213.00,208.00,212.00,,0.47,,2359162.00
