Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2020-09-20,300.00,330.00,270.00,270.00,,-10,,33469970.00
2020-09-21,257.00,257.00,243.00,243.00,,-10,,10802315.00
2020-09-22,239.00,239.00,219.00,219.00,,-9.88,,4517715.00
2020-09-23,215.00,229.00,198.00,218.00,,-0.46,,26279887.00
2020-09-24,215.00,231.00,211.00,223.00,,2.29,,11402670.00
2020-09-27,221.00,226.00,215.00,216.00,,-3.14,,6895980.00
2020-09-28,215.00,215.00,206.00,209.00,,-3.24,,5231169.00
2020-09-29,207.00,215.00,200.00,208.00,,-0.48,,9947895.00
2020-09-30,204.00,215.00,200.00,210.00,,0.96,,7178430.00
2020-10-01,205.00,218.00,203.00,204.00,,-2.86,,5951065.00
2020-10-04,204.00,204.00,197.00,200.00,,-1.96,,7529888.00
2020-10-05,200.00,204.00,194.00,203.00,,1.5,,5375410.00
2020-10-06,199.00,221.00,199.00,221.00,,8.87,,6762700.00
2020-10-07,221.00,240.00,211.00,237.00,,7.24,,15432660.00
2020-10-08,234.00,240.00,220.00,221.00,,-6.75,,14817208.00
2020-10-11,217.00,225.00,209.00,217.00,,-1.81,,5259706.00
2020-10-12,213.00,215.00,209.00,214.00,,-1.38,,4646701.00
2020-10-13,212.00,213.00,206.00,208.00,,-2.8,,4461805.00
2020-10-14,208.00,208.00,201.00,202.00,,-2.88,,3745115.00
2020-10-15,206.00,211.00,200.00,204.00,,0.99,,3144565.00
2020-10-18,200.00,205.00,200.00,203.00,,-0.49,,1335140.00
2020-10-19,199.00,207.00,199.00,207.00,,1.97,,1478570.00
2020-10-20,203.00,215.00,203.00,207.00,,0,,4110085.00
2020-10-21,205.00,208.00,204.00,208.00,,0.48,,1244155.00
2020-10-22,204.00,210.00,202.00,208.00,,0,,1611040.00
2020-10-28,210.00,210.00,202.00,206.00,,-0.96,,1654220.00
2020-10-29,203.00,209.00,203.00,205.00,,-0.49,,2309148.00
2020-11-01,201.00,207.00,201.00,204.00,,-0.49,,3474795.00
2020-11-02,200.00,207.00,200.00,204.00,,0,,1447715.00
2020-11-03,210.00,210.00,203.00,206.00,,0.98,,2078615.00
2020-11-04,196.00,210.00,196.00,208.00,,0.97,,1450362.00
2020-11-05,209.00,212.00,203.00,212.00,,1.92,,5325488.00
2020-11-08,209.00,220.00,209.00,217.00,,2.36,,7528495.00
2020-11-09,220.00,221.00,212.00,213.00,,-1.84,,5289204.00
2020-11-10,215.00,215.00,211.00,211.00,,-0.94,,3194228.00
2020-11-11,214.00,214.00,207.00,210.00,,-0.47,,2472110.00
2020-11-12,209.00,212.00,207.00,209.00,,-0.48,,1508340.00
2020-11-18,205.00,208.00,205.00,206.00,,-1.44,,3579103.00
