Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,3930.00,3970.00,3794.00,3900.00,,-0.76,,17062498.00
2014-08-04,3970.00,4000.00,3950.00,4000.00,,0.76,,17062498.00
2014-08-04,4000.00,3990.00,3900.00,3930.00,,-1.75,,17062498.00
2014-08-04,4000.00,4020.00,3920.00,3970.00,,-0.75,,17062498.00
2014-08-05,3900.00,3900.00,3875.00,3895.00,,-0.13,,6368795.00
2014-08-06,3895.00,3950.00,3900.00,3950.00,,1.41,,2353600.00
2014-08-07,3950.00,3900.00,3870.00,3880.00,,-1.77,,4679580.00
2014-08-12,3880.00,3850.00,3805.00,3805.00,,-1.93,,1084535.00
2014-08-13,3805.00,3820.00,3800.00,3820.00,,0.39,,3050320.00
2014-08-14,3820.00,4100.00,3850.00,4100.00,,7.33,,1373760.00
2014-08-18,4100.00,4018.00,4018.00,4018.00,,-2,,188846.00
2014-08-19,4018.00,4100.00,3822.00,4100.00,,2.04,,4634210.00
2014-08-24,4100.00,4018.00,3690.00,3690.00,,-10,,637072.00
2014-08-25,3690.00,3617.00,3322.00,3322.00,,-9.97,,1866588.00
2014-08-26,3322.00,3455.00,3110.00,3150.00,,-5.18,,23626990.00
2014-08-27,3150.00,3460.00,3213.00,3425.00,,8.73,,6264669.00
2014-08-28,3425.00,3620.00,3493.00,3501.00,,2.22,,4853690.00
2014-08-31,3501.00,3510.00,3490.00,3490.00,,-0.31,,2961070.00
2014-09-03,3490.00,3421.00,3170.00,3170.00,,-9.17,,2602046.00
2014-09-04,3170.00,3213.00,3120.00,3213.00,,1.36,,8089214.00
2014-09-07,3213.00,3150.00,3149.00,3150.00,,-1.96,,283460.00
2014-09-09,3150.00,3170.00,3100.00,3162.00,,0.38,,9095550.00
2014-09-10,3162.00,3230.00,3100.00,3100.00,,-1.96,,5370220.00
2014-09-11,3100.00,3140.00,3050.00,3050.00,,-1.61,,9221440.00
2014-09-14,3050.00,3071.00,3065.00,3071.00,,0.69,,680562.00
2014-09-15,3071.00,3200.00,3030.00,3200.00,,4.2,,4289450.00
2014-09-16,3200.00,3213.00,3140.00,3213.00,,0.41,,666613.00
2014-09-17,3213.00,3277.00,3186.00,3186.00,,-0.84,,579536.00
2014-09-21,3155.00,3150.00,3150.00,3150.00,,-0.16,,315000.00
2014-09-22,3150.00,3125.00,3090.00,3100.00,,-1.59,,1425750.00
2014-09-23,3100.00,3215.00,3125.00,3155.00,,1.77,,2299630.00
2014-09-24,3155.00,3250.00,3100.00,3250.00,,3.01,,1647500.00
2014-09-28,3250.00,3380.00,3290.00,3380.00,,4,,2514972.00
2014-09-29,3380.00,3520.00,3440.00,3520.00,,4.14,,1445498.00
2014-09-30,3520.00,3590.00,3421.00,3480.00,,-1.14,,2809990.00
2014-10-08,3480.00,3415.00,3411.00,3411.00,,-1.98,,976346.00
2014-10-09,3411.00,3385.00,3350.00,3351.00,,-1.76,,1415270.00
2014-10-12,3351.00,3350.00,3284.00,3284.00,,-2,,3964201.00
2014-10-13,3284.00,3260.00,3230.00,3260.00,,-0.73,,877300.00
2014-10-14,3260.00,3264.00,3200.00,3264.00,,0.12,,264320.00
2014-10-15,3264.00,3375.00,3250.00,3375.00,,3.4,,2365172.00
2014-10-16,3375.00,3450.00,3350.00,3350.00,,-0.74,,447491.00
2014-10-20,3350.00,3440.00,3395.00,3400.00,,1.49,,2666960.00
2014-10-21,3400.00,3500.00,3400.00,3500.00,,2.94,,4598390.00
2014-10-22,3500.00,3509.00,3457.00,3509.00,,0.26,,3648338.00
2014-10-26,3509.00,3570.00,3485.00,3485.00,,-0.68,,3900690.00
2014-10-27,3485.00,3606.00,3550.00,3606.00,,3.47,,848396.00
2014-10-28,3606.00,3650.00,3600.00,3650.00,,1.22,,3327970.00
2014-10-30,3650.00,3680.00,3650.00,3680.00,,0.82,,517620.00
2014-11-02,3680.00,3700.00,3553.00,3601.00,,-2.15,,3866800.00
2014-11-03,3601.00,3550.00,3400.00,3450.00,,-4.19,,4230900.00
2014-11-04,3450.00,3450.00,3300.00,3400.00,,-1.45,,3183198.00
2014-11-05,3400.00,3530.00,3445.00,3460.00,,1.76,,3105540.00
2014-11-06,3460.00,3505.00,3440.00,3505.00,,1.3,,2669810.00
2014-11-09,3505.00,3520.00,3435.00,3435.00,,-2,,2494245.00
2014-11-10,3435.00,3367.00,3290.00,3306.00,,-3.76,,3176837.00
2014-11-11,3306.00,3365.00,3320.00,3365.00,,1.78,,4332365.00
2014-11-12,3365.00,3305.00,3300.00,3300.00,,-1.93,,4398430.00
2014-11-13,3300.00,3330.00,3108.00,3330.00,,0.91,,27631346.00
2014-11-16,3330.00,3340.00,3180.00,3180.00,,-4.5,,2895365.00
2014-11-17,3180.00,3135.00,3071.00,3135.00,,-1.42,,3964022.00
2014-11-18,3135.00,3180.00,3014.00,3180.00,,1.44,,2247600.00
2014-11-19,3180.00,3220.00,3200.00,3200.00,,0.63,,1728400.00
2014-11-20,3200.00,3300.00,3200.00,3300.00,,3.12,,2433144.00
2014-11-24,3300.00,3300.00,3250.00,3250.00,,-1.52,,655000.00
2014-11-24,3300.00,3366.00,3300.00,3300.00,,0,,655000.00
2014-11-25,3250.00,3264.00,3200.00,3264.00,,0.43,,115840.00
2014-11-30,3264.00,3230.00,3205.00,3205.00,,-1.81,,2856520.00
2014-12-01,3205.00,3155.00,3100.00,3100.00,,-3.28,,6239157.00
2014-12-02,3100.00,3180.00,3055.00,3100.00,,0,,16793720.00
2014-12-03,3100.00,3162.00,3088.00,3091.00,,-0.29,,2634252.00
2014-12-04,3091.00,3172.00,3100.00,3100.00,,0.29,,1027420.00
2014-12-08,3100.00,3060.00,3035.00,3036.00,,-2.06,,1642395.00
2014-12-09,3036.00,3040.00,2985.00,2990.00,,-1.52,,3773075.00
2014-12-10,2990.00,3109.00,3000.00,3109.00,,3.98,,550199.00
2014-12-11,3109.00,3115.00,3060.00,3115.00,,0.19,,1556545.00
2014-12-14,3115.00,3178.00,3102.00,3160.00,,1.44,,1921742.00
2014-12-15,3160.00,3329.00,3100.00,3329.00,,5.35,,2136966.00
2014-12-16,3329.00,3270.00,3180.00,3180.00,,-4.48,,839980.00
2014-12-17,3180.00,3220.00,3220.00,3220.00,,1.26,,99820.00
2014-12-18,3220.00,3220.00,3190.00,3190.00,,-0.93,,1450560.00
2014-12-21,3190.00,3190.00,3190.00,3190.00,,0,,634810.00
2014-12-23,3190.00,3127.00,3010.00,3015.00,,-5.49,,3288052.00
2014-12-24,3015.00,3051.00,2990.00,3022.00,,0.23,,6362280.00
2014-12-28,3022.00,3101.00,3051.00,3051.00,,0.96,,3991092.00
2014-12-29,3051.00,3090.00,3015.00,3065.00,,0.46,,2837066.00
2014-12-31,3065.00,3100.00,3045.00,3100.00,,1.14,,332270.00
2015-01-01,3100.00,3101.00,3062.00,3080.00,,-0.65,,1669902.00
2015-01-04,3080.00,3252.00,3099.00,3200.00,,3.9,,5347334.00
2015-01-05,3200.00,3255.00,3140.00,3140.00,,-1.88,,1971168.00
2015-01-06,3140.00,3140.00,3090.00,3140.00,,0,,2503950.00
2015-01-07,3140.00,3210.00,3090.00,3210.00,,2.23,,2076940.00
2015-01-08,3210.00,3274.00,3210.00,3220.00,,0.31,,903415.00
2015-01-11,3220.00,3280.00,3220.00,3220.00,,0,,130000.00
2015-01-12,3220.00,3330.00,3200.00,3330.00,,3.42,,5208660.00
2015-01-13,3330.00,3425.00,3300.00,3335.00,,0.15,,11007474.00
2015-01-14,3335.00,3350.00,3325.00,3335.00,,0,,7334355.00
2015-01-18,3335.00,3401.00,3395.00,3395.00,,1.8,,713010.00
2015-01-19,3395.00,3462.00,3400.00,3440.00,,1.33,,6808330.00
2015-01-20,3440.00,3372.00,3372.00,3372.00,,-1.98,,370920.00
2015-01-22,3372.00,3360.00,3270.00,3331.00,,-1.22,,2925182.00
2015-01-25,3331.00,3330.00,3311.00,3311.00,,-0.6,,966142.00
2015-01-26,3311.00,3315.00,3310.00,3310.00,,-0.03,,1656100.00
2015-01-27,3310.00,3320.00,3310.00,3315.00,,0.15,,1821677.00
2015-01-28,3315.00,3400.00,3340.00,3400.00,,2.56,,840140.00
2015-01-29,3400.00,3340.00,3316.00,3340.00,,-1.76,,1351022.00
2015-02-01,3340.00,3400.00,3360.00,3370.00,,0.9,,2256830.00
2015-02-02,3370.00,3400.00,3370.00,3390.00,,0.59,,1645410.00
2015-02-03,3390.00,3375.00,3351.00,3356.00,,-1,,3142054.00
2015-02-04,3356.00,3356.00,3340.00,3340.00,,-0.48,,508470.00
2015-02-05,3340.00,3370.00,3350.00,3370.00,,0.9,,456836.00
2015-02-08,3370.00,3385.00,3370.00,3385.00,,0.45,,1299475.00
2015-02-09,3385.00,3460.00,3400.00,3416.00,,0.92,,7976650.00
2015-02-10,3416.00,3440.00,3402.00,3435.00,,0.56,,9978663.00
2015-02-11,3435.00,3445.00,3410.00,3440.00,,0.15,,5783035.00
2015-02-12,3440.00,3519.00,3420.00,3499.00,,1.72,,20777383.00
2015-02-15,2692.00,2854.00,2745.00,2854.00,,6.02,,436662.00
2015-02-16,2854.00,2911.00,2853.00,2853.00,,-0.03,,749260.00
2015-02-18,2853.00,2860.00,2830.00,2830.00,,-0.81,,1677080.00
2015-02-26,2830.00,2800.00,2800.00,2800.00,,-1.06,,128800.00
2015-03-01,2800.00,2800.00,2800.00,2800.00,,0,,218400.00
2015-03-02,2800.00,2760.00,2705.00,2759.00,,-1.46,,1462890.00
2015-03-04,2759.00,2740.00,2660.00,2660.00,,-3.59,,2981900.00
2015-03-09,2660.00,2766.00,2607.00,2766.00,,3.98,,790651.00
2015-03-10,2766.00,2720.00,2711.00,2711.00,,-1.99,,518620.00
2015-03-11,2711.00,2700.00,2700.00,2700.00,,-0.41,,270000.00
2015-03-12,2700.00,2700.00,2690.00,2690.00,,-0.37,,291200.00
2015-03-15,2690.00,2651.00,2650.00,2650.00,,-1.49,,198798.00
2015-03-16,2650.00,2653.00,2601.00,2625.00,,-0.94,,1581094.00
2015-03-17,2625.00,2625.00,2600.00,2600.00,,-0.95,,312500.00
2015-03-18,2600.00,2600.00,2575.00,2575.00,,-0.96,,82925.00
2015-03-19,2575.00,2626.00,2575.00,2575.00,,0,,570020.00
2015-03-22,2575.00,2530.00,2526.00,2527.00,,-1.86,,503161.00
2015-03-26,2527.00,2525.00,2480.00,2525.00,,-0.08,,342230.00
2015-03-30,2525.00,2500.00,2500.00,2500.00,,-0.99,,150000.00
2015-03-31,2500.00,2510.00,2475.00,2475.00,,-1,,670230.00
2015-04-01,2475.00,2452.00,2452.00,2452.00,,-0.93,,152024.00
2015-04-02,2452.00,2440.00,2410.00,2440.00,,-0.49,,3898530.00
2015-04-06,2435.00,2509.00,2435.00,2509.00,,3.04,,761080.00
2015-04-06,2440.00,2435.00,2430.00,2435.00,,-0.2,,761080.00
