Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-10-14,100.00,307.00,307.00,307.00,,207,,12587.00
2014-10-27,307.00,337.00,313.00,337.00,,9.77,,107240.00
2014-11-02,337.00,353.00,353.00,353.00,,4.75,,7060.00
2014-11-03,353.00,367.00,360.00,367.00,,3.97,,10940.00
2014-11-11,367.00,395.00,374.00,395.00,,7.63,,15380.00
2014-11-17,395.00,405.00,405.00,405.00,,2.53,,4050.00
2014-11-18,405.00,445.00,413.00,445.00,,9.88,,71735.00
2014-11-19,445.00,489.00,453.00,489.00,,9.89,,24039.00
2014-11-20,489.00,527.00,498.00,527.00,,7.77,,61450.00
2014-11-24,579.00,636.00,590.00,636.00,,9.84,,94437.00
2014-11-24,527.00,579.00,537.00,579.00,,9.87,,94437.00
2014-11-25,636.00,699.00,648.00,699.00,,9.91,,2377820.00
2014-11-30,699.00,730.00,638.00,659.00,,-5.72,,5669045.00
2014-12-01,659.00,654.00,618.00,623.00,,-5.46,,2253085.00
2014-12-02,623.00,620.00,593.00,596.00,,-4.33,,1030375.00
2014-12-03,596.00,600.00,585.00,585.00,,-1.85,,700063.00
2014-12-04,585.00,607.00,589.00,590.00,,0.85,,557270.00
2014-12-07,590.00,600.00,585.00,600.00,,1.69,,380230.00
2014-12-08,600.00,610.00,580.00,581.00,,-3.17,,397448.00
2014-12-09,581.00,585.00,566.00,580.00,,-0.17,,410417.00
2014-12-10,580.00,595.00,578.00,580.00,,0,,951268.00
2014-12-11,580.00,590.00,578.00,590.00,,1.72,,479980.00
2014-12-14,590.00,624.00,598.00,615.00,,4.24,,636605.00
2014-12-15,615.00,620.00,600.00,620.00,,0.81,,558171.00
2014-12-16,620.00,620.00,582.00,598.00,,-3.55,,340682.00
2014-12-17,598.00,620.00,595.00,600.00,,0.33,,675531.00
2014-12-18,600.00,600.00,581.00,600.00,,0,,91520.00
2014-12-21,600.00,608.00,589.00,608.00,,1.33,,359180.00
2014-12-22,608.00,611.00,588.00,590.00,,-2.96,,285394.00
2014-12-23,590.00,589.00,570.00,575.00,,-2.54,,961563.00
2014-12-24,575.00,580.00,570.00,580.00,,0.87,,647990.00
2014-12-28,580.00,601.00,572.00,600.00,,3.45,,1084095.00
2014-12-29,600.00,600.00,590.00,591.00,,-1.5,,244900.00
2014-12-31,591.00,639.00,600.00,639.00,,8.12,,2059966.00
2015-01-01,639.00,685.00,628.00,669.00,,4.69,,1511048.00
2015-01-04,669.00,700.00,656.00,698.00,,4.33,,1762423.00
2015-01-05,698.00,728.00,680.00,717.00,,2.72,,2657427.00
2015-01-06,717.00,726.00,706.00,720.00,,0.42,,2189534.00
2015-01-07,720.00,769.00,692.00,769.00,,6.81,,3122135.00
2015-01-08,769.00,845.00,760.00,845.00,,9.88,,3252901.00
2015-01-11,845.00,920.00,776.00,851.00,,0.71,,2988825.00
2015-01-12,851.00,850.00,790.00,818.00,,-3.88,,3323460.00
2015-01-13,818.00,840.00,801.00,840.00,,2.69,,925589.00
2015-01-14,840.00,855.00,820.00,823.00,,-2.02,,1198089.00
2015-01-18,823.00,810.00,790.00,806.00,,-2.07,,850324.00
2015-01-19,806.00,838.00,795.00,795.00,,-1.36,,809804.00
2015-01-20,795.00,816.00,776.00,791.00,,-0.5,,371820.00
2015-01-22,791.00,790.00,775.00,775.00,,-2.02,,771764.00
2015-01-25,775.00,805.00,760.00,800.00,,3.23,,394470.00
2015-01-26,800.00,816.00,795.00,801.00,,0.12,,1542341.00
2015-01-27,801.00,803.00,791.00,800.00,,-0.12,,524863.00
2015-01-28,800.00,805.00,800.00,801.00,,0.12,,576347.00
2015-01-29,801.00,805.00,799.00,799.00,,-0.25,,333026.00
2015-02-01,799.00,790.00,787.00,790.00,,-1.13,,194256.00
2015-02-02,790.00,800.00,790.00,800.00,,1.27,,1503859.00
2015-02-03,800.00,823.00,802.00,817.00,,2.12,,805035.00
2015-02-04,817.00,865.00,812.00,860.00,,5.26,,1492513.00
2015-02-05,860.00,860.00,829.00,851.00,,-1.05,,467871.00
2015-02-08,851.00,835.00,819.00,825.00,,-3.06,,464141.00
2015-02-09,825.00,830.00,816.00,830.00,,0.61,,373252.00
2015-02-10,830.00,835.00,822.00,835.00,,0.6,,1057840.00
2015-02-11,835.00,844.00,825.00,830.00,,-0.6,,905253.00
2015-02-12,830.00,838.00,826.00,838.00,,0.96,,574730.00
2015-02-15,838.00,897.00,840.00,897.00,,7.04,,2374377.00
2015-02-16,897.00,969.00,900.00,945.00,,5.35,,1512573.00
2015-02-18,945.00,950.00,912.00,945.00,,0,,5017120.00
2015-02-22,945.00,963.00,880.00,897.00,,-5.08,,319432.00
2015-02-23,897.00,950.00,864.00,950.00,,5.91,,2630250.00
2015-02-24,950.00,1041.00,882.00,1041.00,,9.58,,3419453.00
2015-02-25,1041.00,1021.00,950.00,985.00,,-5.38,,7022044.00
2015-02-26,985.00,975.00,975.00,975.00,,-1.02,,722478.00
2015-03-01,995.00,988.00,945.00,988.00,,-0.7,,167234.00
2015-03-02,988.00,995.00,940.00,970.00,,-1.82,,4041705.00
