Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-08-28,176.40,185.90,176.00,181.20,,4.71,,73179559.00
2023-08-29,183.20,183.20,179.10,179.80,,-0.77,,12204820.90
2023-08-30,179.60,186.60,179.60,185.00,,2.89,,30279658.60
2023-09-03,188.50,188.50,182.20,185.00,,0,,20142438.90
2023-09-04,184.90,185.10,182.10,184.30,,-0.38,,19669392.70
2023-09-05,183.00,187.30,181.00,187.30,,1.63,,20273865.20
2023-09-07,184.00,187.00,182.30,184.00,,-1.76,,9343363.90
2023-09-10,182.20,186.90,182.20,185.60,,0.87,,14377781.10
2023-09-11,186.50,190.00,183.40,188.30,,1.45,,22701547.90
2023-09-12,188.00,194.80,185.70,194.80,,3.45,,16309787.80
2023-09-13,191.00,194.40,190.20,193.00,,-0.92,,35609889.40
2023-09-17,196.80,196.80,185.00,188.00,,-2.59,,22388631.90
2023-09-18,184.40,187.00,183.00,185.80,,-1.17,,2936644.50
2023-09-19,186.00,190.00,184.10,187.80,,1.08,,9066171.90
2023-09-21,189.00,193.00,188.00,190.00,,1.17,,35883103.60
2023-09-24,193.70,194.80,188.20,193.00,,1.58,,21871328.70
2023-09-25,195.20,195.20,188.00,189.20,,-1.97,,12521655.00
2023-09-26,190.00,191.70,186.50,188.50,,-0.37,,16937050.70
2023-09-27,191.00,192.00,186.00,189.90,,0.74,,15276963.80
2023-10-01,190.00,190.00,183.50,185.80,,-2.16,,11669882.90
2023-10-02,185.00,189.00,183.60,187.10,,0.7,,11861953.70
2023-10-03,184.00,187.00,184.00,186.10,,-0.53,,5722171.50
2023-10-04,185.00,187.90,185.00,186.90,,0.43,,7650102.90
2023-10-05,186.10,187.40,184.80,185.00,,-1.02,,14245494.60
2023-10-08,184.00,186.00,181.10,181.10,,-2.11,,13920530.20
2023-10-09,180.20,188.30,180.20,182.00,,0.5,,7961052.10
2023-10-10,180.10,182.00,180.00,180.00,,-1.1,,8462665.10
2023-10-11,181.00,182.80,180.40,182.00,,1.11,,7712845.40
2023-10-12,181.00,183.50,180.50,181.70,,-0.16,,13288419.40
2023-10-16,180.10,181.00,179.00,179.80,,-1.05,,6285304.80
2023-10-17,180.00,182.00,179.00,181.00,,0.67,,3790825.80
2023-10-18,182.00,188.00,180.60,184.50,,1.93,,2914392.70
2023-10-19,186.00,187.00,180.90,183.00,,-0.81,,2468902.80
2023-10-29,182.00,182.00,179.20,182.00,,-0.55,,4451823.00
2023-10-30,179.00,182.90,179.00,181.40,,-0.33,,2971595.00
2023-10-31,179.20,184.00,179.20,180.40,,-0.55,,1953669.00
2023-11-01,181.00,181.90,180.00,181.00,,0.33,,5695783.40
