Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2025-11-04,317.70,349.40,317.70,349.40,,9.98,,36858.00
2025-11-05,356.30,384.30,356.30,384.30,,9.99,,72328.00
2025-11-06,391.90,422.70,391.90,422.70,,9.99,,138424.00
2025-11-09,431.10,464.90,431.10,464.90,,9.98,,282758.00
2025-11-10,474.10,511.30,474.10,511.30,,9.98,,602418.00
2025-11-11,515.00,562.40,515.00,562.40,,9.99,,3277472.00
2025-11-12,573.60,596.70,511.00,516.20,,-8.21,,66038057.00
2025-11-13,506.00,567.80,500.00,567.80,,10,,22001397.00
2025-11-16,560.00,590.50,523.90,543.00,,-4.37,,43943498.00
2025-11-17,546.00,597.30,536.50,583.00,,7.37,,35875128.10
2025-11-18,583.00,641.30,560.10,641.30,,10,,24953664.10
2025-11-19,654.10,705.40,628.20,705.40,,10,,40925671.00
2025-11-20,691.30,730.00,665.00,708.70,,0.47,,48114129.40
2025-11-23,694.60,703.20,664.00,703.20,,-0.78,,42058282.40
2025-11-24,689.20,702.90,662.50,672.00,,-4.44,,54067914.40
2025-11-25,672.00,673.20,644.00,673.20,,0.18,,37492487.50
2025-11-26,686.60,686.60,653.00,675.00,,0.27,,32208117.20
2025-11-27,661.50,677.00,653.10,670.00,,-0.74,,29633660.70
2025-11-30,657.00,672.00,655.00,672.00,,0.3,,30460670.20
2025-12-01,658.60,688.00,658.60,670.00,,-0.3,,47608206.00
2025-12-02,656.60,737.00,656.60,737.00,,10,,74981560.50
2025-12-03,722.30,805.00,722.30,774.00,,5.02,,74788673.40
2025-12-07,760.00,766.00,716.40,720.00,,-6.98,,68678092.60
2025-12-08,705.60,760.00,705.60,725.00,,0.69,,24294507.30
2025-12-09,710.50,744.00,710.50,728.00,,0.41,,20814916.80
2025-12-10,715.00,746.00,695.00,695.30,,-4.49,,32792481.00
2025-12-11,687.00,707.00,680.00,689.90,,-0.78,,20598893.50
2025-12-14,680.00,700.00,671.20,683.00,,-1,,15835651.00
2025-12-15,683.00,714.90,670.80,709.00,,3.81,,30991321.10
2025-12-16,710.00,726.00,706.00,707.00,,-0.28,,25745235.40
2025-12-17,700.00,718.00,690.10,699.00,,-1.13,,15972028.30
2025-12-18,686.00,712.00,686.00,697.90,,-0.16,,20515532.30
2025-12-21,711.70,711.70,676.40,688.00,,-1.42,,12197005.10
2025-12-22,676.00,715.00,671.10,698.70,,1.56,,22616689.50
2025-12-23,685.00,701.00,680.00,693.70,,-0.72,,15915739.60
2025-12-24,682.10,702.00,682.10,690.00,,-0.53,,9653854.50
2025-12-28,677.00,702.00,677.00,698.90,,1.29,,21781249.00
2025-12-29,687.00,700.00,684.10,695.00,,-0.56,,8441731.70
2025-12-31,686.10,702.00,685.00,687.40,,-1.09,,22496225.90
2026-01-01,685.00,722.00,685.00,717.00,,4.31,,66949675.00
2026-01-04,712.00,750.00,712.00,750.00,,4.6,,48672624.70
2026-01-05,755.00,780.00,745.00,764.50,,1.93,,62363308.80
2026-01-06,764.10,805.00,725.20,736.00,,-3.73,,52025525.40
2026-01-07,722.00,745.00,711.00,719.00,,-2.31,,19851384.50
2026-01-08,708.10,741.00,708.10,735.00,,2.23,,25784856.10
2026-01-12,732.00,768.20,731.30,759.80,,3.37,,34566261.30
2026-01-13,750.00,774.00,730.00,732.60,,-3.58,,25365185.10
2026-01-14,727.20,745.00,716.30,725.00,,-1.04,,21261015.70
2026-01-18,710.50,755.10,710.50,736.00,,1.52,,30218339.20
2026-01-20,736.00,761.00,735.00,741.00,,0.68,,32690661.90
2026-01-21,741.00,753.80,727.00,736.00,,-0.67,,22286225.40
2026-01-22,728.10,767.00,728.00,756.00,,2.72,,33534881.60
2026-01-25,770.00,831.60,758.00,831.60,,10,,74617262.20
2026-01-26,848.20,897.00,821.30,880.00,,5.82,,92651353.80
2026-01-27,880.00,927.00,850.10,851.10,,-3.28,,63577043.70
2026-01-28,850.50,890.00,833.00,884.80,,3.96,,71357110.10
2026-01-29,900.00,900.00,835.00,838.00,,-5.29,,68405042.80
2026-02-01,838.00,838.00,807.00,814.00,,-2.86,,30706427.60
2026-02-02,810.00,865.00,810.00,845.00,,3.81,,32693822.30
2026-02-03,859.10,860.00,815.00,819.00,,-3.08,,22448152.70
2026-02-04,820.10,845.00,785.60,799.00,,-2.44,,24385975.50
2026-02-05,799.00,814.00,790.00,811.00,,1.5,,26370894.90
2026-02-08,800.00,825.90,796.00,806.00,,-0.62,,19393733.40
2026-02-09,791.00,806.00,765.10,766.30,,-4.93,,15049084.40
2026-02-10,751.00,819.00,751.00,780.00,,1.79,,25627438.10
2026-02-11,795.00,809.90,759.00,759.00,,-2.69,,12421608.20
2026-02-12,762.00,783.70,750.00,755.00,,-0.53,,18855552.90
2026-02-16,760.00,777.20,750.30,777.00,,2.91,,6882643.80
2026-02-17,777.00,785.00,756.10,767.00,,-1.29,,12270561.40
2026-02-22,760.00,760.00,722.00,730.00,,-4.82,,16571240.90
2026-02-23,716.00,740.00,716.00,740.00,,1.37,,11257835.70
2026-02-24,731.10,765.00,729.00,755.00,,2.03,,10927900.50
2026-02-25,755.00,767.00,742.10,756.10,,0.15,,6956067.50
2026-02-26,770.00,770.00,737.10,750.00,,-0.81,,5656749.60
2026-03-01,735.00,750.00,726.30,740.20,,-1.31,,8772004.70
2026-03-03,725.40,770.00,725.40,770.00,,4.03,,15131812.10
2026-03-09,785.40,832.30,785.40,816.00,,5.97,,1501672.00
2026-03-10,820.00,821.00,764.00,798.60,,-2.13,,30330144.70
2026-03-11,782.70,800.00,770.10,780.00,,-2.33,,18454801.70
2026-03-12,764.40,787.00,764.40,780.00,,0,,16401430.00
2026-03-15,780.00,780.00,760.00,768.00,,-1.54,,10974784.00
2026-03-16,755.10,770.00,752.70,753.40,,-1.9,,4783097.70
2026-03-17,753.00,755.00,736.00,745.00,,-1.11,,14750645.10
2026-03-19,745.00,764.00,740.00,753.00,,1.07,,19174319.90
2026-03-22,756.00,763.00,747.00,747.10,,-0.78,,19174319.90
2026-03-23,740.00,755.80,737.00,753.00,,0.79,,14729702.30
2026-03-24,750.00,759.90,744.10,749.00,,-0.53,,11693718.70
