Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-05-07,278.10,294.90,251.00,255.00,,0,,18976103.20
2023-05-08,255.00,270.30,237.00,256.10,,0.43,,6252181.20
2023-05-09,251.10,261.10,247.00,258.30,,0.86,,2787323.00
2023-05-10,253.20,255.00,246.20,253.00,,-2.05,,2353939.50
2023-05-11,253.00,253.00,243.10,249.90,,-1.23,,1891467.20
2023-05-14,245.00,246.00,235.00,238.70,,-4.48,,3300644.40
2023-05-15,234.20,249.00,230.00,240.00,,0.54,,3395733.10
2023-05-16,236.00,244.00,232.00,243.00,,1.25,,2089577.00
2023-05-17,239.00,250.20,239.00,249.80,,2.8,,2455437.00
2023-05-18,250.00,263.00,244.00,258.00,,3.28,,3654576.00
2023-05-21,252.90,260.90,245.10,251.00,,-2.71,,3953141.10
2023-05-22,246.00,255.00,243.10,250.00,,-0.4,,1630656.00
2023-05-23,250.00,263.00,250.00,261.20,,4.48,,2730466.00
2023-05-24,261.00,265.00,254.10,258.70,,-0.96,,2737300.00
2023-05-28,258.00,263.00,247.00,254.90,,-1.47,,4553345.50
2023-05-30,249.90,252.00,241.80,249.90,,-1.96,,1640302.20
2023-05-31,245.00,249.90,238.20,240.00,,-3.96,,1454388.00
2023-06-01,240.00,246.50,235.60,241.00,,0.42,,1918198.00
2023-06-04,241.00,259.70,241.00,255.00,,5.81,,1763672.80
2023-06-05,250.10,265.20,250.10,261.00,,2.35,,4846589.80
2023-06-06,256.10,273.00,256.10,272.50,,4.41,,3634185.00
2023-06-07,271.00,291.00,271.00,282.00,,3.49,,7932441.60
2023-06-08,282.00,291.30,274.10,290.10,,2.87,,8339850.30
2023-06-11,285.00,316.00,285.00,314.00,,8.24,,7569670.60
2023-06-12,313.00,333.30,307.00,323.00,,2.87,,10170604.50
2023-06-13,316.60,323.00,311.00,321.00,,-0.62,,6767304.60
2023-06-14,320.00,333.50,312.00,319.90,,-0.34,,8561686.90
2023-06-15,314.00,330.00,313.00,330.00,,3.16,,8236961.20
2023-06-18,324.00,330.00,317.00,320.80,,-2.79,,4294104.00
2023-06-19,320.00,351.00,318.00,350.00,,9.1,,12863538.00
2023-06-20,350.00,350.00,321.00,330.00,,-5.71,,3893852.00
2023-06-21,329.00,333.00,316.20,320.00,,-3.03,,5337129.00
2023-06-22,320.00,326.40,303.00,317.00,,-0.94,,4806997.70
