Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-10-11,373.20,410.50,373.20,410.50,,0,,48090816.00
2023-10-12,418.70,451.50,402.00,440.10,,7.21,,23483653.80
2023-10-16,431.30,431.30,396.10,407.50,,-7.41,,29079421.20
2023-10-17,407.50,432.00,407.50,429.60,,5.42,,16847598.00
2023-10-18,425.00,460.00,416.50,450.10,,4.77,,10898431.50
2023-10-19,450.10,457.00,441.10,446.80,,-0.73,,14556051.80
2023-10-29,437.90,437.90,421.10,431.50,,-3.42,,9657425.20
2023-10-30,423.10,454.00,423.10,441.50,,2.32,,8885208.30
2023-10-31,440.00,445.20,433.10,442.00,,0.11,,4511765.00
2023-11-01,435.00,448.80,435.00,438.00,,-0.9,,5426794.00
2023-11-02,431.00,436.00,431.00,434.00,,-0.91,,4194772.00
2023-11-05,435.00,435.00,415.00,424.80,,-2.12,,7017474.40
2023-11-06,420.00,439.00,417.60,427.00,,0.52,,5233875.90
2023-11-07,420.10,445.00,420.10,431.10,,0.96,,6165817.00
2023-11-08,439.50,468.00,439.00,460.00,,6.7,,16571840.00
2023-11-09,463.00,465.00,446.70,452.00,,-1.74,,8018540.00
2023-11-20,445.00,474.00,443.00,462.00,,2.21,,12207292.20
2023-11-21,459.00,464.80,446.00,462.00,,0,,6996732.70
2023-11-22,452.90,492.00,452.90,484.50,,4.87,,9953339.40
2023-11-23,475.00,520.00,471.00,515.00,,6.3,,12305952.50
2023-11-26,510.00,534.00,501.00,531.00,,3.11,,15107771.60
2023-11-27,520.40,530.00,497.10,515.20,,-2.98,,27764784.70
2023-11-28,505.00,525.00,504.90,514.00,,-0.23,,9309471.00
2023-11-29,514.00,545.00,503.90,523.00,,1.75,,8342634.00
2023-11-30,533.40,533.40,499.80,501.20,,-4.17,,11218077.00
2023-12-03,500.00,508.00,492.00,500.00,,-0.24,,6437275.40
2023-12-04,495.00,515.00,493.00,506.00,,1.2,,8895253.10
2023-12-05,500.00,510.00,485.20,486.00,,-3.95,,14553289.70
2023-12-06,495.00,504.00,481.00,485.00,,-0.21,,7666260.80
2023-12-07,475.30,512.00,475.30,507.00,,4.54,,15851777.90
2023-12-10,510.00,530.00,510.00,516.00,,1.78,,2430538.50
2023-12-11,526.00,536.50,506.00,513.50,,-0.48,,20490736.90
2023-12-12,510.00,535.30,506.00,529.50,,3.12,,30193318.00
2023-12-13,539.00,573.00,522.00,554.10,,4.65,,27046929.90
2023-12-14,544.00,575.20,544.00,555.00,,0.16,,10768815.00
2023-12-17,544.00,575.00,534.00,575.00,,3.6,,14566786.30
2023-12-18,570.00,579.00,550.00,553.00,,-3.83,,25957554.10
2023-12-19,550.10,572.00,545.00,568.90,,2.88,,21154288.00
2023-12-20,580.20,605.00,563.00,592.00,,4.06,,31367076.90
2023-12-21,581.00,651.20,581.00,651.00,,9.97,,44760450.40
2023-12-24,655.00,716.10,642.10,687.00,,5.53,,47475785.40
2023-12-27,700.70,701.00,661.20,685.00,,-0.29,,35696529.40
2023-12-28,685.00,707.00,666.20,704.90,,2.91,,37674327.80
2024-01-01,704.90,747.60,686.00,701.00,,-0.55,,28255946.50
