Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2024-08-13,1303.90,1406.20,1303.90,1406.20,,10,,1937946.20
2024-08-14,1434.30,1546.80,1434.30,1546.80,,10,,8359180.20
2024-08-15,1577.70,1701.40,1577.70,1682.50,,8.77,,105365721.40
2024-08-18,1716.00,1716.00,1555.00,1555.00,,-7.58,,32456006.20
2024-08-21,1555.00,1580.00,1445.00,1462.00,,-5.98,,25719529.90
2024-08-22,1435.00,1485.00,1433.00,1465.00,,0.21,,12452242.50
2024-08-25,1465.00,1599.00,1425.00,1480.00,,1.02,,19270615.60
2024-08-27,1470.00,1498.00,1425.00,1430.00,,-3.38,,8842467.70
2024-08-28,1450.00,1487.00,1400.00,1405.00,,-1.75,,7883845.70
2024-08-29,1395.00,1431.00,1360.00,1361.00,,-3.13,,11166960.90
2024-09-01,1388.00,1435.00,1345.00,1351.00,,-0.73,,8755711.80
2024-09-02,1340.40,1397.40,1340.40,1397.40,,3.43,,3680818.60
2024-09-03,1410.10,1537.10,1410.10,1537.10,,10,,22002321.70
2024-09-04,1567.80,1690.80,1540.00,1551.00,,0.9,,58528857.20
2024-09-05,1520.00,1599.00,1490.00,1569.80,,1.21,,16207635.20
2024-09-08,1569.80,1600.00,1500.00,1500.00,,-4.45,,20768901.40
2024-09-09,1500.00,1528.00,1412.00,1528.00,,1.87,,16674870.80
2024-09-10,1558.20,1558.20,1446.00,1490.00,,-2.49,,10357232.90
2024-09-11,1460.20,1488.70,1431.00,1443.00,,-3.15,,7031725.60
2024-09-12,1470.00,1587.00,1441.00,1500.00,,3.95,,12338810.40
2024-09-15,1499.00,1520.00,1460.00,1490.00,,-0.67,,5797142.30
2024-09-16,1467.10,1475.00,1413.00,1475.00,,-1.01,,10453559.20
2024-09-18,1500.00,1505.00,1421.00,1460.00,,-1.02,,8560199.30
2024-09-22,1488.00,1517.00,1415.00,1466.00,,0.41,,4322629.00
2024-09-23,1436.70,1540.00,1410.00,1540.00,,5.05,,6461428.60
2024-09-24,1509.20,1509.20,1415.00,1458.00,,-5.32,,4513050.10
2024-09-25,1428.90,1514.00,1400.40,1466.00,,0.55,,8260565.70
2024-09-26,1436.70,1523.00,1408.00,1449.40,,-1.13,,4582061.30
2024-09-29,1420.50,1445.00,1401.00,1443.00,,-0.44,,4231857.00
2024-09-30,1415.20,1451.00,1400.10,1450.00,,0.49,,2669998.60
2024-10-01,1421.00,1470.00,1402.00,1470.00,,1.38,,7783039.40
2024-10-02,1440.90,1478.00,1420.00,1454.00,,-1.09,,5496506.80
2024-10-06,1425.00,1484.00,1425.00,1479.00,,1.72,,6853807.50
2024-10-07,1449.50,1505.00,1420.60,1449.00,,-2.03,,6776137.10
2024-10-08,1420.10,1449.00,1420.10,1435.00,,-0.97,,4760354.70
2024-10-09,1420.00,1446.50,1420.00,1440.00,,0.35,,3515937.50
2024-10-15,1458.90,1458.90,1425.00,1450.00,,0.69,,1731319.00
2024-10-16,1421.00,1460.00,1421.00,1459.00,,0.62,,3292742.80
2024-10-17,1451.00,1457.00,1431.10,1432.00,,-1.85,,4485589.10
2024-10-20,1460.60,1460.60,1412.00,1412.00,,-1.4,,7561271.00
2024-10-21,1393.00,1430.00,1390.00,1395.00,,-1.2,,5018208.50
2024-10-22,1380.10,1415.00,1380.10,1413.00,,1.29,,3749470.40
2024-10-23,1390.00,1417.80,1390.00,1405.00,,-0.57,,5082979.20
2024-10-24,1386.00,1409.00,1381.60,1400.00,,-0.36,,2448486.40
2024-10-27,1385.00,1400.00,1381.10,1390.00,,-0.71,,1937123.00
2024-10-28,1400.00,1412.00,1383.00,1412.00,,1.58,,3770922.90
2024-10-29,1400.00,1428.00,1400.00,1425.00,,0.92,,2785314.10
2024-10-30,1425.00,1425.00,1391.00,1395.00,,-2.11,,1950798.00
2024-11-05,1367.10,1421.00,1367.10,1420.90,,1.86,,1451396.20
2024-11-06,1420.00,1425.00,1394.00,1405.00,,-1.12,,1370322.60
2024-11-10,1381.00,1450.00,1381.00,1450.00,,3.2,,8237283.70
2024-11-11,1425.00,1482.00,1425.00,1453.00,,0.21,,9679013.30
2024-11-12,1425.00,1479.80,1425.00,1432.10,,-1.44,,3592205.90
2024-11-13,1415.00,1450.00,1410.00,1412.00,,-1.4,,4164280.90
2024-11-14,1406.00,1438.00,1391.00,1405.00,,-0.5,,5744601.00
2024-11-17,1401.00,1461.60,1401.00,1410.00,,0.36,,9315670.80
2024-11-19,1410.00,1430.00,1392.00,1400.00,,-0.71,,5535161.50
2024-11-20,1393.00,1410.00,1391.00,1406.00,,0.43,,2664852.80
2024-11-21,1405.00,1420.00,1380.00,1380.00,,-1.85,,6198449.00
2024-11-24,1385.00,1395.00,1370.00,1384.00,,0.29,,4021062.20
2024-11-25,1384.00,1397.00,1369.10,1375.00,,-0.65,,2499991.40
2024-11-26,1348.60,1385.00,1348.60,1379.90,,0.36,,3244833.20
2024-11-27,1390.00,1400.00,1375.00,1388.00,,0.59,,5347034.20
2024-11-28,1391.00,1394.00,1370.00,1372.00,,-1.15,,4608211.10
2024-12-01,1345.00,1360.00,1341.00,1343.00,,-2.11,,3220618.80
2024-12-02,1343.00,1369.80,1340.00,1347.00,,0.3,,3752627.00
2024-12-03,1350.00,1360.00,1341.10,1342.00,,-0.37,,1985881.70
2024-12-04,1345.00,1355.00,1335.00,1336.00,,-0.45,,5354026.90
2024-12-05,1337.00,1337.00,1315.00,1315.00,,-1.57,,4070798.30
2024-12-08,1315.50,1315.50,1295.00,1300.00,,-1.14,,3532628.50
2024-12-09,1290.00,1301.00,1281.00,1292.00,,-0.62,,2446915.50
2024-12-10,1317.00,1317.00,1275.00,1278.00,,-1.08,,5311855.70
2024-12-11,1267.00,1290.00,1242.00,1282.50,,0.35,,3348491.30
2024-12-12,1282.50,1310.00,1274.10,1274.10,,-0.65,,3088140.50
2024-12-16,1299.50,1299.50,1250.50,1254.00,,-1.58,,3288098.50
2024-12-17,1254.00,1270.00,1245.00,1258.00,,0.32,,1885811.20
2024-12-18,1262.00,1283.00,1250.10,1265.00,,0.56,,4462624.30
2024-12-19,1250.00,1275.00,1245.00,1258.90,,-0.48,,3385896.00
2024-12-22,1246.00,1255.00,1223.20,1244.60,,-1.14,,5848916.90
2024-12-23,1269.40,1269.40,1235.00,1240.00,,-0.37,,1034539.00
2024-12-24,1240.00,1260.00,1240.00,1250.00,,0.81,,2606638.70
2024-12-26,1250.00,1257.00,1245.30,1255.00,,0.4,,1722778.70
2024-12-29,1255.00,1320.00,1247.10,1280.00,,1.99,,6194030.70
2024-12-31,1254.40,1289.00,1240.10,1260.00,,-1.56,,2630970.10
2025-01-01,1260.00,1260.00,1235.00,1257.00,,-0.24,,2176565.50
2025-01-02,1278.00,1278.00,1233.00,1256.00,,-0.08,,3452393.50
2025-01-05,1232.50,1256.90,1232.30,1236.00,,-1.59,,2150570.90
2025-01-06,1258.00,1260.00,1236.00,1237.30,,0.11,,3027895.60
2025-01-07,1231.00,1256.00,1231.00,1250.00,,1.03,,2032238.50
2025-01-08,1275.00,1290.00,1251.20,1264.90,,1.19,,3788747.80
2025-01-09,1244.10,1278.00,1242.00,1242.00,,-1.81,,2731284.70
2025-01-12,1263.00,1263.00,1230.10,1230.10,,-0.96,,748685.10
2025-01-13,1229.00,1245.00,1212.00,1212.00,,-1.47,,1905231.40
2025-01-15,1212.00,1236.00,1195.20,1199.90,,-1,,2861488.20
2025-01-16,1200.00,1200.00,1172.30,1172.40,,-2.29,,2577212.70
2025-01-19,1150.00,1212.00,1150.00,1171.00,,-0.12,,1657233.90
2025-01-20,1151.10,1190.50,1151.10,1170.00,,-0.09,,1298412.90
2025-01-21,1170.00,1190.00,1165.00,1165.00,,-0.43,,1974559.00
2025-01-22,1175.00,1185.00,1170.00,1175.60,,0.91,,2923246.50
2025-01-23,1161.00,1204.00,1161.00,1188.00,,1.05,,2981561.00
2025-01-26,1200.00,1207.00,1190.00,1192.00,,0.34,,2689488.30
2025-01-27,1200.00,1215.00,1180.00,1192.90,,0.08,,1904111.10
2025-01-28,1170.30,1214.90,1170.00,1189.50,,-0.29,,2807219.30
2025-02-02,1213.00,1308.40,1190.10,1291.00,,8.53,,13152610.40
2025-02-03,1313.00,1339.00,1286.00,1287.00,,-0.31,,6131644.00
2025-02-04,1262.10,1280.00,1260.00,1268.00,,-1.48,,2373844.50
2025-02-05,1251.00,1258.00,1242.00,1256.00,,-0.95,,3138854.50
2025-02-06,1257.00,1270.00,1233.00,1247.00,,-0.72,,3160999.30
2025-02-09,1247.00,1255.00,1231.20,1240.00,,-0.56,,1434975.30
2025-02-10,1240.00,1285.00,1235.10,1241.00,,0.08,,5459099.10
2025-02-11,1265.00,1265.00,1239.90,1250.00,,0.73,,3319736.00
2025-02-12,1275.00,1297.00,1250.00,1280.00,,2.4,,6091667.00
2025-02-13,1285.00,1408.00,1255.40,1408.00,,10,,28338920.90
2025-02-16,1436.10,1464.80,1370.00,1409.00,,0.07,,21303092.80
2025-02-17,1430.00,1430.00,1365.00,1386.50,,-1.6,,20109548.90
2025-02-18,1407.00,1407.00,1367.10,1367.10,,-1.4,,8839790.80
2025-02-20,1360.00,1410.00,1350.00,1362.30,,-0.35,,4570506.50
2025-02-23,1340.20,1371.90,1333.00,1349.90,,-0.91,,6365224.20
2025-02-24,1360.00,1370.10,1327.10,1350.00,,0.01,,3133255.20
2025-02-25,1332.00,1352.00,1325.00,1348.00,,-0.15,,5014871.40
2025-02-27,1374.00,1374.00,1333.00,1350.00,,0.15,,2279759.00
