Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2021-12-26,100.00,110.00,100.00,110.00,,0,,16176.70
2021-12-27,110.00,121.00,110.00,121.00,,10,,21457.50
2021-12-28,119.30,133.10,119.30,133.10,,10,,20344.50
2021-12-29,133.10,146.40,133.10,146.40,,9.99,,19664.20
2022-01-02,144.60,161.00,144.60,161.00,,9.97,,37861.90
2022-01-03,164.20,177.10,164.20,177.10,,10,,37956.90
2022-01-04,177.10,194.80,177.10,194.80,,9.99,,40836.00
2022-01-05,198.60,214.20,198.60,214.20,,9.96,,67070.10
2022-01-06,214.20,235.60,214.20,235.60,,9.99,,103420.70
2022-01-09,240.30,259.10,240.30,259.10,,9.97,,157331.10
2022-01-10,259.10,285.00,259.10,285.00,,10,,124625.00
2022-01-11,290.70,313.50,290.70,313.50,,10,,173451.50
2022-01-12,309.60,344.80,309.60,344.80,,9.98,,560608.00
2022-01-13,351.60,379.20,351.60,379.20,,9.98,,1013673.00
2022-01-16,379.20,417.10,386.70,417.10,,9.99,,5143469.00
2022-01-17,425.40,458.80,425.40,458.80,,10,,110154120.80
2022-01-18,467.90,503.00,441.00,496.00,,8.11,,174196927.50
2022-01-19,505.00,505.00,472.00,477.00,,-3.83,,71054715.50
2022-01-20,475.00,480.00,458.70,479.00,,0.42,,63478489.80
2022-01-23,488.00,488.00,465.90,470.00,,-1.88,,40896502.50
2022-01-24,465.00,470.00,450.10,455.00,,-3.19,,47084960.60
2022-01-25,455.00,461.00,440.00,447.00,,-1.76,,32332332.00
2022-01-26,440.00,451.20,435.00,437.00,,-2.24,,28296891.70
2022-01-27,432.00,452.00,432.00,441.00,,0.92,,16367388.50
2022-01-30,449.00,466.00,446.00,461.00,,4.54,,29096950.90
2022-01-31,470.00,479.00,448.00,448.10,,-2.8,,19559364.40
2022-02-01,441.00,463.00,441.00,455.00,,1.54,,27179344.50
2022-02-03,455.00,466.00,451.00,451.00,,-0.88,,34322809.80
2022-02-06,450.00,452.10,445.00,445.80,,-1.15,,15353650.00
2022-02-07,440.10,450.00,440.00,450.00,,0.94,,16905501.70
2022-02-08,459.00,467.00,437.00,441.10,,-1.98,,20619199.40
2022-02-09,438.00,441.00,433.10,436.30,,-1.09,,14821229.40
2022-02-10,430.00,447.70,430.00,431.00,,-1.21,,13999028.00
2022-02-13,425.00,425.00,407.00,409.00,,-5.1,,19684646.50
2022-02-14,401.00,419.10,401.00,406.00,,-0.73,,10145301.00
2022-02-15,405.00,423.10,400.20,422.00,,3.94,,11927581.70
2022-02-16,422.00,423.00,408.10,409.00,,-3.08,,9495293.40
2022-02-17,409.00,418.40,403.30,418.00,,2.2,,9593462.40
2022-02-20,409.70,416.20,397.00,410.00,,-1.91,,11456311.40
2022-02-21,410.00,420.00,405.10,414.00,,0.98,,15601998.50
2022-02-22,405.80,440.00,405.80,427.00,,3.14,,41836886.60
2022-02-23,430.00,465.90,427.10,452.00,,5.85,,56802073.30
2022-02-24,452.00,455.00,431.00,435.00,,-3.76,,23030888.30
2022-02-27,435.00,443.00,422.00,428.70,,-1.45,,20916177.60
2022-02-28,428.00,453.00,415.00,415.20,,-3.15,,22268509.70
2022-03-02,407.20,420.10,401.00,403.00,,-2.94,,12935197.80
2022-03-06,403.00,409.00,398.00,400.00,,-0.74,,11191820.60
2022-03-07,408.00,408.00,375.00,389.00,,-2.75,,26584194.40
2022-03-09,387.00,393.00,374.90,378.00,,-2.83,,9916217.00
2022-03-10,378.00,401.50,370.50,394.50,,4.37,,12479191.10
2022-03-13,400.00,418.00,395.00,418.00,,5.96,,14979462.60
2022-03-14,420.00,420.00,400.00,408.00,,-2.39,,5393014.10
2022-03-15,400.00,416.00,400.00,403.00,,-1.23,,10594086.90
2022-03-16,396.10,404.00,394.10,399.90,,-0.77,,7622762.00
2022-03-20,395.00,404.00,391.20,391.40,,-2.13,,8841088.10
2022-03-21,390.00,406.80,387.10,404.00,,3.22,,11547669.80
2022-03-22,412.00,412.00,397.00,400.00,,-0.99,,8534226.60
2022-03-23,400.00,405.00,392.10,395.00,,-1.25,,5574956.10
2022-03-24,395.00,397.80,387.10,390.00,,-1.27,,10057085.50
2022-03-27,385.00,390.00,378.00,378.10,,-3.05,,8143306.70
2022-03-28,374.00,383.00,372.00,372.00,,-1.61,,10118279.50
2022-03-29,372.00,385.00,367.00,368.00,,-1.08,,6542880.70
2022-03-30,362.10,380.00,362.10,380.00,,3.26,,6062430.00
2022-03-31,380.00,385.90,370.70,371.00,,-2.37,,4726351.20
2022-04-03,371.00,374.00,365.00,365.40,,-1.51,,5567849.50
