Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,550.00,555.00,544.00,545.00,,-0.91,,3666465.00
2014-08-04,560.00,565.00,554.00,560.00,,0,,3666465.00
2014-08-04,560.00,555.00,545.00,550.00,,-1.79,,3666465.00
2014-08-04,578.00,583.00,561.00,570.00,,-1.38,,3666465.00
2014-08-04,570.00,575.00,565.00,569.00,,-0.18,,3666465.00
2014-08-05,545.00,565.00,550.00,563.00,,3.3,,3549909.00
2014-08-06,563.00,558.00,535.00,540.00,,-4.09,,7286560.00
2014-08-07,540.00,565.00,526.00,565.00,,4.63,,3896047.00
2014-08-12,565.00,554.00,535.00,536.00,,-5.13,,550152.00
2014-08-13,536.00,546.00,525.00,535.00,,-0.19,,6965015.00
2014-08-14,535.00,547.00,533.00,535.00,,0,,3857886.00
2014-08-18,535.00,540.00,515.00,523.00,,-2.24,,5770946.00
2014-08-19,523.00,537.00,525.00,529.00,,1.15,,6673977.00
2014-08-20,529.00,525.00,515.00,515.00,,-2.65,,5562626.00
2014-08-21,515.00,535.00,501.00,531.00,,3.11,,8103434.00
2014-08-24,531.00,535.00,515.00,515.00,,-3.01,,1958374.00
2014-08-25,515.00,508.00,481.00,499.00,,-3.11,,3806549.00
2014-08-26,499.00,525.00,481.00,505.00,,1.2,,9579543.00
2014-08-27,505.00,532.00,508.00,515.00,,1.98,,16086253.00
2014-08-28,515.00,540.00,500.00,516.00,,0.19,,7304068.00
2014-08-31,516.00,511.00,490.00,496.00,,-3.88,,3211838.00
2014-09-01,496.00,500.00,471.00,500.00,,0.81,,2119294.00
2014-09-03,500.00,512.00,490.00,491.00,,-1.8,,1848108.00
2014-09-04,491.00,491.00,481.00,491.00,,0,,4358775.00
2014-09-07,491.00,490.00,448.00,455.00,,-7.33,,4522963.00
2014-09-09,455.00,500.00,459.00,500.00,,9.89,,6432439.00
2014-09-10,500.00,520.00,463.00,466.00,,-6.8,,9326876.00
2014-09-11,466.00,480.00,458.00,480.00,,3,,2809415.00
2014-09-14,480.00,480.00,467.00,472.00,,-1.67,,2303525.00
2014-09-15,472.00,475.00,468.00,471.00,,-0.21,,2007168.00
2014-09-16,471.00,488.00,463.00,488.00,,3.61,,6211871.00
2014-09-17,488.00,495.00,477.00,477.00,,-2.25,,3918747.00
2014-09-18,477.00,479.00,470.00,479.00,,0.42,,4133353.00
2014-09-21,462.00,458.00,449.00,452.00,,-2.16,,2066042.00
2014-09-22,452.00,464.00,443.00,455.00,,0.66,,1644282.00
2014-09-23,455.00,470.00,461.00,461.00,,1.32,,1489320.00
2014-09-24,461.00,480.00,455.00,466.00,,1.08,,2554297.00
2014-09-28,466.00,475.00,465.00,465.00,,-0.21,,2106941.00
2014-09-29,465.00,479.00,470.00,473.00,,1.72,,3015162.00
2014-09-30,473.00,503.00,475.00,503.00,,6.34,,4270842.00
2014-10-08,503.00,499.00,469.00,475.00,,-5.57,,2532466.00
2014-10-09,475.00,480.00,464.00,474.00,,-0.21,,2551524.00
2014-10-12,474.00,470.00,465.00,468.00,,-1.27,,2320954.00
2014-10-13,468.00,483.00,460.00,467.00,,-0.21,,5386197.00
2014-10-14,467.00,485.00,466.00,485.00,,3.85,,2889415.00
2014-10-15,485.00,494.00,480.00,488.00,,0.62,,2297710.00
2014-10-16,488.00,495.00,484.00,485.00,,-0.61,,5119367.00
2014-10-19,485.00,493.00,480.00,490.00,,1.03,,2237820.00
2014-10-20,490.00,495.00,481.00,489.00,,-0.2,,1490511.00
2014-10-21,489.00,493.00,485.00,490.00,,0.2,,4858981.00
2014-10-22,490.00,516.00,490.00,507.00,,3.47,,16599245.00
2014-10-26,507.00,520.00,505.00,512.00,,0.99,,6715526.00
2014-10-27,512.00,520.00,511.00,520.00,,1.56,,8086093.00
2014-10-28,520.00,523.00,515.00,518.00,,-0.38,,9806883.00
2014-10-30,518.00,522.00,512.00,522.00,,0.77,,5056631.00
2014-11-02,522.00,518.00,502.00,509.00,,-2.49,,7008255.00
2014-11-03,509.00,506.00,496.00,501.00,,-1.57,,2396774.00
2014-11-04,501.00,500.00,480.00,500.00,,-0.2,,6776580.00
2014-11-05,500.00,509.00,499.00,505.00,,1,,3843400.00
2014-11-06,505.00,511.00,500.00,511.00,,1.19,,8061390.00
2014-11-09,511.00,525.00,505.00,505.00,,-1.17,,25471567.00
2014-11-10,505.00,505.00,490.00,495.00,,-1.98,,11528430.00
2014-11-11,495.00,517.00,491.00,510.00,,3.03,,12298486.00
2014-11-12,510.00,530.00,510.00,517.00,,1.37,,19773340.00
2014-11-13,517.00,519.00,507.00,513.00,,-0.77,,11762260.00
2014-11-16,513.00,523.00,502.00,505.00,,-1.56,,21779172.00
2014-11-17,505.00,505.00,485.00,496.00,,-1.78,,19361745.00
2014-11-18,496.00,502.00,463.00,490.00,,-1.21,,21709986.00
2014-11-19,438.00,457.00,430.00,457.00,,4.34,,1281287.00
2014-11-20,457.00,481.00,466.00,481.00,,5.25,,566259.00
2014-11-24,480.00,492.00,471.00,492.00,,2.5,,3370023.00
2014-11-24,481.00,488.00,476.00,480.00,,-0.21,,3370023.00
2014-11-25,492.00,489.00,483.00,489.00,,-0.61,,213986.00
2014-11-30,489.00,489.00,485.00,485.00,,-0.82,,231523.00
2014-12-01,485.00,484.00,472.00,475.00,,-2.06,,934881.00
2014-12-02,475.00,467.00,453.00,461.00,,-2.95,,1269177.00
2014-12-03,461.00,475.00,465.00,474.00,,2.82,,1212080.00
2014-12-04,474.00,490.00,482.00,482.00,,1.69,,1367952.00
2014-12-07,482.00,473.00,473.00,473.00,,-1.87,,28380.00
2014-12-08,473.00,492.00,473.00,486.00,,2.75,,2051858.00
2014-12-09,486.00,491.00,480.00,491.00,,1.03,,327793.00
2014-12-10,491.00,508.00,490.00,490.00,,-0.2,,1096005.00
2014-12-11,490.00,508.00,498.00,507.00,,3.47,,4156858.00
2014-12-14,507.00,543.00,517.00,539.00,,6.31,,4843721.00
2014-12-15,539.00,555.00,528.00,550.00,,2.04,,4902222.00
2014-12-16,550.00,548.00,530.00,542.00,,-1.45,,6393848.00
2014-12-17,542.00,535.00,522.00,526.00,,-2.95,,2866657.00
2014-12-18,526.00,535.00,521.00,535.00,,1.71,,3585398.00
2014-12-21,535.00,530.00,521.00,525.00,,-1.87,,1561518.00
2014-12-22,525.00,524.00,519.00,522.00,,-0.57,,2796550.00
2014-12-23,522.00,513.00,508.00,512.00,,-1.92,,1773811.00
2014-12-24,512.00,528.00,519.00,525.00,,2.54,,1879659.00
2014-12-28,525.00,540.00,535.00,539.00,,2.67,,4194863.00
2014-12-29,539.00,549.00,523.00,549.00,,1.86,,12276010.00
2014-12-31,549.00,541.00,530.00,540.00,,-1.64,,6625615.00
2015-01-01,540.00,550.00,541.00,550.00,,1.85,,10001903.00
2015-01-04,550.00,567.00,552.00,563.00,,2.36,,9224834.00
2015-01-05,563.00,571.00,552.00,560.00,,-0.53,,11153394.00
2015-01-06,560.00,556.00,548.00,550.00,,-1.79,,3247019.00
2015-01-07,550.00,558.00,540.00,554.00,,0.73,,6657972.00
2015-01-08,554.00,557.00,535.00,546.00,,-1.44,,8257258.00
2015-01-11,546.00,551.00,545.00,550.00,,0.73,,6728396.00
2015-01-12,550.00,550.00,528.00,545.00,,-0.91,,6749697.00
2015-01-13,545.00,555.00,525.00,555.00,,1.83,,7392390.00
2015-01-14,555.00,559.00,539.00,559.00,,0.72,,4196365.00
2015-01-18,559.00,570.00,550.00,550.00,,-1.61,,3996471.00
2015-01-19,550.00,600.00,550.00,577.00,,4.91,,21584943.00
2015-01-20,577.00,585.00,550.00,569.00,,-1.39,,5009683.00
2015-01-22,569.00,568.00,550.00,562.00,,-1.23,,5538901.00
2015-01-25,562.00,570.00,557.00,566.00,,0.71,,5944986.00
2015-01-26,566.00,587.00,570.00,587.00,,3.71,,5253584.00
2015-01-27,587.00,578.00,572.00,575.00,,-2.04,,3308758.00
2015-01-28,575.00,582.00,577.00,582.00,,1.22,,4318373.00
2015-01-29,582.00,591.00,576.00,585.00,,0.52,,3695177.00
2015-02-01,585.00,590.00,577.00,585.00,,0,,5645471.00
2015-02-02,585.00,596.00,579.00,582.00,,-0.51,,10456861.00
2015-02-03,582.00,584.00,575.00,575.00,,-1.2,,9301213.00
2015-02-04,575.00,573.00,560.00,570.00,,-0.87,,6796749.00
2015-02-05,570.00,575.00,569.00,575.00,,0.88,,3635846.00
2015-02-08,575.00,576.00,566.00,571.00,,-0.7,,6419315.00
2015-02-09,571.00,578.00,567.00,572.00,,0.18,,1682014.00
2015-02-10,572.00,569.00,563.00,565.00,,-1.22,,4434180.00
2015-02-11,565.00,570.00,564.00,567.00,,0.35,,1611820.00
2015-02-12,567.00,572.00,550.00,570.00,,0.53,,4770231.00
2015-02-15,570.00,581.00,567.00,569.00,,-0.18,,3178339.00
2015-02-16,569.00,567.00,548.00,564.00,,-0.88,,5606572.00
2015-02-18,564.00,571.00,560.00,565.00,,0.18,,3723502.00
2015-02-22,565.00,570.00,550.00,553.00,,-2.12,,6112490.00
2015-02-23,553.00,560.00,543.00,555.00,,0.36,,7941465.00
2015-02-24,555.00,566.00,550.00,566.00,,1.98,,2389065.00
2015-02-25,566.00,560.00,555.00,557.00,,-1.59,,3942120.00
2015-03-01,561.00,571.00,561.00,570.00,,1.6,,7495663.00
2015-03-02,570.00,581.00,570.00,581.00,,1.93,,16008437.00
2015-03-03,581.00,576.00,570.00,573.00,,-1.38,,3242578.00
2015-03-04,573.00,580.00,572.00,578.00,,0.87,,5880906.00
2015-03-09,578.00,589.00,578.00,582.00,,0.69,,4150875.00
2015-03-10,582.00,585.00,568.00,575.00,,-1.2,,5333203.00
2015-03-11,575.00,580.00,571.00,575.00,,0,,6484920.00
2015-03-12,575.00,582.00,575.00,576.00,,0.17,,4155378.00
2015-03-15,576.00,575.00,565.00,574.00,,-0.35,,1261898.00
2015-03-16,574.00,577.00,556.00,556.00,,-3.14,,4501804.00
2015-03-17,556.00,568.00,550.00,568.00,,2.16,,2775722.00
2015-03-18,568.00,569.00,562.00,569.00,,0.18,,2259788.00
2015-03-19,569.00,572.00,565.00,571.00,,0.35,,5186151.00
2015-03-22,571.00,573.00,560.00,560.00,,-1.93,,3820948.00
2015-03-23,560.00,561.00,549.00,549.00,,-1.96,,8806409.00
2015-03-24,549.00,556.00,550.00,553.00,,0.73,,2416491.00
2015-03-25,553.00,559.00,545.00,550.00,,-0.54,,6535492.00
2015-03-26,550.00,555.00,543.00,547.00,,-0.55,,4506885.00
2015-03-29,547.00,551.00,547.00,550.00,,0.55,,1416548.00
2015-03-30,550.00,557.00,546.00,550.00,,0,,2422151.00
2015-03-31,550.00,558.00,551.00,556.00,,1.09,,2420550.00
2015-04-01,556.00,562.00,548.00,551.00,,-0.9,,2994702.00
2015-04-02,551.00,560.00,545.00,556.00,,0.91,,6014705.00
2015-04-06,554.00,558.00,552.00,557.00,,0.54,,2897088.00
2015-04-06,556.00,555.00,548.00,554.00,,-0.36,,2897088.00
2015-04-07,557.00,556.00,550.00,552.00,,-0.9,,841542.00
2015-04-08,552.00,566.00,550.00,565.00,,2.36,,5129885.00
2015-04-09,565.00,571.00,560.00,560.00,,-0.88,,3930345.00
2015-04-12,560.00,570.00,563.00,570.00,,1.79,,4013087.00
2015-04-13,570.00,567.00,560.00,567.00,,-0.53,,2368259.00
2015-04-15,567.00,565.00,561.00,564.00,,-0.53,,165469.00
2015-04-16,564.00,565.00,555.00,560.00,,-0.71,,3667910.00
2015-04-19,560.00,561.00,552.00,561.00,,0.18,,4457574.00
2015-04-20,561.00,570.00,556.00,558.00,,-0.53,,2578622.00
2015-04-21,558.00,570.00,558.00,570.00,,2.15,,1959080.00
2015-04-22,570.00,563.00,555.00,555.00,,-2.63,,3127618.00
2015-04-23,561.00,564.00,560.00,562.00,,0.18,,1631670.00
2015-05-26,562.00,551.00,506.00,506.00,,-9.96,,49600.00
2015-05-27,506.00,496.00,456.00,456.00,,-9.88,,9033192.00
2015-05-28,456.00,473.00,447.00,471.00,,3.29,,6436022.00
2015-05-31,471.00,506.00,470.00,506.00,,7.43,,4792623.00
2015-06-02,526.00,536.00,505.00,535.00,,1.71,,2585396.00
2015-06-03,535.00,560.00,535.00,552.00,,3.18,,6939123.00
2015-06-07,550.00,557.00,550.00,556.00,,1.09,,7178264.00
2015-06-07,552.00,562.00,541.00,550.00,,-0.36,,7178264.00
2015-06-08,556.00,577.00,560.00,574.00,,3.24,,9645726.00
2015-06-09,574.00,596.00,580.00,582.00,,1.39,,13797356.00
2015-06-10,582.00,584.00,560.00,578.00,,-0.69,,9502339.00
2015-06-11,578.00,570.00,554.00,556.00,,-3.81,,4100468.00
2015-06-14,556.00,555.00,549.00,554.00,,-0.36,,8084745.00
2015-06-15,554.00,570.00,550.00,560.00,,1.08,,1331625.00
2015-06-16,560.00,557.00,553.00,554.00,,-1.07,,1735037.00
2015-06-17,554.00,560.00,552.00,556.00,,0.36,,3173254.00
2015-06-18,556.00,556.00,552.00,552.00,,-0.72,,1855470.00
2015-06-21,552.00,555.00,545.00,550.00,,-0.36,,2594126.00
2015-06-22,545.00,559.00,545.00,557.00,,1.27,,2090692.00
2015-06-23,547.00,558.00,547.00,554.00,,-0.54,,6400529.00
2015-06-24,543.00,565.00,543.00,565.00,,1.99,,5581462.00
2015-06-25,560.00,563.00,550.00,560.00,,-0.88,,6454556.00
2015-06-28,553.00,562.00,553.00,560.00,,0,,5898223.00
2015-06-29,570.00,580.00,562.00,566.00,,1.07,,5074106.00
2015-06-30,564.00,565.00,561.00,564.00,,-0.35,,2151466.00
2015-07-01,555.00,566.00,555.00,561.00,,-0.53,,7428417.00
2015-07-02,562.00,562.00,550.00,557.00,,-0.71,,13365429.00
2015-07-05,560.00,562.00,554.00,556.00,,-0.18,,3314542.00
2015-07-06,558.00,558.00,551.00,556.00,,0,,6992822.00
2015-07-07,556.00,562.00,550.00,560.00,,0.72,,6763938.00
2015-07-08,570.00,570.00,562.00,565.00,,0.89,,4683013.00
2015-07-09,566.00,569.00,553.00,562.00,,-0.35,,27575691.00
2015-07-12,557.00,568.00,557.00,563.00,,0,,7671154.00
2015-07-13,568.00,568.00,555.00,560.00,,-0.53,,6070379.00
2015-07-14,565.00,565.00,560.00,561.00,,0,,1078863.00
2015-07-15,551.00,564.00,551.00,562.00,,0.71,,7060041.00
2015-07-22,570.00,570.00,563.00,567.00,,0.53,,6827507.00
2015-07-23,567.00,601.00,563.00,589.00,,3.88,,14315278.00
2015-07-27,647.00,684.00,605.00,611.00,,-5.56,,9995308.00
2015-07-27,589.00,647.00,600.00,647.00,,9.85,,9995308.00
2015-07-28,611.00,619.00,579.00,595.00,,-2.62,,14763932.00
