Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-06-18,232.00,255.20,232.00,255.20,,0,,170790.60
2023-06-19,260.30,280.70,260.30,280.70,,9.99,,2589508.90
2023-06-20,286.30,297.80,267.10,270.20,,-3.74,,11063790.00
2023-06-21,275.00,275.00,255.30,255.40,,-5.48,,6938501.70
2023-06-22,253.00,260.00,246.20,247.20,,-3.21,,3404395.20
2023-06-25,242.30,257.00,235.70,252.00,,1.94,,4482019.10
2023-06-26,252.00,260.00,246.70,248.00,,-1.59,,2377626.60
2023-06-27,250.00,250.70,243.60,247.30,,-0.28,,3714840.40
2023-06-28,243.00,251.00,243.00,251.00,,1.5,,3068466.50
2023-07-02,251.00,252.00,241.90,247.10,,-1.55,,2122165.00
2023-07-03,242.80,247.80,238.00,241.90,,-2.1,,1835218.50
2023-07-04,237.10,251.60,235.00,251.60,,4.01,,1085463.00
2023-07-05,246.60,246.60,232.30,240.70,,-4.33,,2286042.40
2023-07-06,240.00,240.00,225.50,237.00,,-1.54,,1806787.20
2023-07-09,234.00,237.00,230.00,237.00,,0,,1736362.00
2023-07-10,232.60,235.00,227.10,227.30,,-4.09,,1160528.00
2023-07-11,223.00,231.00,220.30,225.00,,-1.01,,1212667.00
2023-07-12,221.20,234.00,221.10,230.00,,2.22,,2760813.00
2023-07-13,230.00,234.00,225.80,226.00,,-1.74,,955916.00
2023-07-16,222.00,226.00,221.90,226.00,,0,,639215.40
2023-07-17,221.60,234.40,221.60,229.50,,1.55,,1328198.50
2023-07-18,225.10,234.00,225.10,227.80,,-0.74,,1067590.00
2023-07-19,225.10,232.70,225.10,232.70,,2.15,,927591.00
2023-07-20,228.10,236.60,224.00,233.30,,0.26,,1863407.70
2023-07-23,228.80,241.00,226.10,240.40,,3.04,,1455971.50
2023-07-24,238.00,249.00,228.80,240.00,,-0.17,,1997072.00
2023-07-25,244.80,249.40,230.10,238.00,,-0.83,,1219954.90
2023-07-26,233.50,238.00,231.10,237.00,,-0.42,,1267167.00
2023-07-27,232.30,241.00,228.40,234.00,,-1.27,,2754092.60
2023-07-30,238.00,238.00,226.50,237.00,,1.28,,935906.00
2023-07-31,232.30,237.00,230.00,230.00,,-2.95,,969022.50
2023-08-01,226.10,232.00,224.40,224.40,,-2.43,,1171091.90
2023-08-02,223.10,229.50,223.10,224.90,,0.22,,694621.10
2023-08-03,222.10,228.40,218.10,227.00,,0.93,,797993.00
2023-08-06,222.50,222.50,215.20,219.00,,-3.52,,600043.00
2023-08-07,215.00,224.10,211.30,224.10,,2.33,,2117476.00
2023-08-08,219.70,219.70,213.30,218.00,,-2.72,,648243.00
2023-08-09,213.70,221.00,209.00,221.00,,1.38,,642837.00
2023-08-10,216.60,218.00,212.40,215.00,,-2.71,,510734.00
2023-08-13,215.00,226.00,210.00,222.00,,3.26,,1301277.00
2023-08-14,218.00,218.00,209.90,215.00,,-3.15,,930876.00
2023-08-15,210.70,210.70,205.00,209.90,,-2.37,,903213.00
2023-08-16,205.80,206.00,195.30,204.00,,-2.81,,2218301.00
2023-08-17,200.00,204.10,194.00,195.00,,-4.41,,1283155.50
2023-08-20,191.20,196.80,189.00,189.10,,-3.03,,503227.00
2023-08-21,186.00,189.70,174.00,177.90,,-7.99,,1751005.80
2023-08-22,175.00,181.00,169.00,179.00,,0.62,,1932966.00
2023-08-23,175.50,193.40,175.50,193.00,,7.82,,1071104.00
2023-08-24,196.80,196.80,178.20,183.00,,-5.18,,1314627.00
2023-08-27,181.00,182.00,172.60,173.90,,-4.97,,922001.40
2023-08-28,170.50,182.00,165.20,175.70,,1.04,,640693.40
2023-08-29,172.20,179.10,171.00,178.40,,1.54,,427437.00
2023-08-30,175.00,178.00,172.50,178.00,,-0.22,,603732.00
2023-09-03,174.50,179.50,171.10,172.10,,-3.31,,562800.90
2023-09-04,170.00,181.00,169.00,181.00,,5.17,,441818.90
2023-09-05,177.40,185.50,177.40,182.50,,0.83,,392574.50
2023-09-07,178.90,182.00,173.10,177.80,,-2.58,,367560.50
2023-09-10,177.00,195.50,174.70,195.50,,9.96,,2105005.60
2023-09-11,192.00,215.00,188.50,215.00,,9.97,,4599843.60
2023-09-12,210.70,228.00,210.70,221.80,,3.16,,2826161.60
2023-09-13,217.40,230.70,211.00,230.50,,3.92,,3418131.20
2023-09-17,226.00,226.00,207.50,211.00,,-8.46,,3567791.00
2023-09-18,207.00,230.50,207.00,227.40,,7.77,,3845333.60
2023-09-19,224.00,250.10,224.00,250.10,,9.98,,13071077.70
2023-09-21,255.00,275.10,252.00,263.00,,5.16,,9122752.80
2023-09-24,257.80,261.00,242.80,256.00,,-2.66,,8790727.60
2023-09-25,250.90,272.20,245.90,258.00,,0.78,,5854890.60
2023-09-26,263.10,283.80,253.10,283.80,,10,,16733803.70
2023-09-27,287.00,307.00,284.00,296.00,,4.3,,12921655.70
2023-10-01,290.10,290.10,266.40,266.50,,-9.97,,10190305.20
2023-10-02,261.20,280.50,256.00,270.10,,1.35,,6033952.10
2023-10-03,274.00,279.00,259.70,270.00,,-0.04,,7423286.70
2023-10-04,272.00,274.90,262.10,269.00,,-0.37,,2923849.00
2023-10-05,263.70,275.00,261.10,267.00,,-0.74,,2507906.90
2023-10-08,261.70,261.70,249.90,261.00,,-2.25,,5233062.50
2023-10-09,255.80,265.00,249.10,259.00,,-0.77,,4555001.10
2023-10-10,255.00,257.00,250.00,256.90,,-0.81,,1670348.00
2023-10-11,253.00,262.00,248.50,257.00,,0.04,,2893817.00
2023-10-12,252.00,256.00,243.80,254.00,,-1.17,,4102682.40
2023-10-16,253.90,259.00,235.00,241.00,,-5.12,,1404197.90
2023-10-17,239.20,249.80,233.00,237.90,,-1.29,,2612167.70
2023-10-18,242.00,246.60,229.10,240.00,,0.88,,2506407.00
2023-10-19,235.20,259.00,233.40,234.50,,-2.29,,3078737.70
2023-10-29,231.20,244.40,226.30,231.10,,-1.45,,983476.60
2023-10-30,226.50,238.10,226.50,238.10,,3.03,,1152500.00
2023-10-31,233.40,233.40,220.50,227.90,,-4.28,,1277597.90
2023-11-01,223.50,231.00,215.10,225.90,,-0.88,,1016466.80
2023-11-02,230.40,235.00,208.30,215.80,,-4.47,,2359128.50
2023-11-05,212.10,220.00,200.10,215.60,,-0.09,,2998131.30
2023-11-06,211.30,228.00,207.10,228.00,,5.75,,1940916.00
2023-11-07,228.00,232.40,211.30,222.30,,-2.5,,1111638.50
2023-11-08,226.50,229.50,210.70,223.50,,0.54,,2117306.40
2023-11-09,227.00,231.50,210.00,211.70,,-5.28,,700794.00
2023-11-20,215.00,227.00,211.00,214.00,,1.09,,1046167.40
2023-11-21,218.20,231.40,208.00,231.40,,8.13,,1138044.40
2023-11-22,226.80,226.80,214.10,224.90,,-2.81,,2327950.50
2023-11-23,225.00,233.00,215.70,221.00,,-1.73,,1489748.00
2023-11-26,216.70,233.10,216.70,227.00,,2.71,,2157793.00
