Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,535.00,538.00,530.00,530.00,,-0.93,,350023.00
2014-08-04,574.00,585.00,565.00,575.00,,0.17,,350023.00
2014-08-04,575.00,564.00,532.00,535.00,,-6.96,,350023.00
2014-08-04,530.00,545.00,530.00,545.00,,2.83,,350023.00
2014-08-04,545.00,577.00,555.00,577.00,,5.87,,350023.00
2014-08-04,577.00,602.00,574.00,574.00,,-0.52,,350023.00
2014-08-05,530.00,551.00,525.00,551.00,,3.96,,128964.00
2014-08-06,551.00,566.00,540.00,550.00,,-0.18,,199230.00
2014-08-07,550.00,545.00,540.00,545.00,,-0.91,,80590.00
2014-08-12,545.00,549.00,540.00,540.00,,-0.92,,36018.00
2014-08-14,540.00,530.00,519.00,530.00,,-1.85,,620130.00
2014-08-18,530.00,530.00,501.00,501.00,,-5.47,,422828.00
2014-08-19,501.00,501.00,500.00,501.00,,0,,42520.00
2014-08-20,501.00,500.00,492.00,492.00,,-1.8,,178404.00
2014-08-21,492.00,495.00,474.00,495.00,,0.61,,318351.00
2014-08-24,495.00,510.00,500.00,500.00,,1.01,,364468.00
2014-08-25,500.00,490.00,454.00,454.00,,-9.2,,269332.00
2014-08-26,454.00,463.00,462.00,462.00,,1.76,,257391.00
2014-08-27,462.00,487.00,469.00,480.00,,3.9,,351671.00
2014-08-28,480.00,486.00,477.00,481.00,,0.21,,214028.00
2014-08-31,481.00,485.00,473.00,473.00,,-1.66,,78364.00
2014-09-01,473.00,466.00,460.00,460.00,,-2.75,,332520.00
2014-09-03,460.00,461.00,460.00,461.00,,0.22,,40064.00
2014-09-04,461.00,461.00,442.00,442.00,,-4.12,,337026.00
2014-09-07,442.00,434.00,420.00,420.00,,-4.98,,449221.00
2014-09-09,420.00,445.00,421.00,445.00,,5.95,,198289.00
2014-09-10,445.00,450.00,441.00,441.00,,-0.9,,29398.00
2014-09-11,441.00,435.00,411.00,423.00,,-4.08,,351995.00
2014-09-14,423.00,423.00,413.00,413.00,,-2.36,,87213.00
2014-09-15,413.00,452.00,421.00,452.00,,9.44,,212174.00
2014-09-16,452.00,483.00,461.00,483.00,,6.86,,107250.00
2014-09-17,483.00,510.00,465.00,500.00,,3.52,,463394.00
2014-09-21,483.00,474.00,460.00,460.00,,-4.76,,190737.00
2014-09-22,460.00,460.00,451.00,455.00,,-1.09,,206761.00
2014-09-23,455.00,464.00,455.00,455.00,,0,,101060.00
2014-09-24,455.00,455.00,454.00,455.00,,0,,132308.00
2014-09-28,455.00,452.00,445.00,452.00,,-0.66,,147033.00
2014-09-29,452.00,452.00,445.00,452.00,,0,,141077.00
2014-09-30,452.00,461.00,455.00,460.00,,1.77,,111226.00
2014-10-08,460.00,461.00,452.00,461.00,,0.22,,63366.00
2014-10-09,461.00,464.00,460.00,464.00,,0.65,,39328.00
2014-10-12,464.00,510.00,455.00,510.00,,9.91,,227790.00
2014-10-14,510.00,500.00,490.00,490.00,,-3.92,,11900.00
2014-10-15,490.00,481.00,472.00,472.00,,-3.67,,147026.00
2014-10-16,472.00,475.00,457.00,470.00,,-0.42,,281341.00
2014-10-19,470.00,470.00,461.00,461.00,,-1.91,,53067.00
2014-10-20,461.00,461.00,461.00,461.00,,0,,34575.00
2014-10-21,461.00,470.00,470.00,470.00,,1.95,,13160.00
2014-10-22,470.00,465.00,460.00,460.00,,-2.13,,56350.00
2014-10-26,460.00,451.00,451.00,451.00,,-1.96,,38786.00
2014-10-27,451.00,460.00,460.00,460.00,,2,,34040.00
2014-11-02,460.00,460.00,451.00,460.00,,0,,56916.00
2014-11-03,460.00,451.00,445.00,445.00,,-3.26,,31763.00
2014-11-04,445.00,454.00,452.00,454.00,,2.02,,407874.00
2014-11-05,454.00,463.00,463.00,463.00,,1.98,,14353.00
2014-11-06,463.00,455.00,450.00,450.00,,-2.81,,256970.00
2014-11-09,450.00,455.00,445.00,455.00,,1.11,,218780.00
2014-11-10,455.00,455.00,446.00,446.00,,-1.98,,31598.00
2014-11-12,446.00,453.00,446.00,453.00,,1.57,,63423.00
2014-11-13,453.00,451.00,445.00,446.00,,-1.55,,44824.00
2014-11-16,446.00,438.00,430.00,431.00,,-3.36,,517279.00
2014-11-17,431.00,423.00,411.00,412.00,,-4.41,,106489.00
2014-11-18,412.00,415.00,415.00,415.00,,0.73,,65155.00
2014-11-19,415.00,423.00,420.00,423.00,,1.93,,42258.00
2014-11-20,423.00,435.00,431.00,435.00,,2.84,,31112.00
2014-11-24,460.00,451.00,451.00,451.00,,-1.96,,23903.00
2014-11-24,435.00,460.00,435.00,460.00,,5.75,,23903.00
2014-11-25,451.00,460.00,451.00,460.00,,2,,372570.00
2014-11-30,460.00,451.00,451.00,451.00,,-1.96,,10824.00
2014-12-04,451.00,442.00,436.00,436.00,,-3.33,,35658.00
2014-12-07,436.00,428.00,428.00,428.00,,-1.83,,54784.00
2014-12-08,428.00,432.00,424.00,424.00,,-0.93,,98148.00
2014-12-09,424.00,425.00,420.00,425.00,,0.24,,60037.00
2014-12-10,425.00,441.00,433.00,441.00,,3.76,,105780.00
2014-12-11,441.00,433.00,425.00,425.00,,-3.63,,45442.00
2014-12-15,425.00,467.00,433.00,467.00,,9.88,,122899.00
2014-12-16,467.00,465.00,425.00,434.00,,-7.07,,2097440.00
2014-12-17,434.00,442.00,436.00,442.00,,1.84,,94332.00
2014-12-18,442.00,445.00,445.00,445.00,,0.68,,17800.00
2014-12-21,445.00,449.00,441.00,441.00,,-0.9,,156477.00
2014-12-22,441.00,444.00,436.00,440.00,,-0.23,,145096.00
2014-12-23,440.00,440.00,425.00,433.00,,-1.59,,186314.00
2014-12-24,433.00,439.00,425.00,439.00,,1.39,,71195.00
2014-12-28,439.00,469.00,435.00,469.00,,6.83,,362762.00
2014-12-29,469.00,475.00,465.00,465.00,,-0.85,,1898154.00
2014-12-31,372.00,366.00,366.00,366.00,,-1.61,,52338.00
2015-01-01,366.00,387.00,373.00,387.00,,5.74,,28931.00
2015-01-04,387.00,413.00,394.00,413.00,,6.72,,164620.00
2015-01-05,413.00,410.00,405.00,410.00,,-0.73,,9790.00
2015-01-06,410.00,406.00,402.00,402.00,,-1.95,,432344.00
2015-01-07,402.00,410.00,410.00,410.00,,1.99,,36080.00
2015-01-08,410.00,426.00,418.00,426.00,,3.9,,21090.00
2015-01-11,426.00,430.00,426.00,430.00,,0.94,,54020.00
2015-01-12,430.00,426.00,425.00,425.00,,-1.16,,638000.00
2015-01-13,425.00,432.00,425.00,432.00,,1.65,,60624.00
2015-01-14,432.00,456.00,435.00,456.00,,5.56,,56340.00
2015-01-18,456.00,456.00,456.00,456.00,,0,,91200.00
2015-01-19,456.00,465.00,460.00,465.00,,1.97,,342570.00
2015-01-20,465.00,483.00,464.00,483.00,,3.87,,579628.00
2015-01-22,483.00,474.00,474.00,474.00,,-1.86,,41238.00
2015-01-25,474.00,501.00,474.00,501.00,,5.7,,461771.00
2015-01-26,501.00,491.00,482.00,482.00,,-3.79,,38046.00
2015-01-27,482.00,500.00,491.00,492.00,,2.07,,754405.00
