Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-09-25,222.00,244.20,199.80,225.00,,0,,30483696.40
2023-09-26,225.00,247.50,220.50,247.50,,10,,14520907.10
2023-09-27,252.40,272.20,252.40,272.00,,9.9,,12378094.80
2023-10-01,270.00,270.00,244.80,244.80,,-10,,13293936.50
2023-10-02,240.00,240.00,225.10,232.00,,-5.23,,16879798.00
2023-10-03,228.00,245.00,227.50,233.00,,0.43,,11951573.40
2023-10-04,230.00,241.00,230.00,234.00,,0.43,,5605752.70
2023-10-05,232.00,234.00,228.10,231.00,,-1.28,,4616570.00
2023-10-08,226.90,227.70,219.00,221.00,,-4.33,,8206275.90
2023-10-09,218.00,228.50,215.10,221.10,,0.05,,6640688.00
2023-10-10,219.00,225.00,217.10,221.00,,-0.05,,6970530.90
2023-10-11,217.50,227.00,217.20,224.40,,1.54,,5246862.20
2023-10-12,220.00,223.00,215.20,217.90,,-2.9,,4357846.80
2023-10-16,214.00,224.00,204.00,207.20,,-4.91,,5831420.10
2023-10-17,204.00,214.00,202.00,204.00,,-1.54,,3258972.50
2023-10-18,201.10,210.00,201.10,207.00,,1.47,,1774066.80
2023-10-19,204.20,209.20,201.00,201.80,,-2.51,,3218692.90
2023-10-29,198.00,201.90,193.00,194.00,,-3.87,,3437660.00
2023-10-30,193.00,199.90,190.30,199.00,,2.58,,2649848.40
2023-10-31,195.10,195.80,192.00,195.00,,-2.01,,1378244.00
2023-11-01,192.00,197.00,191.00,194.80,,-0.1,,1448311.00
2023-11-02,191.00,192.00,184.00,186.00,,-4.52,,2038719.50
2023-11-05,184.00,186.00,182.60,184.00,,-1.08,,1960451.00
2023-11-06,186.00,193.90,183.10,191.70,,4.18,,2001223.50
2023-11-07,190.10,197.00,187.20,194.90,,1.67,,1265168.20
2023-11-08,192.00,195.80,188.50,194.00,,-0.46,,2472747.00
2023-11-09,192.00,194.00,188.00,190.00,,-2.06,,2219076.00
2023-11-20,191.00,195.00,187.00,187.30,,-1.42,,1367610.40
2023-11-21,187.00,187.00,178.00,180.00,,-3.9,,1387746.10
2023-11-22,176.50,193.80,175.00,193.30,,7.39,,3505875.00
2023-11-23,189.50,203.00,185.90,201.50,,4.24,,3739614.10
2023-11-26,198.00,210.00,195.00,204.60,,1.54,,5202803.20
2023-11-27,201.00,207.00,197.00,199.00,,-2.74,,5139522.80
2023-11-28,200.00,213.20,198.00,209.00,,5.03,,3503834.30
2023-11-29,209.00,213.00,200.90,200.90,,-3.88,,7796264.80
2023-11-30,200.00,204.00,191.70,196.00,,-2.44,,2886357.80
2023-12-03,195.00,204.00,192.40,202.50,,3.32,,6431822.00
2023-12-04,199.10,212.10,199.10,208.00,,2.72,,6070721.60
2023-12-05,205.20,209.00,199.00,199.60,,-4.04,,2659117.30
2023-12-06,197.10,205.00,197.10,203.90,,2.15,,2215231.10
2023-12-07,199.90,216.40,199.90,210.00,,2.99,,5448392.90
2023-12-10,214.00,222.00,211.60,220.00,,4.76,,1036219.00
2023-12-11,221.00,223.00,210.00,216.00,,-1.82,,7159772.70
2023-12-12,220.30,237.60,212.30,237.10,,9.77,,23735113.90
2023-12-13,237.90,253.90,232.00,240.00,,1.22,,15323847.90
2023-12-14,240.00,260.00,233.00,250.50,,4.37,,13750088.00
2023-12-17,245.50,273.60,236.10,273.60,,9.22,,15125023.50
2023-12-18,274.00,279.00,250.00,263.10,,-3.84,,23273600.40
2023-12-19,257.90,270.00,248.20,266.00,,1.1,,16437451.20
2023-12-20,271.30,271.30,255.00,265.90,,-0.04,,14497792.10
