Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-07-05,270.00,275.40,243.00,243.00,,0,,17162091.00
2023-07-06,238.20,238.20,218.70,218.70,,-10,,5897520.20
2023-07-09,214.40,226.00,197.90,218.10,,-0.27,,56751648.70
2023-07-10,218.10,218.10,208.00,209.10,,-4.13,,17562182.40
2023-07-11,209.00,210.40,205.00,206.10,,-1.43,,9671982.00
2023-07-12,206.90,220.00,202.80,219.50,,6.5,,16693950.60
2023-07-13,217.00,223.50,207.60,208.60,,-4.97,,16292272.70
2023-07-16,212.00,212.70,205.00,207.50,,-0.53,,9268540.50
2023-07-17,206.00,214.00,204.10,211.50,,1.93,,10524173.00
2023-07-18,211.50,214.00,211.20,211.30,,-0.09,,8887963.40
2023-07-19,211.00,212.00,207.40,208.00,,-1.56,,8032482.50
2023-07-20,205.30,228.80,205.30,217.00,,4.33,,19097545.00
2023-07-23,215.00,224.00,215.00,220.00,,1.38,,16899575.90
2023-07-24,217.00,235.50,217.00,225.00,,2.27,,26667845.40
2023-07-25,224.40,235.00,222.00,230.00,,2.22,,15665306.10
2023-07-26,230.00,230.10,220.00,222.00,,-3.48,,14278777.00
2023-07-27,222.00,225.00,215.10,218.00,,-1.8,,11469489.40
2023-07-30,213.70,222.00,210.00,210.90,,-3.26,,7868604.80
2023-07-31,210.00,218.90,207.50,209.50,,-0.66,,11646550.30
2023-08-01,208.10,216.00,206.20,206.20,,-1.58,,8956938.20
2023-08-02,205.60,211.10,205.60,208.00,,0.87,,5959641.40
2023-08-03,209.50,211.30,206.00,207.00,,-0.48,,8687343.70
2023-08-06,202.90,214.00,200.20,202.00,,-2.42,,8482523.00
2023-08-07,202.00,205.90,198.30,200.00,,-0.99,,10381432.20
2023-08-08,200.00,202.00,193.20,194.00,,-3,,7558425.10
2023-08-09,191.10,201.00,189.00,200.10,,3.14,,8375456.10
2023-08-10,196.50,204.00,195.40,199.00,,-0.55,,8387628.30
2023-08-13,196.00,196.00,191.20,192.10,,-3.47,,7351174.50
2023-08-14,192.00,195.90,190.00,190.50,,-0.83,,5742862.10
2023-08-15,190.00,190.00,183.00,183.40,,-3.73,,8350254.40
2023-08-16,182.60,185.00,179.00,179.20,,-2.29,,4071316.80
2023-08-17,182.00,184.90,179.00,180.00,,0.45,,4070909.40
2023-08-20,180.00,187.00,173.60,173.60,,-3.56,,3693729.00
2023-08-21,173.00,173.00,156.40,165.10,,-4.9,,9773978.50
2023-08-22,162.00,179.00,162.00,178.30,,8,,4048118.00
2023-08-23,176.70,183.60,172.50,182.00,,2.08,,5574213.70
2023-08-24,180.00,182.00,170.60,171.00,,-6.04,,6048785.70
2023-08-27,174.00,174.00,163.10,164.10,,-4.04,,4953211.20
2023-08-28,163.00,170.00,163.00,165.50,,0.85,,2775997.00
2023-08-29,164.20,168.00,163.00,166.00,,0.3,,1734143.00
2023-08-30,163.00,169.00,163.00,164.30,,-1.02,,2331450.50
2023-09-03,163.00,163.00,159.00,160.00,,-2.62,,4169889.60
2023-09-04,159.00,165.00,157.00,164.20,,2.62,,2157052.50
2023-09-05,164.50,165.00,160.00,161.10,,-1.89,,1390276.50
2023-09-07,159.00,162.30,159.00,162.30,,0.74,,2783337.70
2023-09-10,160.00,171.00,159.30,164.00,,1.05,,3560568.00
2023-09-11,161.00,175.00,161.00,171.90,,4.82,,5229397.60
2023-09-12,172.00,172.00,166.20,166.20,,-3.32,,3006290.90
2023-09-13,163.10,175.40,163.10,175.00,,5.29,,4492833.80
2023-09-17,175.00,175.00,165.00,167.00,,-4.57,,4460675.70
2023-09-18,164.00,169.90,161.30,167.00,,0,,2386695.20
2023-09-19,170.30,179.50,165.10,179.50,,7.49,,6003078.90
2023-09-21,179.50,192.80,178.50,188.00,,4.74,,16316891.90
2023-09-24,188.00,191.00,180.00,184.00,,-2.13,,10777579.30
2023-09-25,181.00,189.00,178.00,181.10,,-1.58,,5539991.70
2023-09-26,181.10,195.00,181.10,191.60,,5.8,,11902947.70
2023-09-27,194.10,194.10,181.50,188.00,,-1.88,,11922565.00
2023-10-01,189.00,189.00,171.50,177.00,,-5.85,,10481856.80
2023-10-02,175.00,187.00,170.60,181.70,,2.66,,6170774.50
2023-10-03,178.10,180.10,175.00,177.50,,-2.31,,3484540.10
2023-10-04,175.00,186.50,175.00,180.00,,1.41,,3651648.80
2023-10-05,177.00,182.00,175.40,179.00,,-0.56,,3732472.00
2023-10-08,176.00,178.00,171.10,172.50,,-3.63,,5428063.50
2023-10-09,172.00,175.00,168.90,174.10,,0.93,,3349933.30
2023-10-10,170.70,179.90,167.40,168.30,,-3.33,,3909035.60
2023-10-11,166.70,174.40,166.70,170.00,,1.01,,4185344.90
2023-10-12,169.00,173.40,167.00,169.50,,-0.29,,5029783.10
2023-10-16,166.30,168.00,163.10,165.00,,-2.65,,3996211.50
2023-10-17,163.00,173.30,163.00,166.90,,1.15,,2842343.30
2023-10-18,165.10,170.90,165.10,169.00,,1.26,,2536226.90
2023-10-19,166.10,170.00,163.70,167.90,,-0.65,,2694595.80
2023-10-29,164.70,169.50,162.00,163.00,,-2.92,,2738169.90
2023-10-30,160.40,165.00,160.40,162.00,,-0.61,,3752068.30
2023-10-31,161.00,164.00,160.40,162.90,,0.56,,1353033.20
2023-11-01,164.00,164.00,158.50,160.20,,-1.66,,3962854.50
2023-11-02,161.00,163.00,156.70,157.00,,-2,,2657853.30
2023-11-05,156.00,157.00,152.00,153.00,,-2.55,,3383982.10
2023-11-06,150.00,157.00,150.00,155.00,,1.31,,1975824.50
2023-11-07,152.30,162.20,152.30,159.00,,2.58,,2807910.60
2023-11-08,156.00,161.00,156.00,160.20,,0.75,,1155485.00
2023-11-09,157.30,160.00,155.40,156.00,,-2.62,,1591500.40
2023-11-20,156.00,160.50,153.00,154.60,,-0.9,,2612684.00
