Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2020-12-16,344.00,378.00,344.00,378.00,,9.88,,19983900.00
2020-12-17,396.00,415.00,396.00,415.00,,9.79,,34091815.00
2020-12-20,435.00,435.00,374.00,379.00,,-8.67,,29829326.00
2020-12-21,372.00,390.00,343.00,387.00,,2.11,,22850550.00
2020-12-22,380.00,380.00,370.00,380.00,,-1.81,,12225030.00
2020-12-23,380.00,387.00,365.00,373.00,,-1.84,,6253200.00
2020-12-24,365.00,410.00,365.00,391.00,,4.83,,20524680.00
2020-12-27,397.00,409.00,387.00,387.00,,-1.02,,28816984.00
2020-12-28,380.00,399.00,379.00,392.00,,1.29,,5144210.00
2020-12-29,410.00,410.00,382.00,386.00,,-1.53,,7841780.00
2020-12-30,380.00,393.00,380.00,393.00,,1.81,,4598290.00
2020-12-31,386.00,390.00,381.00,383.00,,-2.54,,4048350.00
2021-01-03,380.00,388.00,378.00,379.00,,-1.04,,4652245.00
2021-01-04,378.00,385.00,374.00,377.00,,-0.53,,4528380.00
2021-01-05,371.00,409.00,371.00,383.00,,1.59,,4943465.00
2021-01-06,383.00,390.00,380.00,383.00,,0,,4535841.00
2021-01-07,376.00,385.00,372.00,382.00,,-0.26,,3179236.00
2021-01-10,376.00,382.00,375.00,378.00,,-1.05,,3190860.00
2021-01-11,379.00,391.00,375.00,382.00,,1.06,,8444595.00
2021-01-12,377.00,383.00,374.00,378.00,,-1.05,,4455385.00
2021-01-13,376.00,385.00,376.00,384.00,,1.59,,3430305.00
2021-01-17,379.00,405.00,379.00,396.00,,3.12,,9839940.00
2021-01-18,415.00,415.00,395.00,401.00,,1.26,,7420820.00
2021-01-19,393.00,405.00,393.00,400.00,,-0.25,,7225530.00
2021-01-20,395.00,408.00,392.00,397.00,,-0.75,,3792590.00
2021-01-21,404.00,436.00,396.00,436.00,,9.82,,16889525.00
2021-01-24,420.00,479.00,420.00,479.00,,9.86,,14993381.00
2021-01-25,479.00,526.00,461.00,526.00,,9.81,,24321450.00
2021-01-26,526.00,538.00,507.00,525.00,,-0.19,,13655054.00
2021-01-27,499.00,545.00,499.00,537.00,,2.29,,13713052.00
2021-01-28,563.00,563.00,521.00,532.00,,-0.93,,7842615.00
2021-01-31,532.00,535.00,514.00,535.00,,0.56,,12327310.00
2021-02-01,526.00,588.00,521.00,588.00,,9.91,,16588744.00
2021-02-02,600.00,646.00,578.00,646.00,,9.86,,24000155.00
2021-02-03,678.00,707.00,626.00,649.00,,0.46,,24125308.00
2021-02-04,637.00,703.00,614.00,676.00,,4.16,,22898257.00
