Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2016-09-05,392.00,392.00,392.00,392.00,,0,,3920.00
2016-09-08,411.00,411.00,411.00,411.00,,4.85,,4110.00
2016-11-24,419.00,419.00,419.00,419.00,,1.95,,4190.00
2016-12-06,427.00,451.00,427.00,451.00,,7.64,,21990.00
2016-12-15,460.00,478.00,460.00,478.00,,5.99,,43427.00
2016-12-18,487.00,496.00,487.00,496.00,,3.77,,9830.00
2016-12-21,460.00,487.00,460.00,487.00,,7.98,,18940.00
2016-12-26,496.00,535.00,496.00,535.00,,9.86,,25760.00
2017-01-19,545.00,545.00,545.00,545.00,,1.87,,5450.00
2017-01-23,555.00,566.00,555.00,566.00,,3.85,,23096.00
2017-01-24,577.00,577.00,577.00,577.00,,1.94,,5770.00
2017-02-09,588.00,610.00,588.00,610.00,,5.72,,17970.00
2017-02-12,622.00,646.00,622.00,646.00,,5.9,,47120.00
2017-02-13,658.00,671.00,658.00,671.00,,3.87,,13290.00
2017-02-26,697.00,710.00,697.00,710.00,,3.8,,14070.00
2017-03-01,724.00,752.00,724.00,752.00,,5.91,,22140.00
2017-03-02,767.00,782.00,767.00,782.00,,3.99,,31897.00
2017-03-14,797.00,797.00,797.00,797.00,,1.92,,7970.00
2017-03-20,0.00,0.00,0.00,812.00,,0,,3248.00
2017-03-21,812.00,844.00,812.00,844.00,,5.9,,41672.00
2017-03-22,860.00,877.00,860.00,877.00,,3.91,,23509.00
2017-03-26,894.00,894.00,894.00,894.00,,1.94,,8940.00
2017-04-09,0.00,0.00,0.00,994.00,,0,,9940.00
2017-04-12,1053.00,1053.00,1053.00,1053.00,,1.94,,21060.00
2017-04-20,1095.00,1160.00,1095.00,1160.00,,8.01,,45090.00
2017-04-24,1183.00,1183.00,1183.00,1183.00,,1.98,,23660.00
2017-04-26,1206.00,1206.00,1206.00,1206.00,,1.94,,12060.00
2017-04-27,1230.00,1326.00,1230.00,1352.00,,9.95,,406508.00
2017-04-30,1352.00,1379.00,1352.00,1379.00,,4,,30041.00
2017-05-04,1406.00,1434.00,1406.00,1434.00,,3.99,,39844.00
2017-05-08,1581.00,1705.00,1581.00,1705.00,,10,,124208.00
2017-05-11,1880.88,1880.88,1880.88,1880.88,,2,,18808.80
2017-05-15,1918.00,1918.00,1918.00,1918.00,,1.97,,19180.00
2017-05-17,1956.00,2109.00,1956.00,2109.00,,9.96,,147850.00
2017-05-21,2365.00,2550.90,2365.00,2550.00,,9.96,,1214162.80
2017-05-22,2601.00,2805.00,2601.00,2861.00,,10,,4978599.00
2017-05-23,2861.00,3085.00,2690.00,2750.00,,-1.96,,67176744.00
2017-05-28,2670.00,2670.00,2598.00,2618.00,,-3.86,,12079486.00
2017-05-30,2566.00,2610.00,2541.00,2585.00,,-1.26,,8041649.00
2017-06-01,2547.00,2547.00,2472.00,2512.00,,-3.31,,9304749.00
2017-06-04,2505.00,2505.00,2382.00,2440.00,,-2.87,,3614703.00
2017-06-05,2450.00,2487.00,2445.00,2476.00,,1.48,,7928935.00
2017-06-06,2500.00,2545.00,2476.00,2538.00,,2.5,,6342094.00
2017-06-07,2586.00,2599.00,2520.00,2525.00,,-0.51,,13483841.00
2017-06-08,2500.00,2525.00,2480.00,2510.00,,-0.59,,5273791.00
2017-06-11,2475.00,2475.00,2413.00,2431.00,,-3.15,,5313390.00
2017-06-12,2390.00,2450.00,2375.00,2449.00,,0.74,,6350695.00
2017-06-13,2450.00,2500.00,2353.00,2397.00,,-2.12,,2252863.00
2017-06-14,2400.00,2419.00,2361.00,2408.00,,0.92,,2150867.00
2017-06-15,2380.00,2449.00,2350.00,2398.00,,-0.79,,4973993.00
2017-06-19,2340.00,2369.00,2267.00,2280.00,,-2.56,,3422496.00
2017-06-20,2275.00,2331.00,2250.00,2295.00,,0.66,,2697941.00
2017-06-21,2295.00,2315.00,2252.00,2272.00,,-1,,1770154.00
2017-06-22,2256.00,2290.00,2256.00,2290.00,,0.79,,1361116.00
2017-06-25,2265.00,2301.00,2265.00,2285.00,,-0.22,,1386672.00
2017-06-27,2300.00,2330.00,2270.00,2277.00,,-0.35,,2579753.00
2017-06-28,2232.00,2272.00,2232.00,2250.00,,-1.19,,3201579.00
2017-07-02,2240.00,2290.00,2216.00,2218.00,,-1.42,,2079078.00
2017-07-03,2200.00,2244.00,2200.00,2240.00,,0.99,,2543567.00
2017-07-04,2240.00,2245.00,2202.00,2210.00,,-1.34,,1874544.00
2017-07-05,2210.00,2280.00,2190.00,2280.00,,3.17,,2356931.00
2017-07-06,2300.00,2350.00,2280.00,2325.00,,1.97,,1985546.00
2017-07-10,2206.00,2248.00,2206.00,2210.00,,0.23,,3590038.00
2017-07-11,2209.00,2240.00,2200.00,2213.00,,0.14,,1552593.00
2017-07-12,2214.00,2245.00,2210.00,2224.00,,0.5,,1530503.00
2017-07-13,2224.00,2229.00,2200.00,2204.00,,-0.9,,1618125.00
2017-07-16,2205.00,2215.00,2185.00,2190.00,,-0.73,,1765295.00
2017-07-17,2188.00,2250.00,2156.00,2250.00,,2.83,,4306438.00
2017-07-20,2235.00,2274.00,2225.00,2260.00,,0,,1965480.00
2017-07-23,2262.00,2280.00,2251.00,2264.00,,-0.31,,3862200.00
2017-07-24,2220.00,2250.00,2214.00,2227.00,,-1.15,,5417129.00
2017-07-25,2222.00,2245.00,2220.00,2230.00,,0.13,,1766981.00
2017-07-26,2250.00,2251.00,2196.00,2196.00,,-1.52,,1743208.00
2017-07-27,2202.00,2415.00,2202.00,2375.00,,8.15,,7286575.00
2017-07-30,2345.00,2400.00,2282.00,2380.00,,0.21,,4906073.00
2017-07-31,2370.00,2400.00,2334.00,2355.00,,-1.05,,3338924.00
2017-08-01,2350.00,2469.00,2331.00,2469.00,,4.84,,8611983.00
2017-08-02,2450.00,2450.00,2401.00,2418.00,,-1.62,,4486644.00
2017-08-06,2570.00,2570.00,2455.00,2455.00,,-3.35,,9942160.00
2017-08-07,2440.00,2450.00,2380.00,2438.00,,-0.69,,3772063.00
2017-08-09,2438.00,2599.00,2412.00,2516.00,,3.2,,20396579.00
2017-08-10,2540.00,2549.00,2476.00,2476.00,,-1.59,,10897325.00
2017-08-13,2460.00,2460.00,2368.00,2382.00,,-3.8,,6720683.00
2017-08-15,2380.00,2381.00,2335.00,2375.00,,-0.08,,2437341.00
2017-08-16,2427.00,2429.00,2385.00,2411.00,,1.3,,3267147.00
2017-08-17,2395.00,2402.00,2361.00,2380.00,,-1.29,,3109869.00
2017-08-20,2341.00,2432.00,2340.00,2430.00,,2.1,,1797489.00
2017-08-21,2385.00,2390.00,2351.00,2353.00,,-3.17,,1460213.00
2017-08-22,2350.00,2437.00,2345.00,2355.00,,0.08,,2721486.00
2017-08-23,2356.00,2375.00,2350.00,2355.00,,0,,3201171.00
2017-08-28,2400.00,2400.00,2334.00,2340.00,,-2.01,,4873319.00
2017-09-04,2324.00,2324.00,2261.00,2300.00,,-1.08,,3428583.00
2017-09-06,2320.00,2399.00,2320.00,2337.00,,1.61,,2770336.00
2017-09-07,2350.00,2387.00,2330.00,2387.00,,2.14,,2639330.00
2017-09-10,2401.00,2440.00,2300.00,2374.00,,-0.54,,14278295.00
2017-09-11,2374.00,2388.00,2336.00,2355.00,,-0.8,,4149332.00
2017-09-12,2355.00,2355.00,2305.00,2305.00,,-2.12,,4179275.00
2017-09-13,2260.00,2340.00,2260.00,2315.00,,0.43,,2613760.00
2017-09-14,2349.00,2349.00,2280.00,2298.00,,-0.73,,2906383.00
2017-09-17,2300.00,2350.00,2300.00,2325.00,,1.17,,8924436.00
2017-09-18,1788.00,1855.00,1788.00,1788.00,,0,,3078743.00
2017-09-20,1775.00,1775.00,1750.00,1756.00,,-1.79,,709751.00
2017-09-24,1774.00,1775.00,1720.00,1720.00,,-2.05,,506007.00
2017-09-25,1719.00,1719.00,1695.00,1700.00,,-1.16,,489455.00
2017-09-26,1710.00,1719.00,1676.00,1719.00,,1.12,,6760019.00
2017-10-03,1719.00,1719.00,1719.00,1719.00,,0,,75636.00
2017-10-04,1700.00,1700.00,1690.00,1690.00,,-1.69,,133800.00
2017-10-08,1658.00,1658.00,1625.00,1634.00,,-3.31,,311898.00
2017-10-09,1604.00,1610.00,1582.00,1585.00,,-3,,612639.00
2017-10-10,1566.00,1581.00,1566.00,1571.00,,-0.88,,548650.00
2017-10-11,1550.00,1571.00,1550.00,1571.00,,0,,446606.00
2017-10-12,1561.00,1570.00,1560.00,1560.00,,-0.7,,293733.00
2017-10-15,1560.00,1560.00,1540.00,1555.00,,0,,339726.00
2017-10-16,1560.00,1622.00,1560.00,1610.00,,3.21,,318647.00
2017-10-18,1630.00,1667.00,1620.00,1665.00,,1.52,,1161859.00
2017-10-22,1670.00,1695.00,1665.00,1632.00,,0,,254487.00
2017-10-24,1670.00,1670.00,1651.00,1651.00,,-1.14,,239694.00
2017-10-25,1630.00,1683.00,1630.00,1683.00,,1.94,,198706.00
2017-10-29,1683.00,1683.00,1595.00,1626.00,,-3.45,,925855.00
2017-10-30,1600.00,1600.00,1593.00,1593.00,,-1.97,,400252.00
2017-10-31,1580.00,1600.00,1580.00,1581.00,,-0.75,,87142.00
2017-11-01,1550.00,1575.00,1550.00,1560.00,,-1.33,,325782.00
2017-11-02,1560.00,1565.00,1530.00,1545.00,,-1.92,,890119.00
2017-11-05,1500.00,1500.00,1470.00,1490.00,,-2.61,,705269.00
2017-11-07,1475.00,1475.00,1471.00,1473.00,,-1.8,,357742.00
2017-11-08,1444.00,1444.00,1415.00,1415.00,,-3.94,,970890.00
2017-11-09,1415.00,1450.00,1415.00,1429.00,,1.06,,1180807.00
2017-11-13,1420.00,1450.00,1420.00,1446.00,,0.28,,1336599.00
2017-11-14,1465.00,1490.00,1456.00,1480.00,,3.04,,1594781.00
2017-11-15,1489.00,1515.00,1485.00,1485.00,,-0.27,,968802.00
2017-11-16,1480.00,1480.00,1465.00,1466.00,,-1.35,,192100.00
2017-11-19,1465.00,1465.00,1421.00,1425.00,,-2.73,,185373.00
2017-11-20,1430.00,1430.00,1410.00,1415.00,,-0.91,,298533.00
2017-11-21,1410.00,1465.00,1410.00,1415.00,,0.21,,1150083.00
