Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-04-13,141.00,155.10,141.00,155.10,,0,,67122.50
2023-04-16,158.20,170.60,158.20,170.60,,9.99,,83129.00
2023-04-17,174.00,187.60,174.00,187.60,,9.96,,58306.00
2023-04-18,186.00,206.30,186.00,206.30,,9.97,,2088122.10
2023-04-19,210.40,226.90,210.40,226.90,,9.99,,336037.60
2023-04-20,231.40,249.50,231.40,249.50,,9.96,,458050.20
2023-04-23,254.40,274.40,239.80,254.00,,1.8,,31195003.20
2023-04-24,259.00,259.00,235.50,239.00,,-5.91,,12652746.90
2023-04-25,235.00,251.70,235.00,246.00,,2.93,,4997754.50
2023-04-26,241.30,251.50,237.00,250.00,,1.63,,4373886.40
2023-04-27,246.00,246.50,241.50,242.80,,-2.88,,3583453.90
2023-04-30,238.30,241.00,230.00,232.00,,-4.45,,5546600.20
2023-05-02,232.00,234.60,222.30,225.00,,-3.02,,3376360.90
2023-05-03,225.00,225.00,218.00,220.00,,-2.22,,1874551.60
2023-05-04,217.00,229.50,217.00,227.90,,3.59,,1912897.20
2023-05-07,232.40,232.40,216.50,219.00,,-3.91,,1875068.90
2023-05-08,214.80,220.00,212.00,213.50,,-2.51,,3076228.00
2023-05-09,212.00,224.00,211.00,216.00,,1.17,,1802114.50
2023-05-10,220.00,220.00,214.10,218.00,,0.93,,1056314.00
2023-05-11,222.30,235.00,213.00,216.00,,-0.92,,1231192.80
2023-05-14,220.00,220.00,209.20,210.90,,-2.36,,1523539.50
2023-05-15,207.00,212.00,206.00,210.00,,-0.43,,3618753.30
2023-05-16,205.80,213.00,205.80,210.00,,0,,1163217.70
2023-05-17,206.00,215.00,206.00,213.90,,1.86,,1893101.00
2023-05-18,212.50,228.90,210.50,224.00,,4.72,,6365748.10
2023-05-21,227.90,232.00,217.80,220.10,,-1.74,,5459296.40
2023-05-22,215.70,225.00,212.10,222.00,,0.86,,2683724.10
2023-05-23,218.00,234.10,218.00,234.10,,5.45,,8669041.20
2023-05-24,235.00,236.00,226.40,230.00,,-1.75,,3091280.00
2023-05-28,230.00,234.00,225.00,225.40,,-2,,7719546.10
2023-05-30,221.10,223.30,213.00,215.30,,-4.48,,2907774.00
2023-05-31,212.00,218.00,209.00,210.00,,-2.46,,3644680.40
2023-06-01,210.10,217.50,209.00,217.00,,3.33,,2129507.40
2023-06-04,213.00,228.00,211.00,225.00,,3.69,,3574412.30
2023-06-05,220.70,229.50,217.00,219.00,,-2.67,,1766711.10
2023-06-06,215.40,228.00,215.40,226.00,,3.2,,2866198.40
2023-06-07,230.00,240.70,226.00,236.00,,4.42,,11863303.60
2023-06-08,231.50,244.00,231.50,238.00,,0.85,,5292448.50
2023-06-11,234.00,246.60,234.00,246.00,,3.36,,7122249.50
2023-06-12,250.90,255.00,236.90,242.90,,-1.26,,6975130.80
2023-06-13,238.20,249.70,235.70,248.00,,2.1,,7269837.80
2023-06-14,243.10,250.90,234.50,235.50,,-5.04,,8113869.70
2023-06-15,231.10,240.00,231.10,238.00,,1.06,,6239131.10
2023-06-18,234.00,246.80,230.00,246.80,,3.7,,8353496.80
