Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2022-08-17,237.30,261.00,237.30,261.00,,0,,37642.10
2022-08-18,266.20,287.10,266.20,287.10,,10,,73872.60
2022-08-21,292.80,315.80,292.80,315.80,,10,,204702.00
2022-08-22,322.10,347.30,322.10,347.30,,9.97,,2267250.00
2022-08-23,354.20,382.00,354.20,382.00,,9.99,,4352674.00
2022-08-24,389.60,420.20,389.60,420.20,,10,,30885464.80
2022-08-25,428.60,436.00,403.80,415.00,,-1.24,,11161246.50
2022-08-26,407.00,410.10,400.10,407.60,,-1.78,,3167122.00
2022-08-28,400.10,400.10,378.70,380.00,,-6.77,,9208169.20
2022-08-29,374.10,390.00,370.00,383.30,,0.87,,4351223.00
2022-08-30,390.00,390.00,373.00,375.00,,-2.17,,1621203.50
2022-08-31,368.10,387.60,361.20,377.00,,0.53,,3682766.60
2022-09-01,379.00,387.50,362.30,381.00,,1.06,,4521718.00
2022-09-02,388.00,399.00,381.00,393.00,,1.29,,2853173.00
2022-09-04,386.10,407.00,386.10,400.00,,1.78,,5002067.10
2022-09-05,394.00,416.00,392.00,392.30,,-1.92,,5683397.00
2022-09-06,386.00,400.00,386.00,400.00,,1.96,,4267258.00
2022-09-07,392.30,398.00,388.00,398.00,,-0.5,,2132130.10
2022-09-08,393.00,408.80,390.20,400.00,,0.5,,4390482.80
2022-09-11,393.10,402.00,392.60,393.00,,-1.75,,4545569.80
2022-09-12,386.00,395.00,383.30,383.30,,-2.47,,4912634.90
2022-09-13,383.30,394.90,378.80,394.90,,3.03,,1461884.00
2022-09-14,400.00,404.00,387.10,402.00,,1.8,,4473641.00
2022-09-15,410.00,410.00,377.00,389.90,,-3.01,,3615878.60
2022-09-16,382.20,384.90,370.00,384.90,,-1.28,,2112173.50
2022-09-18,378.00,379.90,366.00,374.70,,-2.65,,1987421.70
2022-09-20,368.00,380.00,358.20,363.00,,-3.12,,1951324.00
2022-09-21,356.00,377.10,356.00,369.00,,1.65,,1066489.00
2022-09-22,361.70,383.80,355.20,358.00,,-2.98,,1694231.00
2022-09-25,351.00,352.10,338.80,339.00,,-5.31,,1460666.90
2022-09-27,345.00,355.90,338.10,342.50,,1.03,,419805.00
2022-09-28,349.30,374.00,336.10,374.00,,9.2,,441097.20
2022-09-29,374.00,375.00,355.10,375.00,,0.27,,675994.80
2022-10-09,375.00,375.00,356.00,372.30,,-0.72,,336255.00
2022-10-10,368.00,368.00,350.00,359.80,,-3.36,,885666.20
2022-10-11,352.70,353.80,338.80,353.80,,-1.67,,324546.00
2022-10-12,346.80,367.00,335.30,358.00,,1.19,,846889.00
2022-10-13,350.90,360.90,344.10,360.90,,0.81,,427966.00
2022-10-16,353.70,353.70,337.20,349.80,,-3.08,,667120.00
2022-10-17,344.00,356.00,336.30,356.00,,1.77,,478874.50
2022-10-19,348.90,348.90,332.00,340.70,,-4.3,,929806.00
2022-10-20,334.00,344.00,325.10,332.00,,-2.55,,890439.00
2022-10-23,325.60,331.00,322.10,324.90,,-2.14,,438135.00
2022-10-31,318.60,334.00,312.90,325.00,,0.03,,219396.00
2022-11-01,318.50,344.20,310.00,338.00,,4,,1847344.50
2022-11-02,331.30,345.00,325.00,345.00,,2.07,,1930022.90
2022-11-03,340.00,341.00,322.00,328.00,,-4.93,,1219000.00
2022-11-06,321.50,335.00,321.50,335.00,,2.13,,858920.00
2022-11-07,328.40,345.50,323.10,341.40,,1.91,,2303237.00
2022-11-08,334.60,334.60,324.00,326.10,,-4.48,,554504.00
2022-11-09,320.40,339.20,315.70,319.00,,-2.18,,1893501.40
2022-11-10,325.00,331.50,306.90,331.50,,3.92,,2656460.50
2022-11-13,324.90,344.80,313.00,343.90,,3.74,,6410.00
2022-11-15,337.80,337.90,312.20,320.00,,-3.88,,44790.00
2022-11-16,320.00,332.50,317.00,332.50,,3.91,,1932907.00
2022-11-17,325.90,343.00,320.00,338.60,,1.83,,3929302.50
2022-11-22,332.00,332.20,321.20,328.00,,-3.13,,953209.00
2022-11-23,321.50,322.00,314.00,316.60,,-3.48,,1651938.00
2022-11-24,310.70,320.20,310.00,320.20,,1.14,,716743.50
2022-11-27,313.90,332.80,313.90,324.90,,1.47,,1382732.00
2022-11-28,322.00,326.00,318.00,318.30,,-2.03,,1059730.00
2022-11-29,313.00,324.00,313.00,318.10,,-0.06,,802389.40
2022-11-30,316.00,320.00,316.00,320.00,,0.6,,363580.50
2022-12-01,314.10,325.00,314.10,320.00,,0,,1760468.00
2022-12-04,314.00,325.00,314.00,321.00,,0.31,,1751645.00
2022-12-05,316.30,320.00,310.80,317.00,,-1.25,,537402.40
2022-12-06,310.80,317.80,310.20,315.00,,-0.63,,1285055.00
2022-12-07,308.90,315.10,308.90,314.10,,-0.29,,550993.40
2022-12-11,308.00,315.00,302.00,315.00,,0.29,,593930.00
2022-12-12,308.70,316.40,303.00,315.00,,0,,440455.70
