Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2019-04-18,99.00,99.00,95.00,95.00,,-5.94,,142080.00
2019-04-21,95.00,96.00,93.00,96.00,,1.05,,39770.00
2019-04-22,96.00,96.00,91.00,91.00,,-5.21,,57778.00
2019-04-23,91.00,92.00,90.00,90.00,,-1.1,,45500.00
2019-04-24,89.00,89.00,85.00,87.00,,-3.33,,54000.00
2019-04-25,86.00,87.00,85.00,87.00,,0,,44906.00
2019-04-28,86.00,89.00,86.00,89.00,,2.3,,33380.00
2019-04-29,90.00,90.00,89.00,89.00,,0,,16980.00
2019-04-30,89.00,90.00,87.00,89.00,,0,,39020.00
2019-05-02,88.00,92.00,88.00,92.00,,3.37,,30020.00
2019-05-05,91.00,91.00,91.00,91.00,,-1.09,,5460.00
2019-05-06,90.00,92.00,90.00,91.00,,0,,59910.00
2019-05-07,91.00,92.00,91.00,91.00,,0,,44690.00
2019-05-08,91.00,92.00,90.00,91.00,,0,,75690.00
2019-05-09,90.00,92.00,89.00,92.00,,1.1,,21700.00
2019-05-12,91.00,91.00,88.00,88.00,,-4.35,,17890.00
2019-05-13,89.00,93.00,89.00,93.00,,5.68,,65870.00
2019-05-14,94.00,94.00,90.00,90.00,,-3.23,,27560.00
2019-05-15,86.00,89.00,86.00,89.00,,-1.11,,48560.00
2019-05-16,90.00,92.00,90.00,92.00,,3.37,,32660.00
2019-05-19,88.00,94.00,88.00,94.00,,2.17,,60860.00
2019-05-20,95.00,98.00,92.00,97.00,,3.19,,146380.00
2019-05-21,96.00,100.00,96.00,99.00,,2.06,,124620.00
2019-05-22,100.00,108.00,100.00,104.00,,5.05,,2013140.00
2019-05-23,106.00,109.00,97.00,99.00,,-4.81,,555350.00
2019-05-26,100.00,105.00,100.00,102.00,,3.03,,574920.00
2019-05-27,100.00,107.00,99.00,105.00,,2.94,,104560.00
2019-05-28,102.00,102.00,98.00,98.00,,-6.67,,216430.00
2019-05-29,99.00,107.00,99.00,105.00,,7.14,,817510.00
2019-05-30,107.00,113.00,104.00,104.00,,-0.95,,518950.00
2019-06-02,102.00,112.00,102.00,110.00,,5.77,,83530.00
2019-06-03,108.00,108.00,102.00,104.00,,-5.45,,195990.00
2019-06-04,103.00,104.00,101.00,104.00,,0,,153900.00
2019-06-06,103.00,103.00,100.00,100.00,,-3.85,,217520.00
2019-06-10,102.00,103.00,100.00,100.00,,0,,86770.00
2019-06-11,102.00,108.00,101.00,107.00,,7,,551246.00
2019-06-12,107.00,107.00,104.00,104.00,,-2.8,,137420.00
2019-06-13,102.00,108.00,102.00,103.00,,-0.96,,236560.00
2019-06-16,105.00,105.00,100.00,100.00,,-2.91,,479340.00
2019-06-17,102.00,102.00,101.00,101.00,,1,,101770.00
2019-06-18,102.00,107.00,101.00,105.00,,3.96,,345210.00
2019-06-19,103.00,107.00,103.00,106.00,,0.95,,346550.00
2019-06-20,104.00,109.00,102.00,107.00,,0.94,,222040.00
2019-06-23,105.00,109.00,105.00,105.00,,-1.87,,452130.00
2019-06-24,104.00,107.00,104.00,104.00,,-0.95,,76600.00
2019-06-25,102.00,105.00,102.00,104.00,,0,,59370.00
2019-06-26,102.00,105.00,102.00,105.00,,0.96,,83570.00
2019-06-27,103.00,105.00,103.00,104.00,,-0.95,,70370.00
2019-06-30,102.00,105.00,102.00,103.00,,-0.96,,60090.00
2019-07-01,101.00,105.00,101.00,104.00,,0.97,,119390.00
2019-07-02,104.00,105.00,103.00,104.00,,0,,59325.00
2019-07-03,103.00,107.00,103.00,106.00,,1.92,,241370.00
2019-07-04,104.00,107.00,104.00,107.00,,0.94,,106770.00
2019-07-07,105.00,106.00,104.00,104.00,,-2.8,,80940.00
2019-07-08,103.00,106.00,102.00,102.00,,-1.92,,126020.00
2019-07-09,102.00,104.00,102.00,104.00,,1.96,,66000.00
2019-07-10,103.00,105.00,103.00,105.00,,0.96,,61760.00
2019-07-11,103.00,104.00,102.00,104.00,,-0.95,,55740.00
2019-07-14,103.00,104.00,103.00,104.00,,0,,44670.00
2019-07-15,103.00,103.00,103.00,103.00,,-0.96,,37080.00
2019-07-16,104.00,107.00,104.00,105.00,,1.94,,142710.00
2019-07-17,103.00,109.00,103.00,106.00,,0.95,,86370.00
2019-07-18,104.00,106.00,104.00,105.00,,-0.94,,30350.00
2019-07-21,107.00,107.00,103.00,103.00,,-1.9,,38470.00
2019-07-22,103.00,103.00,103.00,103.00,,0,,58710.00
2019-07-23,103.00,103.00,102.00,102.00,,-0.97,,44170.00
2019-07-24,103.00,103.00,101.00,101.00,,-0.98,,146800.00
2019-07-25,102.00,106.00,100.00,101.00,,0,,226400.00
2019-07-28,100.00,101.00,100.00,100.00,,-0.99,,138030.00
2019-07-29,100.00,101.00,100.00,100.00,,0,,40010.00
2019-07-30,100.00,102.00,99.00,100.00,,0,,194850.00
2019-07-31,99.00,100.00,98.00,99.00,,-1,,53570.00
2019-08-01,100.00,107.00,99.00,104.00,,5.05,,336696.00
2019-08-04,105.00,114.00,105.00,108.00,,3.85,,1031019.00
2019-08-05,108.00,108.00,104.00,105.00,,-2.78,,116696.00
2019-08-06,103.00,109.00,101.00,104.00,,-0.95,,138700.00
2019-08-07,102.00,106.00,101.00,106.00,,1.92,,76250.00
2019-08-08,104.00,104.00,102.00,103.00,,-2.83,,87726.00
2019-08-11,101.00,103.00,100.00,102.00,,-0.97,,70480.00
2019-08-12,100.00,105.00,100.00,102.00,,0,,115840.00
2019-08-13,102.00,102.00,101.00,101.00,,-0.98,,29370.00
2019-08-14,102.00,102.00,101.00,101.00,,0,,39530.00
2019-08-15,100.00,102.00,100.00,100.00,,-0.99,,56520.00
2019-08-18,100.00,101.00,99.00,100.00,,0,,36930.00
2019-08-19,100.00,102.00,99.00,99.00,,-1,,86950.00
2019-08-20,99.00,100.00,98.00,100.00,,1.01,,405510.00
2019-08-21,98.00,99.00,96.00,96.00,,-4,,114970.00
2019-08-22,96.00,96.00,95.00,96.00,,0,,107895.00
2019-08-25,96.00,96.00,93.00,94.00,,-2.08,,72020.00
2019-08-26,93.00,96.00,93.00,95.00,,1.06,,21780.00
2019-08-27,96.00,96.00,94.00,95.00,,0,,19470.00
2019-08-28,94.00,95.00,94.00,94.00,,-1.05,,28320.00
2019-08-29,93.00,93.00,93.00,93.00,,-1.06,,35340.00
2019-09-01,92.00,92.00,90.00,91.00,,-2.15,,43920.00
2019-09-02,90.00,90.00,88.00,88.00,,-3.3,,51750.00
2019-09-03,87.00,89.00,82.00,89.00,,1.14,,181160.00
2019-09-04,88.00,93.00,88.00,90.00,,1.12,,78510.00
2019-09-05,91.00,92.00,87.00,87.00,,-3.33,,54980.00
2019-09-08,86.00,86.00,84.00,85.00,,-2.3,,22030.00
2019-09-09,84.00,84.00,82.00,83.00,,-2.35,,31975.00
2019-09-10,83.00,88.00,83.00,88.00,,6.02,,186610.00
2019-09-11,88.00,88.00,86.00,86.00,,-2.27,,13050.00
2019-09-15,82.00,82.00,81.00,82.00,,-1.2,,95900.00
2019-09-16,81.00,82.00,79.00,79.00,,-3.66,,70030.00
2019-09-17,80.00,82.00,80.00,82.00,,3.8,,8070.00
2019-09-18,82.00,87.00,82.00,87.00,,6.1,,61540.00
2019-09-19,88.00,88.00,85.00,85.00,,-2.3,,16510.00
2019-09-22,84.00,84.00,81.00,81.00,,-4.71,,17295.00
2019-09-23,80.00,80.00,78.00,78.00,,-3.7,,57360.00
2019-09-24,78.00,78.00,77.00,78.00,,0,,18660.00
2019-09-25,78.00,80.00,79.00,80.00,,2.56,,20690.00
2019-09-26,80.00,81.00,79.00,81.00,,1.25,,50500.00
2019-09-30,80.00,81.00,78.00,78.00,,-3.7,,114060.00
2019-10-01,77.00,78.00,76.00,78.00,,0,,49490.00
2019-10-02,77.00,80.00,77.00,79.00,,1.28,,40670.00
2019-10-03,78.00,80.00,78.00,80.00,,1.27,,62100.00
2019-10-10,81.00,82.00,81.00,82.00,,2.5,,8965.00
2019-10-14,81.00,81.00,79.00,79.00,,-3.66,,67440.00
2019-10-15,78.00,80.00,78.00,80.00,,1.27,,9189.00
2019-10-16,80.00,80.00,79.00,79.00,,-1.25,,5580.00
2019-10-17,80.00,80.00,79.00,79.00,,0,,38770.00
2019-10-21,79.00,79.00,78.00,78.00,,-1.27,,264380.00
2019-10-22,79.00,81.00,78.00,78.00,,0,,103220.00
2019-10-23,79.00,79.00,79.00,79.00,,1.28,,9480.00
2019-10-24,79.00,84.00,79.00,84.00,,6.33,,49060.00
2019-10-31,85.00,85.00,81.00,81.00,,-3.57,,38260.00
2019-11-03,80.00,80.00,80.00,80.00,,-1.23,,45600.00
2019-11-05,80.00,79.00,77.00,77.00,,-3.75,,29610.00
2019-11-06,77.00,78.00,76.00,76.00,,-1.3,,29180.00
2019-11-06,77.00,79.00,77.00,77.00,,0,,29180.00
2019-11-07,76.00,78.00,75.00,75.00,,-1.32,,126280.00
2019-11-10,74.00,75.00,74.00,75.00,,0,,4470.00
2019-11-11,74.00,76.00,74.00,76.00,,1.33,,23220.00
2019-11-12,77.00,77.00,74.00,76.00,,0,,17418.00
2019-11-13,76.00,79.00,76.00,79.00,,3.95,,134350.00
2019-11-14,79.00,80.00,77.00,78.00,,-1.27,,230910.00
2019-11-17,78.00,80.00,77.00,79.00,,1.28,,83480.00
2019-11-18,78.00,78.00,78.00,78.00,,-1.27,,3900.00
2019-11-19,78.00,78.00,77.00,77.00,,-1.28,,27900.00
2019-11-20,77.00,82.00,76.00,82.00,,6.49,,145658.00
2019-11-21,82.00,82.00,79.00,79.00,,-3.66,,14580.00
2019-11-24,78.00,78.00,76.00,76.00,,-3.8,,6150.00
2019-11-25,76.00,76.00,75.00,75.00,,-1.32,,19580.00
2019-11-26,75.00,76.00,75.00,75.00,,0,,86750.00
2019-11-27,74.00,76.00,74.00,76.00,,1.33,,9720.00
2019-11-28,75.00,80.00,75.00,80.00,,5.26,,82640.00
2019-12-01,79.00,79.00,78.00,78.00,,-2.5,,7070.00
2019-12-03,77.00,77.00,77.00,77.00,,-1.28,,4620.00
2019-12-04,76.00,77.00,76.00,77.00,,0,,16860.00
2019-12-05,76.00,76.00,75.00,75.00,,-2.6,,24820.00
2019-12-08,74.00,76.00,74.00,75.00,,0,,34620.00
2019-12-09,74.00,76.00,74.00,75.00,,0,,17230.00
2019-12-10,75.00,80.00,75.00,80.00,,6.67,,59210.00
2019-12-11,80.00,80.00,78.00,79.00,,-1.25,,56490.00
2019-12-12,79.00,86.00,79.00,84.00,,6.33,,184090.00
2019-12-15,83.00,83.00,82.00,82.00,,-2.38,,80860.00
2019-12-16,84.00,84.00,81.00,81.00,,-4.71,,7370.00
2019-12-17,81.00,82.00,80.00,81.00,,0,,42920.00
2019-12-18,80.00,81.00,80.00,80.00,,-1.23,,40880.00
2019-12-19,81.00,81.00,80.00,80.00,,0,,20030.00
2019-12-22,80.00,83.00,80.00,83.00,,3.75,,52130.00
2019-12-23,84.00,85.00,82.00,83.00,,0,,71680.00
2019-12-24,82.00,83.00,82.00,83.00,,0,,27735.00
2019-12-25,82.00,84.00,82.00,84.00,,1.2,,37660.00
2019-12-26,84.00,85.00,84.00,84.00,,0,,37000.00
2019-12-29,84.00,90.00,84.00,90.00,,7.14,,72230.00
2019-12-30,89.00,89.00,85.00,85.00,,-5.56,,77380.00
2019-12-31,84.00,84.00,82.00,83.00,,-2.35,,14990.00
2020-01-01,84.00,84.00,83.00,84.00,,1.2,,74520.00
