Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-03-22,265.50,292.00,265.50,292.00,,0,,195156.40
2023-03-23,297.80,321.20,297.80,321.20,,10,,2028370.00
2023-03-26,327.60,353.30,327.60,353.30,,9.99,,3086311.00
2023-03-27,360.30,367.50,327.30,340.00,,-3.76,,32904101.90
2023-03-28,340.00,347.00,331.10,342.00,,0.59,,11599111.00
2023-03-29,347.00,347.00,330.30,337.00,,-1.46,,8118576.20
2023-03-30,343.70,343.70,324.00,332.00,,-1.48,,10269025.80
2023-04-02,332.00,336.00,307.80,312.00,,-6.02,,11198850.00
2023-04-03,307.00,307.10,293.10,297.00,,-4.81,,10202746.70
2023-04-04,293.00,300.00,289.20,298.90,,0.64,,4770557.50
2023-04-05,293.00,305.10,290.00,298.00,,-0.3,,2557499.00
2023-04-06,298.00,300.00,292.20,293.90,,-1.38,,3176748.60
2023-04-09,289.00,290.00,275.60,275.60,,-6.23,,5779699.90
2023-04-10,271.60,282.60,271.20,279.00,,1.23,,3149455.50
2023-04-11,275.00,304.00,274.60,280.50,,0.54,,2835702.50
2023-04-12,281.10,308.50,281.10,305.00,,8.73,,6341022.70
2023-04-13,311.10,316.00,292.00,292.20,,-4.2,,6236260.20
2023-04-16,290.00,302.90,287.20,297.90,,1.95,,4186000.50
2023-04-17,292.00,296.00,285.60,288.90,,-3.02,,2773049.10
2023-04-18,294.60,294.60,278.20,291.00,,0.73,,2545623.00
2023-04-19,285.30,295.00,285.00,295.00,,1.37,,2493899.00
2023-04-20,290.10,295.00,284.40,284.50,,-3.56,,1874806.50
2023-04-23,284.00,284.00,274.40,275.00,,-3.34,,1925290.80
2023-04-24,270.00,281.50,270.00,275.30,,0.11,,1460030.70
2023-04-25,270.10,280.50,270.00,279.00,,1.34,,2842676.00
2023-04-26,275.00,281.00,272.00,272.50,,-2.33,,1956300.00
2023-04-27,268.10,274.00,268.10,273.50,,0.37,,1514193.30
2023-04-30,268.40,273.00,261.20,261.30,,-4.46,,2504664.10
2023-05-02,261.00,263.00,251.90,255.00,,-2.41,,1688192.00
2023-05-03,250.30,260.00,250.30,260.00,,1.96,,1255235.50
2023-05-04,260.00,268.00,251.20,268.00,,3.08,,2121458.30
2023-05-07,263.00,263.00,251.30,256.00,,-4.48,,1230959.50
2023-05-08,253.00,253.00,237.20,245.00,,-4.3,,2315318.70
2023-05-09,245.00,255.00,237.20,249.00,,1.63,,987735.10
2023-05-10,244.30,245.00,240.10,243.00,,-2.41,,550007.50
2023-05-11,238.30,246.00,234.20,243.70,,0.29,,923432.00
2023-05-14,239.00,243.50,225.00,233.00,,-4.39,,1910253.20
2023-05-15,228.40,237.50,220.10,230.00,,-1.29,,1164336.90
2023-05-16,231.00,248.10,226.00,243.10,,5.7,,3408540.50
2023-05-17,238.30,245.00,229.10,244.90,,0.74,,1050529.20
2023-05-18,240.10,259.40,236.00,257.00,,4.94,,2728045.20
