Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-05-16,335.00,335.00,301.50,301.50,,0,,5796244.50
2023-05-17,295.50,295.50,271.40,277.60,,-7.93,,17336272.70
2023-05-18,276.00,302.70,274.00,290.50,,4.65,,5258835.80
2023-05-21,286.00,291.50,280.40,282.00,,-2.93,,5260662.60
2023-05-22,277.00,285.00,275.30,280.00,,-0.71,,3140959.00
2023-05-23,280.00,292.50,279.00,290.00,,3.57,,6446054.30
2023-05-24,290.00,290.00,281.00,286.00,,-1.38,,4064143.00
2023-05-28,282.10,300.00,282.10,289.00,,1.05,,9362520.00
2023-05-30,283.30,294.00,280.00,280.00,,-3.11,,3877347.00
2023-05-31,274.50,298.00,274.50,298.00,,6.43,,5945474.70
2023-06-01,293.00,294.00,278.00,286.10,,-3.99,,2482836.50
2023-06-04,281.00,302.00,281.00,298.80,,4.44,,6997577.80
2023-06-05,295.00,301.00,290.00,297.00,,-0.6,,4048619.40
2023-06-06,291.10,307.00,286.60,301.00,,1.35,,4904069.50
2023-06-07,300.00,315.00,299.00,302.00,,0.33,,6758418.80
2023-06-08,300.00,312.00,296.20,301.50,,-0.17,,7063344.50
2023-06-11,300.00,309.00,300.00,308.00,,2.16,,9048653.00
2023-06-12,308.00,316.00,304.00,311.00,,0.97,,6583936.20
2023-06-13,316.90,322.30,305.10,318.90,,2.54,,11106546.90
2023-06-14,318.90,328.40,308.00,321.90,,0.94,,7758240.00
2023-06-15,315.60,321.80,307.10,311.00,,-3.39,,4477503.00
2023-06-18,310.00,321.00,309.00,315.90,,1.58,,4391612.40
2023-06-19,310.00,318.20,306.00,306.00,,-3.13,,4974617.20
2023-06-20,302.00,310.00,296.10,300.00,,-1.96,,2610481.80
2023-06-21,296.00,312.00,288.00,288.00,,-4,,9018007.60
2023-06-22,282.30,293.60,282.30,289.80,,0.62,,3947873.90
2023-06-25,289.70,306.00,281.00,304.00,,4.9,,7301983.70
2023-06-26,301.00,315.90,301.00,314.00,,3.29,,8657356.80
2023-06-27,317.29,317.29,302.50,315.00,,0.32,,8827619.70
2023-06-28,309.00,312.20,300.00,312.20,,-0.89,,9911185.90
2023-07-02,306.00,306.00,296.00,305.00,,-2.31,,3515484.00
2023-07-03,299.80,299.80,292.00,296.00,,-2.95,,3412527.00
2023-07-04,301.90,301.90,285.60,289.90,,-2.06,,2112200.00
2023-07-05,294.90,294.90,282.30,282.30,,-2.62,,1609949.40
2023-07-06,282.00,287.90,277.00,280.00,,-0.81,,2198085.00
2023-07-09,275.00,294.70,270.10,277.40,,-0.93,,1844805.60
2023-07-10,282.90,282.90,272.20,276.00,,-0.5,,1808803.30
2023-07-11,271.00,276.40,268.10,274.00,,-0.72,,959454.00
2023-07-12,269.10,289.80,269.00,287.00,,4.74,,4312243.00
2023-07-13,290.00,294.00,282.40,285.40,,-0.56,,4703744.30
2023-07-16,281.00,286.60,276.00,276.10,,-3.26,,1593222.00
2023-07-17,271.40,287.50,271.40,287.50,,4.13,,2018344.60
2023-07-18,287.50,290.90,282.10,290.90,,1.18,,1681757.00
