Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2021-09-22,186.50,186.50,186.50,186.50,,0,,1865.00
2021-09-23,186.50,194.00,186.50,194.00,,4.02,,8184.40
2021-09-26,197.80,205.70,197.80,205.70,,6.03,,8033.00
2021-09-27,209.80,226.20,209.80,226.20,,9.97,,15428.00
2021-09-28,226.20,248.80,226.20,248.80,,9.99,,14501.80
2021-09-29,253.70,269.00,253.70,269.00,,8.12,,12993.70
2021-09-30,274.30,295.90,274.30,295.90,,10,,23137.00
2021-10-03,301.80,325.40,301.80,325.40,,9.97,,76497.10
2021-10-04,325.40,357.90,325.40,357.90,,9.99,,684137.00
2021-10-05,365.00,393.60,365.00,393.60,,9.97,,192162.00
2021-10-06,401.40,432.90,401.40,432.90,,9.98,,4291135.10
2021-10-10,441.50,476.10,399.70,476.10,,9.98,,8682853.40
2021-10-11,485.00,500.00,440.00,460.00,,-3.38,,5716882.00
2021-10-17,469.00,470.00,421.00,444.00,,-3.48,,1868883.00
2021-10-18,444.00,444.00,405.00,417.50,,-5.97,,1837982.90
2021-10-19,417.50,417.50,380.00,384.00,,-8.02,,2496810.90
2021-10-20,384.00,422.40,384.00,422.40,,10,,838446.40
2021-10-21,430.00,430.00,402.00,411.10,,-2.68,,957372.20
2021-10-24,419.00,424.00,388.00,411.00,,-0.02,,1600156.00
2021-10-25,419.00,452.00,404.10,426.00,,3.65,,2375063.00
2021-10-26,434.50,468.60,434.00,465.00,,9.15,,4740218.40
2021-10-27,474.30,499.80,447.00,478.00,,2.8,,3846097.50
2021-10-28,478.00,499.80,452.00,499.00,,4.39,,2507073.00
2021-10-31,492.00,541.20,466.00,510.00,,2.2,,4682867.80
2021-11-01,516.00,517.00,490.00,490.00,,-3.92,,2627338.00
2021-11-02,490.00,498.00,470.00,490.00,,0,,1951322.00
2021-11-03,499.00,499.00,472.10,480.00,,-2.04,,2892001.20
2021-11-08,484.00,500.00,472.00,481.00,,-0.62,,2212259.50
2021-11-09,472.00,477.00,456.20,470.00,,-2.29,,2870880.00
2021-11-11,460.60,460.60,442.00,450.00,,-4.26,,1702212.00
2021-11-14,459.00,459.00,416.00,437.00,,-2.89,,1263337.70
2021-11-15,437.00,479.90,429.00,479.00,,9.61,,4668644.00
2021-11-16,481.00,526.90,470.00,526.90,,10,,10408575.70
2021-11-17,535.00,579.50,535.00,577.00,,9.51,,10562093.50
2021-11-18,588.00,598.00,540.00,548.00,,-5.03,,7841682.40
2021-11-21,537.10,560.00,526.50,530.00,,-3.28,,5023303.00
2021-11-22,530.00,535.00,522.00,528.10,,-0.36,,2421487.00
2021-11-23,518.00,530.40,514.10,516.10,,-2.27,,2772074.70
2021-11-24,506.00,567.70,490.00,565.00,,9.47,,10282668.50
2021-11-25,553.70,597.70,553.70,557.00,,-1.42,,5685011.70
2021-11-28,568.10,590.00,527.00,554.90,,-0.38,,6434468.00
2021-11-29,545.00,565.00,535.10,560.00,,0.92,,4191765.00
2021-11-30,548.80,573.00,539.00,570.00,,1.79,,4920487.00
2021-12-01,565.00,580.00,555.00,563.00,,-1.23,,3922176.00
2021-12-02,555.00,556.20,525.00,525.00,,-6.75,,2534887.60
2021-12-05,515.10,545.00,497.00,545.00,,3.81,,3768255.50
2021-12-06,555.00,555.00,495.00,545.00,,0,,3380613.00
2021-12-07,545.00,555.00,511.60,528.00,,-3.12,,3900651.00
2021-12-08,517.50,538.00,500.00,538.00,,1.89,,2843827.50
2021-12-09,527.30,530.00,507.00,520.00,,-3.35,,1841363.00
2021-12-12,509.60,509.60,470.10,506.00,,-2.69,,3252850.00
2021-12-13,495.90,495.90,458.00,477.00,,-5.73,,2691366.00
2021-12-14,485.00,518.50,458.20,518.50,,8.7,,4646099.00
2021-12-15,519.00,528.80,490.10,519.00,,0.1,,7320306.50
2021-12-16,508.70,508.70,480.00,480.00,,-7.51,,2390478.00
2021-12-20,470.40,471.20,441.10,452.00,,-5.83,,3215133.90
2021-12-21,457.00,459.00,436.40,443.00,,-1.99,,3849123.30
2021-12-22,451.80,470.00,444.00,447.00,,0.9,,1954094.00
2021-12-23,455.00,468.00,444.90,448.00,,0.22,,2995650.30
2021-12-26,456.00,463.00,442.10,445.90,,-0.47,,2162715.00
2021-12-27,453.90,453.90,416.50,430.00,,-3.57,,2007627.30
2021-12-28,434.00,434.00,409.00,409.00,,-4.88,,2111389.00
2021-12-29,417.10,430.00,409.00,416.80,,1.91,,1730523.00
2022-01-02,425.00,425.00,410.00,420.00,,0.77,,783187.20
2022-01-03,411.60,436.00,411.60,423.30,,0.79,,1134084.00
2022-01-04,422.00,428.00,415.10,428.00,,1.11,,1316003.00
2022-01-05,428.00,462.70,427.80,445.00,,3.97,,4758177.40
2022-01-06,445.00,474.30,428.00,474.30,,6.58,,3649732.50
2022-01-09,475.00,503.80,466.10,503.70,,6.2,,6079912.40
2022-01-10,493.70,525.00,484.00,518.80,,3,,2323382.00
2022-01-11,510.00,525.00,498.00,520.00,,0.23,,2759468.50
2022-01-12,530.40,542.00,490.00,542.00,,4.23,,12143520.40
2022-01-13,532.00,543.00,513.00,537.50,,-0.83,,3878941.50
2022-01-16,537.50,548.00,507.00,525.00,,-2.33,,6720312.10
2022-01-17,534.00,534.00,504.00,515.00,,-1.9,,6101371.30
2022-01-18,505.20,525.30,504.70,508.00,,-1.36,,4646748.50
2022-01-19,500.00,515.00,492.00,500.00,,-1.57,,4458364.60
2022-01-20,491.00,550.00,491.00,550.00,,10,,19119997.60
2022-01-23,561.00,605.00,561.00,603.50,,9.73,,27422207.10
2022-01-24,595.00,598.00,565.00,579.00,,-4.06,,14456489.30
2022-01-25,568.00,591.60,557.00,580.00,,0.17,,9907575.00
2022-01-26,568.40,591.40,549.00,591.40,,1.97,,7576973.90
2022-01-27,579.60,603.00,557.00,581.00,,-1.76,,6204754.60
2022-01-30,592.00,595.00,570.00,580.00,,-0.17,,20001696.50
2022-01-31,580.00,580.00,561.00,580.00,,0,,7045043.50
2022-02-01,580.00,629.00,574.00,612.00,,5.52,,20405222.40
2022-02-03,610.00,638.00,610.00,638.00,,4.25,,24625089.00
2022-02-06,650.00,650.00,612.00,614.00,,-3.76,,16343304.30
2022-02-07,603.00,615.00,591.90,610.00,,-0.65,,7662967.60
2022-02-08,622.20,622.20,586.10,596.00,,-2.3,,9678618.60
2022-02-09,584.20,607.00,577.10,607.00,,1.85,,4864092.50
2022-02-10,595.00,606.00,585.00,600.00,,-1.15,,3371159.00
2022-02-13,588.00,598.00,556.00,598.00,,-0.33,,5258612.00
2022-02-14,586.10,586.10,575.00,575.00,,-3.85,,1529808.50
2022-02-15,575.00,607.00,570.10,600.00,,4.35,,2644382.00
2022-02-16,600.00,610.00,566.00,570.00,,-5,,2543127.20
2022-02-17,560.00,597.00,560.00,589.80,,3.47,,7428904.00
2022-02-20,579.10,622.00,570.00,599.00,,1.56,,10452161.30
2022-02-21,589.00,623.10,589.00,620.00,,3.51,,8460429.20
2022-02-22,610.00,682.00,610.00,682.00,,10,,21538917.00
2022-02-23,695.60,733.90,668.60,720.00,,5.57,,15974384.00
2022-02-24,705.60,714.00,666.00,693.00,,-3.75,,13258065.60
2022-02-27,679.20,720.00,665.90,678.00,,-2.16,,8502484.80
2022-02-28,691.50,691.50,621.00,632.00,,-6.78,,8330956.10
2022-03-02,632.00,640.00,595.90,615.00,,-2.69,,5686656.60
2022-03-06,622.60,663.00,596.00,663.00,,7.8,,12543978.00
2022-03-07,676.20,676.20,644.00,665.00,,0.3,,9430232.70
2022-03-09,675.00,675.00,615.00,646.00,,-2.86,,5981235.80
2022-03-10,640.00,690.00,634.00,685.00,,6.04,,11955831.60
2022-03-13,690.00,710.00,673.00,710.00,,3.65,,13378836.70
2022-03-14,696.00,708.00,681.10,685.30,,-3.48,,1044176.60
2022-03-15,699.00,699.00,650.00,652.00,,-4.86,,5304215.60
2022-03-16,665.00,705.00,640.00,692.00,,6.13,,4124189.30
2022-03-20,678.20,678.20,656.10,666.00,,-3.76,,5367706.60
2022-03-21,666.00,686.00,643.10,686.00,,3,,5555696.00
2022-03-22,695.00,695.00,652.70,669.90,,-2.35,,3741190.90
2022-03-23,675.00,675.00,640.00,663.00,,-1.03,,6217699.50
