Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-06,393.00,400.00,400.00,400.00,,1.78,,4000.00
2014-08-18,400.00,416.00,408.00,416.00,,4,,8240.00
2014-08-21,416.00,441.00,425.00,441.00,,6.01,,12990.00
2014-08-24,441.00,457.00,449.00,457.00,,3.63,,9060.00
2014-08-28,457.00,466.00,466.00,466.00,,1.97,,17708.00
2014-08-31,466.00,484.00,475.00,484.00,,3.86,,9590.00
2014-09-07,484.00,508.00,508.00,508.00,,4.96,,5080.00
2014-09-09,508.00,518.00,518.00,518.00,,1.97,,5180.00
2014-09-10,518.00,569.00,543.00,569.00,,9.85,,27930.00
2014-09-11,569.00,597.00,597.00,597.00,,4.92,,5970.00
2014-09-14,597.00,638.00,626.00,638.00,,6.87,,12640.00
2014-09-15,638.00,663.00,650.00,663.00,,3.92,,13130.00
2014-09-16,663.00,729.00,696.00,729.00,,9.95,,28570.00
2014-09-17,729.00,801.00,743.00,801.00,,9.88,,321619.00
2014-09-21,881.00,969.00,898.00,969.00,,9.99,,657775.00
2014-09-22,969.00,1007.00,873.00,873.00,,-9.91,,2018420.00
2014-09-23,873.00,856.00,801.00,805.00,,-7.79,,774875.00
2014-09-24,805.00,821.00,801.00,805.00,,0,,213082.00
2014-09-28,805.00,805.00,777.00,790.00,,-1.86,,227711.00
2014-09-29,790.00,848.00,792.00,848.00,,7.34,,197872.00
2014-09-30,848.00,864.00,840.00,845.00,,-0.35,,437835.00
2014-10-08,845.00,840.00,840.00,840.00,,-0.59,,16800.00
2014-10-09,840.00,856.00,840.00,845.00,,0.6,,80045.00
2014-10-12,845.00,877.00,844.00,844.00,,-0.12,,176750.00
2014-10-13,844.00,860.00,844.00,854.00,,1.18,,226978.00
2014-10-14,854.00,840.00,824.00,830.00,,-2.81,,107700.00
2014-10-15,830.00,841.00,820.00,830.00,,0,,94015.00
2014-10-16,830.00,855.00,835.00,851.00,,2.53,,231780.00
2014-10-19,851.00,860.00,850.00,850.00,,-0.12,,105710.00
2014-10-20,850.00,850.00,800.00,800.00,,-5.88,,233921.00
2014-10-21,800.00,816.00,801.00,803.00,,0.38,,167584.00
2014-10-22,803.00,805.00,800.00,805.00,,0.25,,75420.00
2014-10-26,805.00,885.00,800.00,885.00,,9.94,,75809.00
2014-10-27,885.00,918.00,890.00,918.00,,3.73,,111435.00
2014-10-28,918.00,905.00,888.00,905.00,,-1.42,,238272.00
