Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2017-01-09,345.00,358.00,306.00,306.00,,-9.73,,3154705.00
2017-01-10,300.00,300.00,276.00,284.00,,-7.19,,19952623.00
2017-01-12,284.00,284.00,280.00,280.00,,-1.41,,474145.00
2017-01-15,285.00,285.00,272.00,276.00,,-1.43,,1556030.00
2017-01-16,271.00,271.00,260.00,262.00,,-5.8,,1564597.00
2017-01-17,257.00,273.00,255.00,273.00,,5,,5534081.00
2017-01-18,270.00,270.00,265.00,270.00,,-1.1,,4053854.00
2017-01-19,269.00,274.00,265.00,269.00,,-0.37,,4272046.00
2017-01-22,266.00,268.00,260.00,268.00,,-0.37,,2972669.00
2017-01-23,265.00,265.00,250.00,255.00,,-4.85,,5602539.00
2017-01-24,250.00,250.00,240.00,240.00,,-5.88,,2503435.00
2017-01-25,236.00,240.00,217.00,225.00,,-6.25,,2945789.00
2017-01-26,221.00,224.00,213.00,219.00,,-2.67,,1609446.00
2017-01-30,223.00,223.00,202.00,202.00,,-7.76,,1169285.00
2017-01-31,206.00,214.00,204.00,206.00,,1.98,,1210556.00
2017-02-02,230.00,234.00,226.00,227.00,,0.44,,705958.00
2017-02-05,231.00,235.00,223.00,226.00,,-0.44,,2325506.00
2017-02-06,223.00,235.00,223.00,234.00,,3.54,,3758057.00
2017-02-07,234.00,234.00,228.00,230.00,,-0.85,,561658.00
2017-02-08,236.00,245.00,231.00,245.00,,5.6,,2677240.00
2017-02-09,249.00,251.00,231.00,240.00,,-2.04,,5935777.00
2017-02-12,236.00,236.00,220.00,221.00,,-7.92,,2917919.00
2017-02-13,217.00,232.00,201.00,228.00,,3.17,,2115086.00
2017-02-15,228.00,238.00,227.00,236.00,,5.36,,2150816.00
2017-02-16,234.00,244.00,230.00,240.00,,1.69,,2685708.00
2017-02-19,237.00,242.00,234.00,240.00,,0,,1716756.00
2017-02-20,244.00,244.00,233.00,235.00,,-2.08,,1428920.00
2017-02-21,239.00,246.00,235.00,235.00,,0,,2681062.00
2017-02-22,235.00,252.00,232.00,251.00,,6.81,,5755121.00
2017-02-23,252.00,271.00,252.00,260.00,,3.59,,11105650.00
2017-02-26,265.00,265.00,250.00,259.00,,-0.38,,4991220.00
2017-02-28,254.00,261.00,246.00,248.00,,-4.25,,79035543.00
2017-03-01,246.00,259.00,245.00,250.00,,0.81,,1952847.00
2017-03-02,250.00,258.00,250.00,250.00,,0,,3315121.00
2017-03-07,253.00,253.00,251.00,251.00,,0.8,,48994.00
2017-03-09,248.00,248.00,248.00,248.00,,-1.2,,30256.00
2017-03-13,248.00,248.00,238.00,241.00,,-3.23,,2204194.00
2017-03-14,240.00,240.00,226.00,228.00,,-5,,4550078.00
2017-08-13,219.00,240.00,223.00,240.00,,9.59,,45608.00
2017-08-15,244.00,264.00,244.00,264.00,,10,,29763837.00
2017-08-16,269.00,274.00,250.00,253.00,,-4.17,,15971274.00
2017-08-17,253.00,258.00,250.00,252.00,,0.79,,4676837.00
2017-08-20,255.00,256.00,245.00,249.00,,-2.35,,3132885.00
2017-08-21,250.00,251.00,241.00,246.00,,-1.2,,1035380.00
2017-08-22,249.00,255.00,244.00,248.00,,0.81,,2136528.00
2017-08-23,245.00,252.00,244.00,245.00,,-1.21,,1488653.00
2017-08-27,248.00,252.00,242.00,245.00,,-1.21,,6363209.00
2017-08-28,244.00,245.00,234.00,238.00,,-2.86,,4772891.00
2017-08-30,238.00,242.00,229.00,234.00,,-1.68,,7396721.00
2017-09-04,226.00,239.00,225.00,230.00,,0,,28215501.00
2017-09-06,234.00,235.00,226.00,233.00,,1.3,,4196603.00
2017-09-07,233.00,233.00,224.00,227.00,,-2.58,,6097873.00
2017-09-10,223.00,225.00,218.00,220.00,,-3.08,,5135259.00
2017-09-11,219.00,225.00,218.00,223.00,,1.36,,3470567.00
2017-09-12,220.00,225.00,216.00,219.00,,-1.79,,2310297.00
2017-09-13,223.00,224.00,218.00,218.00,,-0.46,,2214541.00
2017-09-14,221.00,230.00,215.00,220.00,,0.92,,7794521.00
2017-09-17,218.00,227.00,218.00,225.00,,2.27,,2474327.00
2017-09-18,229.00,229.00,220.00,227.00,,1.33,,2846968.00
