Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2021-10-06,397.50,397.50,397.50,397.50,,0,,35621.90
2021-10-10,403.20,403.20,403.20,403.20,,1.43,,8030.60
2021-10-17,403.20,411.20,403.20,411.20,,1.98,,8224.00
2021-10-19,419.40,427.70,419.40,427.70,,4.01,,8471.00
2021-10-24,436.20,462.70,436.20,462.70,,8.18,,17975.00
2021-10-25,471.90,471.90,471.90,471.90,,1.99,,4719.00
2021-10-26,481.30,490.90,481.30,490.90,,4.03,,9722.00
2021-10-27,500.70,520.90,500.70,520.90,,6.11,,15323.00
2021-10-28,520.90,552.70,520.90,552.70,,6.1,,28328.20
2021-10-31,563.70,598.00,563.70,598.00,,8.2,,23814.90
2021-11-01,609.90,657.80,609.90,657.80,,10,,45275.20
2021-11-02,657.80,657.80,657.80,657.80,,0,,3900.40
2021-11-03,670.90,697.90,670.90,697.90,,6.1,,20531.00
2021-11-08,711.80,767.60,711.80,767.60,,9.99,,59010.60
2021-11-09,782.90,844.30,782.90,844.30,,9.99,,49150.00
2021-11-11,861.10,928.70,861.10,928.70,,10,,53733.00
2021-11-14,947.20,1021.50,947.20,1021.50,,9.99,,100141.00
2021-11-15,1041.90,1123.60,1041.90,1123.60,,10,,65412.00
2021-11-16,1146.00,1235.90,1146.00,1235.90,,9.99,,59590.00
2021-11-17,1260.60,1359.40,1260.60,1359.40,,9.99,,133741.90
2021-11-18,1386.50,1495.30,1386.50,1495.30,,10,,278121.50
2021-11-21,1525.20,1644.80,1525.20,1644.80,,10,,605646.00
2021-11-22,1677.00,1809.20,1677.00,1809.20,,10,,1625029.00
2021-11-23,1845.30,1990.10,1845.30,1990.10,,10,,2603479.00
2021-11-24,2029.90,2189.10,1985.00,1999.00,,0.45,,54303912.60
2021-11-25,2005.00,2005.00,1851.00,1860.50,,-6.93,,19921909.00
2021-11-28,1823.30,1823.30,1675.00,1710.00,,-8.09,,20296226.40
2021-11-29,1676.00,1677.00,1618.00,1630.00,,-4.68,,8175526.40
2021-11-30,1630.00,1720.00,1605.00,1720.00,,5.52,,3043091.30
2021-12-01,1720.00,1720.00,1666.00,1690.00,,-1.74,,2406808.00
2021-12-02,1661.00,1680.00,1621.20,1630.00,,-3.55,,4016045.00
2021-12-05,1630.00,1630.00,1525.00,1553.00,,-4.72,,6513049.00
2021-12-06,1525.00,1640.00,1500.00,1600.00,,3.03,,3597153.00
2021-12-07,1600.00,1605.00,1520.10,1550.00,,-3.12,,3113756.00
2021-12-08,1540.00,1540.00,1470.00,1518.00,,-2.06,,2093732.00
