Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2021-03-16,438.00,446.00,438.00,446.00,,1.83,,13267.00
2021-03-17,140.00,446.00,446.00,446.00,,0,,1772.00
2021-03-18,446.00,446.00,446.00,446.00,,0,,438.00
2021-03-22,440.00,463.00,440.00,463.00,,3.81,,14007.00
2021-03-23,472.00,490.00,472.00,490.00,,5.83,,14430.00
2021-03-24,499.00,508.00,499.00,508.00,,3.67,,10070.00
2021-03-25,518.00,538.00,518.00,538.00,,5.91,,15840.00
2021-03-29,564.00,591.00,564.00,591.00,,9.85,,28760.00
2021-03-30,602.00,602.00,602.00,602.00,,1.86,,6020.00
2021-04-01,695.00,708.00,695.00,708.00,,6.95,,14030.00
2021-04-01,614.00,662.00,614.00,662.00,,9.97,,14030.00
2021-04-04,722.00,736.00,722.00,736.00,,3.95,,14580.00
2021-04-05,718.00,765.00,718.00,765.00,,3.94,,23832.00
2021-04-06,780.00,841.00,780.00,841.00,,9.93,,40520.00
2021-04-07,857.00,925.00,857.00,925.00,,9.99,,53800.00
2021-04-12,943.00,1017.00,943.00,1017.00,,9.95,,89494.00
2021-04-13,1037.00,1099.00,1037.00,1099.00,,8.06,,53490.00
2021-04-15,1120.00,1208.00,1120.00,1208.00,,9.92,,82370.00
2021-04-18,1232.00,1328.00,1232.00,1328.00,,9.93,,103390.00
2021-04-19,1354.00,1460.00,1354.00,1460.00,,9.94,,172560.00
2021-04-20,1489.00,1606.00,1489.00,1606.00,,10,,189810.00
2021-04-21,1686.00,1766.00,1686.00,1766.00,,9.96,,475420.00
2021-04-22,1801.00,1942.00,1801.00,1942.00,,9.97,,715070.00
2021-04-25,1980.00,2136.00,1980.00,2136.00,,9.99,,2185405.00
2021-04-26,2178.00,2349.00,2178.00,2349.00,,9.97,,2887399.00
2021-04-27,2466.00,2583.00,2466.00,2583.00,,9.96,,3586890.00
2021-04-28,2766.00,2841.00,2766.00,2841.00,,9.99,,3632950.00
2021-04-29,2979.00,3125.00,2979.00,3125.00,,10,,5778640.00
2021-05-02,3281.00,3437.00,3281.00,3437.00,,9.98,,6201555.00
2021-05-03,3608.00,3780.00,3608.00,3780.00,,9.98,,9139450.00
2021-05-04,3969.00,4158.00,3969.00,4158.00,,10,,10096790.00
2021-05-05,4365.00,4573.00,4365.00,4573.00,,9.98,,10248945.00
2021-05-06,4801.00,5030.00,4801.00,5030.00,,9.99,,64582500.00
2021-05-09,5281.00,5493.00,4527.00,4527.00,,-10,,236773164.00
2021-05-10,4400.00,4845.00,4263.00,4700.00,,3.82,,125312004.00
2021-05-11,4700.00,4800.00,4650.00,4725.00,,0.53,,32935938.00
2021-05-12,4700.00,4700.00,4651.00,4670.00,,-1.16,,29518167.00
2021-05-13,4670.00,4670.00,4584.00,4585.00,,-1.82,,42227030.00
2021-05-16,4570.00,4660.00,4560.00,4657.00,,1.57,,53522330.00
2021-05-17,4650.00,4664.00,4605.00,4638.00,,-0.41,,35339630.00
2021-05-18,4620.00,4665.00,4620.00,4645.00,,0.15,,37748055.00
2021-05-19,4673.00,4674.00,4578.00,4600.00,,-0.97,,32045519.00
2021-05-20,4530.00,4650.00,4530.00,4615.00,,0.33,,39013187.00
2021-05-23,4525.00,4618.00,4525.00,4590.00,,-0.54,,20951809.00
2021-05-24,4565.00,4620.00,4565.00,4583.00,,-0.15,,23225345.00
2021-05-25,4580.00,4600.00,4561.00,4571.00,,-0.26,,17050637.00
2021-05-27,4500.00,4504.00,4388.00,4400.00,,-3.74,,56644787.00
2021-05-30,4400.00,4484.00,4303.00,4339.00,,-1.39,,22197084.00
2021-05-31,4315.00,4400.00,4314.00,4322.00,,-0.39,,18639343.00
2021-06-01,4300.00,4330.00,4290.00,4320.00,,-0.05,,14574648.00
2021-06-02,4305.00,4350.00,4290.00,4320.00,,0.35,,15408101.00
2021-06-03,4320.00,4752.00,4320.00,4752.00,,10,,64960892.00
2021-06-06,4989.00,5227.00,4989.00,5227.00,,10,,100573063.00
