Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-11-20,288.40,299.90,259.60,259.60,,0,,8284345.70
2023-11-21,254.50,254.50,233.70,233.80,,-9.94,,6713779.00
2023-11-22,229.20,257.10,225.00,257.00,,9.92,,5512824.00
2023-11-23,252.00,270.00,247.00,258.50,,0.58,,5312029.00
2023-11-26,254.00,263.00,244.10,254.90,,-1.39,,7745314.90
2023-11-27,254.90,275.00,250.10,274.00,,7.49,,11073847.70
2023-11-28,269.00,284.00,267.70,284.00,,3.65,,7152222.00
2023-11-29,284.00,286.00,275.90,280.00,,-1.41,,6023222.20
2023-11-30,275.00,281.00,266.30,279.00,,-0.36,,5249216.00
2023-12-03,282.50,282.50,267.30,275.50,,-1.25,,3024794.00
2023-12-04,271.00,282.50,271.00,280.00,,1.63,,7770142.00
2023-12-05,276.20,285.00,276.20,281.00,,0.36,,3166397.70
2023-12-06,275.50,280.00,275.50,279.90,,-0.39,,1859199.00
2023-12-07,274.40,280.80,270.40,273.90,,-2.14,,2890622.20
2023-12-10,278.00,300.00,278.00,300.00,,9.53,,316425.00
2023-12-11,306.00,306.00,283.00,293.00,,-2.33,,6596601.00
2023-12-12,288.00,306.00,283.10,296.90,,1.33,,5862480.40
2023-12-13,292.00,305.10,292.00,300.00,,1.04,,7402336.60
2023-12-14,294.00,330.00,291.40,328.00,,9.33,,7979371.30
2023-12-17,321.50,350.00,308.90,342.00,,4.27,,6250961.50
2023-12-18,335.20,348.80,325.70,347.00,,1.46,,6425538.00
2023-12-19,340.10,340.10,320.10,330.00,,-4.9,,7231114.20
2023-12-20,330.00,330.00,314.20,318.00,,-3.64,,9492674.50
2023-12-21,320.00,339.00,311.80,328.00,,3.14,,9950535.90
2023-12-24,333.00,360.80,331.70,355.00,,8.23,,23805795.30
2023-12-27,351.00,390.00,351.00,366.50,,3.24,,11480048.70
2023-12-28,366.00,369.00,354.00,361.80,,-1.28,,6634955.70
2024-01-01,360.00,365.00,339.00,340.00,,-6.03,,10414443.80
2024-01-02,335.00,339.00,323.20,329.50,,-3.09,,7231635.00
2024-01-03,325.00,343.00,323.40,343.00,,4.1,,3866478.00
2024-01-04,340.00,369.00,340.00,350.00,,2.04,,7584619.70
2024-01-07,344.40,385.00,344.20,384.00,,9.71,,16843468.30
2024-01-08,376.40,407.90,357.00,394.00,,2.6,,7623127.00
2024-01-09,394.00,408.90,375.60,377.00,,-4.31,,6314862.50
2024-01-10,377.00,399.00,366.00,397.00,,5.31,,8107745.10
2024-01-11,389.10,420.00,373.10,401.00,,1.01,,12253714.80
2024-01-14,401.00,441.10,400.00,441.10,,10,,26142736.80
2024-01-16,449.90,459.00,431.40,437.00,,-0.93,,8829905.00
2024-01-17,429.00,453.00,408.50,408.50,,-6.52,,12967014.00
2024-01-18,400.40,432.00,400.40,427.30,,4.6,,15910945.30
2024-01-21,421.00,427.00,408.00,411.00,,-3.81,,8015984.00
2024-01-22,403.00,425.00,395.00,410.90,,-0.02,,6954453.50
2024-01-23,410.00,421.00,403.00,410.00,,-0.22,,11111642.00
2024-01-24,406.00,415.00,398.00,402.00,,-2.66,,2798361.00
2024-01-25,394.10,417.00,390.20,401.00,,-0.25,,3438454.00
2024-01-28,409.00,441.10,409.00,441.10,,10,,35178892.00
2024-01-29,441.10,449.90,433.00,436.00,,-1.16,,9851141.20
2024-01-30,435.00,450.00,428.10,440.00,,0.92,,8871110.00
2024-01-31,435.00,439.00,416.00,420.00,,-4.55,,9760887.60
2024-02-01,420.00,428.00,401.10,418.00,,-0.48,,7700824.90
2024-02-04,409.70,423.30,400.00,423.30,,1.27,,7162303.50
2024-02-05,415.00,423.50,412.10,422.00,,-0.31,,3118587.60
2024-02-06,414.00,428.00,414.00,426.90,,1.16,,9715847.70
2024-02-07,425.00,430.00,419.20,430.00,,0.73,,5285241.30
2024-02-08,425.00,436.00,420.00,430.00,,0,,5758427.00
2024-02-11,424.00,448.00,414.60,427.00,,-0.7,,7649001.10
2024-02-12,421.30,450.00,421.30,439.90,,3.02,,13438705.30
2024-02-13,432.00,468.10,424.10,442.00,,0.48,,36686034.60
