Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,760.00,755.00,740.00,745.00,,-1.97,,1047565.00
2014-08-04,793.00,790.00,750.00,765.00,,-3.53,,1047565.00
2014-08-04,765.00,760.00,754.00,760.00,,-0.65,,1047565.00
2014-08-04,745.00,810.00,750.00,795.00,,6.71,,1047565.00
2014-08-04,795.00,820.00,785.00,800.00,,0.63,,1047565.00
2014-08-04,800.00,816.00,775.00,793.00,,-0.88,,1047565.00
2014-08-05,745.00,760.00,745.00,760.00,,2.01,,2063416.00
2014-08-06,760.00,776.00,761.00,776.00,,2.11,,1630530.00
2014-08-07,776.00,770.00,735.00,740.00,,-4.64,,987276.00
2014-08-12,740.00,735.00,732.00,735.00,,-0.68,,210610.00
2014-08-13,735.00,730.00,720.00,720.00,,-2.04,,84680.00
2014-08-14,720.00,739.00,725.00,734.00,,1.94,,993787.00
2014-08-18,734.00,730.00,730.00,730.00,,-0.54,,79570.00
2014-08-19,730.00,740.00,720.00,735.00,,0.68,,1598270.00
2014-08-20,735.00,725.00,721.00,725.00,,-1.36,,540336.00
2014-08-21,725.00,711.00,670.00,670.00,,-7.59,,6223642.00
2014-08-24,670.00,690.00,644.00,690.00,,2.99,,450909.00
2014-08-25,690.00,677.00,665.00,665.00,,-3.62,,146900.00
2014-08-26,665.00,691.00,635.00,635.00,,-4.51,,1905544.00
2014-08-27,635.00,680.00,645.00,680.00,,7.09,,1890826.00
2014-08-28,680.00,740.00,693.00,734.00,,7.94,,2454905.00
2014-08-31,734.00,725.00,707.00,707.00,,-3.68,,533436.00
2014-09-01,707.00,700.00,652.00,675.00,,-4.53,,2214013.00
2014-09-03,675.00,685.00,685.00,685.00,,1.48,,89735.00
2014-09-04,685.00,675.00,645.00,645.00,,-5.84,,950823.00
2014-09-07,645.00,650.00,630.00,630.00,,-2.33,,442920.00
2014-09-09,630.00,691.00,640.00,691.00,,9.68,,322228.00
2014-09-10,691.00,691.00,657.00,670.00,,-3.04,,921960.00
2014-09-11,670.00,720.00,655.00,720.00,,7.46,,1423480.00
2014-09-14,720.00,770.00,720.00,770.00,,6.94,,10123768.00
2014-09-15,770.00,820.00,765.00,779.00,,1.17,,15904656.00
2014-09-16,779.00,800.00,770.00,791.00,,1.54,,8087075.00
2014-09-17,791.00,795.00,780.00,783.00,,-1.01,,5969364.00
2014-09-21,776.00,790.00,750.00,756.00,,-2.58,,2449333.00
2014-09-22,756.00,780.00,755.00,760.00,,0.53,,2302089.00
2014-09-23,760.00,790.00,760.00,778.00,,2.37,,2367521.00
2014-09-24,778.00,805.00,780.00,791.00,,1.67,,1881137.00
2014-09-28,791.00,799.00,776.00,791.00,,0,,1511386.00
2014-09-29,791.00,800.00,785.00,795.00,,0.51,,2346028.00
2014-09-30,795.00,825.00,793.00,800.00,,0.63,,2769309.00
2014-10-08,800.00,790.00,784.00,789.00,,-1.38,,904168.00
2014-10-09,789.00,798.00,780.00,785.00,,-0.51,,809687.00
2014-10-12,785.00,785.00,771.00,771.00,,-1.78,,100117.00
2014-10-13,771.00,770.00,745.00,770.00,,-0.13,,123320.00
2014-10-14,770.00,790.00,755.00,785.00,,1.95,,1976071.00
2014-10-15,785.00,800.00,771.00,785.00,,0,,914582.00
2014-10-16,785.00,809.00,790.00,801.00,,2.04,,1020897.00
2014-10-19,801.00,805.00,793.00,795.00,,-0.75,,1237150.00
2014-10-20,795.00,800.00,780.00,780.00,,-1.89,,1472492.00
2014-10-21,780.00,786.00,772.00,786.00,,0.77,,661173.00
2014-10-22,786.00,804.00,787.00,795.00,,1.15,,1896045.00
