Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-10-12,300.00,330.00,300.00,330.00,,0,,4672854.00
2023-10-16,336.60,363.00,297.00,300.10,,-9.06,,16499962.20
2023-10-17,294.20,315.00,294.20,305.10,,1.67,,5674168.30
2023-10-18,300.00,333.50,300.00,333.50,,9.31,,2484520.60
2023-10-19,327.00,328.40,315.00,320.00,,-4.05,,3804259.00
2023-10-29,313.60,316.10,307.10,308.40,,-3.62,,3785517.00
2023-10-30,305.00,321.80,299.00,318.00,,3.11,,3636790.40
2023-10-31,312.20,324.00,312.20,324.00,,1.89,,2349051.00
2023-11-01,318.10,329.00,318.00,325.00,,0.31,,3009953.80
2023-11-02,319.00,323.00,316.00,316.80,,-2.52,,1414178.00
2023-11-05,311.00,316.00,307.10,316.00,,-0.25,,624742.00
2023-11-06,309.70,326.00,309.70,326.00,,3.16,,2159673.00
2023-11-07,330.00,330.00,318.30,320.70,,-1.63,,2765857.00
2023-11-08,315.20,336.00,315.20,335.00,,4.46,,4392127.90
2023-11-09,340.00,340.00,322.10,326.10,,-2.66,,1204469.00
2023-11-20,320.00,337.00,320.00,330.00,,1.2,,2262252.00
2023-11-21,324.10,336.60,323.80,331.80,,0.55,,3204075.00
2023-11-22,325.20,343.00,318.70,343.00,,3.38,,1372031.50
2023-11-23,336.20,354.00,325.10,353.00,,2.92,,2405805.00
2023-11-26,346.00,375.00,339.10,375.00,,6.23,,3874531.00
2023-11-27,367.50,382.00,359.00,379.30,,1.15,,5482172.00
2023-11-28,379.30,394.50,353.60,361.30,,-4.75,,5188130.50
2023-11-29,361.30,358.00,340.00,357.00,,-1.19,,3565942.20
2023-11-30,353.00,355.00,342.00,354.90,,-0.59,,975245.10
2023-12-03,355.00,355.00,342.00,344.10,,-3.04,,1473573.00
2023-12-04,337.50,357.00,337.50,349.90,,1.69,,2065074.00
2023-12-05,343.00,345.00,339.00,342.00,,-2.26,,980681.00
2023-12-06,336.00,340.00,336.00,336.70,,-1.55,,846519.00
2023-12-07,331.20,353.50,331.20,344.00,,2.17,,1841337.00
2023-12-10,350.00,370.00,350.00,370.00,,7.56,,819941.00
2023-12-11,377.40,377.40,349.00,364.10,,-1.59,,9719622.60
2023-12-12,366.00,390.00,351.10,382.00,,4.92,,8302335.90
2023-12-13,380.00,387.00,365.10,373.90,,-2.12,,7452353.10
2023-12-14,371.00,411.20,368.00,411.20,,9.98,,18625370.80
2023-12-17,403.00,436.00,390.10,409.00,,-0.54,,10582955.60
2023-12-18,417.10,449.90,410.00,444.00,,8.56,,22244433.50
2023-12-19,440.00,488.40,440.00,488.40,,10,,7701058.90
2023-12-20,479.00,537.20,465.10,537.20,,9.99,,19272284.00
2023-12-21,547.90,590.90,545.00,587.00,,9.27,,20010191.80
2023-12-24,598.70,645.70,534.00,579.00,,-1.36,,21419628.80
2023-12-27,567.50,567.50,521.10,550.00,,-5.01,,19711474.00
2023-12-28,539.00,560.00,495.00,521.00,,-5.27,,13980344.70
2024-01-01,531.40,549.50,501.00,530.00,,1.73,,6885658.00
2024-01-02,520.00,520.00,499.50,507.00,,-4.34,,2962154.70
2024-01-03,517.00,554.00,499.00,511.10,,0.81,,8894129.50
2024-01-04,515.00,541.00,507.00,507.00,,-0.8,,6021370.00
2024-01-07,497.00,528.40,497.00,501.20,,-1.14,,3288241.00
2024-01-08,500.00,520.00,492.20,510.00,,1.76,,7230889.10
2024-01-09,520.00,550.00,495.00,521.80,,2.31,,15864535.00
2024-01-10,512.00,521.80,503.80,510.00,,-2.26,,1583462.00
2024-01-11,502.00,561.00,502.00,561.00,,10,,23237683.60
2024-01-14,572.20,583.60,539.10,563.10,,0.37,,8388215.30
2024-01-16,556.00,569.00,535.10,541.00,,-3.92,,6483351.60
2024-01-17,530.20,550.00,511.10,511.10,,-5.53,,5238143.00
2024-01-18,500.90,520.80,500.90,510.10,,-0.2,,4260396.10
2024-01-21,520.00,561.10,505.00,560.00,,9.78,,6968860.00
2024-01-22,550.00,615.00,527.10,613.00,,9.46,,24347303.60
2024-01-23,600.80,600.80,568.00,586.00,,-4.4,,3196296.50
2024-01-24,575.00,632.50,571.20,632.50,,10,,25347024.40
2024-01-25,632.50,695.70,630.10,688.10,,8.79,,21323551.40
2024-01-28,701.80,756.90,648.00,756.90,,10,,28024189.70
2024-01-29,772.00,832.50,712.90,832.50,,9.99,,11861088.50
2024-01-30,815.90,815.90,749.30,763.00,,-8.35,,27637864.20
2024-01-31,748.00,759.00,705.00,759.00,,-0.52,,16392136.20
2024-02-01,743.90,743.90,701.20,706.80,,-6.88,,5192320.70
2024-02-04,702.00,714.00,690.00,693.00,,-1.95,,3898922.50
2024-02-05,700.00,702.00,678.00,699.90,,1,,6295322.00
2024-02-06,690.00,709.00,672.30,685.00,,-2.13,,4784705.80
2024-02-07,672.10,703.80,672.00,689.00,,0.58,,8141805.40
2024-02-08,701.00,714.80,677.10,695.00,,0.87,,6234702.00
2024-02-11,700.00,752.10,695.00,724.00,,4.17,,15330887.90
2024-02-12,735.00,735.00,700.70,701.00,,-3.18,,15217615.80
2024-02-13,715.00,758.60,700.00,703.00,,0.29,,7894073.40
2024-02-14,691.10,715.00,685.00,699.90,,-0.44,,5096049.00
2024-02-15,686.00,702.30,675.00,687.00,,-1.84,,3700305.00
2024-02-18,673.40,687.00,660.00,660.00,,-3.93,,5152706.80
2024-02-20,647.00,673.00,647.00,668.00,,1.21,,4180109.20
2024-02-21,655.00,680.00,642.10,654.50,,-2.02,,4494221.00
2024-02-22,650.00,655.00,625.00,639.00,,-2.37,,3823595.50
2024-02-25,626.30,655.00,614.00,617.10,,-3.43,,1704856.50
2024-02-26,606.20,640.00,598.00,639.00,,3.55,,5549470.80
