Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2017-08-27,0.00,1626.00,1626.00,1626.00,,-1.71,,16260.00
2017-10-08,1691.00,1724.00,1691.00,1724.00,,3.98,,189310.00
2017-10-29,1758.00,1758.00,1758.00,1758.00,,1.97,,17580.00
2017-11-05,1793.00,1828.00,1793.00,1828.00,,3.98,,54490.00
2017-11-06,1828.00,1977.00,1864.00,1977.00,,8.15,,76810.00
2017-11-08,2016.00,2056.00,2016.00,2056.00,,4,,40720.00
2017-11-19,1371.00,1398.00,1398.00,1398.00,,1.97,,13980.00
2017-12-06,1425.00,1453.00,1425.00,1453.00,,3.93,,28780.00
2017-12-10,1482.00,1511.00,1482.00,1511.00,,3.99,,29930.00
2017-12-11,1541.00,1571.00,1541.00,1571.00,,3.97,,31120.00
2017-12-12,1602.00,1634.00,1602.00,1634.00,,4.01,,32360.00
2017-12-13,1666.00,1732.00,1666.00,1732.00,,6,,50970.00
2017-12-14,1766.00,1766.00,1766.00,1766.00,,1.96,,35670.00
2017-12-17,1837.00,1910.00,1837.00,1910.00,,6.05,,56200.00
2017-12-18,2005.00,2005.00,2005.00,2005.00,,4.97,,20050.00
2017-12-20,2045.00,2085.00,2045.00,2085.00,,3.99,,249800.00
2017-12-21,2126.00,2211.00,2126.00,2211.00,,6.04,,76100.00
2017-12-24,2321.00,2414.00,2321.00,2414.00,,9.18,,71020.00
2017-12-27,2708.00,2920.00,2708.00,2920.00,,9.98,,491200.00
2017-12-27,2414.00,2655.00,2462.00,2655.00,,9.98,,491200.00
2017-12-28,2978.00,3212.00,2978.00,3212.00,,10,,2820780.00
2017-12-31,3276.00,3341.00,3086.00,3150.00,,-1.93,,16886436.00
2018-01-01,3103.00,3160.00,3103.00,3150.00,,0,,6481314.00
2018-01-02,3100.00,3105.00,3040.00,3090.00,,-1.59,,4761790.00
2018-01-03,3038.00,3098.00,3002.00,3020.00,,-2.58,,2915045.00
2018-01-04,3020.00,3020.00,2973.00,2982.00,,-1.26,,1551320.00
2018-01-07,2935.00,3050.00,2935.00,2985.00,,0.1,,1075240.00
2018-01-08,2999.00,3044.00,2998.00,3005.00,,0.67,,1774310.00
2018-01-09,3005.00,3004.00,2971.00,2990.00,,-0.5,,748140.00
2018-01-10,2955.00,2965.00,2951.00,2951.00,,-1.3,,798640.00
2018-01-14,2902.00,2980.00,2852.00,2920.00,,-1.05,,1464760.00
2018-01-16,2905.00,3000.00,2900.00,3000.00,,2.74,,1084650.00
2018-01-17,3000.00,3000.00,2930.00,2942.00,,-1.93,,717990.00
2018-01-21,2950.00,2950.00,2902.00,2905.00,,-1.26,,762890.00
2018-01-22,2905.00,2905.00,2875.00,2890.00,,-0.52,,376850.00
2018-01-23,2880.00,2899.00,2845.00,2851.00,,-1.35,,914820.00
2018-01-24,2907.00,2907.00,2830.00,2836.00,,-0.53,,767470.00
2018-01-25,2836.00,2890.00,2834.00,2880.00,,1.73,,543810.00
2018-01-29,2843.00,2850.00,2831.00,2849.00,,0.21,,340850.00
2018-01-31,2850.00,2870.00,2850.00,2870.00,,0.74,,285530.00
2018-02-01,2900.00,2900.00,2848.00,2848.00,,-0.77,,143340.00
2018-02-04,2904.00,2940.00,2865.00,2900.00,,1.83,,811050.00
2018-02-05,2850.00,2875.00,2850.00,2860.00,,-1.38,,143290.00
2018-02-06,2846.00,2856.00,2846.00,2856.00,,-0.14,,142590.00
2018-02-07,2856.00,2880.00,2830.00,2840.00,,-0.91,,855143.00
2018-02-08,2830.00,2886.00,2811.00,2841.00,,0.39,,280339.00
2018-02-11,2800.00,2818.00,2800.00,2818.00,,-0.84,,140690.00
2018-02-12,2820.00,2830.00,2820.00,2821.00,,0.14,,423800.00
2018-02-14,2840.00,2850.00,2790.00,2850.00,,1.03,,482550.00
2018-02-15,2897.00,2954.00,2815.00,2954.00,,3.65,,754410.00
2018-02-18,2954.00,3009.00,2893.00,2895.00,,-2,,351820.00
2018-02-20,2952.00,2952.00,2847.00,2847.00,,-1.66,,174660.00
2018-02-21,2830.00,2840.00,2800.00,2800.00,,-1.65,,253390.00
2018-02-22,2785.00,2850.00,2781.00,2850.00,,1.79,,782920.00
2018-02-25,2810.00,2810.00,2784.00,2786.00,,-2.25,,644450.00
2018-02-26,2740.00,2740.00,2731.00,2737.00,,-1.72,,738940.00
2018-02-27,2730.00,2770.00,2730.00,2770.00,,1.21,,441200.00
2018-02-28,2716.00,2716.00,2683.00,2700.00,,-2.35,,350510.00
2018-03-04,2652.00,2653.00,2499.00,2510.00,,-7.21,,1222131.00
2018-03-05,2500.00,2500.00,2385.00,2387.00,,-4.9,,1560450.00
2018-03-06,2350.00,2485.00,2350.00,2485.00,,4.11,,381080.00
2018-03-07,2436.00,2524.00,2436.00,2500.00,,0.6,,670060.00
2018-03-11,2500.00,2480.00,2431.00,2431.00,,-2.76,,122910.00
2018-03-14,2399.00,2408.00,2361.00,2408.00,,2.38,,119660.00
2018-03-15,2400.00,2455.00,2400.00,2449.00,,1.7,,630260.00
2018-03-18,2440.00,2440.00,2401.00,2405.00,,-1.8,,192970.00
2018-03-19,2370.00,2400.00,2370.00,2400.00,,-0.21,,454900.00
2018-03-20,2355.00,2361.00,2355.00,2361.00,,-1.62,,165080.00
2018-03-21,2325.00,2364.00,2271.00,2300.00,,-2.58,,485500.00
2018-03-22,2346.00,2346.00,2209.00,2209.00,,-3.96,,1029569.00
2018-03-26,2165.00,2165.00,1989.00,1989.00,,-9.96,,457200.00
2018-03-27,1989.00,1989.00,1873.00,1965.00,,-1.21,,423310.00
2018-03-28,2004.00,2044.00,1981.00,2000.00,,1.78,,381570.00
2018-03-29,2040.00,2091.00,2009.00,2091.00,,4.55,,358986.00
2018-04-01,2132.00,2132.00,2047.00,2047.00,,-2.1,,105280.00
2018-04-02,2008.00,2025.00,2007.00,2025.00,,-1.07,,100650.00
2018-04-03,2025.00,2045.00,2005.00,2005.00,,-0.99,,120900.00
2018-04-05,2086.00,2120.00,2085.00,2120.00,,1.68,,1320780.00
2018-04-08,2125.00,2332.00,2125.00,2332.00,,10,,1994070.00
2018-04-09,2375.00,2420.00,2350.00,2389.00,,2.44,,710860.00
2018-04-10,2342.00,2342.00,2291.00,2300.00,,-3.73,,691850.00
2018-04-11,2346.00,2346.00,2340.00,2340.00,,2,,351750.00
2018-04-12,2300.00,2432.00,2300.00,2401.00,,2.34,,841550.00
2018-04-15,2401.00,2385.00,2354.00,2385.00,,-0.67,,94780.00
2018-04-16,2418.00,2517.00,2418.00,2500.00,,4.82,,2507220.00
2018-04-17,2500.00,2650.00,2550.00,2650.00,,6,,1070660.00
2018-04-18,2703.00,2703.00,2576.00,2576.00,,-2.79,,1556700.00
2018-04-19,2627.00,2700.00,2620.00,2700.00,,4.81,,1363190.00
2018-04-22,2700.00,2840.00,2720.00,2840.00,,5.19,,2208145.00
2018-04-23,2896.00,2896.00,2839.00,2890.00,,1.76,,512610.00
2018-04-24,2850.00,2850.00,2668.00,2840.00,,-1.73,,2846150.00
2018-04-25,2784.00,2784.00,2690.00,2700.00,,-4.93,,1689600.00
2018-04-26,2700.00,2754.00,2609.00,2609.00,,-3.37,,2082640.00
2018-04-29,2600.00,2700.00,2598.00,2684.00,,2.87,,1293310.00
2018-05-02,2684.00,2735.00,2632.00,2735.00,,1.9,,1275310.00
2018-05-03,2735.00,2749.00,2700.00,2745.00,,0.37,,860630.00
2018-05-06,2691.00,2850.00,2691.00,2850.00,,3.83,,614710.00
2018-05-07,2899.00,2899.00,2681.00,2764.00,,-3.02,,6350781.00
2018-05-08,2760.00,2792.00,2660.00,2700.00,,0.94,,6161400.00
2018-05-09,2790.00,2820.00,2681.00,2749.00,,-1.47,,3045725.00
2018-05-10,2749.00,2760.00,2700.00,2730.00,,-0.69,,4362285.00
2018-05-14,2710.00,2729.00,2679.00,2705.00,,-0.92,,6195595.00
