Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2020-12-03,295.00,295.00,295.00,295.00,,1.72,,2950.00
2020-12-06,300.00,300.00,300.00,300.00,,1.69,,2517000.00
2020-12-07,306.00,330.00,306.00,330.00,,10,,15900.00
2020-12-08,336.00,363.00,336.00,363.00,,10,,57340.00
2020-12-09,370.00,399.00,370.00,399.00,,9.92,,23190.00
2020-12-10,400.00,438.00,400.00,438.00,,9.77,,101560.00
2020-12-13,446.00,481.00,446.00,481.00,,9.82,,2604600.00
2020-12-14,490.00,529.00,490.00,529.00,,9.98,,353360.00
2020-12-15,539.00,581.00,539.00,581.00,,9.83,,1997570.00
2020-12-16,592.00,639.00,592.00,639.00,,9.98,,4774521.00
2020-12-17,670.00,686.00,580.00,591.00,,-7.51,,2893370.00
2020-12-20,580.00,580.00,537.00,537.00,,-9.14,,190810.00
2020-12-21,527.00,527.00,484.00,484.00,,-9.87,,2504740.00
2020-12-22,475.00,475.00,436.00,436.00,,-9.92,,269960.00
2020-12-23,428.00,428.00,393.00,393.00,,-9.86,,1404309.00
2020-12-24,386.00,386.00,354.00,377.00,,-4.07,,8539100.00
2020-12-27,384.00,414.00,384.00,414.00,,9.81,,125010.00
2020-12-28,422.00,455.00,422.00,455.00,,9.9,,807660.00
2020-12-29,464.00,500.00,464.00,500.00,,9.89,,4802135.00
2020-12-30,510.00,520.00,450.00,450.00,,-10,,2826403.00
2020-12-31,442.00,450.00,433.00,433.00,,-3.78,,787035.00
2021-01-03,433.00,450.00,390.00,441.00,,1.85,,8063524.00
2021-01-04,449.00,485.00,435.00,476.00,,7.94,,1404925.00
2021-01-05,485.00,523.00,485.00,523.00,,9.87,,3479195.00
2021-01-06,533.00,575.00,533.00,575.00,,9.94,,151305.00
2021-01-07,603.00,632.00,603.00,632.00,,9.91,,16549116.00
2021-01-10,644.00,695.00,644.00,695.00,,9.97,,10957256.00
2021-01-11,708.00,764.00,708.00,764.00,,9.93,,8227794.00
2021-01-12,802.00,840.00,720.00,829.00,,8.51,,22794925.00
