Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,2583.00,2560.00,2470.00,2480.00,,-3.99,,4782158.00
2014-08-04,2580.00,2612.00,2565.00,2571.00,,-0.35,,4782158.00
2014-08-04,2571.00,2600.00,2575.00,2583.00,,0.47,,4782158.00
2014-08-04,2652.00,2620.00,2600.00,2600.00,,-1.96,,4782158.00
2014-08-04,2600.00,2610.00,2560.00,2610.00,,0.38,,4782158.00
2014-08-04,2610.00,2610.00,2576.00,2580.00,,-1.15,,4782158.00
2014-08-05,2480.00,2550.00,2500.00,2500.00,,0.81,,12549031.00
2014-08-06,2500.00,2505.00,2480.00,2489.00,,-0.44,,8994091.00
2014-08-07,2489.00,2500.00,2470.00,2472.00,,-0.68,,4688282.00
2014-08-12,2472.00,2470.00,2415.00,2415.00,,-2.31,,2875420.00
2014-08-13,2415.00,2505.00,2385.00,2450.00,,1.45,,8930388.00
2014-08-14,2450.00,2550.00,2425.00,2513.00,,2.57,,9184184.00
2014-08-18,2513.00,2555.00,2490.00,2505.00,,-0.32,,19059589.00
2014-08-19,2505.00,2511.00,2475.00,2475.00,,-1.2,,7439196.00
2014-08-20,2475.00,2480.00,2400.00,2418.00,,-2.3,,14045639.00
2014-08-21,2418.00,2502.00,2270.00,2441.00,,0.95,,11237667.00
2014-08-24,2441.00,2520.00,2439.00,2470.00,,1.19,,5371841.00
2014-08-25,2470.00,2519.00,2280.00,2360.00,,-4.45,,11464845.00
2014-08-26,2360.00,2407.00,2223.00,2223.00,,-5.81,,16174427.00
2014-08-27,2223.00,2400.00,2267.00,2365.00,,6.39,,17777308.00
2014-08-28,2365.00,2530.00,2410.00,2412.00,,1.99,,18934046.00
2014-08-31,2412.00,2578.00,2460.00,2462.00,,2.07,,70084807.00
2014-09-01,2462.00,2460.00,2380.00,2402.00,,-2.44,,21584807.00
2014-09-03,2402.00,2488.00,2400.00,2424.00,,0.92,,14830111.00
2014-09-04,2424.00,2410.00,2377.00,2397.00,,-1.11,,9687240.00
2014-09-07,2397.00,2375.00,2230.00,2230.00,,-6.97,,9093101.00
2014-09-09,2230.00,2387.00,2250.00,2365.00,,6.05,,5494887.00
2014-09-10,2365.00,2425.00,2320.00,2320.00,,-1.9,,10166487.00
2014-09-11,2320.00,2320.00,2250.00,2260.00,,-2.59,,7781442.00
2014-09-14,2260.00,2285.00,2220.00,2276.00,,0.71,,7679239.00
2014-09-15,2276.00,2346.00,2260.00,2300.00,,1.05,,6688899.00
2014-09-16,2300.00,2346.00,2285.00,2325.00,,1.09,,8006019.00
2014-09-17,2325.00,2350.00,2300.00,2300.00,,-1.08,,7802788.00
2014-09-21,2247.00,2215.00,2165.00,2190.00,,-2.54,,4623560.00
2014-09-22,2190.00,2175.00,2140.00,2174.00,,-0.73,,6105474.00
2014-09-23,2174.00,2270.00,2195.00,2213.00,,1.79,,5360312.00
2014-09-24,2213.00,2346.00,2250.00,2344.00,,5.92,,5584030.00
2014-09-28,2344.00,2375.00,2330.00,2345.00,,0.04,,6123994.00
2014-09-29,2345.00,2427.00,2360.00,2399.00,,2.3,,10070260.00
2014-09-30,2399.00,2407.00,2357.00,2395.00,,-0.17,,6155551.00
2014-10-08,2395.00,2394.00,2370.00,2370.00,,-1.04,,1027998.00
2014-10-09,2370.00,2380.00,2340.00,2380.00,,0.42,,1661270.00
2014-10-12,2380.00,2360.00,2320.00,2360.00,,-0.84,,2704477.00
2014-10-13,2360.00,2315.00,2250.00,2272.00,,-3.73,,5646038.00
2014-10-14,2272.00,2310.00,2280.00,2290.00,,0.79,,2826560.00
2014-10-15,2290.00,2340.00,2298.00,2340.00,,2.18,,1946550.00
2014-10-16,2340.00,2375.00,2328.00,2340.00,,0,,3237882.00
2014-10-19,2340.00,2324.00,2295.00,2315.00,,-1.07,,5337870.00
2014-10-20,2315.00,2320.00,2300.00,2320.00,,0.22,,3683080.00
2014-10-21,2320.00,2361.00,2310.00,2324.00,,0.17,,4486667.00
2014-10-22,2324.00,2366.00,2314.00,2350.00,,1.12,,3500019.00
2014-10-26,2350.00,2359.00,2350.00,2350.00,,0,,1006974.00
2014-10-27,2350.00,2375.00,2349.00,2364.00,,0.6,,436819.00
2014-10-28,2364.00,2364.00,2340.00,2350.00,,-0.59,,3262888.00
2014-10-30,2350.00,2376.00,2306.00,2325.00,,-1.06,,5856918.00
2014-11-02,2325.00,2325.00,2280.00,2290.00,,-1.51,,2464748.00
2014-11-03,2290.00,2255.00,2200.00,2200.00,,-3.93,,7981460.00
2014-11-04,2200.00,2210.00,2160.00,2210.00,,0.45,,5864414.00
2014-11-05,2210.00,2218.00,2170.00,2206.00,,-0.18,,15339287.00
2014-11-06,2206.00,2235.00,2191.00,2220.00,,0.63,,17081571.00
2014-11-09,2220.00,2252.00,2200.00,2217.00,,-0.14,,25119211.00
2014-11-10,2217.00,2249.00,2180.00,2200.00,,-0.77,,13903902.00
2014-11-11,2200.00,2200.00,2175.00,2200.00,,0,,14109798.00
