Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2018-08-23,597.00,597.00,597.00,597.00,,0,,5970.00
2018-08-30,626.00,650.00,626.00,650.00,,8.88,,19140.00
2018-09-03,663.00,663.00,663.00,663.00,,2,,6630.00
2018-09-04,676.00,689.00,676.00,689.00,,3.92,,13650.00
2018-09-09,702.00,702.00,702.00,702.00,,1.89,,7020.00
2018-09-13,716.00,716.00,716.00,716.00,,1.99,,7160.00
2018-09-16,730.00,730.00,730.00,730.00,,1.96,,7300.00
2018-09-18,766.00,766.00,766.00,766.00,,4.93,,7660.00
2018-09-25,781.00,796.00,781.00,796.00,,3.92,,15770.00
2018-09-27,811.00,827.00,811.00,827.00,,3.89,,16380.00
2018-09-30,843.00,843.00,843.00,843.00,,1.93,,8430.00
2018-10-01,859.00,927.00,859.00,927.00,,9.96,,53920.00
2018-10-02,945.00,1019.00,945.00,1019.00,,9.92,,108760.00
2018-10-03,1039.00,1120.00,1039.00,1120.00,,9.91,,300390.00
2018-10-04,1142.00,1232.00,1142.00,1232.00,,10,,145140.00
2018-10-07,1256.00,1355.00,1256.00,1355.00,,9.98,,512450.00
2018-10-08,1382.00,1490.00,1382.00,1490.00,,9.96,,3928680.00
2018-10-09,1519.00,1639.00,1519.00,1542.00,,3.49,,38530960.00
2018-10-10,1540.00,1540.00,1490.00,1493.00,,-3.18,,7861440.00
2018-10-11,1464.00,1486.00,1440.00,1483.00,,-0.67,,4489530.00
2018-10-14,1490.00,1550.00,1490.00,1550.00,,4.52,,4569170.00
2018-10-15,1552.00,1590.00,1520.00,1555.00,,0.32,,5691200.00
2018-10-21,1525.00,1540.00,1525.00,1532.00,,-1.48,,1779280.00
2018-10-22,1530.00,1550.00,1529.00,1533.00,,0.2,,2271480.00
2018-10-23,1530.00,1533.00,1491.00,1496.00,,-2.54,,5852176.00
2018-10-24,1496.00,1510.00,1480.00,1487.00,,-0.6,,3923080.00
2018-10-25,1468.00,1510.00,1468.00,1485.00,,-0.13,,2783300.00
2018-10-28,1490.00,1500.00,1460.00,1460.00,,-1.68,,3974170.00
2018-10-29,1431.00,1460.00,1423.00,1450.00,,-0.68,,1865240.00
2018-10-30,1450.00,1465.00,1426.00,1445.00,,-0.34,,2314920.00
2018-10-31,1427.00,1445.00,1427.00,1436.00,,-0.62,,1106550.00
2018-11-01,1408.00,1448.00,1390.00,1420.00,,-1.11,,1574830.00
2018-11-04,1392.00,1430.00,1392.00,1409.00,,-0.77,,2117420.00
2018-11-05,1401.00,1509.00,1400.00,1480.00,,5.04,,1605430.00
2018-11-15,1407.00,1415.00,1381.00,1405.00,,-0.14,,1944120.00
2018-11-18,1405.00,1433.00,1390.00,1392.00,,-0.93,,2019980.00
2018-11-19,1392.00,1395.00,1365.00,1370.00,,-1.58,,1462245.00
2018-11-20,1373.00,1380.00,1350.00,1352.00,,-1.53,,4682950.00
2018-11-21,1355.00,1360.00,1330.00,1352.00,,-0.22,,4783990.00
2018-11-22,1352.00,1370.00,1350.00,1355.00,,0.22,,8331565.00
2018-11-25,1352.38,1352.38,716.00,730.00,,-46.02,,803280.00
2018-11-26,730.00,765.00,730.00,758.00,,3.84,,1216730.00
2018-11-27,758.00,765.00,744.00,755.00,,-0.4,,1850550.00
2018-11-28,755.00,760.00,721.00,727.00,,-3.71,,407990.00
2018-11-29,727.00,727.00,715.00,716.00,,-1.51,,632150.00
2018-12-02,716.00,749.00,711.00,715.00,,-0.14,,3702485.00
2018-12-04,715.00,729.00,685.00,685.00,,-4.2,,2259140.00
2018-12-06,665.00,685.00,665.00,685.00,,3.01,,876750.00
2018-12-09,685.00,703.00,685.00,700.00,,2.19,,632070.00
2018-12-10,700.00,740.00,700.00,726.00,,3.71,,1192910.00
2018-12-11,726.00,730.00,716.00,718.00,,-1.1,,737110.00
2018-12-12,718.00,720.00,705.00,720.00,,0.28,,134680.00
2018-12-13,720.00,734.00,720.00,726.00,,0.83,,834570.00
2018-12-16,726.00,755.00,726.00,749.00,,3.17,,1162060.00
2018-12-17,749.00,775.00,742.00,774.00,,3.34,,1358190.00
2018-12-18,774.00,781.00,755.00,770.00,,-0.52,,1301570.00
2018-12-19,770.00,770.00,749.00,755.00,,-1.95,,349150.00
2018-12-20,755.00,778.00,742.00,752.00,,-0.4,,750530.00
2018-12-23,752.00,797.00,752.00,775.00,,3.06,,1099390.00
2018-12-24,775.00,780.00,760.00,762.00,,-1.68,,490040.00
2018-12-25,762.00,765.00,755.00,760.00,,-0.26,,563270.00
2018-12-26,760.00,790.00,750.00,790.00,,3.95,,1709830.00
2018-12-30,772.00,810.00,772.00,792.00,,2.59,,1113709.00
2018-12-31,792.00,792.00,782.00,785.00,,-0.88,,1381820.00
2019-01-01,785.00,790.00,770.00,782.00,,-0.38,,391290.00
2019-01-02,782.00,798.00,770.00,786.00,,0.51,,1432019.00
2019-01-03,786.00,798.00,775.00,787.00,,0.13,,512740.00
2019-01-06,787.00,800.00,775.00,795.00,,1.02,,1081600.00
2019-01-07,795.00,795.00,781.00,795.00,,0,,244620.00
2019-01-08,795.00,795.00,780.00,795.00,,0,,415295.00
2019-01-09,795.00,801.00,795.00,798.00,,0.38,,850430.00
2019-01-10,798.00,805.00,787.00,796.00,,-0.25,,415200.00
2019-01-13,796.00,800.00,781.00,795.00,,-0.13,,373220.00
2019-01-15,800.00,816.00,800.00,810.00,,1.25,,355580.00
2019-01-16,810.00,815.00,801.00,801.00,,-1.11,,657270.00
2019-01-17,801.00,808.00,797.00,797.00,,-0.5,,617360.00
2019-01-20,797.00,800.00,771.00,791.00,,-0.75,,243030.00
2019-01-21,791.00,800.00,782.00,784.00,,-0.88,,585760.00
2019-01-23,795.00,795.00,781.00,788.00,,-0.88,,386540.00
2019-01-24,788.00,793.00,785.00,790.00,,0.25,,433830.00
2019-01-27,790.00,790.00,775.00,776.00,,-1.77,,1100280.00
2019-01-28,776.00,790.00,767.00,777.00,,0.13,,232760.00
2019-01-29,777.00,793.00,764.00,782.00,,0.64,,1139270.00
2019-01-30,782.00,788.00,780.00,783.00,,0.13,,297850.00
2019-01-31,783.00,793.00,782.00,790.00,,0.89,,397890.00
2019-02-03,783.00,790.00,777.00,786.00,,-0.51,,235510.00
2019-02-04,780.00,786.00,780.00,783.00,,-0.38,,281780.00
2019-02-05,783.00,798.00,780.00,782.00,,-0.13,,618525.00
2019-02-06,770.00,782.00,770.00,780.00,,-0.26,,553600.00
2019-02-07,780.00,780.00,771.00,780.00,,0,,210140.00
2019-02-10,795.00,795.00,765.00,765.00,,-1.92,,420815.00
2019-02-11,770.00,775.00,759.00,774.00,,1.18,,153090.00
2019-02-12,789.00,789.00,765.00,768.00,,-0.78,,416250.00
2019-02-13,769.00,769.00,754.00,763.00,,-0.65,,714555.00
2019-02-14,762.00,763.00,742.00,748.00,,-1.97,,633845.00
