Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,513.00,519.00,497.00,500.00,,-2.53,,27285072.00
2014-08-04,538.00,545.00,520.00,525.00,,-2.42,,27285072.00
2014-08-04,525.00,535.00,510.00,513.00,,-2.29,,27285072.00
2014-08-04,525.00,566.00,515.00,549.00,,4.57,,27285072.00
2014-08-04,549.00,558.00,536.00,551.00,,0.36,,27285072.00
2014-08-04,551.00,553.00,527.00,538.00,,-2.36,,27285072.00
2014-08-05,500.00,529.00,500.00,512.00,,2.4,,29292974.00
2014-08-06,512.00,515.00,498.00,499.00,,-2.54,,19167875.00
2014-08-07,499.00,508.00,476.00,503.00,,0.8,,27146379.00
2014-08-12,503.00,506.00,493.00,494.00,,-1.79,,16633501.00
2014-08-13,494.00,504.00,480.00,496.00,,0.4,,19549856.00
2014-08-14,496.00,496.00,481.00,488.00,,-1.61,,9926422.00
2014-08-18,488.00,493.00,470.00,472.00,,-3.28,,13093853.00
2014-08-19,472.00,491.00,455.00,472.00,,0,,11606004.00
2014-08-20,472.00,480.00,450.00,450.00,,-4.66,,14055818.00
2014-08-21,450.00,471.00,426.00,465.00,,3.33,,29165877.00
2014-08-24,465.00,470.00,456.00,465.00,,0,,5862195.00
2014-08-25,465.00,474.00,439.00,447.00,,-3.87,,714869.00
2014-08-26,447.00,474.00,410.00,423.00,,-5.37,,7441164.00
2014-08-27,423.00,464.00,431.00,440.00,,4.02,,34560150.00
2014-08-28,440.00,464.00,445.00,452.00,,2.73,,19603777.00
2014-08-31,452.00,454.00,425.00,425.00,,-5.97,,3339019.00
2014-09-01,425.00,434.00,410.00,432.00,,1.65,,14879317.00
2014-09-03,432.00,440.00,400.00,415.00,,-3.94,,46971168.00
2014-09-04,415.00,410.00,395.00,400.00,,-3.61,,23257202.00
2014-09-07,400.00,395.00,370.00,370.00,,-7.5,,11091869.00
2014-09-09,370.00,407.00,377.00,407.00,,10,,21432176.00
2014-09-10,407.00,423.00,395.00,399.00,,-1.97,,29019669.00
2014-09-11,399.00,402.00,380.00,396.00,,-0.75,,12025127.00
2014-09-14,396.00,395.00,389.00,390.00,,-1.52,,5941239.00
2014-09-15,390.00,402.00,390.00,402.00,,3.08,,3478001.00
2014-09-16,402.00,400.00,386.00,390.00,,-2.99,,2582183.00
2014-09-17,390.00,395.00,382.00,384.00,,-1.54,,3189542.00
2014-09-18,384.00,380.00,377.00,380.00,,-1.04,,14295725.00
2014-09-21,386.00,386.00,360.00,361.00,,-6.48,,5485299.00
2014-09-22,361.00,370.00,360.00,369.00,,2.22,,3029139.00
2014-09-23,369.00,385.00,372.00,382.00,,3.52,,12137324.00
2014-09-24,382.00,393.00,373.00,390.00,,2.09,,10493862.00
2014-09-28,390.00,394.00,383.00,390.00,,0,,5257784.00
2014-09-29,390.00,397.00,388.00,390.00,,0,,3737624.00
2014-09-30,390.00,401.00,391.00,394.00,,1.03,,8634165.00
2014-10-08,394.00,387.00,380.00,385.00,,-2.28,,1653275.00
2014-10-09,385.00,382.00,378.00,382.00,,-0.78,,638700.00
2014-10-12,382.00,383.00,375.00,377.00,,-1.31,,2336939.00
2014-10-13,377.00,381.00,370.00,377.00,,0,,6465387.00
2014-10-14,377.00,382.00,370.00,377.00,,0,,11703742.00
2014-10-15,377.00,400.00,370.00,400.00,,6.1,,4992327.00
2014-10-16,400.00,400.00,390.00,390.00,,-2.5,,4453209.00
2014-10-19,390.00,390.00,380.00,390.00,,0,,8787151.00
2014-10-20,390.00,390.00,385.00,389.00,,-0.26,,4631410.00
2014-10-21,389.00,391.00,389.00,389.00,,0,,2941090.00
2014-10-22,389.00,394.00,383.00,386.00,,-0.77,,7338824.00
2014-10-26,386.00,389.00,380.00,389.00,,0.78,,3107533.00
2014-10-27,389.00,394.00,385.00,387.00,,-0.51,,4411394.00
2014-10-28,387.00,390.00,385.00,385.00,,-0.52,,3493630.00
2014-10-30,385.00,385.00,373.00,373.00,,-3.12,,3093210.00
2014-11-02,373.00,380.00,370.00,380.00,,1.88,,7422727.00
2014-11-03,380.00,386.00,369.00,369.00,,-2.89,,2739411.00
2014-11-04,369.00,376.00,357.00,376.00,,1.9,,7321037.00
2014-11-05,376.00,383.00,372.00,373.00,,-0.8,,1587592.00
2014-11-06,373.00,383.00,366.00,383.00,,2.68,,3015567.00
2014-11-09,383.00,379.00,365.00,371.00,,-3.13,,3221799.00
2014-11-10,371.00,369.00,362.00,364.00,,-1.89,,1850186.00
2014-11-11,364.00,382.00,357.00,372.00,,2.2,,7995541.00
2014-11-12,372.00,372.00,360.00,366.00,,-1.61,,7755965.00
2014-11-13,366.00,370.00,365.00,369.00,,0.82,,8297638.00
2014-11-16,369.00,380.00,360.00,360.00,,-2.44,,9250598.00
2014-11-17,360.00,367.00,347.00,352.00,,-2.22,,7706402.00
2014-11-18,352.00,362.00,333.00,350.00,,-0.57,,7310111.00
2014-11-19,350.00,357.00,350.00,355.00,,1.43,,2214075.00
2014-11-20,355.00,367.00,350.00,356.00,,0.28,,9795294.00
2014-11-24,350.00,355.00,350.00,353.00,,0.86,,2565561.00
2014-11-24,356.00,370.00,350.00,350.00,,-1.69,,2565561.00
2014-11-25,353.00,355.00,349.00,353.00,,0,,2051473.00
2014-11-30,353.00,348.00,343.00,344.00,,-2.55,,1530197.00
2014-12-01,344.00,350.00,340.00,340.00,,-1.16,,1473750.00
2014-12-02,340.00,340.00,326.00,329.00,,-3.24,,4599875.00
2014-12-03,329.00,346.00,328.00,334.00,,1.52,,6937753.00
2014-12-04,334.00,340.00,329.00,334.00,,0,,12015082.00
2014-12-07,334.00,340.00,325.00,326.00,,-2.4,,9838000.00
2014-12-08,326.00,332.00,330.00,330.00,,1.23,,2611856.00
2014-12-09,330.00,335.00,330.00,332.00,,0.61,,3286056.00
2014-12-10,332.00,342.00,336.00,342.00,,3.01,,2654282.00
2014-12-11,342.00,353.00,340.00,353.00,,3.22,,2108407.00
2014-12-14,353.00,368.00,353.00,368.00,,4.25,,11429076.00
2014-12-15,368.00,371.00,350.00,367.00,,-0.27,,73130153.00
2014-12-16,367.00,366.00,359.00,361.00,,-1.63,,12216227.00
2014-12-17,361.00,362.00,354.00,359.00,,-0.55,,7030580.00
2014-12-18,359.00,362.00,350.00,360.00,,0.28,,996313.00
2014-12-21,360.00,360.00,344.00,350.00,,-2.78,,3884532.00
2014-12-22,350.00,355.00,340.00,341.00,,-2.57,,3937179.00
2014-12-23,341.00,346.00,338.00,341.00,,0,,1882750.00
2014-12-24,341.00,356.00,337.00,356.00,,4.4,,4658070.00
2014-12-28,356.00,360.00,350.00,355.00,,-0.28,,18805003.00
2014-12-29,355.00,355.00,348.00,350.00,,-1.41,,3708460.00
2014-12-31,350.00,349.00,335.00,345.00,,-1.43,,192201281.00
2015-01-01,345.00,355.00,340.00,340.00,,-1.45,,15653130.00
2015-01-04,340.00,350.00,343.00,345.00,,1.47,,17760970.00
2015-01-05,345.00,357.00,343.00,350.00,,1.45,,12326855.00
2015-01-06,350.00,346.00,341.00,342.00,,-2.29,,5054512.00
2015-01-07,342.00,348.00,336.00,342.00,,0,,4844129.00
2015-01-08,342.00,348.00,341.00,344.00,,0.58,,5924286.00
2015-01-11,344.00,344.00,340.00,343.00,,-0.29,,5526179.00
2015-01-12,343.00,344.00,338.00,340.00,,-0.87,,5143767.00
2015-01-13,340.00,341.00,335.00,340.00,,0,,3063873.00
2015-01-14,340.00,343.00,335.00,335.00,,-1.47,,3101228.00
2015-01-18,335.00,352.00,334.00,338.00,,0.9,,6331877.00
2015-01-19,338.00,362.00,344.00,344.00,,1.78,,14777588.00
2015-01-20,344.00,348.00,332.00,342.00,,-0.58,,5994668.00
2015-01-22,342.00,343.00,334.00,340.00,,-0.58,,7877399.00
2015-01-25,340.00,341.00,335.00,340.00,,0,,1589840.00
2015-01-26,340.00,349.00,336.00,336.00,,-1.18,,2981234.00
2015-01-27,336.00,346.00,335.00,337.00,,0.3,,3756514.00
2015-01-28,337.00,355.00,337.00,349.00,,3.56,,14338088.00
2015-01-29,349.00,355.00,343.00,349.00,,0,,13879330.00
2015-02-01,349.00,349.00,345.00,348.00,,-0.29,,12918278.00
2015-02-02,348.00,350.00,344.00,345.00,,-0.86,,6333564.00
2015-02-03,345.00,352.00,346.00,350.00,,1.45,,23300665.00
2015-02-04,350.00,352.00,346.00,347.00,,-0.86,,4286536.00
2015-02-05,347.00,346.00,342.00,345.00,,-0.58,,4460340.00
2015-02-08,345.00,348.00,345.00,346.00,,0.29,,1400100.00
2015-02-09,346.00,346.00,338.00,340.00,,-1.73,,7270930.00
2015-02-10,340.00,349.00,339.00,349.00,,2.65,,5011055.00
2015-02-11,349.00,354.00,337.00,340.00,,-2.58,,1668991.00
2015-02-12,340.00,349.00,339.00,349.00,,2.65,,2908357.00
2015-02-15,349.00,353.00,339.00,348.00,,-0.29,,1863782.00
2015-02-16,348.00,345.00,329.00,336.00,,-3.45,,7856168.00
2015-02-18,336.00,345.00,330.00,335.00,,-0.3,,2551113.00
2015-02-22,335.00,330.00,324.00,325.00,,-2.99,,8173523.00
2015-02-23,325.00,328.00,314.00,322.00,,-0.92,,8881723.00
2015-02-24,322.00,325.00,320.00,325.00,,0.93,,4365548.00
2015-02-25,325.00,334.00,321.00,324.00,,-0.31,,3860116.00
2015-03-01,344.00,338.00,320.00,324.00,,-5.81,,5375554.00
2015-03-02,324.00,329.00,320.00,327.00,,0.93,,2553824.00
2015-03-03,327.00,337.00,321.00,337.00,,3.06,,2406741.00
2015-03-04,337.00,339.00,324.00,334.00,,-0.89,,4689877.00
2015-03-09,334.00,339.00,329.00,329.00,,-1.5,,2149038.00
2015-03-10,329.00,330.00,323.00,325.00,,-1.22,,2553795.00
2015-03-11,325.00,331.00,321.00,323.00,,-0.62,,876253.00
2015-03-12,323.00,326.00,320.00,323.00,,0,,3656675.00
2015-03-15,323.00,322.00,317.00,320.00,,-0.93,,2181729.00
2015-03-16,320.00,323.00,316.00,317.00,,-0.94,,1233021.00
2015-03-17,317.00,322.00,310.00,321.00,,1.26,,2288003.00
2015-03-18,321.00,321.00,315.00,320.00,,-0.31,,1680583.00
2015-03-19,320.00,330.00,319.00,319.00,,-0.31,,524450.00
2015-03-22,319.00,332.00,320.00,320.00,,0.31,,5899562.00
2015-03-23,320.00,322.00,318.00,320.00,,0,,385142.00
2015-03-24,320.00,318.00,308.00,318.00,,-0.62,,1199120.00
2015-03-25,318.00,313.00,309.00,311.00,,-2.2,,791033.00
2015-03-26,311.00,311.00,304.00,307.00,,-1.29,,2592753.00
2015-03-29,307.00,309.00,302.00,305.00,,-0.65,,3381305.00
2015-03-30,305.00,305.00,300.00,301.00,,-1.31,,3854543.00
2015-03-31,301.00,309.00,300.00,308.00,,2.33,,3106809.00
2015-04-01,308.00,310.00,301.00,301.00,,-2.27,,1157742.00
2015-04-02,301.00,310.00,301.00,310.00,,2.99,,1631325.00
2015-04-06,303.00,307.00,298.00,302.00,,-0.33,,4050222.00
2015-04-06,310.00,314.00,303.00,303.00,,-2.26,,4050222.00
2015-04-07,302.00,304.00,298.00,298.00,,-1.32,,2858490.00
2015-04-08,298.00,308.00,299.00,301.00,,1.01,,6670815.00
2015-04-09,301.00,322.00,301.00,311.00,,3.32,,1792190.00
2015-04-12,311.00,317.00,302.00,302.00,,-2.89,,4569693.00
2015-04-13,302.00,305.00,300.00,302.00,,0,,15003535.00
2015-04-15,302.00,305.00,294.00,300.00,,-0.66,,4428952.00
