Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2022-03-28,747.70,793.30,747.70,793.30,,0,,83963.00
2022-03-29,793.30,872.60,793.30,872.60,,10,,86540.10
2022-03-30,872.60,959.80,872.60,959.80,,9.99,,103808.90
2022-03-31,959.80,1055.70,959.80,1055.70,,9.99,,97194.70
2022-04-03,1047.70,1161.20,1047.70,1161.20,,9.99,,164928.90
2022-04-04,1160.70,1277.30,1160.70,1277.30,,10,,180802.50
2022-04-05,1277.30,1405.00,1277.30,1405.00,,10,,195958.50
2022-04-06,1400.70,1545.50,1400.70,1545.50,,10,,309356.40
2022-04-07,1545.50,1700.00,1545.50,1700.00,,10,,590484.50
2022-04-11,1734.00,1870.00,1734.00,1870.00,,10,,876070.10
2022-04-12,1849.70,2057.00,1849.70,2057.00,,10,,1478069.10
2022-04-13,2023.70,2262.70,2023.70,2262.70,,10,,1722443.80
2022-04-17,2307.90,2488.90,2307.90,2488.90,,10,,3230351.10
2022-04-18,2538.60,2737.70,2538.60,2737.70,,10,,3902563.60
2022-04-19,2792.40,3011.40,2792.40,3011.40,,10,,11651762.40
2022-04-20,3071.60,3312.50,2710.30,2710.30,,-10,,141900479.30
2022-04-21,2656.10,2850.00,2452.00,2800.00,,3.31,,103627029.80
2022-04-24,2800.00,2814.00,2695.00,2720.10,,-2.85,,50519167.60
2022-04-25,2700.00,2740.00,2642.00,2651.00,,-2.54,,48678442.60
2022-04-26,2620.00,2719.00,2610.10,2670.10,,0.72,,30555609.50
2022-04-27,2648.00,2700.00,2648.00,2667.10,,-0.11,,15105065.60
2022-04-28,2665.00,2710.00,2650.00,2655.00,,-0.45,,27238320.30
2022-05-02,2630.00,2650.00,2550.00,2561.10,,-3.54,,22949472.60
2022-05-04,2522.00,2572.60,2512.00,2517.00,,-1.72,,17832565.80
2022-05-05,2500.00,2516.00,2480.00,2482.10,,-1.39,,21236983.40
2022-05-08,2450.00,2528.00,2450.00,2528.00,,1.85,,17944876.00
2022-05-09,2528.00,2600.00,2525.00,2530.00,,0.08,,18303239.50
2022-05-10,2538.00,2649.00,2530.10,2638.00,,4.27,,18052409.00
2022-05-11,2650.00,2689.90,2587.00,2611.00,,-1.02,,15213855.00
2022-05-12,2611.00,2611.00,2560.00,2575.00,,-1.38,,21649428.40
2022-05-17,2599.00,2599.00,2499.00,2500.00,,-2.91,,13412265.00
2022-05-18,2550.00,2601.00,2431.00,2456.00,,-1.76,,18709561.00
2022-05-19,2450.00,2498.00,2425.00,2425.00,,-1.26,,9763185.20
2022-05-20,2400.10,2448.00,2400.00,2406.00,,-0.78,,7833879.00
2022-05-23,2383.00,2383.00,2325.00,2335.00,,-2.95,,20120895.00
2022-05-24,2302.00,2370.00,2301.00,2305.00,,-1.28,,9353545.00
2022-05-25,2305.00,2367.00,2305.00,2333.00,,1.21,,7361920.00
2022-05-26,2301.20,2379.00,2301.20,2360.00,,1.16,,6059533.00
2022-05-27,2360.00,2370.00,2327.00,2340.00,,-0.85,,5404324.50
2022-05-30,2330.00,2345.00,2290.00,2295.00,,-1.92,,7072467.00
2022-05-31,2255.00,2341.00,2230.00,2262.00,,-1.44,,9964486.00
2022-06-01,2251.10,2290.00,2251.10,2260.00,,-0.09,,6431894.00
2022-06-02,2280.00,2310.00,2205.00,2215.00,,-1.99,,10121757.00
2022-06-03,2201.00,2209.00,2186.00,2195.00,,-0.9,,6697550.50
2022-06-06,2220.00,2240.00,2196.00,2212.10,,0.78,,7025134.00
2022-06-07,2192.00,2220.00,2160.00,2171.60,,-1.83,,8482963.50
2022-06-08,2180.00,2284.00,2160.00,2250.00,,3.61,,15155667.60
2022-06-09,2250.00,2294.00,2210.00,2210.00,,-1.78,,9000515.50
2022-06-10,2210.00,2243.90,2190.00,2206.00,,-0.18,,6016097.00
2022-06-13,2191.00,2230.00,2190.00,2210.00,,0.18,,3668006.00
2022-06-14,2180.00,2249.00,2172.00,2173.00,,-1.67,,10878494.50
2022-06-15,2151.00,2173.00,2106.00,2121.00,,-2.39,,8162414.00
2022-06-16,2120.00,2180.00,2110.00,2130.00,,0.42,,5647513.00
2022-06-17,2172.00,2172.00,2116.00,2120.00,,-0.47,,1991129.00
2022-06-19,2105.00,2130.00,2081.00,2090.00,,-1.42,,6664036.00
