Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-05,169.00,166.00,163.00,163.00,,-3.55,,42855.00
2014-08-13,163.00,160.00,157.00,157.00,,-3.68,,108888.00
2014-08-18,157.00,154.00,151.00,154.00,,-1.91,,93964.00
2014-08-19,154.00,151.00,148.00,148.00,,-3.9,,69676.00
2014-08-20,148.00,146.00,134.00,134.00,,-9.46,,119074.00
2014-08-21,134.00,132.00,130.00,130.00,,-2.99,,14280.00
2014-09-11,130.00,128.00,126.00,126.00,,-3.08,,124910.00
2014-09-24,126.00,124.00,124.00,124.00,,-1.59,,70308.00
2019-12-17,124.00,136.00,122.00,136.00,,9.68,,114460.00
2019-12-18,138.00,149.00,138.00,149.00,,9.56,,761565.00
2019-12-19,151.00,163.00,151.00,163.00,,9.4,,465500.00
2019-12-22,166.00,179.00,147.00,147.00,,-9.82,,2278367.00
2019-12-23,145.00,154.00,141.00,151.00,,2.72,,819331.00
2019-12-25,148.00,148.00,136.00,136.00,,-9.93,,165900.00
2019-12-26,135.00,135.00,123.00,132.00,,-2.94,,492254.00
2019-12-29,134.00,140.00,134.00,140.00,,6.06,,62110.00
2019-12-31,142.00,144.00,130.00,144.00,,2.86,,751964.00
2020-01-01,146.00,146.00,140.00,140.00,,-2.78,,150640.00
2020-01-02,142.00,144.00,142.00,142.00,,1.43,,214440.00
2020-01-05,140.00,140.00,130.00,134.00,,-5.63,,107250.00
2020-01-06,132.00,135.00,128.00,135.00,,0.75,,290480.00
2020-01-07,133.00,133.00,130.00,130.00,,-3.7,,131690.00
2020-01-08,129.00,129.00,128.00,128.00,,-1.54,,65580.00
2020-01-09,128.00,128.00,126.00,126.00,,-1.56,,119040.00
2020-01-12,125.00,130.00,124.00,128.00,,1.59,,175868.00
2020-01-13,128.00,128.00,124.00,124.00,,-3.12,,364680.00
2020-01-14,125.00,136.00,125.00,133.00,,7.26,,239952.00
2020-01-15,135.00,135.00,134.00,134.00,,0.75,,76090.00
2020-01-16,136.00,142.00,136.00,141.00,,5.22,,104010.00
2020-01-19,143.00,145.00,141.00,141.00,,0,,24410.00
2020-01-20,143.00,143.00,143.00,143.00,,1.42,,19305.00
2020-01-21,143.00,143.00,143.00,143.00,,0,,7150.00
2020-01-26,145.00,145.00,143.00,143.00,,0,,501950.00
2020-01-27,145.00,147.00,145.00,147.00,,2.8,,2920.00
2020-01-28,154.00,154.00,149.00,149.00,,1.36,,3030.00
2020-01-29,156.00,156.00,153.00,153.00,,2.68,,16860.00
2020-01-30,153.00,153.00,150.00,150.00,,-1.96,,228000.00
2020-02-04,157.00,157.00,157.00,157.00,,4.67,,1570.00
2020-02-06,154.00,154.00,142.00,142.00,,-9.55,,341260.00
2020-02-09,140.00,140.00,129.00,134.00,,-5.63,,404011.00
2020-02-10,134.00,135.00,134.00,135.00,,0.75,,133150.00
2020-02-11,133.00,135.00,129.00,135.00,,0,,209505.00
2020-02-12,133.00,134.00,131.00,131.00,,-2.96,,126860.00
2020-02-13,132.00,137.00,132.00,137.00,,4.58,,322647.00
2020-02-16,136.00,136.00,135.00,135.00,,-1.46,,44630.00
2020-02-17,137.00,139.00,137.00,137.00,,1.48,,30160.00
2020-02-18,135.00,135.00,132.00,132.00,,-3.65,,136772.00
2020-02-19,132.00,132.00,131.00,132.00,,0,,109380.00
2020-02-20,132.00,138.00,134.00,136.00,,3.03,,91026.00
2020-02-23,136.00,136.00,136.00,136.00,,0,,17680.00
2020-02-24,136.00,136.00,132.00,132.00,,-2.94,,161400.00
2020-02-25,132.00,141.00,133.00,138.00,,4.55,,1488674.00
2020-02-26,140.00,151.00,140.00,150.00,,8.7,,973913.00
2020-02-27,153.00,163.00,153.00,162.00,,8,,988416.00
2020-03-01,162.00,162.00,155.00,155.00,,-4.32,,93580.00
2020-03-02,158.00,158.00,149.00,149.00,,-3.87,,321792.00
2020-03-03,149.00,154.00,146.00,154.00,,3.36,,346767.00
2020-03-05,151.00,151.00,151.00,151.00,,-1.95,,75500.00
2020-03-11,148.00,148.00,140.00,140.00,,-7.28,,92440.00
2020-03-12,141.00,141.00,130.00,130.00,,-7.14,,147020.00
2020-03-15,128.00,128.00,124.00,126.00,,-3.08,,163900.00
2020-03-16,128.00,128.00,126.00,127.00,,0.79,,126784.00
2020-03-17,125.00,125.00,123.00,123.00,,-3.15,,15395.00
2020-03-18,121.00,121.00,119.00,121.00,,-1.63,,374740.00
2020-03-19,119.00,121.00,119.00,119.00,,-1.65,,50180.00
2020-07-06,121.00,127.00,121.00,127.00,,6.72,,32360.00
2020-07-07,129.00,135.00,129.00,135.00,,6.3,,254180.00
2020-07-08,135.00,139.00,135.00,139.00,,2.96,,16620.00
2020-07-09,141.00,141.00,141.00,141.00,,1.44,,1410.00
2020-07-12,139.00,139.00,137.00,137.00,,-2.84,,16660.00
2020-07-13,135.00,135.00,134.00,134.00,,-2.19,,93995.00
2020-07-14,136.00,136.00,130.00,130.00,,-2.99,,77920.00
2020-07-15,130.00,130.00,130.00,130.00,,0,,98800.00
2020-07-16,129.00,132.00,129.00,132.00,,1.54,,54310.00
2020-07-20,134.00,138.00,134.00,138.00,,4.55,,550960.00
2020-07-21,140.00,140.00,134.00,134.00,,-2.9,,231066.00
2020-07-22,132.00,132.00,130.00,132.00,,-1.49,,82708.00
2020-07-23,134.00,136.00,130.00,130.00,,-1.52,,166914.00
2020-07-27,132.00,134.00,132.00,132.00,,1.54,,74150.00
2020-07-28,131.00,133.00,130.00,133.00,,0.76,,198220.00
2020-07-29,133.00,133.00,133.00,133.00,,0,,26600.00
2020-07-30,135.00,135.00,135.00,135.00,,1.5,,2700.00
2020-08-02,137.00,148.00,137.00,148.00,,9.63,,991535.00
2020-08-03,150.00,162.00,150.00,162.00,,9.46,,339810.00
2020-08-05,170.00,178.00,170.00,178.00,,9.88,,4670194.00
2020-08-06,181.00,195.00,181.00,195.00,,9.55,,5220823.00
2020-08-09,204.00,214.00,195.00,196.00,,0.51,,3548770.00
2020-08-10,196.00,214.00,177.00,204.00,,4.08,,502080.00
2020-08-11,200.00,200.00,184.00,184.00,,-9.8,,104320.00
2020-08-12,175.00,184.00,166.00,176.00,,-4.35,,912759.00
2020-08-13,176.00,176.00,159.00,166.00,,-5.68,,2267396.00
2020-08-16,163.00,166.00,154.00,163.00,,-1.81,,483550.00
2020-08-17,166.00,169.00,157.00,160.00,,-1.84,,494155.00
2020-08-18,160.00,162.00,158.00,162.00,,1.25,,426210.00
2020-08-19,163.00,163.00,159.00,160.00,,-1.23,,122460.00
2020-08-20,163.00,163.00,159.00,162.00,,1.25,,262610.00
2020-08-23,164.00,166.00,163.00,166.00,,2.47,,611880.00
2020-08-24,168.00,174.00,168.00,174.00,,4.82,,1229410.00
2020-08-25,177.00,191.00,174.00,174.00,,0,,1641960.00
2020-08-27,190.00,192.00,182.00,182.00,,-2.67,,1254052.00
2020-08-31,182.00,188.00,178.00,183.00,,2.23,,454683.00
2020-09-02,186.00,186.00,171.00,177.00,,-3.28,,853901.00
2020-09-03,175.00,181.00,170.00,181.00,,2.26,,797609.00
2020-09-06,181.00,182.00,176.00,179.00,,-1.1,,950550.00
2020-09-07,177.00,177.00,170.00,173.00,,-3.35,,308028.00
2020-09-08,170.00,173.00,170.00,173.00,,0,,263495.00
2020-09-09,170.00,177.00,170.00,172.00,,-0.58,,566963.00
2020-09-10,175.00,186.00,175.00,185.00,,7.56,,1538620.00
2020-09-13,185.00,188.00,182.00,186.00,,0.54,,720418.00
2020-09-14,195.00,196.00,188.00,188.00,,1.08,,2047482.00
2020-09-15,191.00,206.00,190.00,195.00,,3.72,,2427624.00
2020-09-16,204.00,204.00,189.00,190.00,,-2.56,,594126.00
2020-09-17,192.00,201.00,192.00,200.00,,5.26,,1744653.00
2020-09-20,210.00,210.00,197.00,197.00,,-1.5,,1987255.00
2020-09-21,206.00,206.00,197.00,199.00,,1.02,,922052.00
2020-09-22,200.00,202.00,196.00,197.00,,-1.01,,1114350.00
2020-09-23,197.00,201.00,197.00,199.00,,1.02,,962477.00
2020-09-24,208.00,208.00,196.00,199.00,,0,,1341141.00
2020-09-27,208.00,218.00,208.00,218.00,,9.55,,1599626.00
2020-09-28,228.00,239.00,228.00,239.00,,9.63,,958810.00
2020-09-29,250.00,262.00,250.00,262.00,,9.62,,7077684.00
2020-09-30,275.00,288.00,236.00,244.00,,-6.87,,6072651.00
2020-10-01,240.00,251.00,240.00,240.00,,-1.64,,1760395.00
2020-10-04,236.00,248.00,221.00,238.00,,-0.83,,2530865.00
2020-10-05,240.00,261.00,238.00,260.00,,9.24,,6502186.00
