Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2017-11-14,267.00,293.00,267.00,293.00,,0,,286330.00
2017-11-15,298.00,322.00,298.00,322.00,,9.9,,798310.00
2017-11-16,328.00,328.00,290.00,306.00,,-4.97,,4830302.00
2017-11-19,306.00,300.00,276.00,278.00,,-9.15,,1468875.00
2017-11-20,275.00,275.00,251.00,253.00,,-8.99,,450940.00
2017-11-21,250.00,252.00,247.00,251.00,,-0.79,,421170.00
2017-11-22,256.00,264.00,254.00,254.00,,1.2,,149730.00
2017-11-23,254.00,259.00,251.00,252.00,,-0.79,,106030.00
2017-11-26,252.00,277.00,251.00,265.00,,5.16,,374900.00
2017-11-27,260.00,271.00,254.00,265.00,,0,,776420.00
2017-11-28,260.00,265.00,260.00,265.00,,0,,98410.00
2017-11-29,260.00,270.00,260.00,260.00,,-1.89,,486270.00
2017-11-30,260.00,264.00,259.00,261.00,,0.38,,763880.00
2017-12-04,261.00,261.00,252.00,255.00,,-2.3,,153420.00
2017-12-05,252.00,254.00,251.00,253.00,,-0.78,,106220.00
2017-12-06,250.00,255.00,249.00,255.00,,0.79,,108220.00
2017-12-10,251.00,251.00,250.00,250.00,,-1.96,,572130.00
2017-12-11,245.00,249.00,245.00,245.00,,-2,,58980.00
2017-12-12,245.00,253.00,241.00,253.00,,3.27,,38950.00
2017-12-13,255.00,255.00,242.00,246.00,,-2.77,,206545.00
2017-12-14,242.00,242.00,240.00,240.00,,-2.44,,16830.00
2017-12-17,239.00,242.00,236.00,240.00,,0,,52540.00
2017-12-18,241.00,241.00,235.00,235.00,,-2.08,,25980.00
2017-12-19,236.00,236.00,232.00,232.00,,-1.28,,49240.00
2017-12-20,230.00,232.00,228.00,229.00,,-1.29,,115660.00
2017-12-21,229.00,229.00,226.00,226.00,,-1.31,,54310.00
2017-12-24,222.00,227.00,218.00,221.00,,-2.21,,263165.00
2017-12-27,211.00,211.00,203.00,207.00,,-3.72,,20610.00
2017-12-27,221.00,217.00,213.00,215.00,,-2.71,,20610.00
2017-12-28,203.00,207.00,203.00,206.00,,-0.48,,57550.00
2017-12-31,206.00,215.00,200.00,211.00,,2.43,,198530.00
2018-01-01,211.00,217.00,211.00,217.00,,2.84,,17150.00
2018-01-02,213.00,221.00,213.00,218.00,,0.46,,28400.00
2018-01-03,214.00,216.00,214.00,216.00,,-0.92,,8610.00
2018-01-04,212.00,217.00,212.00,217.00,,0.46,,10670.00
2018-01-07,220.00,220.00,216.00,220.00,,1.38,,35160.00
2018-01-08,220.00,229.00,220.00,229.00,,4.09,,60960.00
2018-01-09,229.00,229.00,227.00,229.00,,0,,25080.00
2018-01-10,225.00,229.00,221.00,229.00,,0,,20220.00
2018-01-14,230.00,230.00,222.00,222.00,,-3.06,,20100.00
2018-01-16,218.00,218.00,215.00,215.00,,-3.15,,19420.00
2018-01-17,215.00,219.00,213.00,216.00,,0.47,,92247.00
2018-01-21,212.00,218.00,212.00,215.00,,-0.46,,47410.00
2018-01-22,211.00,218.00,211.00,216.00,,0.47,,25910.00
2018-01-23,212.00,214.00,212.00,213.00,,-1.39,,23410.00
2018-01-24,217.00,220.00,214.00,220.00,,3.29,,74270.00
2018-01-25,220.00,220.00,216.00,216.00,,-1.82,,19550.00
2018-01-29,213.00,218.00,213.00,215.00,,0,,53850.00
2018-01-31,213.00,213.00,208.00,210.00,,-2.33,,33860.00
2018-02-01,206.00,207.00,206.00,207.00,,-1.43,,14480.00
2018-02-04,207.00,209.00,207.00,207.00,,0,,62310.00
2018-02-05,206.00,206.00,204.00,204.00,,-1.45,,14300.00
2018-02-06,204.00,204.00,204.00,204.00,,0,,8160.00
2018-02-07,204.00,208.00,204.00,207.00,,1.47,,179800.00
2018-02-08,203.00,209.00,202.00,207.00,,0,,14350.00
2018-02-11,208.00,211.00,208.00,211.00,,1.93,,29400.00
2018-02-12,208.00,208.00,208.00,208.00,,-1.42,,6240.00
2018-02-14,208.00,215.00,200.00,215.00,,3.37,,69390.00
2018-02-15,216.00,222.00,216.00,218.00,,1.4,,41580.00
2018-02-18,218.00,222.00,211.00,211.00,,-3.21,,112990.00
2018-02-20,210.00,214.00,210.00,212.00,,0.47,,27570.00
2018-02-21,208.00,214.00,208.00,214.00,,0.94,,20950.00
2018-02-22,210.00,214.00,210.00,213.00,,-0.47,,115310.00
2018-02-25,210.00,210.00,203.00,210.00,,-1.41,,33470.00
2018-02-26,213.00,213.00,205.00,206.00,,-1.9,,10460.00
2018-02-27,206.00,206.00,206.00,206.00,,0,,2060.00
2018-02-28,202.00,205.00,202.00,203.00,,-1.46,,14180.00
2018-03-04,199.00,199.00,196.00,196.00,,-3.45,,33700.00
2018-03-06,199.00,199.00,187.00,190.00,,-3.06,,42580.00
2018-03-07,187.00,196.00,184.00,196.00,,3.16,,13270.00
2018-03-11,196.00,197.00,194.00,194.00,,-1.02,,364304.00
2018-03-13,199.00,199.00,199.00,199.00,,0.51,,1990.00
2018-03-13,194.00,198.00,194.00,198.00,,2.06,,1990.00
2018-03-14,199.00,199.00,199.00,199.00,,0,,1990.00
2018-03-15,196.00,196.00,195.00,195.00,,-2.01,,7810.00
2018-03-18,192.00,196.00,189.00,189.00,,-3.08,,21130.00
2018-03-19,186.00,187.00,186.00,186.00,,-1.59,,14890.00
2018-03-20,183.00,184.00,180.00,180.00,,-3.23,,14640.00
2018-03-21,180.00,180.00,177.00,180.00,,0,,14340.00
2018-03-22,177.00,180.00,177.00,180.00,,0,,12570.00
2018-03-26,180.00,180.00,177.00,177.00,,0,,5370.00
2018-03-27,177.00,180.00,174.00,180.00,,0,,12340.00
2018-03-28,180.00,180.00,180.00,180.00,,0,,5400.00
2018-03-29,180.00,183.00,180.00,183.00,,1.67,,30990.00
2018-04-01,183.00,192.00,183.00,189.00,,3.28,,52210.00
2018-04-02,186.00,189.00,185.00,189.00,,0,,13090.00
2018-04-03,192.00,192.00,190.00,190.00,,1.59,,30640.00
2018-04-05,192.00,196.00,189.00,191.00,,-2.05,,28840.00
2018-04-08,188.00,193.00,188.00,193.00,,1.05,,34330.00
2018-04-09,192.00,198.00,189.00,191.00,,-2.07,,135240.00
2018-04-10,186.00,190.00,184.00,190.00,,0.53,,51900.00
2018-04-11,192.00,202.00,192.00,202.00,,6.32,,49070.00
2018-04-12,199.00,200.00,195.00,195.00,,-3.47,,68840.00
2018-04-15,195.00,192.00,189.00,190.00,,-2.56,,15250.00
2018-04-16,190.00,191.00,188.00,189.00,,-0.53,,35990.00
2018-04-17,189.00,199.00,190.00,195.00,,3.17,,19490.00
2018-04-18,192.00,208.00,190.00,204.00,,4.62,,27710.00
2018-04-19,204.00,214.00,202.00,214.00,,4.9,,51920.00
2018-04-22,214.00,218.00,210.00,210.00,,-1.87,,21160.00
2018-04-23,214.00,215.00,206.00,210.00,,0,,37900.00
2018-04-24,208.00,208.00,204.00,204.00,,-2.38,,111250.00
2018-04-25,201.00,205.00,201.00,201.00,,-1.95,,38280.00
2018-04-26,197.00,197.00,195.00,196.00,,-2.49,,39200.00
2018-04-29,193.00,195.00,193.00,195.00,,-0.51,,11640.00
2018-05-02,195.00,192.00,187.00,187.00,,-4.1,,50980.00
2018-05-03,184.00,190.00,184.00,187.00,,1.6,,24320.00
2018-05-06,188.00,191.00,188.00,188.00,,-1.05,,45220.00
2018-05-07,188.00,188.00,179.00,185.00,,-1.6,,36720.00
2018-05-08,185.00,186.00,180.00,185.00,,0.54,,71140.00
2018-05-09,186.00,186.00,181.00,185.00,,-0.54,,29440.00
2018-05-10,185.00,187.00,182.00,186.00,,0.54,,49980.00
2018-05-14,183.00,184.00,181.00,182.00,,-2.15,,43750.00
2018-05-15,181.00,181.00,179.00,180.00,,-1.1,,30620.00
2018-05-16,179.00,180.00,179.00,180.00,,0,,7170.00
2018-05-17,180.00,183.00,180.00,183.00,,1.67,,10920.00
2018-05-20,181.00,184.00,181.00,184.00,,0.55,,25610.00
2018-05-21,185.00,185.00,180.00,182.00,,-1.09,,49280.00
2018-05-22,183.00,183.00,181.00,181.00,,-0.55,,3640.00
2018-05-23,178.00,179.00,175.00,175.00,,-3.31,,8880.00
2018-05-24,175.00,179.00,173.00,176.00,,0.57,,7040.00
2018-05-27,178.00,178.00,173.00,177.00,,0.57,,24630.00
2018-05-28,177.00,177.00,174.00,175.00,,-1.13,,26380.00
2018-05-29,172.00,175.00,172.00,174.00,,-0.57,,10400.00
2018-05-30,171.00,175.00,171.00,175.00,,0.57,,62280.00
2018-05-31,176.00,176.00,174.00,175.00,,0,,15780.00
2018-06-03,176.00,176.00,165.00,165.00,,-5.71,,134410.00
2018-06-04,162.00,166.00,162.00,164.00,,-0.61,,13110.00
2018-06-06,163.00,163.00,163.00,163.00,,-0.61,,1630.00
2018-06-07,161.00,162.00,161.00,161.00,,-1.23,,30620.00
2018-06-10,158.00,168.00,158.00,168.00,,4.35,,11400.00
2018-06-11,171.00,184.00,171.00,184.00,,9.52,,44740.00
2018-06-12,184.00,184.00,179.00,179.00,,-2.72,,34630.00
2018-06-13,179.00,196.00,179.00,196.00,,9.5,,111440.00
2018-06-14,197.00,215.00,197.00,215.00,,9.69,,172940.00
