Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2018-04-24,346.00,349.00,342.00,343.00,,-2,,5066590.00
2018-04-25,343.00,344.00,339.00,341.00,,-0.87,,5208971.00
2018-04-26,340.00,342.00,336.00,337.00,,-1.18,,8117319.00
2018-04-29,334.00,339.00,331.00,336.00,,-0.6,,14090892.00
2018-05-02,334.00,338.00,331.00,338.00,,1.2,,3799592.00
2018-05-03,341.00,342.00,338.00,341.00,,0.89,,11120543.00
2018-05-06,338.00,340.00,335.00,337.00,,-1.17,,3884758.00
2018-05-07,335.00,342.00,332.00,337.00,,0,,5895486.00
2018-05-08,337.00,341.00,335.00,339.00,,0.59,,5144082.00
2018-05-09,339.00,343.00,337.00,342.00,,0.88,,4779347.00
2018-05-10,342.00,343.00,337.00,338.00,,-1.17,,4227378.00
2018-05-14,338.00,341.00,337.00,339.00,,0.3,,7084201.00
2018-05-15,338.00,340.00,338.00,340.00,,0.29,,845082.00
2018-05-16,340.00,340.00,337.00,340.00,,0,,1561126.00
2018-05-17,340.00,342.00,339.00,340.00,,0,,4195657.00
2018-05-20,345.00,345.00,339.00,340.00,,0,,3445531.00
2018-05-21,340.00,343.00,338.00,343.00,,0,,2151465.00
2018-05-22,339.00,340.00,338.00,338.00,,-0.59,,2897652.00
2018-05-23,338.00,338.00,336.00,336.00,,-0.59,,2510199.00
2018-05-24,336.00,338.00,334.00,334.00,,-0.6,,8835935.00
2018-05-27,333.00,333.00,327.00,329.00,,-1.5,,3418442.00
2018-05-28,329.00,341.00,328.00,333.00,,1.22,,1874106.00
2018-05-29,332.00,338.00,330.00,338.00,,1.5,,2064919.00
2018-05-30,340.00,344.00,336.00,339.00,,0,,5017013.00
2018-05-31,338.00,340.00,334.00,337.00,,-0.3,,5733964.00
2018-06-03,331.00,338.00,324.00,328.00,,-2.67,,3285753.00
2018-06-04,322.00,329.00,322.00,326.00,,-0.61,,2326021.00
2018-06-06,332.00,338.00,332.00,334.00,,2.45,,1016894.00
2018-06-07,332.00,333.00,326.00,327.00,,-2.1,,2288567.00
2018-06-10,325.00,325.00,317.00,321.00,,-1.83,,4166448.00
2018-06-11,319.00,325.00,315.00,322.00,,0.31,,5626494.00
2018-06-12,319.00,325.00,319.00,325.00,,0.93,,1444746.00
2018-06-13,319.00,325.00,319.00,324.00,,-0.31,,853714.00
2018-06-14,329.00,330.00,324.00,327.00,,0.93,,2768734.00
2018-06-17,325.00,325.00,318.00,320.00,,-2.14,,7498483.00
2018-06-18,320.00,326.00,315.00,318.00,,-0.62,,1450531.00
2018-06-19,318.00,320.00,313.00,318.00,,0,,26652013.00
2018-06-20,318.00,320.00,317.00,318.00,,0,,800230.00
2018-06-21,314.00,320.00,314.00,315.00,,-0.94,,787841.00
2018-06-24,313.00,321.00,313.00,316.00,,0.32,,529242.00
2018-06-25,317.00,318.00,313.00,313.00,,-0.95,,1363261.00
2018-06-26,318.00,318.00,309.00,310.00,,-0.96,,5685587.00
2018-06-27,306.00,315.00,306.00,312.00,,0.65,,2288287.00
2018-06-28,313.00,316.00,312.00,314.00,,0.64,,4905966.00
2018-07-01,317.00,321.00,311.00,311.00,,-0.96,,1471131.00
2018-07-02,309.00,316.00,306.00,307.00,,-1.61,,4031778.00
2018-07-03,306.00,312.00,306.00,311.00,,1.63,,2347052.00
2018-07-04,310.00,316.00,309.00,314.00,,1.29,,2756354.00
2018-07-05,317.00,320.00,313.00,320.00,,1.59,,4038513.00
2018-07-08,319.00,322.00,315.00,317.00,,-0.94,,1869936.00
2018-07-09,315.00,317.00,313.00,316.00,,-0.94,,3841006.00
2018-07-10,318.00,323.00,316.00,319.00,,1.27,,2668060.00
2018-07-11,321.00,322.00,311.00,312.00,,-2.81,,3153319.00
2018-07-12,313.00,315.00,311.00,315.00,,1.29,,4270528.00
2018-07-15,315.00,317.00,311.00,317.00,,0.63,,1842839.00
2018-07-16,317.00,319.00,315.00,316.00,,-0.31,,1128521.00
2018-07-17,317.00,320.00,316.00,316.00,,0,,1328687.00
2018-07-18,317.00,317.00,316.00,317.00,,0.32,,1543252.00
2018-07-19,313.00,317.00,312.00,312.00,,-1.58,,2275278.00
2018-07-22,311.00,312.00,307.00,310.00,,-0.64,,3592705.00
2018-07-23,310.00,311.00,308.00,311.00,,0.32,,293860.00
2018-07-24,311.00,316.00,311.00,314.00,,0.96,,2932575.00
2018-07-25,315.00,315.00,310.00,313.00,,0,,1847958.00
2018-07-26,314.00,314.00,310.00,311.00,,-0.96,,1160315.00
2018-07-29,313.00,313.00,309.00,310.00,,-0.32,,2073971.00
2018-07-30,310.00,312.00,306.00,312.00,,0.65,,831634.00
2018-07-31,313.00,316.00,311.00,313.00,,0.32,,1979852.00
2018-08-01,315.00,316.00,312.00,316.00,,0.96,,1989667.00
2018-08-02,315.00,317.00,314.00,317.00,,0.32,,1746651.00
2018-08-05,318.00,319.00,315.00,316.00,,-0.31,,1408040.00
2018-08-06,315.00,318.00,314.00,315.00,,-0.32,,1935235.00
2018-08-07,315.00,320.00,314.00,315.00,,0,,1354824.00
2018-08-08,316.00,316.00,310.00,312.00,,-0.95,,3344672.00
2018-08-09,314.00,314.00,306.00,309.00,,-0.96,,3326931.00
2018-08-12,304.00,314.00,304.00,304.00,,-1.62,,2724128.00
2018-08-13,305.00,310.00,305.00,309.00,,1.64,,1252347.00
2018-08-14,307.00,313.00,307.00,312.00,,0.97,,757924.00
2018-08-15,312.00,320.00,312.00,320.00,,1.92,,3476200.00
2018-08-16,324.00,324.00,318.00,322.00,,1.26,,6385694.00
2018-08-19,325.00,325.00,316.00,317.00,,-1.86,,6326305.00
2018-08-20,320.00,320.00,313.00,317.00,,0.32,,3214836.00
2018-08-21,318.00,318.00,313.00,314.00,,-0.95,,1343071.00
2018-08-23,313.00,315.00,311.00,313.00,,-0.32,,7748805.00
2018-08-26,315.00,315.00,313.00,313.00,,0,,1180683.00
2018-08-28,312.00,325.00,311.00,324.00,,3.83,,6298966.00
2018-08-29,319.00,325.00,319.00,325.00,,0,,4943438.00
2018-08-30,322.00,342.00,322.00,340.00,,4.62,,20954534.00
2018-09-02,334.00,361.00,334.00,358.00,,5.59,,32450540.00
2018-09-03,357.00,370.00,356.00,366.00,,1.95,,33955888.00
2018-09-04,360.00,389.00,360.00,383.00,,4.64,,33499400.00
2018-09-05,384.00,391.00,376.00,383.00,,0,,34959864.00
2018-09-06,383.00,384.00,372.00,379.00,,-0.78,,15947063.00
2018-09-09,375.00,385.00,372.00,382.00,,1.06,,25348613.00
2018-09-10,382.00,385.00,375.00,384.00,,0.52,,14586524.00
2018-09-11,381.00,391.00,381.00,390.00,,1.56,,27450499.00
2018-09-12,386.00,408.00,386.00,408.00,,4.62,,51315459.00
2018-09-13,410.00,425.00,410.00,413.00,,1.22,,55862023.00
2018-09-16,421.00,422.00,408.00,408.00,,-1.21,,36450227.00
2018-09-17,409.00,415.00,401.00,411.00,,0.74,,21580483.00
2018-09-18,411.00,411.00,405.00,407.00,,-0.97,,16595035.00
2018-09-20,407.00,423.00,407.00,421.00,,3.93,,46663655.00
2018-09-23,425.00,447.00,420.00,440.00,,4.02,,70462099.00
2018-09-25,447.00,459.00,442.00,450.00,,2.27,,62587764.00
2018-09-26,450.00,451.00,434.00,441.00,,-1.34,,26986666.00
2018-09-27,440.00,445.00,434.00,438.00,,-0.68,,21447617.00
2018-09-30,432.00,444.00,432.00,442.00,,0.91,,31643901.00
2018-10-01,442.00,442.00,430.00,435.00,,-1.58,,24842610.00
2018-10-02,433.00,435.00,426.00,430.00,,-1.15,,16266435.00
2018-10-03,427.00,432.00,422.00,422.00,,-1.86,,25212331.00
2018-10-04,429.00,429.00,415.00,425.00,,0.71,,16599836.00
2018-10-07,427.00,427.00,417.00,422.00,,-0.71,,16588273.00
2018-10-08,420.00,429.00,420.00,427.00,,1.18,,12730314.00
2018-10-09,428.00,434.00,425.00,428.00,,0.23,,16540953.00
2018-10-10,435.00,435.00,423.00,427.00,,-0.23,,7241119.00
2018-10-11,425.00,436.00,425.00,431.00,,0.94,,15126056.00
2018-10-14,431.00,440.00,430.00,436.00,,1.16,,15795445.00
2018-10-15,436.00,446.00,436.00,441.00,,1.15,,15985469.00
2018-10-21,434.00,453.00,434.00,450.00,,2.04,,18176247.00
2018-10-22,450.00,452.00,445.00,448.00,,-0.44,,8012572.00
2018-10-23,448.00,448.00,442.00,447.00,,-0.22,,17046797.00
2018-10-24,446.00,446.00,439.00,445.00,,-0.45,,12365740.00
2018-10-25,445.00,445.00,437.00,443.00,,0,,11473088.00
2018-10-28,453.00,453.00,428.00,430.00,,-3.37,,22879717.00
2018-10-29,426.00,430.00,423.00,424.00,,-1.4,,13783082.00
2018-10-30,428.00,434.00,425.00,430.00,,1.42,,7551041.00
2018-10-31,425.00,427.00,419.00,419.00,,-2.56,,8727679.00
2018-11-01,417.00,425.00,416.00,420.00,,0.24,,12775277.00
2018-11-04,415.00,419.00,411.00,413.00,,-1.67,,11746678.00
2018-11-05,421.00,423.00,414.00,419.00,,1.45,,16156921.00
2018-11-15,425.00,432.00,421.00,424.00,,-0.24,,6920866.00
2018-11-18,417.00,426.00,416.00,422.00,,1.2,,29808562.00
2018-11-19,418.00,418.00,412.00,412.00,,-1.44,,7134474.00
2018-11-20,413.00,413.00,409.00,411.00,,-0.48,,8041201.00
2018-11-21,411.00,415.00,407.00,415.00,,0.97,,3556876.00
2018-11-22,415.00,415.00,410.00,411.00,,-0.96,,3655640.00
2018-11-25,410.79,412.00,405.00,408.00,,-0.68,,3446073.00
2018-11-26,407.63,411.00,405.00,410.00,,0.58,,4032308.00
2018-11-27,410.00,416.00,409.00,411.00,,0.24,,5258724.00
2018-11-28,411.11,413.00,403.00,407.00,,-1,,4047355.00
2018-11-29,407.73,416.00,403.00,405.00,,-0.67,,4675232.00
2018-12-02,405.00,413.00,398.00,400.00,,-1.23,,14836378.00
2018-12-03,400.00,416.00,398.00,403.00,,0.75,,9276783.00
2018-12-04,403.00,409.00,403.00,408.00,,1.24,,18336662.00
2018-12-06,358.00,358.00,351.00,357.00,,-0.28,,8063917.00
2018-12-09,357.00,375.00,355.00,375.00,,5.04,,8416577.00
2018-12-10,375.00,385.00,375.00,382.00,,1.87,,7906652.00
2018-12-11,382.00,385.00,374.00,375.00,,-1.83,,11881991.00
2018-12-12,375.00,380.00,372.00,373.00,,-0.53,,2045481.00
2018-12-13,373.00,381.00,373.00,378.00,,1.34,,11673506.00
2018-12-16,378.00,388.00,378.00,383.00,,1.32,,9054159.00
2018-12-17,383.00,388.00,380.00,388.00,,1.31,,12834640.00
2018-12-18,388.00,390.00,376.00,380.00,,-2.06,,21104141.00
2018-12-19,380.00,383.00,378.00,380.00,,0,,10854344.00
2018-12-20,380.00,386.00,380.00,380.00,,0,,16827992.00
2018-12-23,380.00,394.00,380.00,392.00,,3.16,,18070880.00
2018-12-24,392.00,395.00,386.00,386.00,,-1.53,,11505737.00
2018-12-25,386.00,386.00,380.00,383.00,,-0.78,,11429336.00
2018-12-26,381.00,396.00,381.00,395.00,,3.67,,13918672.00
2018-12-30,389.00,389.00,384.00,387.00,,-0.51,,5965336.00
2018-12-31,387.00,387.00,377.00,377.00,,-2.58,,5588333.00
2019-01-01,377.00,383.00,377.00,380.00,,0.8,,2707400.00
2019-01-02,380.00,382.00,378.00,382.00,,0.53,,7370888.00
2019-01-03,382.00,385.00,381.00,383.00,,0.26,,3179485.00
2019-01-06,383.00,383.00,377.00,377.00,,-1.57,,3631962.00
2019-01-07,377.00,383.00,377.00,379.00,,0.53,,6606274.00
2019-01-08,379.00,384.00,379.00,382.00,,0.79,,10076233.00
2019-01-09,382.00,392.00,382.00,388.00,,1.57,,16800033.00
2019-01-10,388.00,390.00,385.00,390.00,,0.52,,11054692.00
2019-01-13,390.00,392.00,383.00,384.00,,-1.54,,28756076.00
2019-01-15,386.00,392.00,386.00,390.00,,1.04,,6232127.00
2019-01-16,390.00,401.00,390.00,398.00,,2.05,,30981507.00
2019-01-17,398.00,401.00,395.00,396.00,,-0.5,,11005936.00
2019-01-20,396.00,397.00,392.00,392.00,,-1.01,,2260518.00
2019-01-21,392.00,399.00,389.00,389.00,,-0.77,,7001614.00
2019-01-23,390.00,394.00,390.00,392.00,,0.51,,3509480.00
2019-01-24,392.00,396.00,391.00,392.00,,0,,7911959.00
2019-01-27,392.00,392.00,389.00,391.00,,-0.26,,10617054.00
2019-01-28,391.00,394.00,391.00,393.00,,0.51,,4978633.00
2019-01-29,393.00,393.00,389.00,390.00,,-0.76,,9640886.00
2019-01-30,390.00,392.00,390.00,392.00,,0.51,,9061091.00
2019-01-31,392.00,394.00,390.00,391.00,,-0.26,,4492469.00
2019-02-03,394.00,395.00,390.00,390.00,,-0.26,,8610127.00
2019-02-04,391.00,392.00,388.00,389.00,,-0.26,,12285309.00
2019-02-05,391.00,394.00,389.00,389.00,,0,,5534327.00
2019-02-06,384.00,390.00,384.00,387.00,,-0.51,,4701776.00
2019-02-07,386.00,390.00,385.00,390.00,,0.78,,3825718.00
2019-02-10,389.00,391.00,382.00,385.00,,-1.28,,7957961.00
2019-02-11,381.00,387.00,381.00,386.00,,0.26,,4015930.00
2019-02-12,393.00,393.00,384.00,386.00,,0,,4307361.00
2019-02-13,388.00,392.00,384.00,384.00,,-0.52,,6032824.00
2019-02-14,382.00,389.00,380.00,384.00,,0,,6582521.00
2019-02-17,387.00,388.00,383.00,387.00,,0.78,,5174030.00
2019-02-18,385.00,387.00,383.00,385.00,,-0.52,,5134879.00
2019-02-19,389.00,389.00,385.00,389.00,,1.04,,3997266.00
2019-02-20,395.00,395.00,385.00,387.00,,-0.51,,2528913.00
2019-02-21,388.00,388.00,382.00,384.00,,-0.78,,5195354.00
2019-02-24,385.00,385.00,368.00,370.00,,-3.65,,13731299.00
2019-02-25,370.00,377.00,370.00,374.00,,1.08,,6275016.00
2019-02-26,374.00,380.00,373.00,376.00,,0.53,,3715349.00
2019-02-27,375.00,382.00,375.00,378.00,,0.53,,2983226.00
2019-03-03,380.00,380.00,377.00,378.00,,0,,5103024.00
2019-03-05,378.00,382.00,377.00,381.00,,0.79,,12082441.00
2019-03-06,380.00,386.00,378.00,385.00,,1.05,,8829736.00
2019-03-07,385.00,392.00,385.00,391.00,,1.56,,10354654.00
2019-03-10,392.00,396.00,385.00,395.00,,1.02,,3943513.00
2019-03-11,399.00,400.00,393.00,400.00,,1.52,,22121492.00
2019-03-12,403.00,404.00,397.00,401.00,,0.25,,20177965.00
2019-03-13,405.00,405.00,396.00,398.00,,-0.75,,13398954.00
2019-03-14,395.00,400.00,395.00,399.00,,0,,8076897.00
2019-03-17,401.00,405.00,400.00,401.00,,0.5,,15449692.00
2019-03-18,400.00,402.00,397.00,398.00,,-0.75,,8483057.00
2019-03-19,402.00,402.00,398.00,399.00,,0.25,,1511860.00
2019-03-21,397.00,399.00,395.00,395.00,,-1,,8807087.00
2019-03-24,393.00,399.00,393.00,396.00,,0.25,,4487639.00
2019-03-25,394.00,400.00,394.00,398.00,,0.51,,3226695.00
2019-03-26,398.00,400.00,395.00,398.00,,0,,6190349.00
2019-03-28,403.00,403.00,396.00,398.00,,0,,6131473.00
2019-03-31,401.00,402.00,399.00,400.00,,0.5,,9764365.00
2019-04-01,404.00,410.00,400.00,410.00,,2.5,,22078084.00
2019-04-02,412.00,426.00,410.00,426.00,,3.9,,37684471.00
2019-04-03,428.00,439.00,421.00,436.00,,2.35,,43735793.00
2019-04-04,440.00,444.00,431.00,440.00,,0.92,,47180690.00
2019-04-07,443.00,472.00,439.00,468.00,,6.36,,67184258.00
2019-04-08,468.00,478.00,462.00,466.00,,-0.43,,76389493.00
2019-04-09,470.00,471.00,456.00,458.00,,-1.72,,53870063.00
2019-04-10,463.00,469.00,457.00,466.00,,1.75,,29088630.00
2019-04-11,466.00,471.00,465.00,469.00,,0.64,,25647384.00
2019-04-15,466.00,473.00,466.00,470.00,,0.21,,18348468.00
