Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-06,600.00,589.00,541.00,541.00,,-9.83,,1458690.00
2014-08-07,541.00,531.00,490.00,510.00,,-5.73,,2329687.00
2014-08-12,510.00,510.00,500.00,500.00,,-1.96,,424500.00
2014-08-13,500.00,510.00,500.00,510.00,,2,,407550.00
2014-08-14,510.00,520.00,520.00,520.00,,1.96,,100880.00
2014-08-18,520.00,520.00,511.00,515.00,,-0.96,,151189.00
2014-08-20,515.00,505.00,464.00,470.00,,-8.74,,1283256.00
2014-08-21,470.00,484.00,470.00,480.00,,2.13,,481920.00
2014-08-24,480.00,475.00,472.00,472.00,,-1.67,,474500.00
2014-08-27,472.00,481.00,479.00,481.00,,1.91,,149848.00
2014-08-28,481.00,491.00,482.00,491.00,,2.08,,166378.00
2014-08-31,491.00,482.00,473.00,473.00,,-3.67,,332900.00
2014-09-01,473.00,470.00,470.00,470.00,,-0.63,,129250.00
2014-09-04,470.00,470.00,470.00,470.00,,0,,162150.00
2014-09-07,470.00,479.00,470.00,470.00,,0,,168245.00
2014-09-21,461.00,452.00,442.00,442.00,,-4.12,,676810.00
2014-09-29,442.00,450.00,450.00,450.00,,1.81,,225000.00
2014-09-30,450.00,482.00,459.00,464.00,,3.11,,407737.00
2014-10-09,464.00,460.00,440.00,455.00,,-1.94,,1788780.00
2014-10-12,455.00,464.00,464.00,464.00,,1.98,,13920.00
2014-10-13,464.00,465.00,460.00,460.00,,-0.86,,41910.00
2014-10-16,460.00,451.00,451.00,451.00,,-1.96,,11275.00
2014-10-20,451.00,460.00,451.00,460.00,,2,,295846.00
2014-10-21,460.00,476.00,465.00,470.00,,2.17,,1598377.00
2014-10-22,470.00,487.00,478.00,484.00,,2.98,,383348.00
2014-10-26,484.00,475.00,475.00,475.00,,-1.86,,41800.00
2014-10-27,475.00,498.00,480.00,490.00,,3.16,,1301065.00
2014-10-28,490.00,489.00,473.00,480.00,,-2.04,,2078159.00
2014-10-30,480.00,485.00,485.00,485.00,,1.04,,242500.00
2014-11-02,485.00,476.00,466.00,466.00,,-3.92,,1147121.00
2014-11-03,466.00,470.00,460.00,465.00,,-0.21,,730050.00
2014-11-04,465.00,474.00,460.00,465.00,,0,,708470.00
2014-11-05,465.00,470.00,470.00,470.00,,1.08,,134890.00
2014-11-06,470.00,484.00,462.00,484.00,,2.98,,1126488.00
2014-11-09,484.00,502.00,479.00,479.00,,-1.03,,527719.00
2014-11-10,479.00,470.00,452.00,452.00,,-5.64,,676680.00
2014-11-11,452.00,478.00,443.00,478.00,,5.75,,1043335.00
2014-11-12,478.00,469.00,469.00,469.00,,-1.88,,5628.00
2014-11-13,469.00,460.00,430.00,430.00,,-8.32,,734329.00
2014-11-16,430.00,425.00,394.00,394.00,,-8.37,,829000.00
2014-11-18,394.00,392.00,392.00,392.00,,-0.51,,35280.00
2014-11-19,392.00,418.00,375.00,418.00,,6.63,,2610127.00
2014-11-20,418.00,415.00,396.00,396.00,,-5.26,,348570.00
2014-11-24,395.00,391.00,385.00,385.00,,-2.53,,271300.00
2014-11-24,396.00,425.00,392.00,395.00,,-0.25,,271300.00
