Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2020-07-09,331.00,364.00,331.00,364.00,,9.97,,82440.00
2020-07-12,371.00,400.00,371.00,400.00,,9.89,,103250.00
2020-07-13,408.00,440.00,408.00,440.00,,10,,175200.00
2020-07-14,448.00,484.00,448.00,484.00,,10,,119810.00
2020-07-15,508.00,532.00,508.00,532.00,,9.92,,558180.00
2020-07-16,542.00,585.00,542.00,585.00,,9.96,,683360.00
2020-07-19,614.00,626.00,614.00,626.00,,7.01,,12400.00
2020-07-20,657.00,688.00,657.00,688.00,,9.9,,5611680.00
2020-07-21,722.00,756.00,722.00,756.00,,9.88,,29340328.00
2020-07-22,793.00,831.00,793.00,805.00,,6.48,,181584821.00
2020-07-23,820.00,820.00,781.00,793.00,,-1.49,,70704095.00
2020-07-27,780.00,855.00,780.00,820.00,,4.99,,77920085.00
2020-07-28,811.00,839.00,810.00,830.00,,1.1,,49478790.00
2020-07-29,840.00,840.00,807.00,812.00,,-2.17,,43768120.00
2020-07-30,812.00,820.00,800.00,806.00,,-0.74,,35646810.00
2020-08-02,810.00,810.00,783.00,787.00,,-2.36,,41116162.00
2020-08-03,775.00,799.00,772.00,787.00,,0,,23091985.00
2020-08-05,785.00,785.00,768.00,772.00,,-1.91,,25656934.00
2020-08-06,775.00,775.00,760.00,763.00,,-0.91,,21309065.00
2020-08-09,755.00,764.00,730.00,756.00,,-0.92,,32388975.00
2020-08-10,742.00,795.00,742.00,793.00,,4.89,,15218066.00
2020-08-11,793.00,793.00,772.00,778.00,,-1.89,,23869105.00
2020-08-12,775.00,780.00,765.00,767.00,,-1.41,,20570025.00
2020-08-13,753.00,770.00,753.00,759.00,,-1.04,,23114275.00
2021-04-01,834.00,874.00,834.00,874.00,,9.94,,391934.00
2021-04-01,759.00,795.00,759.00,795.00,,3.91,,391934.00
2021-04-04,917.00,961.00,917.00,961.00,,9.95,,3322541.00
2021-04-05,980.00,1057.00,980.00,1057.00,,9.99,,1283947.00
2021-04-06,1109.00,1162.00,1109.00,1162.00,,9.93,,1220515.00
