Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2021-02-14,340.00,374.00,340.00,374.00,,10,,22154433.00
2021-02-15,392.00,411.00,392.00,411.00,,9.89,,19661613.00
2021-02-16,431.00,452.00,431.00,452.00,,9.98,,22215572.00
2021-02-17,474.00,497.00,474.00,497.00,,9.96,,694361119.00
2021-02-18,521.00,546.00,521.00,546.00,,9.86,,508269835.00
2021-02-21,573.00,600.00,573.00,600.00,,9.89,,552112023.00
2021-02-22,630.00,660.00,630.00,660.00,,10,,321231917.00
2021-02-23,693.00,726.00,594.00,594.00,,-10,,739452518.00
2021-02-24,565.00,642.00,562.00,562.00,,-5.39,,559929505.00
2021-02-25,550.00,595.00,526.00,543.00,,-3.38,,903567577.00
2021-02-28,543.00,550.00,507.00,508.00,,-6.45,,634955460.00
2021-03-01,508.00,535.00,482.00,529.00,,4.13,,444852647.00
2021-03-02,540.00,541.00,508.00,515.00,,-2.65,,258071295.00
2021-03-03,515.00,520.00,503.00,508.00,,-1.36,,217588852.00
2021-03-04,508.00,558.00,508.00,552.00,,8.66,,532390676.00
2021-03-07,560.00,570.00,539.00,542.00,,-1.81,,427840924.00
2021-03-09,542.00,547.00,528.00,532.00,,-1.85,,254979498.00
2021-03-10,530.00,540.00,522.00,531.00,,-0.19,,207125154.00
2021-03-14,540.00,541.00,521.00,523.00,,-1.51,,275668518.00
2021-03-15,548.00,557.00,528.00,537.00,,2.68,,436221809.00
2021-03-16,550.00,550.00,530.00,533.00,,-0.74,,170266454.00
2021-03-17,532.00,540.00,527.00,530.00,,-0.56,,200488423.00
2021-03-18,530.00,535.00,525.00,525.00,,-0.94,,216695278.00
2021-03-21,525.00,534.00,525.00,528.00,,0.57,,211838748.00
2021-03-22,530.00,537.00,522.00,524.00,,-0.76,,197703100.00
2021-03-23,524.00,550.00,520.00,540.00,,3.05,,526094572.00
2021-03-24,545.00,588.00,545.00,581.00,,7.59,,651501695.00
2021-03-25,600.00,631.00,585.00,608.00,,4.65,,910880719.00
2021-03-29,615.00,622.00,603.00,606.00,,-0.33,,443165363.00
2021-03-30,606.00,611.00,591.00,592.00,,-2.31,,480094271.00
2021-04-01,615.00,615.00,588.00,595.00,,0.34,,57480193.00
2021-04-01,592.00,604.00,590.00,593.00,,0.17,,57480193.00
2021-04-04,595.00,600.00,577.00,581.00,,-2.35,,475699499.00
2021-04-05,581.00,588.00,574.00,577.00,,-0.69,,289463828.00
2021-04-06,604.00,606.00,572.00,605.00,,5.03,,398057236.00
2021-04-07,606.00,612.00,591.00,592.00,,-2.31,,280491735.00
2021-04-08,621.00,621.00,588.00,589.00,,-0.51,,255524149.00
2021-04-12,586.00,590.00,580.00,584.00,,-0.85,,221197570.00
2021-04-13,586.00,589.00,580.00,583.00,,-0.17,,211026053.00
2021-04-15,585.00,604.00,580.00,595.00,,1.71,,498734273.00
2021-04-18,623.00,623.00,581.00,585.00,,-1.52,,279856434.00
2021-04-19,588.00,588.00,579.00,581.00,,-0.68,,239360841.00
2021-04-20,580.00,584.00,575.00,577.00,,-0.69,,198672665.00
2021-04-21,581.00,581.00,560.00,571.00,,-1.21,,254598639.00
2021-04-22,572.00,572.00,561.00,562.00,,-1.75,,258748348.00
2021-04-25,565.00,570.00,537.00,541.00,,-3.74,,395252640.00
2021-04-26,540.00,541.00,520.00,526.00,,-2.77,,252981740.00
2021-04-27,520.00,548.00,517.00,546.00,,3.8,,211677436.00
2021-04-28,547.00,555.00,532.00,545.00,,-0.37,,114641622.00
2021-04-29,545.00,549.00,534.00,542.00,,-0.55,,114279443.00
2021-05-02,542.00,545.00,535.00,542.00,,0,,242246556.00
2021-05-03,545.00,554.00,542.00,544.00,,0.37,,201660082.00
2021-05-04,560.00,560.00,541.00,544.00,,0,,164860071.00
2021-05-05,544.00,544.00,539.00,540.00,,-0.74,,124601784.00
2021-05-06,540.00,540.00,531.00,532.00,,-1.48,,150756153.00
2021-05-09,530.00,535.00,520.00,528.00,,-0.75,,157395044.00
2021-05-10,528.00,540.00,525.00,534.00,,1.14,,97261154.00
2021-05-11,540.00,543.00,530.00,537.00,,0.56,,116713070.00
2021-05-12,511.00,545.00,511.00,534.00,,-0.56,,89849014.00
2021-05-13,534.00,537.00,525.00,531.00,,-0.56,,136794532.00
2021-05-16,535.00,549.00,526.00,547.00,,3.01,,294990546.00
2021-05-17,555.00,560.00,545.00,546.00,,-0.18,,182353256.00
2021-05-18,546.00,553.00,542.00,544.00,,-0.37,,171339779.00
2021-05-19,544.00,552.00,537.00,538.00,,-1.1,,175636344.00
2021-05-20,560.00,560.00,530.00,537.00,,-0.19,,199767111.00
2021-05-23,537.00,543.00,529.00,538.00,,0.19,,194864909.00
2021-05-24,539.00,545.00,535.00,536.00,,-0.37,,185478431.00
2021-05-25,555.00,555.00,532.00,534.00,,-0.37,,139992847.00
2021-05-27,534.00,536.00,529.00,530.00,,-0.75,,207873796.00
2021-05-30,530.00,545.00,528.00,530.00,,0,,277933295.00
2021-05-31,530.00,535.00,526.00,526.00,,-0.75,,175793236.00
2021-06-01,526.00,532.00,525.00,524.00,,-0.38,,150125522.00
2021-06-02,525.00,532.00,522.00,524.00,,-0.19,,164348306.00
2021-06-03,525.00,540.00,525.00,533.00,,1.72,,331386774.00
2021-06-06,542.00,581.00,542.00,578.00,,8.26,,839044067.00
2021-06-07,590.00,599.00,566.00,572.00,,-1.04,,466288021.00
2021-06-08,578.00,578.00,560.00,561.00,,-1.75,,333115109.00
2021-06-09,561.00,568.00,547.00,549.00,,-2.14,,258073985.00
2021-06-10,560.00,560.00,545.00,541.00,,-1.09,,242045120.00
2021-06-13,541.00,548.00,539.00,537.00,,-0.92,,225843331.00
2021-06-14,540.00,565.00,539.00,550.00,,2.42,,316920942.00
2021-06-15,563.00,563.00,539.00,539.00,,-2,,174565620.00
2021-06-16,525.00,536.00,523.00,534.00,,-0.93,,256301694.00
